Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity RFWD2-N1,Intensity RFWD2-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
P61247;D6RG13;D6RAT0;D6RB09;E9PFI5;H0Y8L7;H0Y9Y4;D6RAS7;D6R9B6;D6RED7;D6RI02;D6RGE0,P61247;D6RG13;D6RAT0;D6RB09;E9PFI5;H0Y8L7;H0Y9Y4;D6RAS7;D6R9B6,14;13;12;11;11;10;9;7;7;6;5;4,14;13;12;11;11;10;9;7;7;6;5;4,14;13;12;11;11;10;9;7;7;6;5;4,40S ribosomal protein S3a,RPS3A,sp|P61247|RS3A_HUMAN 40S ribosomal protein S3a OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=2;tr|D6RG13|D6RG13_HUMAN 40S ribosomal protein S3a (Fragment) OS=Homo sapiens OX=9606 GN=RPS3A PE=1 SV=1;tr|D6RAT0|D6RAT0_HUMAN 40S ribosomal protein S3a OS=Homo sapien,14,14,50.8,28.3146247993298,29.1495747196086,27.7906063245522,27.6895918586459
Q9P2E9;A0A087WVV2;F8W7S5;A0A087WU26;V9GY78,Q9P2E9;A0A087WVV2;F8W7S5,15;15;13;5;1,15;15;13;5;1,14;14;12;5;1,Ribosome-binding protein 1,RRBP1,sp|Q9P2E9|RRBP1_HUMAN Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=5;tr|A0A087WVV2|A0A087WVV2_HUMAN Ribosome-binding protein 1 OS=Homo sapiens OX=9606 GN=RRBP1 PE=1 SV=1;tr|F8W7S5|F8W7S5_HUMAN Ribosome-binding protein 1 OS=Homo sapie,15,14,13.5,24.8540518832178,25.811151818937,27.2583575618161,27.1756945126079
Q9Y5X1;A0A087WVE4;A0A087WZW2,Q9Y5X1,14;1;1,14;1;1,14;1;1,Sorting nexin-9,SNX9,sp|Q9Y5X1|SNX9_HUMAN Sorting nexin-9 OS=Homo sapiens OX=9606 GN=SNX9 PE=1 SV=1,14,14,32.8,24.7175898294498,26.13131942604,27.8854739844503,28.4008033629918
P05455;E7ERC4;E9PGX9;E9PFL9,P05455;E7ERC4,14;7;6;4,14;7;6;4,14;7;6;4,Lupus La protein,SSB,sp|P05455|LA_HUMAN Lupus La protein OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=2;tr|E7ERC4|E7ERC4_HUMAN Lupus La protein (Fragment) OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=1,14,14,38.0,27.1201079644825,27.3995001153505,27.7205804675176,27.7020012161123
Q9UMZ2;A0A087WZS7,Q9UMZ2,14;3,14;3,14;3,Synergin gamma,SYNRG,sp|Q9UMZ2|SYNRG_HUMAN Synergin gamma OS=Homo sapiens OX=9606 GN=SYNRG PE=1 SV=2,14,14,16.0,25.1215071563969,25.4760848665901,28.1844231952756,27.7714651886518
Q9UPU7;C9JW56,Q9UPU7,14;3,14;3,14;3,TBC1 domain family member 2B,TBC1D2B,sp|Q9UPU7|TBD2B_HUMAN TBC1 domain family member 2B OS=Homo sapiens OX=9606 GN=TBC1D2B PE=1 SV=2,14,14,18.5,27.4836228055896,27.7785005944425,25.2929158473449,24.2237613432261
Q8IWB9;A0A087WVA8;J3KRZ8,Q8IWB9;A0A087WVA8;J3KRZ8,14;13;12,14;13;12,14;13;12,Testis-expressed sequence 2 protein,TEX2,sp|Q8IWB9|TEX2_HUMAN Testis-expressed protein 2 OS=Homo sapiens OX=9606 GN=TEX2 PE=1 SV=2;tr|A0A087WVA8|A0A087WVA8_HUMAN Testis-expressed protein 2 OS=Homo sapiens OX=9606 GN=TEX2 PE=1 SV=1;tr|J3KRZ8|J3KRZ8_HUMAN Testis-expressed protein 2 (Fragment) OS=Ho,14,14,18.7,4.52842334622658,4.50098623350307,27.9759080401082,27.3449426293784
Q16881;E9PIR7;F8W809;A0A087WSW9;A0A182DWI3;A0A087WSY9;E2QRB9;E9PKD3;A0A0B4J225;E9PIZ5;E9PRI8;E9PQI3;E9PLT3;E9PKI4,Q16881;E9PIR7;F8W809;A0A087WSW9;A0A182DWI3;A0A087WSY9;E2QRB9;E9PKD3,14;14;14;14;14;14;13;8;4;3;1;1;1;1,14;14;14;14;14;14;13;8;4;3;1;1;1;1,14;14;14;14;14;14;13;8;4;3;1;1;1;1,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,"sp|Q16881|TRXR1_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=3;tr|E9PIR7|E9PIR7_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1;tr|F8W809|F8W809_HUMAN Thioredoxin reductase 1, c",14,14,26.3,28.064299625713,28.4747937673749,28.4463220677639,28.1335944139335
Q14694;J3KT19;H3BVF1;H3BQP1;H3BNA1;H3BNL0;Q68D90;H3BNS8;H3BQC6,Q14694,14;4;3;2;2;1;1;1;1,14;4;3;2;2;1;1;1;1,14;4;3;2;2;1;1;1;1,Ubiquitin carboxyl-terminal hydrolase 10,USP10,sp|Q14694|UBP10_HUMAN Ubiquitin carboxyl-terminal hydrolase 10 OS=Homo sapiens OX=9606 GN=USP10 PE=1 SV=2,14,14,25.9,26.3503825604475,26.9479311680851,27.7907305983951,27.9815259973108
A0A096LP25;Q6ZSR9;A0A096LNZ0;A0A096LP60,A0A096LP25;Q6ZSR9;A0A096LNZ0,18;14;13;3,15;14;10;0,15;14;10;0,Uncharacterized protein FLJ45252,AAK1,tr|A0A096LP25|A0A096LP25_HUMAN AP2-associated protein kinase 1 (Fragment) OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=1;sp|Q6ZSR9|YJ005_HUMAN Uncharacterized protein FLJ45252 OS=Homo sapiens OX=9606 PE=2 SV=2;tr|A0A096LNZ0|A0A096LNZ0_HUMAN AP2-associated prote,18,15,44.4,28.0861841806511,28.1668648238913,29.8684125928983,29.7176094389667
Q07960;H0YE29;E9PNR6,Q07960;H0YE29,15;13;6,15;13;6,15;13;6,Rho GTPase-activating protein 1,ARHGAP1,sp|Q07960|RHG01_HUMAN Rho GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARHGAP1 PE=1 SV=1;tr|H0YE29|H0YE29_HUMAN Rho GTPase-activating protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=ARHGAP1 PE=1 SV=1,15,15,44.4,23.6270056797295,25.4125768240097,28.4815842039795,28.8053817676833
Q99700;V9GY86;A0A5F9ZHW5;H0YH87;A0A5F9ZHX3;A0A2R8Y7P6;A0A2R8YDM9;A0A2R8Y5A6;A0A2R8Y7E6;A0A5F9ZI57;F8VQP2;F8WB06;A0A5F9ZHH4;F8W0B5;A0A5F9ZH85;F8VRK6;F8WB05,Q99700;V9GY86;A0A5F9ZHW5;H0YH87;A0A5F9ZHX3;A0A2R8Y7P6;A0A2R8YDM9;A0A2R8Y5A6;A0A2R8Y7E6;A0A5F9ZI57;F8VQP2;F8WB06;A0A5F9ZHH4;F8W0B5;A0A5F9ZH85,15;15;15;15;15;15;15;15;15;15;14;14;13;10;8;5;1,15;15;15;15;15;15;15;15;15;15;14;14;13;10;8;5;1,15;15;15;15;15;15;15;15;15;15;14;14;13;10;8;5;1,Ataxin-2,ATXN2,sp|Q99700|ATX2_HUMAN Ataxin-2 OS=Homo sapiens OX=9606 GN=ATXN2 PE=1 SV=2;tr|V9GY86|V9GY86_HUMAN Ataxin-2 OS=Homo sapiens OX=9606 GN=ATXN2 PE=1 SV=1;tr|A0A5F9ZHW5|A0A5F9ZHW5_HUMAN Ataxin-2 OS=Homo sapiens OX=9606 GN=ATXN2 PE=1 SV=1;tr|H0YH87|H0YH87_HUMAN At,15,15,17.0,24.6723342624802,24.6321747426747,28.5247729233875,27.7535975908571
P22681;A0A0U1RR39;A0A1B0GW38;A0A0U1RQX8;Q13191;A0A2R8YDW4;C9JU85;A0A2R8Y7I2;A0A2R8Y8D8;A0A2R8Y5E1;A0A2R8YFD4;H0Y3L9,P22681;A0A0U1RR39;A0A1B0GW38;A0A0U1RQX8,15;14;14;14;1;1;1;1;1;1;1;1,15;14;14;14;1;1;1;1;1;1;1;1,15;14;14;14;1;1;1;1;1;1;1;1,E3 ubiquitin-protein ligase CBL,CBL,sp|P22681|CBL_HUMAN E3 ubiquitin-protein ligase CBL OS=Homo sapiens OX=9606 GN=CBL PE=1 SV=2;tr|A0A0U1RR39|A0A0U1RR39_HUMAN E3 ubiquitin-protein ligase CBL OS=Homo sapiens OX=9606 GN=CBL PE=1 SV=1;tr|A0A1B0GW38|A0A1B0GW38_HUMAN E3 ubiquitin-protein ligase,15,15,20.4,23.9782342370877,23.9645509860236,28.0285472056947,27.61329892476
Q6PII3;A0A0B4J1R8;A0A087WYA9,Q6PII3;A0A0B4J1R8;A0A087WYA9,15;13;12,15;13;12,15;13;12,Coiled-coil domain-containing protein 174,CCDC174,sp|Q6PII3|CC174_HUMAN Coiled-coil domain-containing protein 174 OS=Homo sapiens OX=9606 GN=CCDC174 PE=1 SV=3;tr|A0A0B4J1R8|A0A0B4J1R8_HUMAN Coiled-coil domain-containing protein 174 OS=Homo sapiens OX=9606 GN=CCDC174 PE=1 SV=1;tr|A0A087WYA9|A0A087WYA9_HUMA,15,15,34.5,26.9299897580533,26.0114586375245,28.0176517043207,27.9939385685488
Q6FI81;H3BV90;H3BT65;H3BUG4;H3BPG7;H3BQ23;H3BTZ8,Q6FI81;H3BV90;H3BT65;H3BUG4;H3BPG7,15;13;12;11;10;7;1,15;13;12;11;10;7;1,15;13;12;11;10;7;1,Anamorsin,CIAPIN1,sp|Q6FI81|CPIN1_HUMAN Anamorsin OS=Homo sapiens OX=9606 GN=CIAPIN1 PE=1 SV=2;tr|H3BV90|H3BV90_HUMAN Fe-S cluster assembly protein DRE2 OS=Homo sapiens OX=9606 GN=CIAPIN1 PE=1 SV=1;tr|H3BT65|H3BT65_HUMAN Anamorsin OS=Homo sapiens OX=9606 GN=CIAPIN1 PE=1 SV=,15,15,57.4,28.9576769871374,28.791910666299,29.6607984238152,29.8685744958408
Q15417;E9PDU6,Q15417;E9PDU6,16;9,16;9,15;9,Calponin-3;Calponin,CNN3,sp|Q15417|CNN3_HUMAN Calponin-3 OS=Homo sapiens OX=9606 GN=CNN3 PE=1 SV=1;tr|E9PDU6|E9PDU6_HUMAN Calponin (Fragment) OS=Homo sapiens OX=9606 GN=CNN3 PE=1 SV=1,16,15,57.1,28.7473681210755,28.4925891471534,29.9849514719099,29.7549835799385
Q9BZJ0;Q5JY65,Q9BZJ0;Q5JY65,15;15,15;15,15;15,Crooked neck-like protein 1,CRNKL1,sp|Q9BZJ0|CRNL1_HUMAN Crooked neck-like protein 1 OS=Homo sapiens OX=9606 GN=CRNKL1 PE=1 SV=4;tr|Q5JY65|Q5JY65_HUMAN Crooked neck-like protein 1 OS=Homo sapiens OX=9606 GN=CRNKL1 PE=1 SV=1,15,15,19.0,28.0893197058638,28.4420953998253,25.4942383954269,25.7094090643219
O14531;Q5T0Q6,O14531;Q5T0Q6,15;10,15;10,15;10,Dihydropyrimidinase-related protein 4,DPYSL4,sp|O14531|DPYL4_HUMAN Dihydropyrimidinase-related protein 4 OS=Homo sapiens OX=9606 GN=DPYSL4 PE=1 SV=2;tr|Q5T0Q6|Q5T0Q6_HUMAN Dihydropyrimidinase-related protein 4 OS=Homo sapiens OX=9606 GN=DPYSL4 PE=1 SV=1,15,15,38.8,27.7422687235114,27.4090840055084,28.3328321040384,28.2700375550653
O95905;C9J316;F2Z2R1;C9JGV1,O95905;C9J316,15;8;4;4,15;8;4;4,15;8;4;4,Protein SGT1,ECD,sp|O95905|ECD_HUMAN Protein ecdysoneless homolog OS=Homo sapiens OX=9606 GN=ECD PE=1 SV=1;tr|C9J316|C9J316_HUMAN Protein ecdysoneless homolog (Fragment) OS=Homo sapiens OX=9606 GN=ECD PE=1 SV=1,15,15,28.6,24.944405376838,25.2040397307661,27.7883053254433,28.2404991196817
Q9HC35;B5MBZ0,Q9HC35;B5MBZ0,15;15,15;15,15;15,Echinoderm microtubule-associated protein-like 4,EML4,sp|Q9HC35|EMAL4_HUMAN Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens OX=9606 GN=EML4 PE=1 SV=3;tr|B5MBZ0|B5MBZ0_HUMAN Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens OX=9606 GN=EML4 PE=1 SV=3,15,15,17.7,4.52842334622658,4.50098623350307,27.7253994407183,27.4820845050324
Q8N3X1;F5GXL1,Q8N3X1,15;2,15;2,15;2,Formin-binding protein 4,FNBP4,sp|Q8N3X1|FNBP4_HUMAN Formin-binding protein 4 OS=Homo sapiens OX=9606 GN=FNBP4 PE=1 SV=3,15,15,17.8,27.1739805324224,27.5391947901697,27.962952737128,28.0260157910241
Q9P2D0;E7EPI0;E9PDR5;D6R9F4;H0Y9N7,Q9P2D0;E7EPI0;E9PDR5,15;15;13;3;1,15;15;13;3;1,15;15;13;3;1,Inhibitor of Bruton tyrosine kinase,IBTK,sp|Q9P2D0|IBTK_HUMAN Inhibitor of Bruton tyrosine kinase OS=Homo sapiens OX=9606 GN=IBTK PE=1 SV=3;tr|E7EPI0|E7EPI0_HUMAN Inhibitor of Bruton tyrosine kinase OS=Homo sapiens OX=9606 GN=IBTK PE=1 SV=1;tr|E9PDR5|E9PDR5_HUMAN Inhibitor of Bruton tyrosine kina,15,15,13.5,23.8427807708828,22.6778383337663,27.1658591110301,27.413852181006
P78318;A0A1W2PR95,P78318,15;2,15;2,15;2,Immunoglobulin-binding protein 1,IGBP1,sp|P78318|IGBP1_HUMAN Immunoglobulin-binding protein 1 OS=Homo sapiens OX=9606 GN=IGBP1 PE=1 SV=1,15,15,50.7,28.3215225027889,28.9033707505973,28.3016456437084,28.3482816646109
F8W930;Q9Y6M1;Q9NZI8,F8W930;Q9Y6M1,16;16;1,16;16;1,15;15;0,Insulin-like growth factor 2 mRNA-binding protein 2,IGF2BP2,tr|F8W930|F8W930_HUMAN Insulin-like growth factor 2 mRNA-binding protein 2 OS=Homo sapiens OX=9606 GN=IGF2BP2 PE=1 SV=1;sp|Q9Y6M1|IF2B2_HUMAN Insulin-like growth factor 2 mRNA-binding protein 2 OS=Homo sapiens OX=9606 GN=IGF2BP2 PE=1 SV=2,16,15,33.9,23.2399294445228,24.1295125709512,28.7696694397366,28.8866372137339
Q13123;E7EQZ7;D6REL4;D6RAY9;A0A0C4DGW5,Q13123;E7EQZ7,15;9;5;2;2,15;9;5;2;2,15;9;5;2;2,Protein Red,IK,sp|Q13123|RED_HUMAN Protein Red OS=Homo sapiens OX=9606 GN=IK PE=1 SV=3;tr|E7EQZ7|E7EQZ7_HUMAN Protein Red (Fragment) OS=Homo sapiens OX=9606 GN=IK PE=1 SV=1,15,15,37.3,27.8112743356065,27.0411380786949,28.0384193657744,28.0699427754477
Q86UP2;G3V4Y7;H0YJZ8;G3V5G2;B7Z6P3;G3V5P0;H0YJV5;H0YJP2,Q86UP2;G3V4Y7,16;10;5;5;4;2;1;1,16;10;5;5;4;2;1;1,15;10;5;5;4;2;1;1,Kinectin,KTN1,sp|Q86UP2|KTN1_HUMAN Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1;tr|G3V4Y7|G3V4Y7_HUMAN Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1,16,15,15.4,26.9196851540843,26.4426412175241,27.4281427662596,27.4111063432206
Q93052;A0A087WZF1;C9JUT4;C9JXK9;C9JIY7;C9JT42;C9J3U9;C9J1K7;C9J5C8;C9J4E3;C9JE51;C9J2R5,Q93052;A0A087WZF1;C9JUT4;C9JXK9,15;13;12;8;4;4;4;4;4;4;3;3,15;13;12;8;4;4;4;4;4;4;3;3,15;13;12;8;4;4;4;4;4;4;3;3,Lipoma-preferred partner,LPP,sp|Q93052|LPP_HUMAN Lipoma-preferred partner OS=Homo sapiens OX=9606 GN=LPP PE=1 SV=1;tr|A0A087WZF1|A0A087WZF1_HUMAN Lipoma-preferred partner OS=Homo sapiens OX=9606 GN=LPP PE=1 SV=1;tr|C9JUT4|C9JUT4_HUMAN LIM domain containing preferred translocation part,15,15,36.9,27.135259156402,26.391360816645,28.7576085282204,28.7558272659275
E7EVA0;B5MEG9;H7C456;H0Y2V1;F8W9U4;A0A0J9YVV8;A0A0J9YW37,E7EVA0,83;21;17;12;11;5;5,83;21;17;12;11;5;5,15;4;0;0;0;0;0,Microtubule-associated protein,MAP4,tr|E7EVA0|E7EVA0_HUMAN Microtubule-associated protein OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=1,83,15,39.3,32.5457492668913,32.7750185877829,35.0603281923574,34.8413679198621
Q8IVT2,Q8IVT2,15,15,15,Mitotic interactor and substrate of PLK1,MISP,sp|Q8IVT2|MISP_HUMAN Mitotic interactor and substrate of PLK1 OS=Homo sapiens OX=9606 GN=MISP PE=1 SV=1,15,15,28.9,27.988748039998,28.3682801114614,27.923713842388,27.7863746317982
Q9ULD2;H0YC63;A0A0U1RQI2,Q9ULD2,15;6;1,15;6;1,15;6;1,Microtubule-associated tumor suppressor 1,MTUS1,sp|Q9ULD2|MTUS1_HUMAN Microtubule-associated tumor suppressor 1 OS=Homo sapiens OX=9606 GN=MTUS1 PE=1 SV=2,15,15,16.4,28.5436629995836,28.4505363889844,25.9640441470662,25.1812414468888
P16333;C9JAB9;C9JVV5;C9J869;C9K098;H7C5C7;C9J0K5,P16333;C9JAB9;C9JVV5;C9J869,16;10;9;9;7;7;5,16;10;9;9;7;7;5,15;10;8;8;6;6;4,Cytoplasmic protein NCK1,NCK1,sp|P16333|NCK1_HUMAN Cytoplasmic protein NCK1 OS=Homo sapiens OX=9606 GN=NCK1 PE=1 SV=1;tr|C9JAB9|C9JAB9_HUMAN Cytoplasmic protein NCK1 (Fragment) OS=Homo sapiens OX=9606 GN=NCK1 PE=1 SV=1;tr|C9JVV5|C9JVV5_HUMAN Cytoplasmic protein NCK1 (Fragment) OS=Homo,16,15,45.1,25.972000771713,24.7376347954132,29.21562919805,29.0152074485749
Q7Z417,Q7Z417,15,15,15,Nuclear fragile X mental retardation-interacting protein 2,NUFIP2,sp|Q7Z417|NUFP2_HUMAN Nuclear fragile X mental retardation-interacting protein 2 OS=Homo sapiens OX=9606 GN=NUFIP2 PE=1 SV=1,15,15,33.1,25.0922467825447,25.713767424964,29.2724868395963,28.8662619765581
Q86TB9,Q86TB9,15,15,15,Protein PAT1 homolog 1,PATL1,sp|Q86TB9|PATL1_HUMAN Protein PAT1 homolog 1 OS=Homo sapiens OX=9606 GN=PATL1 PE=1 SV=2,15,15,22.1,26.1192769417243,26.0509662502272,27.2115969259348,27.257458630364
O94913;E9PQ01;E9PKN0;E9PQF9;E9PNY7,O94913;E9PQ01;E9PKN0,15;13;12;3;1,15;13;12;3;1,15;13;12;3;1,Pre-mRNA cleavage complex 2 protein Pcf11,PCF11,sp|O94913|PCF11_HUMAN Pre-mRNA cleavage complex 2 protein Pcf11 OS=Homo sapiens OX=9606 GN=PCF11 PE=1 SV=3;tr|E9PQ01|E9PQ01_HUMAN Pre-mRNA cleavage complex 2 protein Pcf11 (Fragment) OS=Homo sapiens OX=9606 GN=PCF11 PE=1 SV=8;tr|E9PKN0|E9PKN0_HUMAN Pre-mRN,15,15,12.7,24.557832469261,26.0172906402909,27.126522365258,27.4321316402918
Q29RF7;H0Y9L6;H0Y9L9,Q29RF7,16;3;2,16;3;2,15;3;2,Sister chromatid cohesion protein PDS5 homolog A,PDS5A,sp|Q29RF7|PDS5A_HUMAN Sister chromatid cohesion protein PDS5 homolog A OS=Homo sapiens OX=9606 GN=PDS5A PE=1 SV=1,16,15,16.1,27.1455962071376,27.4308564001306,27.4767647417398,26.9868510048254
Q6ZUJ8,Q6ZUJ8,15,15,15,Phosphoinositide 3-kinase adapter protein 1,PIK3AP1,sp|Q6ZUJ8|BCAP_HUMAN Phosphoinositide 3-kinase adapter protein 1 OS=Homo sapiens OX=9606 GN=PIK3AP1 PE=1 SV=2,15,15,25.1,26.505109728089,26.2524683776243,28.1420938100117,27.4050308055595
Q16513;B1AL79;H0Y5V5,Q16513;B1AL79,15;8;2,15;8;2,15;8;2,Serine/threonine-protein kinase N2,PKN2,"sp|Q16513|PKN2_HUMAN Serine/threonine-protein kinase N2 OS=Homo sapiens OX=9606 GN=PKN2 PE=1 SV=1;tr|B1AL79|B1AL79_HUMAN Protein kinase N2, isoform CRA_b OS=Homo sapiens OX=9606 GN=PKN2 PE=1 SV=1",15,15,18.4,25.2055692543866,25.5299039961238,27.5872066185588,27.0333867035516
Q9Y253;Q5JTF2,Q9Y253,15;3,15;3,15;3,DNA polymerase eta,POLH,sp|Q9Y253|POLH_HUMAN DNA polymerase eta OS=Homo sapiens OX=9606 GN=POLH PE=1 SV=1,15,15,29.6,28.7205804675176,28.4500250251485,23.0071525410385,24.1450713893081
Q96QC0,Q96QC0,15,15,15,Serine/threonine-protein phosphatase 1 regulatory subunit 10,PPP1R10,sp|Q96QC0|PP1RA_HUMAN Serine/threonine-protein phosphatase 1 regulatory subunit 10 OS=Homo sapiens OX=9606 GN=PPP1R10 PE=1 SV=1,15,15,22.0,27.4335649393796,27.1915942252856,28.8657311945238,28.7192752744663
P63151;A0A590UJY3;A0A590UJJ1;E5RIY1;E5RFR9;Q66LE6;Q00005;Q9Y2T4;E5RHQ2;E5RJV2;H0YB06,P63151;A0A590UJY3,15;9;7;4;4;3;2;1;1;1;1,15;9;7;4;4;3;2;1;1;1;1,15;9;7;4;4;3;2;1;1;1;1,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,PPP2R2A,sp|P63151|2ABA_HUMAN Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform OS=Homo sapiens OX=9606 GN=PPP2R2A PE=1 SV=1;tr|A0A590UJY3|A0A590UJY3_HUMAN Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B OS=Homo s,15,15,43.8,30.0787734942664,30.7919572281296,4.41334328787,4.32921797042726
Q5H9R7;H7BXH2;E9PKF6;E9PQP7;H0YEN2;E9PNN8;E9PK08;E9PJD8;E9PKG4;H0YDW1,Q5H9R7;H7BXH2;E9PKF6;E9PQP7,15;15;15;9;6;5;4;2;2;2,15;15;15;9;6;5;4;2;2;2,15;15;15;9;6;5;4;2;2;2,Serine/threonine-protein phosphatase 6 regulatory subunit 3,PPP6R3,sp|Q5H9R7|PP6R3_HUMAN Serine/threonine-protein phosphatase 6 regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PPP6R3 PE=1 SV=2;tr|H7BXH2|H7BXH2_HUMAN Serine/threonine-protein phosphatase 6 regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PPP6R3 PE=1 SV=1;tr|,15,15,21.9,23.6973016948368,23.7056703507448,28.6078077644106,28.5138611179506
P30041,P30041,15,15,15,Peroxiredoxin-6,PRDX6,sp|P30041|PRDX6_HUMAN Peroxiredoxin-6 OS=Homo sapiens OX=9606 GN=PRDX6 PE=1 SV=3,15,15,76.3,30.079663772012,29.7337456269569,27.6505466001038,27.4519908178506
B7Z7F3;Q9H6Z4;K7EIJ4;K7EN31;K7EID7;K7ENB9;K7ESQ0;K7EMH9;K7ENJ2;K7EPW1,B7Z7F3;Q9H6Z4,15;14;7;3;2;2;2;1;1;1,15;14;7;3;2;2;2;1;1;1,15;14;7;3;2;2;2;1;1;1,Ran-binding protein 3,RANBP3,tr|B7Z7F3|B7Z7F3_HUMAN Ran-binding protein 3 OS=Homo sapiens OX=9606 GN=RANBP3 PE=1 SV=1;sp|Q9H6Z4|RANB3_HUMAN Ran-binding protein 3 OS=Homo sapiens OX=9606 GN=RANBP3 PE=1 SV=1,15,15,44.3,28.4580678084607,28.4630670003721,30.2668472559937,29.9165565879594
Q9NTZ6;A6PVI1;A6PVI0;Q5JX62,Q9NTZ6,15;3;3;3,15;3;3;3,15;3;3;3,RNA-binding protein 12,RBM12,sp|Q9NTZ6|RBM12_HUMAN RNA-binding protein 12 OS=Homo sapiens OX=9606 GN=RBM12 PE=1 SV=1,15,15,19.2,24.9711018074723,26.2061843370658,27.7242287387004,27.4820075469314
Q92541;H0YKX1,Q92541,15;5,15;5,15;5,RNA polymerase-associated protein RTF1 homolog,RTF1,sp|Q92541|RTF1_HUMAN RNA polymerase-associated protein RTF1 homolog OS=Homo sapiens OX=9606 GN=RTF1 PE=1 SV=4,15,15,25.1,25.7058548807398,25.5746166235769,28.4338434711404,27.5157794706322
Q9GZR1;F8W6D9;H0Y4F4;D6RG09;H0Y8Y8,Q9GZR1;F8W6D9;H0Y4F4,15;10;9;5;5,15;10;9;5;5,15;10;9;5;5,Sentrin-specific protease 6,SENP6,sp|Q9GZR1|SENP6_HUMAN Sentrin-specific protease 6 OS=Homo sapiens OX=9606 GN=SENP6 PE=1 SV=2;tr|F8W6D9|F8W6D9_HUMAN Sentrin-specific protease 6 OS=Homo sapiens OX=9606 GN=SENP6 PE=1 SV=1;tr|H0Y4F4|H0Y4F4_HUMAN Sentrin-specific protease 6 (Fragment) OS=Homo,15,15,15.6,28.0369009321798,28.4474260705821,4.41334328787,4.32921797042726
O60749;D6RC15,O60749,17;6,15;6,15;6,Sorting nexin-2,SNX2,sp|O60749|SNX2_HUMAN Sorting nexin-2 OS=Homo sapiens OX=9606 GN=SNX2 PE=1 SV=2,17,15,38.0,25.9526484797818,25.924518231805,28.3593423317027,28.4463615109868
Q13813;A0A0D9SF54;A0A0D9SGF6,Q13813;A0A0D9SF54;A0A0D9SGF6,15;15;15,15;15;15,15;15;15,"Spectrin alpha chain, non-erythrocytic 1",SPTAN1,"sp|Q13813|SPTN1_HUMAN Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3;tr|A0A0D9SF54|A0A0D9SF54_HUMAN Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=1;tr|A0A0D9SGF6|A0A0D9SGF6_HUMAN Sp",15,15,8.7,4.52842334622658,4.50098623350307,26.8352094437819,25.9191850391969
O95793;A0A087X1A5;Q5JW30;Q5JW28;F6UDC6,O95793;A0A087X1A5;Q5JW30,16;15;15;5;1,16;15;15;5;1,15;14;14;5;1,Double-stranded RNA-binding protein Staufen homolog 1,STAU1,sp|O95793|STAU1_HUMAN Double-stranded RNA-binding protein Staufen homolog 1 OS=Homo sapiens OX=9606 GN=STAU1 PE=1 SV=2;tr|A0A087X1A5|A0A087X1A5_HUMAN Double-stranded RNA-binding protein Staufen homolog 1 OS=Homo sapiens OX=9606 GN=STAU1 PE=1 SV=1;tr|Q5JW30,16,15,39.7,25.9932583753997,26.3026046216239,28.6178589799877,28.5377886906059
Q9Y6A5;A0A494BZT8;Q8IX09;C9JWI7;H0Y8F2;C9JA91;E7EMT0;A0A494C117;F8WC55,Q9Y6A5;A0A494BZT8,15;15;3;3;3;3;3;3;1,15;15;3;3;3;3;3;3;1,15;15;3;3;3;3;3;3;1,Transforming acidic coiled-coil-containing protein 3,TACC3,sp|Q9Y6A5|TACC3_HUMAN Transforming acidic coiled-coil-containing protein 3 OS=Homo sapiens OX=9606 GN=TACC3 PE=1 SV=1;tr|A0A494BZT8|A0A494BZT8_HUMAN Transforming acidic coiled-coil-containing protein 3 OS=Homo sapiens OX=9606 GN=TACC3 PE=1 SV=1,15,15,23.0,26.3390232981305,26.9640000656973,27.9432431027051,28.0248540732021
