Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity NLE1-N1,Intensity NLE1-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
P47897;A0A1B0GVU9;B4DDN1;H7C0R3;A0A0U1RQT0;C9J165;A0A0U1RQM8;A0A0U1RQQ5;A0A0U1RQE9;A0A0U1RRI9;A0A0U1RQU2;A0A1B0GTT3;A0A0U1RQL2;A0A0U1RQX5;A0A0U1RRC8;A0A0U1RQX9;F2Z2V6;A0A0U1RR79,P47897;A0A1B0GVU9;B4DDN1,15;13;10;7;5;5;5;4;4;4;4;4;3;3;3;2;2;1,15;13;10;7;5;5;5;4;4;4;4;4;3;3;3;2;2;1,15;13;10;7;5;5;5;4;4;4;4;4;3;3;3;2;2;1,Glutamine--tRNA ligase,QARS,sp|P47897|SYQ_HUMAN Glutamine--tRNA ligase OS=Homo sapiens OX=9606 GN=QARS1 PE=1 SV=1;tr|A0A1B0GVU9|A0A1B0GVU9_HUMAN Glutamine--tRNA ligase (Fragment) OS=Homo sapiens OX=9606 GN=QARS1 PE=1 SV=1;tr|B4DDN1|B4DDN1_HUMAN Glutamine--tRNA ligase OS=Homo sapiens,15,15,22.8,23.5982115587017,25.2346551959706,27.3547265093045,26.8203118182224
Q96EV2;H0Y3K4;H7C0H2;H0Y3K3;A0A0C4DFS3;H7BXM6;A8MTF7,Q96EV2;H0Y3K4,15;11;3;2;2;2;1,15;11;3;2;2;2;1,15;11;3;2;2;2;1,RNA-binding protein 33,RBM33,sp|Q96EV2|RBM33_HUMAN RNA-binding protein 33 OS=Homo sapiens OX=9606 GN=RBM33 PE=1 SV=3;tr|H0Y3K4|H0Y3K4_HUMAN RNA-binding protein 33 (Fragment) OS=Homo sapiens OX=9606 GN=RBM33 PE=1 SV=1,15,15,18.9,26.0031167401864,27.2536769898215,29.0285208596718,28.707771278589
Q14684,Q14684,15,15,15,Ribosomal RNA processing protein 1 homolog B,RRP1B,sp|Q14684|RRP1B_HUMAN Ribosomal RNA processing protein 1 homolog B OS=Homo sapiens OX=9606 GN=RRP1B PE=1 SV=3,15,15,24.8,26.8246880451601,27.7756152033989,24.363592593315,26.5341857875537
O60749;D6RC15,O60749,17;6,15;6,15;6,Sorting nexin-2,SNX2,sp|O60749|SNX2_HUMAN Sorting nexin-2 OS=Homo sapiens OX=9606 GN=SNX2 PE=1 SV=2,17,15,38.0,23.6387113703584,24.5874355541789,28.3593423317027,28.4463615109868
Q13813;A0A0D9SF54;A0A0D9SGF6,Q13813;A0A0D9SF54;A0A0D9SGF6,15;15;15,15;15;15,15;15;15,"Spectrin alpha chain, non-erythrocytic 1",SPTAN1,"sp|Q13813|SPTN1_HUMAN Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3;tr|A0A0D9SF54|A0A0D9SF54_HUMAN Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=1;tr|A0A0D9SGF6|A0A0D9SGF6_HUMAN Sp",15,15,8.7,4.18694249382544,4.30484830045098,26.8352094437819,25.6911505425577
Q15208;H0YGN4,Q15208,18;2,18;2,15;0,Serine/threonine-protein kinase 38,STK38,sp|Q15208|STK38_HUMAN Serine/threonine-protein kinase 38 OS=Homo sapiens OX=9606 GN=STK38 PE=1 SV=1,18,15,45.4,25.8392764605773,26.9667525659425,29.5167376912571,29.1751948120304
O43815,O43815,16,16,15,Striatin,STRN,sp|O43815|STRN_HUMAN Striatin OS=Homo sapiens OX=9606 GN=STRN PE=1 SV=4,16,15,30.8,4.18694249382544,4.30484830045098,28.4619358877741,27.9359014125735
P37802;X6RJP6;Q9UI15;C9J5W6,P37802;X6RJP6,15;14;1;1,15;14;1;1,15;14;1;1,Transgelin-2,TAGLN2,sp|P37802|TAGL2_HUMAN Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3;tr|X6RJP6|X6RJP6_HUMAN Transgelin-2 (Fragment) OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=1,15,15,75.9,29.0939347199374,29.8585760983966,32.8597167854932,32.6932029039282
O75663,O75663,15,15,15,TIP41-like protein,TIPRL,sp|O75663|TIPRL_HUMAN TIP41-like protein OS=Homo sapiens OX=9606 GN=TIPRL PE=1 SV=2,15,15,67.6,27.2390881708739,28.2169245472197,30.8956927999751,30.8118408399041
O94842;A0A669KB71;O15405;O94900;Q96NM4;C9J919;C9JNL1,O94842;A0A669KB71,15;10;4;3;3;1;1,15;10;4;3;3;1;1,15;10;4;3;3;1;1,TOX high mobility group box family member 4,TOX4,sp|O94842|TOX4_HUMAN TOX high mobility group box family member 4 OS=Homo sapiens OX=9606 GN=TOX4 PE=1 SV=1;tr|A0A669KB71|A0A669KB71_HUMAN TOX high mobility group box family member 4 OS=Homo sapiens OX=9606 GN=TOX4 PE=4 SV=1,15,15,38.3,29.3269099041482,29.8070568453328,30.9365614503234,31.0479775153611
P54578;A6NJA2;J3QQT6;J3KS55,P54578;A6NJA2,15;14;1;1,15;14;1;1,15;14;1;1,Ubiquitin carboxyl-terminal hydrolase 14;Ubiquitin carboxyl-terminal hydrolase,USP14,sp|P54578|UBP14_HUMAN Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=3;tr|A6NJA2|A6NJA2_HUMAN Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=2,15,15,38.7,25.4578252196797,26.0617169437124,29.7288572156921,29.5800879398364
Q9NZC7;A0A087WZG5;F5H3R5,Q9NZC7,15;6;4,15;6;4,15;6;4,WW domain-containing oxidoreductase,WWOX,sp|Q9NZC7|WWOX_HUMAN WW domain-containing oxidoreductase OS=Homo sapiens OX=9606 GN=WWOX PE=1 SV=1,15,15,51.0,26.4010964315382,27.0888144366957,29.5042498502499,29.3818313127745
O00203;Q13367;A0A590UJW5;A0A590UKD3;A0A590UJU0;A0A590UJ60;A0A590UK04;A0A5F9UJV3;A0A2R8Y2A8;A0A590UKC4;A0A590UK30;F5GWU4;A0A590UJU7;A0A590UJE5,O00203,16;2;2;2;2;2;2;2;2;2;1;1;1;1,16;2;2;2;2;2;2;2;2;2;1;1;1;1,16;2;2;2;2;2;2;2;2;2;1;1;1;1,AP-3 complex subunit beta-1,AP3B1,sp|O00203|AP3B1_HUMAN AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3,16,16,16.8,25.3434099233341,26.3624057883806,27.6903247830561,27.4166733304051
Q6FI81;H3BV90;H3BT65;H3BUG4;H3BPG7;H3BQ23;H3BTZ8,Q6FI81;H3BV90;H3BT65;H3BUG4;H3BPG7;H3BQ23,16;14;13;12;10;8;1,16;14;13;12;10;8;1,16;14;13;12;10;8;1,Anamorsin,CIAPIN1,sp|Q6FI81|CPIN1_HUMAN Anamorsin OS=Homo sapiens OX=9606 GN=CIAPIN1 PE=1 SV=2;tr|H3BV90|H3BV90_HUMAN Fe-S cluster assembly protein DRE2 OS=Homo sapiens OX=9606 GN=CIAPIN1 PE=1 SV=1;tr|H3BT65|H3BT65_HUMAN Anamorsin OS=Homo sapiens OX=9606 GN=CIAPIN1 PE=1 SV=,16,16,57.4,25.2333756761678,26.5490286879667,29.6607984238152,29.8685744958408
P46108;I3L297,P46108,16;7,16;7,16;7,Adapter molecule crk,CRK,sp|P46108|CRK_HUMAN Adapter molecule crk OS=Homo sapiens OX=9606 GN=CRK PE=1 SV=2,16,16,59.9,28.3735167598275,29.4320718885834,30.4604133367501,30.310730299254
Q9P2B4;B1AMN7,Q9P2B4;B1AMN7,16;10,16;10,16;10,CTTNBP2 N-terminal-like protein,CTTNBP2NL,sp|Q9P2B4|CT2NL_HUMAN CTTNBP2 N-terminal-like protein OS=Homo sapiens OX=9606 GN=CTTNBP2NL PE=1 SV=2;tr|B1AMN7|B1AMN7_HUMAN CTTNBP2 N-terminal-like protein (Fragment) OS=Homo sapiens OX=9606 GN=CTTNBP2NL PE=1 SV=1,16,16,29.7,4.18694249382544,4.30484830045098,28.1723122082998,27.5046097733828
Q9NPI6;A0A087WT55;A0A087WXD0;A0A087WVE6,Q9NPI6,16;7;5;5,16;7;5;5,16;7;5;5,mRNA-decapping enzyme 1A,DCP1A,sp|Q9NPI6|DCP1A_HUMAN mRNA-decapping enzyme 1A OS=Homo sapiens OX=9606 GN=DCP1A PE=1 SV=3,16,16,43.3,24.6342815146867,25.8500979211796,29.2560641787388,28.7949495521943
O95786;A2A376,O95786;A2A376,16;13,16;13,16;13,Probable ATP-dependent RNA helicase DDX58,DDX58,sp|O95786|DDX58_HUMAN Antiviral innate immune response receptor RIG-I OS=Homo sapiens OX=9606 GN=DDX58 PE=1 SV=2;tr|A2A376|A2A376_HUMAN Antiviral innate immune response receptor RIG-I OS=Homo sapiens OX=9606 GN=DDX58 PE=1 SV=1,16,16,19.1,4.18694249382544,4.30484830045098,27.7716540848931,27.5904940808165
O60443;C9JSR4;H7C147;H7BZJ0,O60443;C9JSR4,16;13;5;4,16;13;5;4,16;13;5;4,Non-syndromic hearing impairment protein 5,DFNA5,sp|O60443|GSDME_HUMAN Gasdermin-E OS=Homo sapiens OX=9606 GN=GSDME PE=1 SV=2;tr|C9JSR4|C9JSR4_HUMAN Gasdermin-E OS=Homo sapiens OX=9606 GN=GSDME PE=1 SV=2,16,16,36.9,22.3288786859002,25.112671120078,29.3377948375936,28.8603534003307
Q92620;H3BQT9;H3BV01;J3KRT1;J3KTG2;H3BMS7,Q92620,16;4;3;3;2;1,16;4;3;3;2;1,16;4;3;3;2;1,Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16,DHX38,sp|Q92620|PRP16_HUMAN Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16 OS=Homo sapiens OX=9606 GN=DHX38 PE=1 SV=2,16,16,19.1,24.8776443608393,26.3205674146221,27.0874999080937,27.0825343528807
O43432;A0A0A0MSA7;A0A0U1RQK7;B1AN91;B1AN92,O43432;A0A0A0MSA7;A0A0U1RQK7,21;21;21;1;1,16;16;16;1;1,16;16;16;1;1,Eukaryotic translation initiation factor 4 gamma 3,EIF4G3,sp|O43432|IF4G3_HUMAN Eukaryotic translation initiation factor 4 gamma 3 OS=Homo sapiens OX=9606 GN=EIF4G3 PE=1 SV=2;tr|A0A0A0MSA7|A0A0A0MSA7_HUMAN Eukaryotic translation initiation factor 4 gamma 3 OS=Homo sapiens OX=9606 GN=EIF4G3 PE=1 SV=1;tr|A0A0U1RQK7,21,16,16.5,4.18694249382544,4.30484830045098,27.5836964970624,27.7293597698031
Q96EB1;A0A1W2PQZ6;A0A1W2PRF5;A0A1W2PR08;A0A1X7SBS0;A0A1W2PPP6;A0A1W2PRF0;A0A1W2PNY5;G5E9D4;A0A1W2PRJ0;A0A1W2PS93;A0A1W2PP47;A0A1W2PQA7;A0A1W2PNW2;E9PPJ9;A0A1W2PQ05;A0A1W2PPR3;A0A1W2PQW5;A0A1W2PP49;A0A1W2PS44;A0A1W2PNY4,Q96EB1;A0A1W2PQZ6;A0A1W2PRF5;A0A1W2PR08;A0A1X7SBS0;A0A1W2PPP6;A0A1W2PRF0;A0A1W2PNY5;G5E9D4;A0A1W2PRJ0;A0A1W2PS93;A0A1W2PP47;A0A1W2PQA7,16;15;15;15;15;15;15;15;15;14;14;11;9;7;5;3;3;1;1;1;1,16;15;15;15;15;15;15;15;15;14;14;11;9;7;5;3;3;1;1;1;1,16;15;15;15;15;15;15;15;15;14;14;11;9;7;5;3;3;1;1;1;1,Elongator complex protein 4,ELP4,sp|Q96EB1|ELP4_HUMAN Elongator complex protein 4 OS=Homo sapiens OX=9606 GN=ELP4 PE=1 SV=2;tr|A0A1W2PQZ6|A0A1W2PQZ6_HUMAN Elongator complex protein 4 OS=Homo sapiens OX=9606 GN=ELP4 PE=1 SV=1;tr|A0A1W2PRF5|A0A1W2PRF5_HUMAN Elongator complex protein 4 OS=Ho,16,16,50.0,25.8757476643599,25.6070457999336,29.5321505478251,29.7420438069669
Q9HC35;B5MBZ0,Q9HC35;B5MBZ0,16;16,16;16,16;16,Echinoderm microtubule-associated protein-like 4,EML4,sp|Q9HC35|EMAL4_HUMAN Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens OX=9606 GN=EML4 PE=1 SV=3;tr|B5MBZ0|B5MBZ0_HUMAN Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens OX=9606 GN=EML4 PE=1 SV=3,16,16,20.4,4.18694249382544,4.30484830045098,27.7253994407183,27.6010205949816
P06733;A0A2R8Y6G6;K7EM90;A0A2R8YEM5;A0A2R8Y879;K7ERS8;P09104;A0A2R8YEG5;F5H0C8;P13929;A0A2R8Y798;K7EKN2;E5RGZ4;A0A2R8Y6I8;K7EPM1;E5RI09;F5H1C3;E5RG95,P06733;A0A2R8Y6G6;K7EM90,16;14;9;7;6;3;2;2;2;2;2;1;1;1;1;1;1;1,16;14;9;7;6;3;2;2;2;2;2;1;1;1;1;1;1;1,16;14;9;7;6;3;2;2;2;2;2;1;1;1;1;1;1;1,Alpha-enolase;Enolase,ENO1,sp|P06733|ENOA_HUMAN Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2;tr|A0A2R8Y6G6|A0A2R8Y6G6_HUMAN Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=1;tr|K7EM90|K7EM90_HUMAN Alpha-enolase (Fragment) OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=1,16,16,51.4,24.2848918604871,25.9980237703004,29.4038532444199,29.4854857975875
Q2NKX8;B5MDQ0,Q2NKX8;B5MDQ0,16;15,16;15,16;15,DNA excision repair protein ERCC-6-like,ERCC6L,sp|Q2NKX8|ERC6L_HUMAN DNA excision repair protein ERCC-6-like OS=Homo sapiens OX=9606 GN=ERCC6L PE=1 SV=1;tr|B5MDQ0|B5MDQ0_HUMAN DNA excision repair protein ERCC-6-like OS=Homo sapiens OX=9606 GN=ERCC6L PE=1 SV=1,16,16,17.9,4.18694249382544,4.30484830045098,27.5097525374143,27.8820953059953
Q9NZB2;A0A0C4DG79;A0A494C0Y9;A0A0C4DH52;Q5T035,Q9NZB2;A0A0C4DG79,16;9;5;4;1,16;9;5;4;1,16;9;5;4;1,Constitutive coactivator of PPAR-gamma-like protein 1,FAM120A,sp|Q9NZB2|F120A_HUMAN Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens OX=9606 GN=FAM120A PE=1 SV=2;tr|A0A0C4DG79|A0A0C4DG79_HUMAN Constitutive coactivator of PPAR-gamma-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=FAM120A PE=1,16,16,20.0,23.4969803664734,24.605011925009,27.4091649534698,27.340110611621
P11413;E7EUI8;E7EM57;E9PD92,P11413;E7EUI8;E7EM57;E9PD92,16;11;10;9,16;11;10;9,16;11;10;9,Glucose-6-phosphate 1-dehydrogenase,G6PD,sp|P11413|G6PD_HUMAN Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=4;tr|E7EUI8|E7EUI8_HUMAN Glucose-6-phosphate 1-dehydrogenase (Fragment) OS=Homo sapiens OX=9606 GN=G6PD PE=1 SV=8;tr|E7EM57|E7EM57_HUMAN Glucose-6-phosphate 1-,16,16,36.7,23.7334514959022,25.4638231809381,27.9150182600643,28.0239028805104
Q6ZU35;F5H1N7;R4GNI9,Q6ZU35;F5H1N7,19;19;1,19;19;1,16;16;1,Uncharacterized protein KIAA1211,KIAA1211,sp|Q6ZU35|CRACD_HUMAN Capping protein inhibiting regulator of actin dynamics OS=Homo sapiens OX=9606 GN=CRACD PE=1 SV=3;tr|F5H1N7|F5H1N7_HUMAN Capping protein-inhibiting regulator of actin dynamics OS=Homo sapiens OX=9606 GN=CRACD PE=1 SV=1,19,16,21.3,4.18694249382544,4.30484830045098,28.3704435719581,27.7404684085819
Q9ULH0;E9PH70;A0A1W2PPB7;H0Y8E4,Q9ULH0;E9PH70;A0A1W2PPB7;H0Y8E4,16;10;10;9,16;10;10;9,16;10;10;9,Kinase D-interacting substrate of 220 kDa,KIDINS220,sp|Q9ULH0|KDIS_HUMAN Kinase D-interacting substrate of 220 kDa OS=Homo sapiens OX=9606 GN=KIDINS220 PE=1 SV=3;tr|E9PH70|E9PH70_HUMAN Kinase D-interacting substrate of 220 kDa (Fragment) OS=Homo sapiens OX=9606 GN=KIDINS220 PE=1 SV=1;tr|A0A1W2PPB7|A0A1W2PPB,16,16,12.9,4.18694249382544,4.30484830045098,27.1196133657459,26.9364070004675
P43243;A8MXP9;A0A0R4J2E8;D6REM6;D6R991;B3KM87;H0Y8T4;Q68E03;D6RE02;D6RBI2;D6R8Z5;D6RBK5;D6RAY2;D6RAM9;D6REK4;D6RCM3;D6RBS2;D6R9F3;A0A1B0GX04;D6RB45,P43243;A8MXP9;A0A0R4J2E8;D6REM6;D6R991,19;19;19;17;13;9;8;3;3;3;2;2;2;2;1;1;1;1;1;1,19;19;19;17;13;9;8;3;3;3;2;2;2;2;1;1;1;1;1;1,16;16;16;14;10;6;5;3;0;0;2;1;0;0;1;1;1;1;1;1,Matrin-3,MATR3,sp|P43243|MATR3_HUMAN Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2;tr|A8MXP9|A8MXP9_HUMAN Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=1;tr|A0A0R4J2E8|A0A0R4J2E8_HUMAN Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=1;tr|D6REM6|D6REM6_HUMAN M,19,16,28.9,26.2320767172383,27.6412038444608,28.8725574686701,29.1130687210288
P11586;V9GYY3;A0A384N5Y3;F5H2F4;V9GZ78;A0A494C1T2,P11586;V9GYY3;A0A384N5Y3;F5H2F4;V9GZ78;A0A494C1T2,16;16;16;16;13;12,16;16;16;16;13;12,16;16;16;16;13;12,"C-1-tetrahydrofolate synthase, cytoplasmic;Methylenetetrahydrofolate dehydrogenase;Methenyltetrahydrofolate cyclohydrolase;Formyltetrahydrofolate synthetase;C-1-tetrahydrofolate synthase, cytoplasmic, N-terminally processed",MTHFD1,"sp|P11586|C1TC_HUMAN C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=3;tr|V9GYY3|V9GYY3_HUMAN C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=2;tr|A0A384N5Y3|A0A384N5Y3_HUMAN C-1-tet",16,16,23.2,23.6048988478415,25.0637340948023,28.4055583659521,27.8243845690571
O43795;E9PDF6;H7C2Y7;E7EQD9;C9JYW1;C9JUP5;A0A0U1RRI3;C9K0I9;G3V342,O43795;E9PDF6,18;18;6;4;3;2;2;1;1,18;18;6;4;3;2;2;1;1,16;16;6;3;2;2;2;1;0,Unconventional myosin-Ib,MYO1B,sp|O43795|MYO1B_HUMAN Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=3;tr|E9PDF6|E9PDF6_HUMAN Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=1,18,16,20.0,21.5856374320533,22.2020078076701,27.7260494204738,27.2512406902712
O00567;A0A494C128;H0Y653;H0YDU4;Q5JXT2,O00567;A0A494C128;H0Y653;H0YDU4,16;15;8;8;7,16;15;8;8;7,16;15;8;8;7,Nucleolar protein 56,NOP56,sp|O00567|NOP56_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4;tr|A0A494C128|A0A494C128_HUMAN Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=1;tr|H0Y653|H0Y653_HUMAN Nucleolar protein 56 (Fragment) OS=Homo sapiens OX=9,16,16,32.8,26.1884094043266,27.6875243388751,26.8407416256092,25.5657842715497
Q8WUM0,Q8WUM0,16,16,16,Nuclear pore complex protein Nup133,NUP133,sp|Q8WUM0|NU133_HUMAN Nuclear pore complex protein Nup133 OS=Homo sapiens OX=9606 GN=NUP133 PE=1 SV=2,16,16,16.3,23.2877123795495,24.18063460318,27.5360847344707,26.9212752763184
P27694;I3L4R8;I3L524;I3L2M5,P27694;I3L4R8,16;8;1;1,16;8;1;1,16;8;1;1,"Replication protein A 70 kDa DNA-binding subunit;Replication protein A 70 kDa DNA-binding subunit, N-terminally processed",RPA1,sp|P27694|RFA1_HUMAN Replication protein A 70 kDa DNA-binding subunit OS=Homo sapiens OX=9606 GN=RPA1 PE=1 SV=2;tr|I3L4R8|I3L4R8_HUMAN Replication protein A 70 kDa DNA-binding subunit (Fragment) OS=Homo sapiens OX=9606 GN=RPA1 PE=1 SV=1,16,16,32.3,26.0553175247077,26.6010205949816,28.8183930367332,28.1309464565535
Q5K651;C9JKF1,Q5K651;C9JKF1,17;13,17;13,16;12,Sterile alpha motif domain-containing protein 9,SAMD9,sp|Q5K651|SAMD9_HUMAN Sterile alpha motif domain-containing protein 9 OS=Homo sapiens OX=9606 GN=SAMD9 PE=1 SV=1;tr|C9JKF1|C9JKF1_HUMAN Sterile alpha motif domain-containing protein 9 (Fragment) OS=Homo sapiens OX=9606 GN=SAMD9 PE=1 SV=1,17,16,12.7,4.18694249382544,4.30484830045098,27.556985191395,27.063322660309
Q8WVM7;Q68DW7;H7C595;C9JJQ0,Q8WVM7;Q68DW7,20;17;1;1,20;17;1;1,16;14;1;1,Cohesin subunit SA-1,STAG1;DKFZp781D1416,sp|Q8WVM7|STAG1_HUMAN Cohesin subunit SA-1 OS=Homo sapiens OX=9606 GN=STAG1 PE=1 SV=3;tr|Q68DW7|Q68DW7_HUMAN Cohesin subunit SA-1 OS=Homo sapiens OX=9606 GN=STAG1 PE=1 SV=1,20,16,18.4,26.4700601736278,27.3068687051336,28.0322834645685,27.4861574210018
Q9Y3F4;H0YH33,Q9Y3F4,16;5,16;5,16;5,Serine-threonine kinase receptor-associated protein,STRAP,sp|Q9Y3F4|STRAP_HUMAN Serine-threonine kinase receptor-associated protein OS=Homo sapiens OX=9606 GN=STRAP PE=1 SV=1,16,16,57.1,26.8334008751097,27.5472349858117,30.3611845335259,30.3109469363954
Q9C0D5,Q9C0D5,16,16,16,Protein TANC1,TANC1,sp|Q9C0D5|TANC1_HUMAN Protein TANC1 OS=Homo sapiens OX=9606 GN=TANC1 PE=1 SV=3,16,16,10.7,4.18694249382544,4.30484830045098,26.8359322369037,27.2921962155171
Q32P41;G3V494;G3V5X1,Q32P41,16;1;1,16;1;1,16;1;1,tRNA (guanine(37)-N1)-methyltransferase,TRMT5,sp|Q32P41|TRM5_HUMAN tRNA (guanine(37)-N1)-methyltransferase OS=Homo sapiens OX=9606 GN=TRMT5 PE=1 SV=2,16,16,40.1,25.9425050196958,26.9303282202345,27.8826784015658,27.8219544593472
P12814;H9KV75;H7C5W8;G3V2W4;G3V2N5;P35609;H0YJW3;A0A494C1A0;H0YJ11;G3V2X9;F6THM6;G3V5M4;A0A494C060;G3V380,P12814;H9KV75,29;27;11;10;9;7;7;7;6;4;4;3;3;1,29;27;11;10;9;7;7;7;6;4;4;3;3;1,17;16;7;5;5;1;4;1;3;1;1;1;0;1,Alpha-actinin-1,ACTN1,sp|P12814|ACTN1_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2;tr|H9KV75|H9KV75_HUMAN Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=1,29,17,40.7,27.2220482675755,27.5305143330451,29.3454926223626,29.0207012120263
P38606;C9JA17;C9JVW8,P38606,17;4;4,17;4;4,17;4;4,V-type proton ATPase catalytic subunit A,ATP6V1A,sp|P38606|VATA_HUMAN V-type proton ATPase catalytic subunit A OS=Homo sapiens OX=9606 GN=ATP6V1A PE=1 SV=2,17,17,33.9,24.6913103123994,25.1508145478434,29.0162175345038,28.9345241916309
A0A075B6Q3;Q5H9F3;H7C4B2;Q6W2J9;H7BZ37;H7C2V9;H7C231,A0A075B6Q3;Q5H9F3,17;16;8;1;1;1;1,17;16;8;1;1;1;1,17;16;8;1;1;1;1,BCL-6 corepressor-like protein 1,BCORL1,tr|A0A075B6Q3|A0A075B6Q3_HUMAN BCL-6 corepressor-like protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=BCORL1 PE=1 SV=1;sp|Q5H9F3|BCORL_HUMAN BCL-6 corepressor-like protein 1 OS=Homo sapiens OX=9606 GN=BCORL1 PE=1 SV=1,17,17,16.0,26.8892510554893,27.410702102404,4.42893354222385,4.39608992622293
P53618;E9PP73;E9PP63;E9PKQ1,P53618;E9PP73,17;10;2;2,17;10;2;2,17;10;2;2,Coatomer subunit beta,COPB1,sp|P53618|COPB_HUMAN Coatomer subunit beta OS=Homo sapiens OX=9606 GN=COPB1 PE=1 SV=3;tr|E9PP73|E9PP73_HUMAN Coatomer subunit beta (Fragment) OS=Homo sapiens OX=9606 GN=COPB1 PE=1 SV=8,17,17,25.0,22.2360212012456,24.2757398883722,28.7692595697527,28.6057961539297
P46109,P46109,17,17,17,Crk-like protein,CRKL,sp|P46109|CRKL_HUMAN Crk-like protein OS=Homo sapiens OX=9606 GN=CRKL PE=1 SV=1,17,17,59.7,27.139071028583,28.8159833335834,30.9256390970654,30.9106364408047
O60716;C9JZR2;A0A669KB05;A0A669KB62;H0YC95;E9PKL1,O60716;C9JZR2;A0A669KB05;A0A669KB62,17;17;16;15;3;2,17;17;16;15;3;2,17;17;16;15;3;2,Catenin delta-1,CTNND1,sp|O60716|CTND1_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1;tr|C9JZR2|C9JZR2_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=2;tr|A0A669KB05|A0A669KB05_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=4 SV=1;,17,17,27.4,22.54362055282,24.1712721048127,28.2818447984008,27.7244889768144
Q96AC1;H0YJ34;A0A0U1RRM8;H0YJB6;G3V281;G3V5R2;G3V3J0;Q9BQL6;G3V379;G3V1L6,Q96AC1;H0YJ34;A0A0U1RRM8,17;15;13;4;4;3;2;1;1;1,17;15;13;4;4;3;2;1;1;1,17;15;13;4;4;3;2;1;1;1,Fermitin family homolog 2,FERMT2,sp|Q96AC1|FERM2_HUMAN Fermitin family homolog 2 OS=Homo sapiens OX=9606 GN=FERMT2 PE=1 SV=1;tr|H0YJ34|H0YJ34_HUMAN Fermitin family homolog 2 (Fragment) OS=Homo sapiens OX=9606 GN=FERMT2 PE=1 SV=1;tr|A0A0U1RRM8|A0A0U1RRM8_HUMAN Fermitin family homolog 2 (Fr,17,17,28.8,22.3927041844828,24.5010755047327,28.9337928871026,28.6188392620373
