Gene_names,DCAF17_vs_zBirA_logFC,DCAF17_vs_zBirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_DCAF17_N1,Peptides_DCAF17_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_DCAF17_N1,Razor___unique_peptides_DCAF17_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_DCAF17_N1,Unique_peptides_DCAF17_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_DCAF17_N1,Identification_type_DCAF17_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_DCAF17_N1,Ratio_H_L_DCAF17_N2,X,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_DCAF17_N1,Ratio_H_L_normalized_DCAF17_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____DCAF17_N1,Ratio_H_L_variability_____DCAF17_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_DCAF17_N1,Ratio_H_L_count_DCAF17_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_DCAF17_N1,Ratio_H_L_iso_count_DCAF17_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_DCAF17_N1,Ratio_H_L_type_DCAF17_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_DCAF17_N1____,Sequence_coverage_DCAF17_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_DCAF17_N1,Intensity_L_DCAF17_N1,Intensity_H_DCAF17_N1,Intensity_DCAF17_N2,Intensity_L_DCAF17_N2,Intensity_H_DCAF17_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DCAF17_N1,metacell_Intensity_L_DCAF17_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
PABPC1;PABPC3,1.54680710453102,0.00628009612444056,P11940;A0A087WTT1;E7ERJ7;E7EQV3;H0YAR2;Q9H361;H0YBN4;H0YB86;E5RJB9;H0YAP2;E5RGH3;E5RH24;H0YEQ8;H0YAS6;H0YB75;H0YAS7;E5RHG7;Q4VXU2;Q5JQF8;H0YC10;E5RGC4;E5RFD8,P11940;A0A087WTT1;E7ERJ7;E7EQV3;H0YAR2;Q9H361,28;28;27;27;16;14;9;8;7;7;7;6;4;4;4;3;3;3;2;2;1;1,28;28;27;27;16;14;9;8;7;7;7;6;4;4;4;3;3;3;2;2;1;1,16;16;16;15;11;10;3;5;1;7;1;1;0;3;3;2;1;2;1;2;1;1,Polyadenylate-binding protein 1;Polyadenylate-binding protein;Polyadenylate-binding protein 3,sp|P11940|PABP1_HUMAN Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2;tr|A0A087WTT1|A0A087WTT1_HUMAN Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=1;tr|E7ERJ7|E7ERJ7_HUMAN Polyadenylate-binding protein ,22,28,28,16,14,10,19,24,14,10,19,24,8,4,11,14,45.8,45.8,25.6,70.67,636,636;522;604;591;284;631;174;165;129;131;108;118;112;169;183;136;75;614;200;42;43;61,0.0,102.73,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29195,0.87506,21.98,76,31,Leave out requantified,0.28599,0.30003,0.21013,0.33227,,1.0101,0.83688,0.76306,0.90817,27.65,10.223,31.385,18.369,14,11,23,28,6,2,13,10,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.7,16.0,31.4,43.9,10580000000,8001000000,2578700000,698640000,513790000,184850000,646390000,482670000,163720000,3812100000,3044000000,768090000,5422600000,3960600000,1462000000,,,,18,912;1071;1195;1514;2273;3479;4979;5454;5461;5462;6593;7976;8379;8415;8452;8453;8745;9831;13108;13330;13997;14867;15607;15608;15638;15737;15738;20573,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,965;1143;1273;1274;1622;2444;3719;5309;5310;5835;5844;5845;5846;7097;8609;9032;9068;9108;9109;9417;10606;14078;14306;15000;15907;16692;16693;16724;16828;16829;21972,2644;3122;3123;3501;3502;3503;3504;3505;3506;3507;4532;4533;6860;6861;6862;10093;10094;10095;14002;14003;14004;14005;14006;15375;15376;15404;15405;15406;15407;15408;18839;18840;23095;23096;23097;23098;24263;24351;24352;24459;24460;24461;24462;24463;24464;24465;24466;25244;25245;28581;37737;37738;38346;38347;38348;40169;40170;42502;42503;42504;42505;44633;44634;44635;44636;44736;44989;44990;44991;44992;44993;44994;44995;44996;44997;59063;59064;59065;59066,4841;5738;5739;5740;5741;6446;6447;6448;6449;6450;6451;6452;8515;8516;8517;8518;12929;12930;12931;12932;18850;18851;18852;25849;25850;25851;25852;25853;25854;25855;25856;25857;25858;25859;25860;25861;25862;25863;25864;25865;25866;25867;25868;28512;28513;28514;28515;28575;28576;28577;28578;28579;28580;28581;28582;28583;28584;34858;34859;34860;34861;43046;43047;43048;43049;43050;43051;43052;45104;45105;45290;45291;45292;45489;45490;45491;45492;45493;45494;45495;45496;45497;45498;45499;45500;45501;45502;45503;47078;47079;52965;52966;52967;69537;69538;69539;69540;70686;70687;70688;70689;70690;70691;74136;74137;74138;78038;78039;78040;78041;78042;78043;81950;81951;81952;81953;82115;82116;82574;82575;82576;82577;82578;82579;82580;82581;82582;82583;82584;82585;82586;82587;82588;82589;82590;109487;109488;109489;109490;109491;109492;109493;109494;109495;109496;109497;109498;109499,4841;5738;6450;8518;12932;18851;25863;28513;28575;28583;34861;43050;45104;45290;45489;45502;47079;52966;69540;70690;74137;78042;81952;81953;82115;82585;82588;109488,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_19,quanti,quanti,quanti,quanti
PYCR2,0.803238453181976,0.215317807812027,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9;A0A087WX69;A0A087WZF0,Q96C36;A0A087WTV6;J3KR12,7;7;6;2;1;1,6;6;5;1;1;1,6;6;5;1;1;1,Pyrroline-5-carboxylate reductase 2,sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|A0A087WTV6|A0A087WTV6_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|J3KR12|J3KR12_HUMAN Uncharacterized protei,6,7,6,6,3,3,4,6,2,2,3,5,2,2,3,5,26.2,22.2,22.2,33.637,320,320;246;359;319;87;157,0.0,6.6888,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.53886,1.4152,14.913,13,1,Leave out requantified,0.58045,0.60487,0.45144,0.57113,,1.4289,1.547,1.2785,1.3801,7.9277,29.18,15.504,11.784,2,3,3,5,0,0,0,1,Median,Plateau,Leave out requantified,Leave out requantified,11.2,14.7,20.0,24.1,562280000,359130000,203150000,31401000,19066000,12335000,85733000,58520000,27212000,172940000,119130000,53814000,272210000,162420000,109790000,,,,19,5521;7525;7526;12407;15777;16491;18717,True;True;True;True;False;True;True,5914;8113;8114;13334;16871;17618;20000,15631;15632;21654;21655;21656;35803;45128;45129;45130;45131;45132;45133;47118;47119;47120;47121;53743;53744;53745;53746,29043;29044;40302;40303;40304;66018;82822;82823;82824;82825;82826;82827;82828;82829;82830;82831;82832;82833;82834;82835;82836;82837;86472;86473;86474;86475;86476;86477;86478;86479;86480;86481;86482;86483;86484;86485;86486;86487;86488;86489;86490;86491;86492;86493;86494;86495;99626;99627;99628;99629;99630;99631;99632;99633;99634,29043;40302;40304;66018;82837;86475;99634,,,,,-1;-1;-1;-1;-1;-1,protein_20,quanti,quanti,quanti,quanti
HNRNPDL,1.76135680965595,0.00663021636801269,A0A087WU03,A0A087WU03,2,2,2,,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,40.4,40.4,40.4,6.7215,57,57,0.00048852,1.7926,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31015,0.76315,31.602,9,0,Leave out requantified,0.33858,0.32527,0.23006,0.31912,,1.0106,0.70866,0.80723,0.88987,,46.15,15.509,23.047,1,2,3,3,0,0,0,0,Median,Median,Plateau,Median,40.4,40.4,40.4,40.4,617370000,471580000,145800000,27175000,19945000,7229600,44137000,31308000,12829000,338500000,267560000,70940000,207560000,152760000,54798000,,,,23,12238;12239,True;True,13155;13156,35340;35341;35342;35343;35344;35345;35346;35347;35348,65159;65160;65161;65162;65163;65164;65165;65166;65167;65168;65169;65170;65171;65172;65173,65163;65169,,,,,-1,protein_24,quanti,quanti,quanti,quanti
MINOS1;MINOS1-NBL1,-20.1241870579357,1.31280572568749e-07,Q5TGZ0;A0A087WU07;A0A3B3IRY5;R4GMY4;R4GNA1,Q5TGZ0;A0A087WU07;A0A3B3IRY5;R4GMY4;R4GNA1,2;2;1;1;1,2;2;1;1;1,2;2;1;1;1,MICOS complex subunit MIC10,sp|Q5TGZ0|MIC10_HUMAN MICOS complex subunit MIC10 OS=Homo sapiens OX=9606 GN=MICOS10 PE=1 SV=1;tr|A0A087WU07|A0A087WU07_HUMAN MICOS complex subunit MIC10 OS=Homo sapiens OX=9606 GN=MICOS10 PE=1 SV=1;tr|A0A3B3IRY5|A0A3B3IRY5_HUMAN MICOS complex subunit MIC1,5,2,2,2,2,1,0,0,2,1,0,0,2,1,0,0,59.0,59.0,59.0,8.8081,78,78;62;39;70;71,0.00050942,2.0651,By MS/MS,By MS/MS,,,0.43947,1.1147,6.7279,2,1,Median,0.4253,0.45411,,,,1.0629,1.169,,,,,,,1,1,0,0,1,0,0,0,Median,Median,Median,Median,59.0,14.1,0.0,0.0,51101000,35019000,16082000,16839000,12962000,3876800,34262000,22057000,12205000,0,0,0,0,0,0,,,,24,12936;15208,True;True,13900;16263,37277;43430;43431,68666;79671;79672,68666;79672,,,,,-1;-1;-1;-1;-1,protein_25,imputed MEC,imputed MEC,quanti,quanti
MRPL45,1.20104157211928,0.0268481056387441,Q9BRJ2;A0A0G2JMS5;A0A087WU62;A0A087X2D5,Q9BRJ2;A0A0G2JMS5;A0A087WU62;A0A087X2D5,3;3;3;3,3;3;3;3,3;3;3;3,"39S ribosomal protein L45, mitochondrial","sp|Q9BRJ2|RM45_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=2;tr|A0A0G2JMS5|A0A0G2JMS5_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=1;tr|A0A087WU62|A0A087WU62_HUMAN 39S",4,3,3,3,1,2,3,3,1,2,3,3,1,2,3,3,14.1,14.1,14.1,35.351,306,306;256;256;306,0.0022946,1.4382,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.26744,0.91605,82.086,9,1,Leave out requantified,0.15657,0.426,0.26744,1.8052,,0.45017,1.07,0.91605,0.65172,,50.732,52.581,123.03,1,2,3,3,0,0,0,1,Median,Median,Leave out requantified,Plateau,4.6,11.1,14.1,14.1,573130000,391440000,181690000,25014000,20747000,4267700,67262000,42186000,25076000,272090000,189420000,82670000,208760000,139090000,69675000,,,,26,5046;8533;10928,True;True;True,5379;9194;11774,14179;14180;24688;24689;24690;24691;31763;31764;31765,26200;26201;45956;45957;45958;45959;45960;45961;45962;45963;45964;58784;58785;58786;58787,26201;45959;58784,,,,,-1;-1;-1;-1,protein_27,quanti,quanti,quanti,quanti
CTNNBL1,0.714634735098659,0.366548973427126,Q8WYA6;A0A087WUB9;A2A2P1,Q8WYA6;A0A087WUB9,7;7;1,7;7;1,7;7;1,Beta-catenin-like protein 1,sp|Q8WYA6|CTBL1_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1;tr|A0A087WUB9|A0A087WUB9_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1,3,7,7,7,2,3,5,4,2,3,5,4,2,3,5,4,21.1,21.1,21.1,65.173,563,563;568;166,0.0,4.7761,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43287,0.98101,27.797,14,1,Leave out requantified,0.45748,0.60101,0.4257,0.48506,,1.2541,1.6711,0.97831,0.98673,40.276,31.288,19.207,15.694,2,3,5,4,0,1,0,0,Median,Plateau,Leave out requantified,Leave out requantified,6.0,8.7,13.0,8.7,647390000,450180000,197210000,48875000,30647000,18228000,80151000,50739000,29412000,124460000,83636000,40822000,393910000,285160000,108750000,,,,28,4684;5077;9613;10753;12215;17067;18190,True;True;True;True;True;True;True,5001;5412;10373;11591;13132;18226;19414,13216;13217;14267;14268;28021;31305;31306;35291;35292;48879;48880;48881;48882;52081,24483;26367;26368;51951;58054;65077;65078;65079;65080;65081;65082;90057;90058;90059;90060;90061;96469,24483;26367;51951;58054;65082;90060;96469,,,,,-1;-1;-1,protein_29,quanti,quanti,quanti,quanti
SPCS2,-0.032691445894578,0.979494229532041,Q15005;E9PRB9;E9PL01;A0A087WUC6;E9PI68,Q15005;E9PRB9;E9PL01;A0A087WUC6;E9PI68,2;2;2;2;2,2;2;2;2;2,2;2;2;2;2,Signal peptidase complex subunit 2,sp|Q15005|SPCS2_HUMAN Signal peptidase complex subunit 2 OS=Homo sapiens OX=9606 GN=SPCS2 PE=1 SV=3;tr|E9PRB9|E9PRB9_HUMAN Signal peptidase complex subunit 2 OS=Homo sapiens OX=9606 GN=SPCS2 PE=1 SV=1;tr|E9PL01|E9PL01_HUMAN Signal peptidase complex subunit,5,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,12.4,12.4,12.4,25.003,226,226;87;157;227;257,0.0,7.3435,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.46383,1.3036,7.5963,5,1,Leave out requantified,0.39914,0.50121,0.44282,0.63128,,1.1148,1.2354,1.3415,1.3452,,,3.547,,1,1,2,1,0,0,0,1,Median,Median,Median,Median,8.4,8.4,12.4,4.0,247910000,173590000,74313000,21786000,15680000,6106200,27558000,17259000,10299000,178630000,129260000,49368000,19934000,11395000,8539600,,,,29,4354;10117,True;True,4657;10903,12345;12346;12347;29385;29386,22903;22904;22905;22906;22907;54458;54459,22903;54458,,,,,-1;-1;-1;-1;-1,protein_30,quanti,quanti,quanti,quanti
HNRNPDL,0.902870623742746,0.0146533622783845,O14979;A0A087WUK2,O14979;A0A087WUK2,11;11,9;9,9;9,Heterogeneous nuclear ribonucleoprotein D-like,sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3;tr|A0A087WUK2|A0A087WUK2_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,2,11,9,9,5,5,10,11,3,3,8,9,3,3,8,9,28.8,26.4,26.4,46.437,420,420;363,0.0,46.836,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.27061,0.70958,21.494,34,12,Leave out requantified,0.26747,0.35794,0.20558,0.29009,,0.99733,0.99823,0.62331,0.76374,24.301,31.894,33.547,19.272,4,4,12,14,1,3,5,3,Median,Median,Leave out requantified,Leave out requantified,12.1,12.1,28.8,28.8,6933700000,5482900000,1450800000,613900000,479620000,134290000,719970000,522960000,197010000,2910900000,2396000000,514980000,2688900000,2084300000,604540000,,,,32,2639;2640;3034;4424;5417;5459;12330;13596;14650;16179;18357,True;True;True;True;True;False;True;True;True;False;True,2822;2823;3246;4727;5792;5793;5841;5842;13253;14578;15683;17289;19600,7848;7849;7850;7851;7852;7853;8926;8927;8928;8929;12521;12522;12523;12524;12525;12526;15242;15243;15244;15245;15391;15392;15393;15394;15395;15396;15397;15398;15399;15400;35597;39081;39082;39083;41904;41905;41906;41907;41908;41909;46217;46218;46219;46220;46221;46222;46223;52579;52580;52581;52582,14684;14685;14686;14687;14688;14689;14690;14691;16734;16735;16736;16737;16738;16739;23219;23220;23221;23222;23223;23224;23225;23226;23227;23228;23229;23230;23231;23232;23233;23234;23235;28298;28299;28300;28301;28302;28303;28554;28555;28556;28557;28558;28559;28560;28561;28562;28563;28564;28565;28566;28567;28568;28569;28570;28571;65619;72102;72103;72104;77063;77064;77065;77066;77067;77068;77069;77070;77071;77072;77073;77074;77075;84831;84832;84833;84834;84835;84836;84837;84838;84839;84840;84841;84842;97440;97441,14688;14690;16739;23228;28298;28566;65619;72102;77067;84842;97441,,,,,-1;-1,protein_33,quanti,quanti,quanti,quanti
MYEF2,19.1051043080094,3.78779557666964e-05,Q9P2K5;A0A0C4DGV1;A0A087WUT0;A0A0A0MQW0;A0A0A0MR39;H0YKS1;H0YN19,Q9P2K5;A0A0C4DGV1;A0A087WUT0;A0A0A0MQW0;A0A0A0MR39;H0YKS1;H0YN19,2;2;2;2;2;1;1,2;2;2;2;2;1;1,2;2;2;2;2;1;1,Myelin expression factor 2,sp|Q9P2K5|MYEF2_HUMAN Myelin expression factor 2 OS=Homo sapiens OX=9606 GN=MYEF2 PE=1 SV=3;tr|A0A0C4DGV1|A0A0C4DGV1_HUMAN Myelin expression factor 2 OS=Homo sapiens OX=9606 GN=MYEF2 PE=1 SV=1;tr|A0A087WUT0|A0A087WUT0_HUMAN Myelin expression factor 2 OS=Ho,7,2,2,2,0,0,1,1,0,0,1,1,0,0,1,1,5.8,5.8,5.8,64.121,600,600;211;547;576;600;126;290,0.0022989,1.4454,,,By MS/MS,By MS/MS,0.31728,0.78571,0.92458,2,0,Median,,,0.23374,0.43066,,,,0.79087,0.78059,,,,,0,0,1,1,0,0,0,0,Median,Median,Median,Median,0.0,0.0,1.8,4.0,82929000,67067000,15862000,0,0,0,0,0,0,71336000,59679000,11656000,11594000,7387700,4206000,,,,34,7400;12394,True;True,7980;13321,21274;35772,39546;65969,39546;65969,,,,,-1;-1;-1;-1;-1;-1;-1,protein_35,quanti,quanti,imputed MEC,imputed MEC
EIF5B,-1.74596555096836,0.0212266994789692,O60841;A0A087WUT6,O60841;A0A087WUT6,7;7,7;7,7;7,Eukaryotic translation initiation factor 5B,sp|O60841|IF2P_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4;tr|A0A087WUT6|A0A087WUT6_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=1,2,7,7,7,5,5,1,3,5,5,1,3,5,5,1,3,10.3,10.3,10.3,138.83,1220,1220;1220,0.0,5.8453,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31699,0.86726,18.853,16,6,Leave out requantified,0.32523,0.31699,0.26472,0.52741,,1.0537,0.86726,0.94649,1.3137,15.504,16.107,,13.285,6,5,1,4,3,2,0,1,Median,Leave out requantified,Median,Median,7.8,7.5,2.5,5.8,806250000,559140000,247110000,213910000,158230000,55678000,230380000,158660000,71719000,100540000,76823000,23713000,261430000,165420000,96003000,,,,35,5965;6679;6947;8055;9394;10358;10739,True;True;True;True;True;True;True,6409;7192;7497;8688;10137;11168;11576,17043;19114;19115;20013;20014;20015;20016;20017;20018;23312;27270;30125;30126;30127;31246;31247,31675;35392;35393;35394;37242;37243;37244;37245;43414;50576;55871;55872;55873;57935;57936;57937,31675;35394;37244;43414;50576;55873;57935,,,,,-1;-1,protein_36,quanti,quanti,quanti,quanti
DDX50,21.1962050665545,9.10669553149833e-08,Q9BQ39;A0A087WVC1,Q9BQ39;A0A087WVC1,7;7,5;5,5;5,ATP-dependent RNA helicase DDX50,sp|Q9BQ39|DDX50_HUMAN ATP-dependent RNA helicase DDX50 OS=Homo sapiens OX=9606 GN=DDX50 PE=1 SV=1;tr|A0A087WVC1|A0A087WVC1_HUMAN ATP-dependent RNA helicase DDX50 OS=Homo sapiens OX=9606 GN=DDX50 PE=1 SV=1,2,7,5,5,1,1,6,7,0,0,4,5,0,0,4,5,11.0,7.3,7.3,82.564,737,737;730,0.0,5.1541,By matching,By matching,By MS/MS,By MS/MS,0.54542,1.3106,17.45,9,2,Leave out requantified,,,0.56019,0.54857,,,,1.2142,1.3167,,,21.139,17.308,0,0,4,5,0,0,1,1,Median,Median,Leave out requantified,Leave out requantified,1.6,1.6,9.5,11.0,298760000,180130000,118630000,0,0,0,0,0,0,130290000,79672000,50615000,168470000,100460000,68012000,,,,40,3486;6527;13170;16886;16934;18502;19048,False;True;False;True;True;True;True,3726;7023;14142;18032;18084;19754;20364,10107;10108;18634;18635;37893;37894;37895;37896;48310;48311;48453;53022;53023;54764;54765,18877;18878;18879;34497;34498;69832;69833;69834;69835;69836;69837;69838;88834;88835;88836;89120;98222;101661;101662,18879;34497;69835;88835;89120;98222;101662,,,,,-1;-1,protein_41,quanti,quanti,imputed MEC,imputed MEC
PDLIM2,19.1165280069446,9.23414206780385e-06,Q96JY6;C9JS55;A0A087WVI1;A0A087WU48;F8WFB8;A0A087WUQ1;E5RGS7;H0YBP7;B3KPU0;C9J760;C9J0X3;C9K0F0;C9JSR2;H7C1D1,Q96JY6;C9JS55;A0A087WVI1;A0A087WU48;F8WFB8;A0A087WUQ1;E5RGS7;H0YBP7;B3KPU0;C9J760;C9J0X3;C9K0F0;C9JSR2;H7C1D1,2;2;2;1;1;1;1;1;1;1;1;1;1;1,2;2;2;1;1;1;1;1;1;1;1;1;1;1,2;2;2;1;1;1;1;1;1;1;1;1;1;1,PDZ and LIM domain protein 2,sp|Q96JY6|PDLI2_HUMAN PDZ and LIM domain protein 2 OS=Homo sapiens OX=9606 GN=PDLIM2 PE=1 SV=1;tr|C9JS55|C9JS55_HUMAN PDZ and LIM domain protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=PDLIM2 PE=1 SV=1;tr|A0A087WVI1|A0A087WVI1_HUMAN PDZ and LIM domain prot,14,2,2,2,0,0,2,1,0,0,2,1,0,0,2,1,7.4,7.4,7.4,37.458,352,352;254;325;18;38;72;132;141;146;153;173;180;235;291,0.0,4.1234,,,By MS/MS,By MS/MS,0.50608,1.333,38.337,3,1,Plateau,,,0.50608,0.41047,,,,1.333,0.78859,,,33.201,,0,0,2,1,0,0,1,0,Median,Median,Median,Median,0.0,0.0,7.4,4.3,90753000,54349000,36404000,0,0,0,0,0,0,75747000,44218000,31528000,15006000,10130000,4875700,,,,42,1469;10749,True;True,1572;11587,4385;4386;31299,8139;8140;8141;8142;58049,8142;58049,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_43,quanti,quanti,imputed MEC,imputed MEC
MTHFD1L,4.16139142970941,8.0379287600328e-05,Q6UB35;A0A087WVM4;B7ZM99;Q5JYA8;Q5JYA3;H0Y327;Q4VXM0;Q4VXM1,Q6UB35;A0A087WVM4;B7ZM99,14;14;14;3;3;3;2;1,13;13;13;3;3;3;2;1,13;13;13;3;3;3;2;1,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial","sp|Q6UB35|C1TM_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1;tr|A0A087WVM4|A0A087WVM4_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 S",8,14,13,13,2,2,12,10,1,1,12,10,1,1,12,10,18.6,17.6,17.6,105.79,978,978;913;979;108;114;332;92;57,0.0,19.412,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.45903,1.331,28.03,24,6,Leave out requantified,0.4209,0.50587,0.45346,0.46341,,0.9629,1.0125,1.3854,1.1853,,,23.676,30.576,1,1,12,10,1,0,3,2,Median,Median,Leave out requantified,Leave out requantified,2.2,2.0,16.0,13.5,1269600000,851350000,418290000,12170000,8631800,3537900,15610000,10571000,5039600,730330000,498110000,232220000,511530000,334040000,177490000,,,,43,1908;2223;2735;2856;3473;4864;9632;9994;11853;17044;18518;18812;18945;20724,True;True;True;True;True;True;True;True;True;True;True;False;True;True,2045;2387;2926;3058;3713;5188;10396;10779;12749;18200;19770;20104;20252;22129,5726;5727;6700;8129;8130;8488;10077;10078;13679;13680;28079;28080;28081;29054;29055;34223;34224;48799;48800;48801;53064;54043;54044;54045;54046;54458;59508;59509,10718;12649;15277;15278;15279;15280;15971;15972;18827;18828;18829;25302;25303;52063;52064;52065;52066;52067;52068;53922;53923;63087;63088;63089;63090;89838;89839;89840;89841;89842;89843;89844;98313;100174;100175;100176;100177;100178;100179;100180;101045;101046;110327;110328,10718;12649;15278;15971;18828;25302;52066;53922;63088;89840;98313;100178;101045;110328,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_44,quanti,quanti,quanti,quanti
