Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity SMU1-N1,Intensity SMU1-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
P43243;A8MXP9;A0A0R4J2E8;D6REM6;D6R991;B3KM87;H0Y8T4;D6RIA2;D6RBI2;D6RE02;D6RBK5;D6RAY2;Q68E03;D6R8Z5;D6RAM9;D6REK4;D6RCM3,P43243;A8MXP9;A0A0R4J2E8;D6REM6;D6R991,19;19;19;17;14;8;8;3;3;3;2;2;2;2;2;1;1,19;19;19;17;14;8;8;3;3;3;2;2;2;2;2;1;1,19;19;19;17;14;8;8;3;3;3;2;2;2;2;2;1;1,Matrin-3,MATR3,sp|P43243|MATR3_HUMAN Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=2;tr|A8MXP9|A8MXP9_HUMAN Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=1;tr|A0A0R4J2E8|A0A0R4J2E8_HUMAN Matrin-3 OS=Homo sapiens OX=9606 GN=MATR3 PE=1 SV=1;tr|D6REM6|D6REM6_HUMAN M,19,19,33.3,25.6641905292222,22.8578691421567,29.1479991823985,29.2061796783341
O00159;F5H6E2;I3L3F5;I3L501;I3L3Y6,O00159;F5H6E2,19;19;1;1;1,19;19;1;1;1,19;19;1;1;1,Unconventional myosin-Ic,MYO1C,sp|O00159|MYO1C_HUMAN Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4;tr|F5H6E2|F5H6E2_HUMAN Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=1,19,19,20.0,27.9023072083147,23.4725877224577,4.45881916663448,4.39209895775669
Q8TD19;G3V459;G3V5V0;G3V2Z5,Q8TD19,19;4;1;1,19;4;1;1,19;4;1;1,Serine/threonine-protein kinase Nek9,NEK9,sp|Q8TD19|NEK9_HUMAN Serine/threonine-protein kinase Nek9 OS=Homo sapiens OX=9606 GN=NEK9 PE=1 SV=2,19,19,27.0,26.2782950344607,23.2851302856957,28.971282741641,28.8938573006598
P55786;E9PLK3;A6NEC2;H0YDG0;H0YCQ5;E9PP11;E9PJY4;E9PPD4,P55786;E9PLK3,19;19;5;4;2;2;1;1,19;19;5;4;2;2;1;1,19;19;5;4;2;2;1;1,Puromycin-sensitive aminopeptidase,NPEPPS,sp|P55786|PSA_HUMAN Puromycin-sensitive aminopeptidase OS=Homo sapiens OX=9606 GN=NPEPPS PE=1 SV=2;tr|E9PLK3|E9PLK3_HUMAN Aminopeptidase OS=Homo sapiens OX=9606 GN=NPEPPS PE=1 SV=1,19,19,23.5,28.3190689758052,23.2157125054863,24.418411633764,22.8955974693262
Q9Y266;A0A0A0MSU9;A0A0A0MSS4,Q9Y266,19;9;7,19;9;7,19;9;7,Nuclear migration protein nudC,NUDC,sp|Q9Y266|NUDC_HUMAN Nuclear migration protein nudC OS=Homo sapiens OX=9606 GN=NUDC PE=1 SV=1,19,19,49.2,29.5706921790031,23.9042612233284,30.5148394203996,30.2967974185757
Q8WX93;H0YA05;A0A3B3ISX8;H0Y952;D6RBB1;D6R9Z5;D6RBH5;D6R9F5;F8WA26,Q8WX93,19;5;5;3;2;1;1;1;1,19;5;5;3;2;1;1;1;1,19;5;5;3;2;1;1;1;1,Palladin,PALLD,sp|Q8WX93|PALLD_HUMAN Palladin OS=Homo sapiens OX=9606 GN=PALLD PE=1 SV=3,19,19,17.9,26.6017290834508,22.6759234467359,29.0156859984869,28.9129931443631
P05166;E7EUY3;E9PDR0;E7EX59;E7ETT4;E7ETT1;C9JQS9;E9PEC3;F8WBI9;E7ENC1;H7C5C9;C9JVY9;C9JAW3;C9JVW9,P05166;E7EUY3;E9PDR0;E7EX59;E7ETT4;E7ETT1;C9JQS9;E9PEC3;F8WBI9,19;19;19;19;18;18;18;17;12;6;2;2;1;1,19;19;19;19;18;18;18;17;12;6;2;2;1;1,19;19;19;19;18;18;18;17;12;6;2;2;1;1,"Propionyl-CoA carboxylase beta chain, mitochondrial",PCCB,"sp|P05166|PCCB_HUMAN Propionyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens OX=9606 GN=PCCB PE=1 SV=3;tr|E7EUY3|E7EUY3_HUMAN Propionyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens OX=9606 GN=PCCB PE=1 SV=1;tr|E9PDR0|E9PDR0_HUMAN P",19,19,49.2,28.6064317024161,26.2028448285001,4.45881916663448,4.39209895775669
O60664;K7ERZ3;K7EL96;K7ER39;K7EJD0,O60664;K7ERZ3,19;13;8;6;1,19;13;8;6;1,19;13;8;6;1,Perilipin-3,PLIN3,sp|O60664|PLIN3_HUMAN Perilipin-3 OS=Homo sapiens OX=9606 GN=PLIN3 PE=1 SV=3;tr|K7ERZ3|K7ERZ3_HUMAN Perilipin-3 (Fragment) OS=Homo sapiens OX=9606 GN=PLIN3 PE=1 SV=1,19,19,71.0,24.9419903748107,23.4172634858057,32.2205787904693,32.4128130115463
A0A0J9YYL3;A0A0J9YVP6;Q9UHX1;A0A0J9YXJ8;A0A0J9YXX5;A0A0J9YVR6;E9PQ56;A0A0J9YWM1;H0YEM1;E9PN18;E9PMU7;H0YCP8;E9PL19,A0A0J9YYL3;A0A0J9YVP6;Q9UHX1;A0A0J9YXJ8;A0A0J9YXX5;A0A0J9YVR6;E9PQ56;A0A0J9YWM1;H0YEM1,19;19;18;18;18;14;14;13;13;9;8;6;5,19;19;18;18;18;14;14;13;13;9;8;6;5,19;19;18;18;18;14;14;13;13;9;8;6;5,Poly(U)-binding-splicing factor PUF60,PUF60,tr|A0A0J9YYL3|A0A0J9YYL3_HUMAN Poly(U)-binding-splicing factor PUF60 (Fragment) OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=1;tr|A0A0J9YVP6|A0A0J9YVP6_HUMAN Poly(U)-binding-splicing factor PUF60 (Fragment) OS=Homo sapiens OX=9606 GN=PUF60 PE=1 SV=1;sp|Q9UHX1|,19,19,47.7,4.17608450057973,4.06670010289021,30.0841069385694,29.5526314009896
Q5T8P6;A0A087X0H9;E2PSN0,Q5T8P6;A0A087X0H9,21;20;4,19;18;4,19;18;4,RNA-binding protein 26,RBM26,sp|Q5T8P6|RBM26_HUMAN RNA-binding protein 26 OS=Homo sapiens OX=9606 GN=RBM26 PE=1 SV=3;tr|A0A087X0H9|A0A087X0H9_HUMAN RNA-binding protein 26 OS=Homo sapiens OX=9606 GN=RBM26 PE=1 SV=1,21,19,19.2,4.17608450057973,4.06670010289021,29.5131269555151,29.3598449837167
Q9P270;D6RIF6;H0Y9L2,Q9P270;D6RIF6,19;10;3,19;10;3,19;10;3,SLAIN motif-containing protein 2,SLAIN2,sp|Q9P270|SLAI2_HUMAN SLAIN motif-containing protein 2 OS=Homo sapiens OX=9606 GN=SLAIN2 PE=1 SV=2;tr|D6RIF6|D6RIF6_HUMAN SLAIN motif-containing protein 2 OS=Homo sapiens OX=9606 GN=SLAIN2 PE=1 SV=1,19,19,44.2,4.17608450057973,4.06670010289021,29.1261530778674,28.3319784130517
Q8IWZ8;V9GZ08;B4DVK3;K7ESM0;K7EM86;K7ELR6,Q8IWZ8,19;5;4;2;2;2,19;5;4;2;2;2,19;5;4;2;2;2,SURP and G-patch domain-containing protein 1,SUGP1,sp|Q8IWZ8|SUGP1_HUMAN SURP and G-patch domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SUGP1 PE=1 SV=2,19,19,36.0,4.17608450057973,4.06670010289021,28.87859177481,28.8442483703119
P21675;Q8IZX4;H7BY98;H7C2K9;H0Y8N6;H0Y9L7,P21675;Q8IZX4,19;11;4;4;3;3,19;11;4;4;3;3,19;11;4;4;3;3,Transcription initiation factor TFIID subunit 1;Transcription initiation factor TFIID subunit 1-like,TAF1;TAF1L,sp|P21675|TAF1_HUMAN Transcription initiation factor TFIID subunit 1 OS=Homo sapiens OX=9606 GN=TAF1 PE=1 SV=2;sp|Q8IZX4|TAF1L_HUMAN Transcription initiation factor TFIID subunit 1-like OS=Homo sapiens OX=9606 GN=TAF1L PE=1 SV=1,19,19,13.4,4.17608450057973,4.06670010289021,27.9054094088573,27.8867534850945
O95759;J3KQ40;Q0IIM8;D6RFZ2;J3KN75,O95759;J3KQ40,19;19;1;1;1,19;19;1;1;1,19;19;1;1;1,TBC1 domain family member 8,TBC1D8,sp|O95759|TBCD8_HUMAN TBC1 domain family member 8 OS=Homo sapiens OX=9606 GN=TBC1D8 PE=1 SV=3;tr|J3KQ40|J3KQ40_HUMAN TBC1 domain family member 8 OS=Homo sapiens OX=9606 GN=TBC1D8 PE=1 SV=1,19,19,22.6,4.17608450057973,4.06670010289021,28.7854083152003,28.4377372800038
Q5T6F2;A2A305;A0A0D9SFI5;Q5JV08;H0YDN2,Q5T6F2,19;9;3;2;1,19;9;3;2;1,19;9;3;2;1,Ubiquitin-associated protein 2,UBAP2,sp|Q5T6F2|UBAP2_HUMAN Ubiquitin-associated protein 2 OS=Homo sapiens OX=9606 GN=UBAP2 PE=1 SV=1,19,19,28.8,4.17608450057973,4.06670010289021,30.5509632379747,30.4781736896967
Q86T24,Q86T24,19,19,19,Transcriptional regulator Kaiso,ZBTB33,sp|Q86T24|KAISO_HUMAN Transcriptional regulator Kaiso OS=Homo sapiens OX=9606 GN=ZBTB33 PE=1 SV=2,19,19,32.7,23.1162455900051,22.3551987357471,30.2797434368597,30.2068783200141
Q15942;H0Y2Y8;H7C3D3;C9IZ41;C9JJK5;H7C3R3,Q15942;H0Y2Y8,19;18;6;4;4;2,19;18;6;4;4;2,19;18;6;4;4;2,Zyxin,ZYX,sp|Q15942|ZYX_HUMAN Zyxin OS=Homo sapiens OX=9606 GN=ZYX PE=1 SV=1;tr|H0Y2Y8|H0Y2Y8_HUMAN Zyxin (Fragment) OS=Homo sapiens OX=9606 GN=ZYX PE=1 SV=1,19,19,53.7,4.17608450057973,4.06670010289021,30.3331947697955,30.0968524576466
Q2M2I8;E9PG46;A0A096LP60;Q9NSY1;K4DI97,Q2M2I8;E9PG46,23;18;3;2;2,23;18;3;2;2,20;18;0;2;2,AP2-associated protein kinase 1,AAK1,sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3;tr|E9PG46|E9PG46_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=1,23,20,30.5,25.022506662493,23.5301471907798,30.5220620562157,30.3376672557894
Q92667;I3L0W0;I3L2A2;I3L2N7;I3L0K6;I3L364;I3L3K1;I3NI36,Q92667,20;9;8;8;5;3;2;1,20;9;8;8;5;3;2;1,20;9;8;8;5;3;2;1,"A-kinase anchor protein 1, mitochondrial",AKAP1,"sp|Q92667|AKAP1_HUMAN A-kinase anchor protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=AKAP1 PE=1 SV=1",20,20,30.9,4.17608450057973,4.06670010289021,28.6291269580574,28.4238624218042
Q02952,Q02952,20,20,20,A-kinase anchor protein 12,AKAP12,sp|Q02952|AKA12_HUMAN A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4,20,20,18.5,4.17608450057973,4.06670010289021,28.6428569685844,28.0702499496946
Q9ULH1;A0A0A0MRE5;H0YBF7;H0YBM4;E5RHD7;O43150;E5RFD9;A0A286YFG8,Q9ULH1;A0A0A0MRE5;H0YBF7,20;20;16;5;2;1;1;1,20;20;16;5;2;1;1;1,20;20;16;5;2;1;1;1,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1",ASAP1,"sp|Q9ULH1|ASAP1_HUMAN Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ASAP1 PE=1 SV=4;tr|A0A0A0MRE5|A0A0A0MRE5_HUMAN Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens OX",20,20,22.1,4.17608450057973,4.06670010289021,28.6598972760358,28.4871546845159
Q9HCK8;A0A2R8Y840;H0YJG4;A0A2R8Y4P3;A0A2R8YFT4;A0A2R8Y808;Q8TD26;G3V2T9;A0A2R8YFI9;H0YJA4;C9JFU2;H7C294,Q9HCK8;A0A2R8Y840;H0YJG4,26;21;17;12;8;8;4;3;3;2;2;2,21;16;12;11;8;8;1;3;2;2;1;1,20;15;11;10;8;8;1;3;2;2;1;1,Chromodomain-helicase-DNA-binding protein 8,CHD8,sp|Q9HCK8|CHD8_HUMAN Chromodomain-helicase-DNA-binding protein 8 OS=Homo sapiens OX=9606 GN=CHD8 PE=1 SV=5;tr|A0A2R8Y840|A0A2R8Y840_HUMAN Chromodomain-helicase-DNA-binding protein 8 (Fragment) OS=Homo sapiens OX=9606 GN=CHD8 PE=1 SV=1;tr|H0YJG4|H0YJG4_HUMA,26,20,13.3,4.17608450057973,4.06670010289021,28.2453132548021,28.0878539374828
Q14677,Q14677,20,20,20,Clathrin interactor 1,CLINT1,sp|Q14677|EPN4_HUMAN Clathrin interactor 1 OS=Homo sapiens OX=9606 GN=CLINT1 PE=1 SV=1,20,20,33.4,22.3346453742058,22.1608243486682,30.1515840613615,30.3531074761725
Q9BR76;A0A087WW53;F5H390;F5H0D2,Q9BR76,21;9;9;3,21;9;9;3,20;9;9;3,Coronin-1B,CORO1B,sp|Q9BR76|COR1B_HUMAN Coronin-1B OS=Homo sapiens OX=9606 GN=CORO1B PE=1 SV=1,21,20,43.8,29.1687068118903,27.1854633162742,33.6053193087622,33.2079401894616
O60716;C9JZR2;A0A669KB05;A0A669KB62;H0YC95;E9PKL1;E9PKY0,O60716;C9JZR2;A0A669KB05;A0A669KB62,20;20;18;17;3;3;1,20;20;18;17;3;3;1,20;20;18;17;3;3;1,Catenin delta-1,CTNND1,sp|O60716|CTND1_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1;tr|C9JZR2|C9JZR2_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=2;tr|A0A669KB05|A0A669KB05_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=4 SV=1;,20,20,32.4,26.0665697993379,22.7091671311155,28.340110611621,27.9981421655903
P17844;J3KTA4;J3QSF1;J3KRZ1;J3QRQ7;J3KRX8;J3KTQ4;J3QR02;X6RLV5;J3QRN5,P17844;J3KTA4,28;28;11;11;9;5;5;3;2;1,28;28;11;11;9;5;5;3;2;1,20;20;7;5;7;5;5;3;2;1,Probable ATP-dependent RNA helicase DDX5,DDX5,sp|P17844|DDX5_HUMAN Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1;tr|J3KTA4|J3KTA4_HUMAN Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens OX=9606 GN=DDX5 PE=1 SV=1,28,20,47.7,29.9256390970654,27.0911372110549,29.4983837233351,29.5943081433336
Q14195;H0YBT4;D6RF19;Q14117;H0YB87,Q14195,24;7;3;1;1,21;5;2;1;1,20;4;2;0;1,Dihydropyrimidinase-related protein 3,DPYSL3,sp|Q14195|DPYL3_HUMAN Dihydropyrimidinase-related protein 3 OS=Homo sapiens OX=9606 GN=DPYSL3 PE=1 SV=1,24,20,63.9,24.1912176899733,22.3521004659404,30.3182933101233,30.2618132279465
Q14126;J3KSI6,Q14126,20;4,20;4,20;4,Desmoglein-2,DSG2,sp|Q14126|DSG2_HUMAN Desmoglein-2 OS=Homo sapiens OX=9606 GN=DSG2 PE=1 SV=2,20,20,29.0,4.17608450057973,4.06670010289021,29.9840007667414,29.8303664340299
P55010;H0YLZ1;H0YN40;H0YMJ8;H0YM54;H0YK11;H0YK29,P55010;H0YLZ1;H0YN40,20;11;11;8;8;3;2,20;11;11;8;8;3;2,20;11;11;8;8;3;2,Eukaryotic translation initiation factor 5,EIF5,sp|P55010|IF5_HUMAN Eukaryotic translation initiation factor 5 OS=Homo sapiens OX=9606 GN=EIF5 PE=1 SV=2;tr|H0YLZ1|H0YLZ1_HUMAN Eukaryotic translation initiation factor 5 (Fragment) OS=Homo sapiens OX=9606 GN=EIF5 PE=1 SV=1;tr|H0YN40|H0YN40_HUMAN Eukaryoti,20,20,42.7,27.898160537079,24.3546088226857,32.0238301941681,32.1157000632648
Q7Z2K8,Q7Z2K8,20,20,20,G protein-regulated inducer of neurite outgrowth 1,GPRIN1,sp|Q7Z2K8|GRIN1_HUMAN G protein-regulated inducer of neurite outgrowth 1 OS=Homo sapiens OX=9606 GN=GPRIN1 PE=1 SV=2,20,20,31.5,4.17608450057973,4.06670010289021,28.7360868392122,28.2570539284002
P11021,P11021,21,20,20,78 kDa glucose-regulated protein,HSPA5,sp|P11021|BIP_HUMAN Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,21,20,36.5,24.6920024439943,23.4043628503201,29.4883045172387,29.2014199213225
Q13325;Q5T764;P09914,Q13325,20;1;1,20;1;1,20;1;1,Interferon-induced protein with tetratricopeptide repeats 5,IFIT5,sp|Q13325|IFIT5_HUMAN Interferon-induced protein with tetratricopeptide repeats 5 OS=Homo sapiens OX=9606 GN=IFIT5 PE=1 SV=1,20,20,51.7,26.6758642383792,23.6728198094948,30.5062566965137,30.7929656989614
Q6ZU35;F5H1N7;A0A1B0GWF1;A0A2R8Y6P1;R4GNI9,Q6ZU35;F5H1N7,20;20;5;5;1,20;20;5;5;1,20;20;5;5;1,Uncharacterized protein KIAA1211,KIAA1211,sp|Q6ZU35|CRACD_HUMAN Capping protein inhibiting regulator of actin dynamics OS=Homo sapiens OX=9606 GN=CRACD PE=1 SV=3;tr|F5H1N7|F5H1N7_HUMAN Capping protein-inhibiting regulator of actin dynamics OS=Homo sapiens OX=9606 GN=CRACD PE=1 SV=1,20,20,22.2,4.17608450057973,4.06670010289021,28.4328882811421,28.0088649845901
Q5T5P2;Q5T5P0;Q5T5P1;A0A0U1RRK8,Q5T5P2;Q5T5P0;Q5T5P1,20;11;11;6,20;11;11;6,20;11;11;6,Sickle tail protein homolog,KIAA1217,sp|Q5T5P2|SKT_HUMAN Sickle tail protein homolog OS=Homo sapiens OX=9606 GN=KIAA1217 PE=1 SV=2;tr|Q5T5P0|Q5T5P0_HUMAN Sickle tail protein homolog (Fragment) OS=Homo sapiens OX=9606 GN=KIAA1217 PE=1 SV=1;tr|Q5T5P1|Q5T5P1_HUMAN Sickle tail protein homolog (Fr,20,20,14.0,4.17608450057973,4.06670010289021,28.7270238413683,28.277816343407
P05783;F8VZY9;C4AM86;Q92764;CON__H-INV:HIT000015463;CON__Q92764;O76015;O76013;CON__A2A5Y0;Q14532;CON__Q14532;CON__REFSEQ:XP_986630;O76014;CON__A2AB72;CON__O76015;CON__O76013;CON__O76014,P05783;F8VZY9,29;27;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1,28;26;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0,20;18;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0,"Keratin, type I cytoskeletal 18",KRT18,"sp|P05783|K1C18_HUMAN Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2;tr|F8VZY9|F8VZY9_HUMAN Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=1",29,20,66.5,27.7674294990314,22.2408611923817,32.1233680703892,31.9390514259741
P13796;Q5TBN3;Q5TBN5,P13796,25;6;1,25;6;1,20;3;1,Plastin-2,LCP1,sp|P13796|PLSL_HUMAN Plastin-2 OS=Homo sapiens OX=9606 GN=LCP1 PE=1 SV=6,25,20,50.6,21.425728133037,21.4951249998055,29.6860552671953,29.2310971509926
Q14566,Q14566,20,20,20,DNA replication licensing factor MCM6,MCM6,sp|Q14566|MCM6_HUMAN DNA replication licensing factor MCM6 OS=Homo sapiens OX=9606 GN=MCM6 PE=1 SV=1,20,20,30.8,28.4464009531313,26.3020118741455,25.1786985835474,25.0878033671744
P33993;C9J8M6,P33993,20;3,20;3,20;3,DNA replication licensing factor MCM7,MCM7,sp|P33993|MCM7_HUMAN DNA replication licensing factor MCM7 OS=Homo sapiens OX=9606 GN=MCM7 PE=1 SV=4,20,20,35.6,29.1000902683163,26.0230991624448,4.45881916663448,4.39209895775669
O43795;E9PDF6;H7C2Y7;A0A0U1RRI3;E7EQD9;C9JYW1;C9JUP5;C9K0I9,O43795;E9PDF6,22;22;5;4;4;3;2;1,22;22;5;4;4;3;2;1,20;20;5;4;3;2;2;1,Unconventional myosin-Ib,MYO1B,sp|O43795|MYO1B_HUMAN Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=3;tr|E9PDF6|E9PDF6_HUMAN Unconventional myosin-Ib OS=Homo sapiens OX=9606 GN=MYO1B PE=1 SV=1,22,20,23.2,27.4960229560281,21.9781993172643,27.7260494204738,26.9370808421616
O94916;J3KRL6;J3QKS5,O94916,20;5;1,20;5;1,20;5;1,Nuclear factor of activated T-cells 5,NFAT5,sp|O94916|NFAT5_HUMAN Nuclear factor of activated T-cells 5 OS=Homo sapiens OX=9606 GN=NFAT5 PE=1 SV=1,20,20,19.1,4.17608450057973,4.06670010289021,29.2100644904049,28.847388207998
Q9H792;H0YN99;H3BUZ5,Q9H792;H0YN99,20;11;5,20;11;5,20;11;5,Pseudopodium-enriched atypical kinase 1,PEAK1,sp|Q9H792|PEAK1_HUMAN Inactive tyrosine-protein kinase PEAK1 OS=Homo sapiens OX=9606 GN=PEAK1 PE=1 SV=4;tr|H0YN99|H0YN99_HUMAN Inactive tyrosine-protein kinase PEAK1 OS=Homo sapiens OX=9606 GN=PEAK1 PE=1 SV=1,20,20,15.9,21.2825183556344,21.374914090741,28.1947438564667,28.0082238580198
Q8WUF5;K7EN03;K7EPP1,Q8WUF5,20;5;2,20;5;2,20;5;2,RelA-associated inhibitor,PPP1R13L,sp|Q8WUF5|IASPP_HUMAN RelA-associated inhibitor OS=Homo sapiens OX=9606 GN=PPP1R13L PE=1 SV=4,20,20,35.1,21.9166317530608,21.8740367960724,29.2591212134054,28.5263783448426
Q13200;C9JPC0;H7C2Q3;H7C1H2;F8WBS8,Q13200,20;7;6;6;2,20;7;6;6;2,20;7;6;6;2,26S proteasome non-ATPase regulatory subunit 2,PSMD2,sp|Q13200|PSMD2_HUMAN 26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens OX=9606 GN=PSMD2 PE=1 SV=3,20,20,28.1,25.5281459743766,23.117546086909,27.6685116212043,28.0700963707464
Q9Y265;E7ETR0;H7C4G5;H7C4I3;J3QLR1,Q9Y265;E7ETR0,20;14;7;5;2,20;14;7;5;2,20;14;7;5;2,RuvB-like 1,RUVBL1,sp|Q9Y265|RUVB1_HUMAN RuvB-like 1 OS=Homo sapiens OX=9606 GN=RUVBL1 PE=1 SV=1;tr|E7ETR0|E7ETR0_HUMAN RuvB-like helicase OS=Homo sapiens OX=9606 GN=RUVBL1 PE=1 SV=1,20,20,53.5,25.6137204572804,22.4445424096211,30.4060857334987,30.2329504416282
Q96ST3;H3BP90;H3BNZ3,Q96ST3,20;3;1,20;3;1,20;3;1,Paired amphipathic helix protein Sin3a,SIN3A,sp|Q96ST3|SIN3A_HUMAN Paired amphipathic helix protein Sin3a OS=Homo sapiens OX=9606 GN=SIN3A PE=1 SV=2,20,20,21.1,4.17608450057973,4.06670010289021,28.4081527773574,28.3538856799061
Q13573;G3V3A4;G3V4X8;G3V5R3,Q13573;G3V3A4;G3V4X8,20;17;14;6,20;17;14;6,20;17;14;6,SNW domain-containing protein 1,SNW1,sp|Q13573|SNW1_HUMAN SNW domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNW1 PE=1 SV=1;tr|G3V3A4|G3V3A4_HUMAN SNW domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNW1 PE=1 SV=1;tr|G3V4X8|G3V4X8_HUMAN SNW domain-containing protein 1 OS=Homo s,20,20,44.0,4.17608450057973,4.06670010289021,30.1360174461009,29.7614815373676
O43426;A0A0D9SGJ6;J3KQV8;J3KPK1;C9JFZ1;C9JW66;C9J1Z6,O43426;A0A0D9SGJ6;J3KQV8;J3KPK1;C9JFZ1;C9JW66,20;20;20;17;17;11;2,20;20;20;17;17;11;2,20;20;20;17;17;11;2,Synaptojanin-1,SYNJ1,sp|O43426|SYNJ1_HUMAN Synaptojanin-1 OS=Homo sapiens OX=9606 GN=SYNJ1 PE=1 SV=2;tr|A0A0D9SGJ6|A0A0D9SGJ6_HUMAN Synaptojanin-1 OS=Homo sapiens OX=9606 GN=SYNJ1 PE=1 SV=1;tr|J3KQV8|J3KQV8_HUMAN Synaptojanin-1 OS=Homo sapiens OX=9606 GN=SYNJ1 PE=1 SV=1;tr|J3K,20,20,14.9,4.17608450057973,4.06670010289021,28.0858297412254,27.7252694096194
Q13263;M0R0K9;M0R3C0;M0R2I3,Q13263;M0R0K9,20;11;3;2,20;11;3;2,20;11;3;2,Transcription intermediary factor 1-beta,TRIM28,sp|Q13263|TIF1B_HUMAN Transcription intermediary factor 1-beta OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=5;tr|M0R0K9|M0R0K9_HUMAN Transcription intermediary factor 1-beta (Fragment) OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=1,20,20,36.9,4.17608450057973,4.06670010289021,30.3928433645012,30.1456447917254
Q9NW82;D6RIW8,Q9NW82;D6RIW8,20;13,20;13,20;13,WD repeat-containing protein 70,WDR70,sp|Q9NW82|WDR70_HUMAN WD repeat-containing protein 70 OS=Homo sapiens OX=9606 GN=WDR70 PE=1 SV=1;tr|D6RIW8|D6RIW8_HUMAN WD repeat-containing protein 70 OS=Homo sapiens OX=9606 GN=WDR70 PE=1 SV=1,20,20,40.2,4.17608450057973,4.06670010289021,29.4276433806527,29.0499905936374
O95817;C9JFK9,O95817;C9JFK9,21;11,21;11,21;11,BAG family molecular chaperone regulator 3,BAG3,sp|O95817|BAG3_HUMAN BAG family molecular chaperone regulator 3 OS=Homo sapiens OX=9606 GN=BAG3 PE=1 SV=3;tr|C9JFK9|C9JFK9_HUMAN BAG family molecular chaperone regulator 3 (Fragment) OS=Homo sapiens OX=9606 GN=BAG3 PE=1 SV=1,21,21,56.7,24.0826155605608,22.3173408204414,29.7584347958611,29.6951793239469
Q9P2D1;A0A087WU44;O14646;O14647;A0A1B0GTU9,Q9P2D1,28;2;1;1;1,28;2;1;1;1,21;0;0;0;0,Chromodomain-helicase-DNA-binding protein 7,CHD7,sp|Q9P2D1|CHD7_HUMAN Chromodomain-helicase-DNA-binding protein 7 OS=Homo sapiens OX=9606 GN=CHD7 PE=1 SV=3,28,21,12.5,4.17608450057973,4.06670010289021,28.5322992026465,28.2592559335002
