Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity SNRNP40_N1,Intensity SNRNP40_N2,Intensity U2OS-BirA-alone_N1,Intensity U2OS-BirA-alone_N2
Q01082;A0A087WUZ3;F8W6C1,Q01082;A0A087WUZ3,14;13;4,14;13;4,14;13;4,"Spectrin beta chain, non-erythrocytic 1",SPTBN1,"sp|Q01082|SPTB2_HUMAN Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2;tr|A0A087WUZ3|A0A087WUZ3_HUMAN Spectrin beta chain OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=1",14.0,14.0,7.9,28.7410473262778,24.5212122261632,26.4585450415058,25.4917943917238
Q9H254;M0QZQ3;C9JY79,Q9H254;M0QZQ3;C9JY79,3;3;3,2;2;2,2;2;2,"Spectrin beta chain, non-erythrocytic 4",SPTBN4,"sp|Q9H254|SPTN4_HUMAN Spectrin beta chain, non-erythrocytic 4 OS=Homo sapiens OX=9606 GN=SPTBN4 PE=1 SV=2;tr|M0QZQ3|M0QZQ3_HUMAN Spectrin beta chain OS=Homo sapiens OX=9606 GN=SPTBN4 PE=1 SV=1;tr|C9JY79|C9JY79_HUMAN Spectrin beta chain OS=Homo sapiens OX=9",3.0,2.0,2.4,25.5850299163451,25.2505722447787,4.38176407895191,4.39969772430431
Q68D10,Q68D10,3,3,3,Protein SPT2 homolog,SPTY2D1,sp|Q68D10|SPT2_HUMAN Protein SPT2 homolog OS=Homo sapiens OX=9606 GN=SPTY2D1 PE=1 SV=3,3.0,3.0,10.7,25.8716883257178,24.5584165090394,4.38176407895191,4.39969772430431
Q13501;E7EMC7;E9PFW8;C9JRJ8;E3W990;D6RBF1;C9J6J8,Q13501;E7EMC7;E9PFW8;C9JRJ8;E3W990,4;4;3;2;2;1;1,4;4;3;2;2;1;1,4;4;3;2;2;1;1,Sequestosome-1,SQSTM1,sp|Q13501|SQSTM_HUMAN Sequestosome-1 OS=Homo sapiens OX=9606 GN=SQSTM1 PE=1 SV=1;tr|E7EMC7|E7EMC7_HUMAN Sequestosome-1 OS=Homo sapiens OX=9606 GN=SQSTM1 PE=1 SV=1;tr|E9PFW8|E9PFW8_HUMAN Sequestosome-1 (Fragment) OS=Homo sapiens OX=9606 GN=SQSTM1 PE=1 SV=1;,4.0,4.0,17.5,4.3500727725963,4.5358450090929,25.7510068432953,26.0206005485957
Q8N5C6,Q8N5C6,4,4,4,S1 RNA-binding domain-containing protein 1,SRBD1,sp|Q8N5C6|SRBD1_HUMAN S1 RNA-binding domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SRBD1 PE=1 SV=2,4.0,4.0,6.3,26.3149791095506,23.7528706092137,24.4967708044429,23.6924282061461
Q6ZRS2;A0A0A0MS59;A0A0C4DFX4;A0A087X0E3,Q6ZRS2;A0A0A0MS59;A0A0C4DFX4;A0A087X0E3,2;2;2;1,2;2;2;1,2;2;2;1,Helicase SRCAP,SRCAP,sp|Q6ZRS2|SRCAP_HUMAN Helicase SRCAP OS=Homo sapiens OX=9606 GN=SRCAP PE=1 SV=3;tr|A0A0A0MS59|A0A0A0MS59_HUMAN Helicase SRCAP OS=Homo sapiens OX=9606 GN=SRCAP PE=1 SV=1;tr|A0A0C4DFX4|A0A0C4DFX4_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=96,2.0,2.0,1.6,25.4285102036658,25.4460823610329,4.38176407895191,4.39969772430431
A0A087WY03;E5RFV3,A0A087WY03;E5RFV3,2;2,2;2,2;2,,SREK1,tr|A0A087WY03|A0A087WY03_HUMAN Splicing regulatory glutamine/lysine-rich protein 1 OS=Homo sapiens OX=9606 GN=SREK1 PE=1 SV=1;tr|E5RFV3|E5RFV3_HUMAN Splicing regulatory glutamine/lysine-rich protein 1 OS=Homo sapiens OX=9606 GN=SREK1 PE=1 SV=1,2.0,2.0,35.0,24.4521165374308,25.8345103993795,4.38176407895191,4.39969772430431
Q8WXA9,Q8WXA9,4,4,4,Splicing regulatory glutamine/lysine-rich protein 1,SREK1,sp|Q8WXA9|SREK1_HUMAN Splicing regulatory glutamine/lysine-rich protein 1 OS=Homo sapiens OX=9606 GN=SREK1 PE=1 SV=1,4.0,4.0,14.2,26.6013040321222,26.9230904153999,4.38176407895191,4.39969772430431
Q8NEF9,Q8NEF9,15,15,15,Serum response factor-binding protein 1,SRFBP1,sp|Q8NEF9|SRFB1_HUMAN Serum response factor-binding protein 1 OS=Homo sapiens OX=9606 GN=SRFBP1 PE=1 SV=1,15.0,15.0,36.1,29.2329733068887,29.0100396438296,27.6821080826787,27.8422412775611
Q7Z6B7;G5EA48,Q7Z6B7;G5EA48,3;2,3;2,2;1,SLIT-ROBO Rho GTPase-activating protein 1,SRGAP1,"sp|Q7Z6B7|SRGP1_HUMAN SLIT-ROBO Rho GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=SRGAP1 PE=1 SV=1;tr|G5EA48|G5EA48_HUMAN SLIT-ROBO Rho GTPase activating protein 1, isoform CRA_a OS=Homo sapiens OX=9606 GN=SRGAP1 PE=1 SV=1",3.0,2.0,3.1,4.3500727725963,4.5358450090929,23.1763795349304,24.7776606629985
O75044;Q5VZB4;A0A075B7B5;B7ZM87;P0DJJ0;P0DMP2;E9PDX4;A0A087X0L1;A0A087WW56;A0A286YEY3,O75044;Q5VZB4;A0A075B7B5;B7ZM87,3;3;3;3;1;1;1;1;1;1,2;2;2;2;1;1;1;1;1;1,2;2;2;2;1;1;1;1;1;1,SLIT-ROBO Rho GTPase-activating protein 2,SRGAP2,sp|O75044|SRGP2_HUMAN SLIT-ROBO Rho GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=SRGAP2 PE=1 SV=3;tr|Q5VZB4|Q5VZB4_HUMAN SLIT-ROBO Rho GTPase-activating protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=SRGAP2 PE=1 SV=1;tr|A0A075B7B5|A0A075B7B5_HUM,3.0,2.0,3.8,25.0275824480193,24.550277081638,23.4017019161894,23.1924975092811
P37108;H0YLA2,P37108;H0YLA2,2;2,2;2,2;2,Signal recognition particle 14 kDa protein,SRP14,sp|P37108|SRP14_HUMAN Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=2;tr|H0YLA2|H0YLA2_HUMAN Signal recognition particle 14 kDa protein OS=Homo sapiens OX=9606 GN=SRP14 PE=1 SV=1,2.0,2.0,11.0,24.6626431701312,23.943421975068,26.0491597275625,25.8254313294799
P61011;G3V4F7;G3V480,P61011;G3V4F7,12;10;2,12;10;2,12;10;2,Signal recognition particle 54 kDa protein,SRP54,sp|P61011|SRP54_HUMAN Signal recognition particle 54 kDa protein OS=Homo sapiens OX=9606 GN=SRP54 PE=1 SV=1;tr|G3V4F7|G3V4F7_HUMAN Signal recognition particle 54 kDa protein OS=Homo sapiens OX=9606 GN=SRP54 PE=1 SV=1,12.0,12.0,26.6,4.3500727725963,4.5358450090929,27.5503211228609,27.3863202409199
Q9UHB9,Q9UHB9,31,31,31,Signal recognition particle subunit SRP68,SRP68,sp|Q9UHB9|SRP68_HUMAN Signal recognition particle subunit SRP68 OS=Homo sapiens OX=9606 GN=SRP68 PE=1 SV=2,31.0,31.0,50.2,28.8773927822374,27.7431680392078,30.8413866669958,30.8422862430442
O76094;D6RDY6;R4GNC1,O76094;D6RDY6,10;6;4,10;6;4,10;6;4,Signal recognition particle subunit SRP72,SRP72,sp|O76094|SRP72_HUMAN Signal recognition particle subunit SRP72 OS=Homo sapiens OX=9606 GN=SRP72 PE=1 SV=3;tr|D6RDY6|D6RDY6_HUMAN Signal recognition particle subunit SRP72 (Fragment) OS=Homo sapiens OX=9606 GN=SRP72 PE=1 SV=3,10.0,10.0,20.3,24.247939266481,23.2434785116039,27.5528878703384,26.8902952676357
P08240,P08240,7,7,7,Signal recognition particle receptor subunit alpha,SRPR,sp|P08240|SRPRA_HUMAN Signal recognition particle receptor subunit alpha OS=Homo sapiens OX=9606 GN=SRPRA PE=1 SV=2,7.0,7.0,13.2,4.3500727725963,4.5358450090929,25.5783936539702,26.1976054633195
Q8IYB3;A9Z1X7;E9PCT1;M0R1E7;M0R088;M0QXG5,Q8IYB3;A9Z1X7;E9PCT1,9;9;6;4;4;2,9;9;6;4;4;2,9;9;6;4;4;2,Serine/arginine repetitive matrix protein 1,SRRM1,sp|Q8IYB3|SRRM1_HUMAN Serine/arginine repetitive matrix protein 1 OS=Homo sapiens OX=9606 GN=SRRM1 PE=1 SV=2;tr|A9Z1X7|A9Z1X7_HUMAN Serine/arginine repetitive matrix protein 1 OS=Homo sapiens OX=9606 GN=SRRM1 PE=1 SV=1;tr|E9PCT1|E9PCT1_HUMAN Serine/arginin,9.0,9.0,14.5,28.7847533457068,29.1749806016453,23.7207761446715,23.440884371292
Q9UQ35;I3L4D8;I3L182;I3L1I8;A0A087X1W1;I3L0N7;I3L1C0;I3L3Q8;I3L4U6,Q9UQ35,45;13;9;6;5;4;3;2;1,45;13;9;6;5;4;3;2;1,45;13;9;6;5;4;3;2;1,Serine/arginine repetitive matrix protein 2,SRRM2,sp|Q9UQ35|SRRM2_HUMAN Serine/arginine repetitive matrix protein 2 OS=Homo sapiens OX=9606 GN=SRRM2 PE=1 SV=2,45.0,45.0,24.4,31.1657273586052,31.5443449375535,4.38176407895191,4.39969772430431
Q9BXP5;H7C3A1;H7C1K0;A0A0A0MSP6,Q9BXP5;H7C3A1,9;7;1;1,9;7;1;1,9;7;1;1,Serrate RNA effector molecule homolog,SRRT,sp|Q9BXP5|SRRT_HUMAN Serrate RNA effector molecule homolog OS=Homo sapiens OX=9606 GN=SRRT PE=1 SV=1;tr|H7C3A1|H7C3A1_HUMAN Serrate RNA effector molecule homolog (Fragment) OS=Homo sapiens OX=9606 GN=SRRT PE=1 SV=1,9.0,9.0,13.8,26.6102039171469,27.2795884785529,22.1586010598657,22.3233715042898
O75494;Q5JRI1;Q6IQ42;R4GMP8,O75494;Q5JRI1;Q6IQ42,3;3;2;1,3;3;2;1,3;3;2;1,Serine/arginine-rich splicing factor 10,SRSF10;FUSIP1,sp|O75494|SRS10_HUMAN Serine/arginine-rich splicing factor 10 OS=Homo sapiens OX=9606 GN=SRSF10 PE=1 SV=1;tr|Q5JRI1|Q5JRI1_HUMAN Serine/arginine-rich-splicing factor 10 OS=Homo sapiens OX=9606 GN=SRSF10 PE=1 SV=1;tr|Q6IQ42|Q6IQ42_HUMAN FUSIP1 protein OS=Ho,3.0,3.0,19.5,26.2708128693809,25.583624772931,4.38176407895191,4.39969772430431
Q05519;Q5T760;B4DWT1;S4R3C4;Q5T757,Q05519;Q5T760;B4DWT1,7;7;4;2;2,7;7;4;2;2,7;7;4;2;2,Serine/arginine-rich splicing factor 11,SRSF11,sp|Q05519|SRS11_HUMAN Serine/arginine-rich splicing factor 11 OS=Homo sapiens OX=9606 GN=SRSF11 PE=1 SV=1;tr|Q5T760|Q5T760_HUMAN Serine/arginine-rich-splicing factor 11 (Fragment) OS=Homo sapiens OX=9606 GN=SRSF11 PE=1 SV=1;tr|B4DWT1|B4DWT1_HUMAN Serine/ar,7.0,7.0,28.3,30.4226199456883,29.9568465793779,27.9098786214226,27.5328193739307
P84103;A0A087X2D0,P84103;A0A087X2D0,3;3,3;3,3;3,Serine/arginine-rich splicing factor 3,SRSF3,sp|P84103|SRSF3_HUMAN Serine/arginine-rich splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1;tr|A0A087X2D0|A0A087X2D0_HUMAN Serine/arginine-rich-splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1,3.0,3.0,28.7,26.5804653757994,26.3892613487419,24.1173558434994,24.2485667558635
A0A590UK80;A0A590UK01;A0A590UJK4;Q13247;A0A590UJP7;B4DJK0;A0A3F2YNZ1;A0A3B3ISS0;A0A0A0MRR4;A0A3B3ISP5;A0A0D9SEM4;A0A3B3ISV7;Q08170;B0QYN4;A0A3B3ITG5;H0Y7I2;B4DUA4;A0A3B3IT75;Q9Y468;Q13243;A0A3B3ISK5,A0A590UK80;A0A590UK01;A0A590UJK4;Q13247;A0A590UJP7,6;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,6;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,6;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,Serine/arginine-rich splicing factor 6,SRSF6,tr|A0A590UK80|A0A590UK80_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1;tr|A0A590UK01|A0A590UK01_HUMAN Serine/arginine-rich-splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=1;tr|A0A590UJK4|A0A590UJK4_HUMAN Serine/argin,6.0,6.0,6.7,27.0782645173548,25.3588730317643,21.4241908978986,27.3635257570109
Q16629;A0A0B4J1Z1;C9JAB2,Q16629;A0A0B4J1Z1;C9JAB2,3;3;3,3;3;3,3;3;3,Serine/arginine-rich splicing factor 7,SRSF7,sp|Q16629|SRSF7_HUMAN Serine/arginine-rich splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1;tr|A0A0B4J1Z1|A0A0B4J1Z1_HUMAN Serine/arginine-rich-splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1;tr|C9JAB2|C9JAB2_HUMAN Serine/arginine-,3.0,3.0,19.7,26.0968172787268,24.4422773620037,4.38176407895191,4.39969772430431
P05455;E7ERC4;E9PGX9;E9PFL9,P05455;E7ERC4,15;8;6;5,15;8;6;5,15;8;6;5,Lupus La protein,SSB,sp|P05455|LA_HUMAN Lupus La protein OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=2;tr|E7ERC4|E7ERC4_HUMAN Lupus La protein (Fragment) OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=1,15.0,15.0,43.9,29.3308678590217,29.247080458459,27.6087244104438,27.5983961582337
P28290;E9PHV5;E7EUL7;H7BZ26,P28290;E9PHV5;E7EUL7,11;11;7;1,11;11;7;1,11;11;7;1,Sperm-specific antigen 2,SSFA2,sp|P28290|ITPI2_HUMAN Protein ITPRID2 OS=Homo sapiens OX=9606 GN=ITPRID2 PE=1 SV=3;tr|E9PHV5|E9PHV5_HUMAN Protein ITPRID2 OS=Homo sapiens OX=9606 GN=ITPRID2 PE=1 SV=1;tr|E7EUL7|E7EUL7_HUMAN Protein ITPRID2 OS=Homo sapiens OX=9606 GN=ITPRID2 PE=1 SV=1,11.0,11.0,11.1,4.3500727725963,4.5358450090929,26.7054330632075,26.1205035214227
Q8WYL5;H0YHR3,Q8WYL5,5;1,5;1,5;1,Protein phosphatase Slingshot homolog 1,SSH1,sp|Q8WYL5|SSH1_HUMAN Protein phosphatase Slingshot homolog 1 OS=Homo sapiens OX=9606 GN=SSH1 PE=1 SV=2,5.0,5.0,7.6,26.0360207779181,25.9833974231594,24.7416002973351,24.9211617542629
Q76I76;F5H527;A0A3B3IS79,Q76I76;F5H527;A0A3B3IS79,3;3;3,3;3;3,3;3;3,Protein phosphatase Slingshot homolog 2,SSH2,sp|Q76I76|SSH2_HUMAN Protein phosphatase Slingshot homolog 2 OS=Homo sapiens OX=9606 GN=SSH2 PE=1 SV=1;tr|F5H527|F5H527_HUMAN Protein phosphatase Slingshot homolog 2 OS=Homo sapiens OX=9606 GN=SSH2 PE=1 SV=1;tr|A0A3B3IS79|A0A3B3IS79_HUMAN Protein phosphata,3.0,3.0,2.7,26.2877476011664,24.3865998218277,21.8942286356997,23.2459408092228
Q8TE77;A0A087WWG1;E9PIT5;C9JUG3,Q8TE77;A0A087WWG1;E9PIT5,14;10;7;3,14;10;7;3,14;10;7;3,Protein phosphatase Slingshot homolog 3,SSH3,sp|Q8TE77|SSH3_HUMAN Protein phosphatase Slingshot homolog 3 OS=Homo sapiens OX=9606 GN=SSH3 PE=1 SV=2;tr|A0A087WWG1|A0A087WWG1_HUMAN Protein phosphatase Slingshot homolog 3 (Fragment) OS=Homo sapiens OX=9606 GN=SSH3 PE=1 SV=1;tr|E9PIT5|E9PIT5_HUMAN Protei,14.0,14.0,26.4,26.0584794953791,27.3131980363578,27.7537888409457,27.4361889617277
Q08945;E9PMD4;A0A0U1RRK2,Q08945,17;4;4,17;4;4,17;4;4,FACT complex subunit SSRP1,SSRP1,sp|Q08945|SSRP1_HUMAN FACT complex subunit SSRP1 OS=Homo sapiens OX=9606 GN=SSRP1 PE=1 SV=1,17.0,17.0,29.5,28.6910240455502,28.9744317455713,4.38176407895191,4.39969772430431
P50502;H7C3I1;Q8NFI4;F6VDH7;Q3KNR6;Q8IZP2,P50502;H7C3I1;Q8NFI4;F6VDH7;Q3KNR6;Q8IZP2,2;2;2;1;1;1,2;2;2;1;1;1,2;2;2;1;1;1,Hsc70-interacting protein;Putative protein FAM10A5;Putative protein FAM10A4,ST13;ST13P5;ST13P4,sp|P50502|F10A1_HUMAN Hsc70-interacting protein OS=Homo sapiens OX=9606 GN=ST13 PE=1 SV=2;tr|H7C3I1|H7C3I1_HUMAN Hsc70-interacting protein (Fragment) OS=Homo sapiens OX=9606 GN=ST13 PE=1 SV=1;sp|Q8NFI4|F10A5_HUMAN Putative protein FAM10A5 OS=Homo sapiens O,2.0,2.0,6.0,23.1363196724423,22.9311537348646,24.7386658442624,23.9822443896413
Q8WVM7;Q68DW7;C9JJQ0;F8WF82;F8WCB3;H7C595,Q8WVM7;Q68DW7,31;24;4;1;1;1,31;24;4;1;1;1,26;20;4;1;1;1,Cohesin subunit SA-1,STAG1;DKFZp781D1416,sp|Q8WVM7|STAG1_HUMAN Cohesin subunit SA-1 OS=Homo sapiens OX=9606 GN=STAG1 PE=1 SV=3;tr|Q68DW7|Q68DW7_HUMAN Cohesin subunit SA-1 OS=Homo sapiens OX=9606 GN=STAG1 PE=1 SV=1,31.0,26.0,30.9,28.5264156589772,29.1902288169568,28.1260792090448,27.5567659867997
Q8N3U4;B1AMT4;B1AMT1;B1AMT2;B1AMT3;B1AMT0,Q8N3U4;B1AMT4,15;8;2;2;2;1,10;5;2;2;2;1,9;4;2;2;2;1,Cohesin subunit SA-2,STAG2,sp|Q8N3U4|STAG2_HUMAN Cohesin subunit SA-2 OS=Homo sapiens OX=9606 GN=STAG2 PE=1 SV=3;tr|B1AMT4|B1AMT4_HUMAN Cohesin subunit SA-2 (Fragment) OS=Homo sapiens OX=9606 GN=STAG2 PE=1 SV=1,15.0,9.0,14.3,30.9101360386846,26.0635283922225,24.2375390903086,24.0591193126479
Q92783;A6NMU3;C9J1E5,Q92783,11;5;1,9;5;1,9;5;1,Signal transducing adapter molecule 1,STAM,sp|Q92783|STAM1_HUMAN Signal transducing adapter molecule 1 OS=Homo sapiens OX=9606 GN=STAM PE=1 SV=3,11.0,9.0,29.3,4.3500727725963,4.5358450090929,27.8434997816332,27.1022948454557
O75886,O75886,11,11,9,Signal transducing adapter molecule 2,STAM2,sp|O75886|STAM2_HUMAN Signal transducing adapter molecule 2 OS=Homo sapiens OX=9606 GN=STAM2 PE=1 SV=1,11.0,9.0,26.5,4.3500727725963,4.5358450090929,28.3714825434997,28.5005507031311
O95630;C9JK83;F5H5B9;C9JEK5;C9JZ93,O95630;C9JK83;F5H5B9;C9JEK5,8;8;5;4;3,8;8;5;4;3,8;8;5;4;3,STAM-binding protein,STAMBP,sp|O95630|STABP_HUMAN STAM-binding protein OS=Homo sapiens OX=9606 GN=STAMBP PE=1 SV=1;tr|C9JK83|C9JK83_HUMAN STAM-binding protein (Fragment) OS=Homo sapiens OX=9606 GN=STAMBP PE=1 SV=1;tr|F5H5B9|F5H5B9_HUMAN STAM-binding protein OS=Homo sapiens OX=9606 GN,8.0,8.0,26.9,25.7536103416518,25.5507174333789,26.91067932434,27.0795874840141
P42224;A0A669KB53;A0A669KBA4;A0A669KB68;A0A669KB56;A0A669KBI6;J3KPM9;A0A669KB52;A0A669KB75;E7EPD2;A0A669KB17;D2KFR9;E7ENM1;E9PH66;Q67C41;H7BZ88;Q14765;A0A669KBK4,P42224;A0A669KB53;A0A669KBA4;A0A669KB68;A0A669KB56;A0A669KBI6;J3KPM9;A0A669KB52;A0A669KB75;E7EPD2,40;39;39;39;39;37;36;31;28;20;16;12;9;4;3;2;1;1,40;39;39;39;39;37;36;31;28;20;16;12;9;4;3;2;1;1,40;39;39;39;39;37;36;31;28;20;16;12;9;4;3;2;1;1,Signal transducer and activator of transcription 1-alpha/beta;Signal transducer and activator of transcription,STAT1,sp|P42224|STAT1_HUMAN Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens OX=9606 GN=STAT1 PE=1 SV=2;tr|A0A669KB53|A0A669KB53_HUMAN Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens OX=9606 GN=STAT1 PE=,40.0,40.0,57.2,30.6594890238874,30.6465009211099,32.4496807358675,32.2248390315198
P52630;A0A494C164;B4DLC8;A0A494C1L3;A0A494C0B5;B4DHE0;G3V319,P52630;A0A494C164;B4DLC8,27;27;15;7;5;5;1,27;27;15;7;5;5;1,27;27;15;7;5;5;1,Signal transducer and activator of transcription 2,STAT2,sp|P52630|STAT2_HUMAN Signal transducer and activator of transcription 2 OS=Homo sapiens OX=9606 GN=STAT2 PE=1 SV=1;tr|A0A494C164|A0A494C164_HUMAN Signal transducer and activator of transcription OS=Homo sapiens OX=9606 GN=STAT2 PE=1 SV=1;tr|B4DLC8|B4DLC8_,27.0,27.0,41.0,4.3500727725963,4.5358450090929,30.011053353151,29.9376140770507
P40763,P40763,34,34,4,Signal transducer and activator of transcription 3,STAT3,sp|P40763|STAT3_HUMAN Signal transducer and activator of transcription 3 OS=Homo sapiens OX=9606 GN=STAT3 PE=1 SV=2,34.0,4.0,54.0,30.4032437837162,29.9643030979109,31.2550737496011,31.1952485682143
P42226;A0A494C0T4;A0A1W2PNW1;H0YJH6;Q5FBW6;G3V2L2;G3V2M3;G3V2H4;G3V5I8;G3V568;G3V370;G3V5K5,P42226;A0A494C0T4;A0A1W2PNW1;H0YJH6,3;3;3;3;1;1;1;1;1;1;1;1,3;3;3;3;1;1;1;1;1;1;1;1,3;3;3;3;1;1;1;1;1;1;1;1,Signal transducer and activator of transcription 6,STAT6,sp|P42226|STAT6_HUMAN Signal transducer and activator of transcription 6 OS=Homo sapiens OX=9606 GN=STAT6 PE=1 SV=1;tr|A0A494C0T4|A0A494C0T4_HUMAN Signal transducer and activator of transcription OS=Homo sapiens OX=9606 GN=STAT6 PE=1 SV=1;tr|A0A1W2PNW1|A0A,3.0,3.0,4.4,4.3500727725963,4.5358450090929,25.1437098607147,25.0462687417297
O95793;A0A087X1A5;Q5JW30;Q5JW28;F6UDC6,O95793;A0A087X1A5;Q5JW30,15;14;14;4;1,15;14;14;4;1,14;13;13;4;1,Double-stranded RNA-binding protein Staufen homolog 1,STAU1,sp|O95793|STAU1_HUMAN Double-stranded RNA-binding protein Staufen homolog 1 OS=Homo sapiens OX=9606 GN=STAU1 PE=1 SV=2;tr|A0A087X1A5|A0A087X1A5_HUMAN Double-stranded RNA-binding protein Staufen homolog 1 OS=Homo sapiens OX=9606 GN=STAU1 PE=1 SV=1;tr|Q5JW30,15.0,14.0,35.9,25.398489288059,25.4887948337533,28.6178589799877,28.5377886906059
Q9NUL3;E7EPX0;E7EVJ4;E5RJN7;E7EVI1;E5RJ67;H0YBY0;E5RFK1,Q9NUL3;E7EPX0;E7EVJ4;E5RJN7;E7EVI1,8;7;7;6;4;3;3;2,7;6;6;5;3;3;3;2,7;6;6;5;3;3;3;2,Double-stranded RNA-binding protein Staufen homolog 2,STAU2,sp|Q9NUL3|STAU2_HUMAN Double-stranded RNA-binding protein Staufen homolog 2 OS=Homo sapiens OX=9606 GN=STAU2 PE=1 SV=2;tr|E7EPX0|E7EPX0_HUMAN Double-stranded RNA-binding protein Staufen homolog 2 OS=Homo sapiens OX=9606 GN=STAU2 PE=1 SV=1;tr|E7EVJ4|E7EVJ4_,8.0,7.0,20.7,26.8349574558654,26.7924072483677,27.2326988998425,26.1195935782691
O95210,O95210,12,12,12,Starch-binding domain-containing protein 1,STBD1,sp|O95210|STBD1_HUMAN Starch-binding domain-containing protein 1 OS=Homo sapiens OX=9606 GN=STBD1 PE=1 SV=1,12.0,12.0,42.7,4.3500727725963,4.5358450090929,27.6405834342274,27.7643320257415
Q658P3;B8ZZX6,Q658P3;B8ZZX6,6;5,6;5,6;5,Metalloreductase STEAP3,STEAP3,sp|Q658P3|STEA3_HUMAN Metalloreductase STEAP3 OS=Homo sapiens OX=9606 GN=STEAP3 PE=1 SV=2;tr|B8ZZX6|B8ZZX6_HUMAN Metalloreductase STEAP3 OS=Homo sapiens OX=9606 GN=STEAP3 PE=1 SV=1,6.0,6.0,16.4,4.3500727725963,4.5358450090929,27.3506017547952,27.3972165953065
Q13586;G0XQ39;E9PNJ4;H0YDB2,Q13586;G0XQ39;E9PNJ4;H0YDB2,5;5;4;3,5;5;4;3,3;3;3;3,Stromal interaction molecule 1,STIM1,sp|Q13586|STIM1_HUMAN Stromal interaction molecule 1 OS=Homo sapiens OX=9606 GN=STIM1 PE=1 SV=3;tr|G0XQ39|G0XQ39_HUMAN STIM1L OS=Homo sapiens OX=9606 GN=STIM1 PE=1 SV=1;tr|E9PNJ4|E9PNJ4_HUMAN Stromal interaction molecule 1 OS=Homo sapiens OX=9606 GN=STIM1,5.0,3.0,9.8,4.3500727725963,4.5358450090929,24.8679709470492,24.2670661171905
P31948;F5H783;F5GXD8;H0YGI8,P31948;F5H783,21;12;9;2,21;12;9;2,21;12;9;2,Stress-induced-phosphoprotein 1,STIP1,sp|P31948|STIP1_HUMAN Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1;tr|F5H783|F5H783_HUMAN Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1,21.0,21.0,41.4,27.704246039749,28.3620211209897,29.1333249367598,29.1731227781201
O94804,O94804,3,2,2,Serine/threonine-protein kinase 10,STK10,sp|O94804|STK10_HUMAN Serine/threonine-protein kinase 10 OS=Homo sapiens OX=9606 GN=STK10 PE=1 SV=1,3.0,2.0,3.4,4.3500727725963,4.5358450090929,23.351781459935,24.5147867594709
Q15208;H0YGN4,Q15208,21;2,21;2,19;0,Serine/threonine-protein kinase 38,STK38,sp|Q15208|STK38_HUMAN Serine/threonine-protein kinase 38 OS=Homo sapiens OX=9606 GN=STK38 PE=1 SV=1,21.0,19.0,49.2,29.6181566360263,29.5307375625436,29.5182395014312,29.1832166614114
Q9Y2H1;F5H277;F5H5E6;F5H0V1;F5H7Z3;F5GY51,Q9Y2H1;F5H277,5;5;1;1;1;1,3;3;1;1;1;1,3;3;1;1;1;1,Serine/threonine-protein kinase 38-like,STK38L,sp|Q9Y2H1|ST38L_HUMAN Serine/threonine-protein kinase 38-like OS=Homo sapiens OX=9606 GN=STK38L PE=1 SV=3;tr|F5H277|F5H277_HUMAN Serine/threonine-protein kinase 38-like (Fragment) OS=Homo sapiens OX=9606 GN=STK38L PE=1 SV=8,5.0,3.0,19.8,25.4410235331683,24.3873889344091,22.688549131915,23.9869377808647
