Gene_names,CIAO1_vs_BirA_logFC,CIAO1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_CIAO1_N1,Peptides_CIAO1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_CIAO1_N1,Razor___unique_peptides_CIAO1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_CIAO1_N1,Unique_peptides_CIAO1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_CIAO1_N1,Identification_type_CIAO1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_CIAO1_N1,Ratio_H_L_CIAO1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_CIAO1_N1,Ratio_H_L_normalized_CIAO1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____CIAO1_N1,Ratio_H_L_variability_____CIAO1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_CIAO1_N1,Ratio_H_L_count_CIAO1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_CIAO1_N1,Ratio_H_L_iso_count_CIAO1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_CIAO1_N1,Ratio_H_L_type_CIAO1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_CIAO1_N1____,Sequence_coverage_CIAO1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_CIAO1_N1,Intensity_L_CIAO1_N1,Intensity_H_CIAO1_N1,Intensity_CIAO1_N2,Intensity_L_CIAO1_N2,Intensity_H_CIAO1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_CIAO1_N1,metacell_Intensity_L_CIAO1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
MINOS1;MINOS1-NBL1,-19.5030474998134,1.54803634809155e-07,Q5TGZ0;A0A087WU07;A0A3B3IRY5;R4GMY4;R4GNA1,Q5TGZ0;A0A087WU07;A0A3B3IRY5;R4GMY4;R4GNA1,2;2;1;1;1,2;2;1;1;1,2;2;1;1;1,MICOS complex subunit MIC10,sp|Q5TGZ0|MIC10_HUMAN MICOS complex subunit MIC10 OS=Homo sapiens OX=9606 GN=MICOS10 PE=1 SV=1;tr|A0A087WU07|A0A087WU07_HUMAN MICOS complex subunit MIC10 OS=Homo sapiens OX=9606 GN=MICOS10 PE=1 SV=1;tr|A0A3B3IRY5|A0A3B3IRY5_HUMAN MICOS complex subunit MIC1,5,2,2,2,2,1,0,0,2,1,0,0,2,1,0,0,59.0,59.0,59.0,8.8081,78,78;62;39;70;71,0.0012361,2.6887,By MS/MS,By MS/MS,,,0.43947,1.1147,6.7279,2,1,Median,0.4253,0.45411,,,1.0629,1.169,,,,,,,1,1,0,0,1,0,0,0,Median,Median,Median,Median,59.0,14.1,0.0,0.0,51101000,35019000,16082000,16839000,12962000,3876800,34262000,22057000,12205000,0,0,0,0,0,0,,,,23,10567;12313,True;True,12934;14967,29833;34439;34440,48887;56367;56368,48887;56368,,,,,-1;-1;-1;-1;-1,protein_24,imputed MEC,imputed MEC,quanti,quanti
MRPL45,-20.3101185591058,3.05644246229187e-07,Q9BRJ2;A0A0G2JMS5;A0A087WU62;A0A087X2D5,Q9BRJ2;A0A0G2JMS5;A0A087WU62;A0A087X2D5,2;2;2;2,2;2;2;2,2;2;2;2,"39S ribosomal protein L45, mitochondrial","sp|Q9BRJ2|RM45_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=2;tr|A0A0G2JMS5|A0A0G2JMS5_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=1;tr|A0A087WU62|A0A087WU62_HUMAN 39S",4,2,2,2,1,2,0,0,1,2,0,0,1,2,0,0,11.1,11.1,11.1,35.351,306,306;256;256;306,0.0012107,2.6055,By MS/MS,By MS/MS,,,0.59883,1.5318,61.528,3,0,Plateau,0.15657,0.426,,,0.45017,1.07,,,,50.732,,,1,2,0,0,0,0,0,0,Median,Median,Median,Median,4.6,11.1,0.0,0.0,92277000,62933000,29344000,25014000,20747000,4267700,67262000,42186000,25076000,0,0,0,0,0,0,,,,25,6981;8954,True;True,8613;11046,19872;19873;25511,32894;32895;32896;32897;41990;41991,32897;41990,,,,,-1;-1;-1;-1,protein_26,imputed MEC,imputed MEC,quanti,quanti
CTNNBL1,-2.38986815232687,0.000648188368210297,Q8WYA6;A0A087WUB9;A2A2P1,Q8WYA6;A0A087WUB9,5;5;1,5;5;1,5;5;1,Beta-catenin-like protein 1,sp|Q8WYA6|CTBL1_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1;tr|A0A087WUB9|A0A087WUB9_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1,3,5,5,5,2,3,1,2,2,3,1,2,2,3,1,2,11.7,11.7,11.7,65.173,563,563;568;166,0.0,5.2498,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.52098,1.2574,32.8,4,1,Median,0.45748,0.57255,,,1.2541,1.2588,,,40.276,40.064,,,2,2,0,0,0,1,0,0,Median,Median,Median,Median,6.0,8.0,2.3,3.7,129950000,89392000,40561000,48875000,30647000,18228000,66051000,43718000,22333000,9026900,9026900,0,5999500,5999500,0,,,,27,4126;8819;9965;13867;16584,True;True;True;True;True,5021;10893;12234;16772;20070,11598;25186;25187;28226;28227;38802;38803;46537,19225;41522;46259;46260;63690;63691;63692;76583,19225;41522;46260;63690;76583,6;7,,457;458,,-1;-1;-1,protein_28,quanti,quanti,quanti,quanti
GMPPA,0.12797804843013,0.811773468294896,Q96IJ6;A0A087WUI8;C9J255;F8WD54;A0A0U1RRC2;C9JAH0,Q96IJ6;A0A087WUI8;C9J255;F8WD54,3;3;2;2;1;1,3;3;2;2;1;1,3;3;2;2;1;1,Mannose-1-phosphate guanyltransferase alpha,sp|Q96IJ6|GMPPA_HUMAN Mannose-1-phosphate guanyltransferase alpha OS=Homo sapiens OX=9606 GN=GMPPA PE=1 SV=1;tr|A0A087WUI8|A0A087WUI8_HUMAN Mannose-1-phosphate guanyltransferase alpha OS=Homo sapiens OX=9606 GN=GMPPA PE=1 SV=1;tr|C9J255|C9J255_HUMAN Mannos,6,3,3,3,2,1,1,1,2,1,1,1,2,1,1,1,11.0,11.0,11.0,46.291,420,420;399;179;290;114;249,0.0,5.239,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43006,0.94489,48.998,5,5,Median,0.39617,0.76296,0.43006,0.59418,0.98496,1.6047,0.45126,0.61104,5.873,,,,2,1,1,1,2,1,1,1,Median,Median,Median,Median,6.7,3.6,4.3,4.3,106300000,68822000,37478000,33410000,21940000,11470000,17484000,11021000,6463000,24346000,16978000,7367800,31061000,18883000,12178000,,,,30,1923;14653;16621,True;True;True,2371;17711;20110,5744;40979;40980;46626;46627,9849;67528;67529;76744;76745,9849;67529;76744,,,,,-1;-1;-1;-1;-1;-1,protein_31,quanti,quanti,quanti,quanti
HNRNPDL,0.381051270574247,0.314442268662231,O14979;A0A087WUK2,O14979;A0A087WUK2,10;10,8;8,8;8,Heterogeneous nuclear ribonucleoprotein D-like,sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3;tr|A0A087WUK2|A0A087WUK2_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,2,10,8,8,5,5,9,6,3,3,7,4,3,3,7,4,19.0,16.7,16.7,46.437,420,420;363,0.0,18.009,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.25898,0.90432,20.857,24,20,Leave out requantified,0.26747,0.30965,0.15719,0.219,0.99733,0.94758,0.1689,0.27704,24.301,30.473,109.09,117.68,4,3,9,8,1,2,9,8,Median,Median,Median,Median,12.1,12.1,19.0,13.1,2670400000,2139300000,531060000,613900000,479620000,134290000,538810000,404600000,134210000,919320000,796080000,123240000,598350000,459020000,139330000,,,,31,2585;3644;4410;4441;10064;10065;11096;11869;13113;14659,True;True;True;False;True;True;True;True;False;True,3176;3177;4451;5391;5435;5436;5437;12340;12341;13535;14469;14470;14471;15900;17719,7533;7534;7535;7536;7537;7538;10303;10304;10305;12407;12523;12524;12525;12526;12527;12528;12529;12530;12531;28475;28476;31222;33298;33299;33300;33301;33302;33303;33304;33305;33306;36666;36667;36668;36669;40996;40997,12761;12762;12763;12764;12765;12766;17096;17097;17098;17099;17100;17101;17102;17103;20648;20822;20823;20824;20825;20826;20827;20828;20829;20830;20831;20832;20833;20834;20835;20836;20837;20838;20839;20840;20841;20842;20843;20844;46673;46674;51196;54498;54499;54500;54501;54502;54503;54504;54505;54506;54507;54508;54509;59967;59968;59969;59970;59971;59972;67565;67566,12763;17102;20648;20837;46673;46674;51196;54501;59969;67565,8;9;10,,197;289;311,,-1;-1,protein_32,quanti,quanti,quanti,quanti
SLIRP,-0.0770955433720744,0.772387432977322,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7;H0YJI1,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7,4;4;4;4;4;3;1,4;4;4;4;4;3;1,4;4;4;4;4;3;1,"SRA stem-loop-interacting RNA-binding protein, mitochondrial","sp|Q9GZT3|SLIRP_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 SV=1;tr|A0A087WUN7|A0A087WUN7_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 ",7,4,4,4,4,3,2,2,4,3,2,2,4,3,2,2,34.9,34.9,34.9,12.349,109,109;92;96;98;124;76;40,0.0,8.9212,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.51702,1.335,24.82,11,5,Leave out requantified,0.49915,0.66547,0.04168,0.054835,1.3419,1.977,0.050051,0.072126,25.744,25.125,84.154,47.901,4,3,2,2,0,1,2,2,Leave out requantified,Median,Median,Median,34.9,33.9,22.0,22.0,673510000,509780000,163730000,198090000,131270000,66827000,203540000,123680000,79855000,142100000,133460000,8644700,129780000,121380000,8398400,,,,33,2181;10620;11833;12596,True;True;True;True,2688;12989;14425;15294,6446;6447;29950;29951;29952;29953;33189;35236;35237;35238;35239,11000;11001;49081;49082;49083;49084;49085;49086;49087;54297;57607;57608;57609;57610;57611;57612;57613;57614;57615;57616;57617,11000;49087;54297;57609,,,,,-1;-1;-1;-1;-1;-1;-1,protein_34,quanti,quanti,quanti,quanti
GPX1,1.42557288953993,0.138380772135841,P07203;A0A087WUQ6;A0A2R8Y6B6;A0A494C1C9;A0A494C118,P07203;A0A087WUQ6;A0A2R8Y6B6,5;5;4;1;1,5;5;4;1;1,5;5;4;1;1,Glutathione peroxidase 1;Glutathione peroxidase,sp|P07203|GPX1_HUMAN Glutathione peroxidase 1 OS=Homo sapiens OX=9606 GN=GPX1 PE=1 SV=4;tr|A0A087WUQ6|A0A087WUQ6_HUMAN Glutathione peroxidase OS=Homo sapiens OX=9606 GN=GPX1 PE=1 SV=1;tr|A0A2R8Y6B6|A0A2R8Y6B6_HUMAN Glutathione peroxidase 1 OS=Homo sapiens ,5,5,5,5,1,1,4,1,1,1,4,1,1,1,4,1,24.1,24.1,24.1,22.088,203,203;202;157;104;170,0.0,6.4954,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.106,0.11375,207.72,6,5,Median,4.9986,,0.106,0.093166,15.871,,0.11375,0.10439,,,30.678,,1,0,4,1,0,0,4,1,Median,Median,Median,Median,5.4,8.9,24.1,5.9,136090000,103140000,32944000,33134000,6201300,26933000,20086000,20086000,0,64298000,60306000,3991600,18568000,16548000,2019500,,,,34,2775;2837;3887;3888;8483,True;True;True;True;True,3417;3491;4743;4744;10483,8082;8240;8241;10954;10955;10956;24231,13631;13853;13854;18184;18185;18186;18187;18188;40006,13631;13854;18185;18187;40006,,,,,-1;-1;-1;-1;-1,protein_35,quanti,quanti,quanti,quanti
EIF5B,-1.26243648124526,0.00678741299138912,O60841;A0A087WUT6,O60841;A0A087WUT6,8;8,8;8,8;8,Eukaryotic translation initiation factor 5B,sp|O60841|IF2P_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4;tr|A0A087WUT6|A0A087WUT6_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=1,2,8,8,8,5,5,2,3,5,5,2,3,5,5,2,3,10.9,10.9,10.9,138.83,1220,1220;1220,0.0,9.504,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.2981,0.83484,19.889,14,8,Leave out requantified,0.32523,0.31699,0.11966,0.31283,1.0537,0.86726,0.12821,0.34781,15.504,16.107,166.18,,6,5,2,1,3,2,2,1,Median,Leave out requantified,Median,Median,7.8,7.5,3.0,3.5,606560000,456090000,150480000,213910000,158230000,55678000,230380000,158660000,71719000,81334000,69003000,12331000,80939000,70190000,10749000,,,,35,4876;5461;5682;6570;7717;8515;8810;10164,True;True;True;True;True;True;True;True,6011;6758;7069;8142;9559;10527;10881;12452,13892;15576;15577;16336;16337;16338;18856;18857;22035;24336;24337;25150;25151;25152;25153;28731,23028;25706;25707;25708;27059;27060;31257;31258;36367;40136;40137;40138;41454;41455;41456;41457;41458;47103,23028;25708;27060;31257;36367;40138;41458;47103,,,,,-1;-1,protein_36,quanti,quanti,quanti,quanti
BSG,-0.206577019057487,0.751204219559072,P35613;A0A087WUV8;A0A087X2B5;R4GMX5;I3L192;R4GN83,P35613;A0A087WUV8;A0A087X2B5;R4GMX5;I3L192;R4GN83,4;4;4;3;3;2,4;4;4;3;3;2,4;4;4;3;3;2,Basigin,sp|P35613|BASI_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=2;tr|A0A087WUV8|A0A087WUV8_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|A0A087X2B5|A0A087X2B5_HUMAN Basigin (Fragment) OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|R4GMX5|R4GMX,6,4,4,4,2,3,3,2,2,3,3,2,2,3,3,2,12.7,12.7,12.7,42.2,385,385;189;221;84;160;52,0.0,7.1842,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.32555,0.81105,133.89,11,11,Median,0.48525,0.46176,0.066801,0.13138,1.6998,1.2796,0.086032,0.13764,0.53148,29.483,53.894,56.121,2,4,3,2,2,4,3,2,Median,Median,Median,Median,6.5,9.1,10.1,7.8,535090000,415350000,119740000,100670000,66260000,34409000,208450000,141610000,66843000,170730000,157950000,12785000,55241000,49534000,5706700,,,,36,3622;5132;12315;13144,True;True;True;True,4429;6324;14969;15934,10239;10240;10241;10242;14613;34443;34444;36750;36751;36752;36753;36754,16996;16997;16998;16999;17000;24206;56371;56372;60105;60106;60107;60108;60109;60110;60111,16999;24206;56371;60106,,,,,-1;-1;-1;-1;-1;-1,protein_37,quanti,quanti,quanti,quanti
SPTBN1,-0.472027764951058,0.343757339202778,Q01082;A0A087WUZ3;F8W6C1,Q01082;A0A087WUZ3,28;28;5,28;28;5,28;28;5,"Spectrin beta chain, non-erythrocytic 1","sp|Q01082|SPTB2_HUMAN Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2;tr|A0A087WUZ3|A0A087WUZ3_HUMAN Spectrin beta chain OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=1",3,28,28,28,13,18,7,11,13,18,7,11,13,18,7,11,16.2,16.2,16.2,274.61,2364,2364;2366;690,0.0,37.693,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48841,1.1233,26.307,48,23,Leave out requantified,0.38968,0.55391,0.15698,0.19333,1.057,1.214,0.16626,0.21886,30.668,23.38,79.573,91.648,13,18,7,10,5,3,7,8,Leave out requantified,Leave out requantified,Median,Median,7.8,11.5,4.1,6.3,1175200000,838630000,336570000,251530000,176790000,74740000,483680000,300430000,183250000,168250000,135960000,32289000,271750000,225450000,46297000,,,,37,1551;2312;2514;3273;3515;3901;5631;6429;6831;6997;7679;8436;9527;9528;10144;10290;11666;12109;13081;13082;13554;13566;13945;14206;14210;14603;14698;15075,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1916;2848;3093;4006;4306;4757;7003;7975;8439;8632;9516;10426;11706;11707;12429;12608;14219;14733;15865;15866;16397;16410;16868;17186;17190;17649;17768;18218,4624;6803;6804;7351;9327;9965;9966;10984;10985;10986;16198;18469;18470;19503;19504;19505;19506;19916;21916;21917;24078;26980;26981;26982;26983;26984;26985;28673;28674;29059;29060;29061;32754;33885;33886;36595;36596;37854;37855;37890;37891;37892;39011;39706;39713;40833;40834;41116;42201,7883;11561;11562;12488;12489;15549;16565;16566;18225;18226;18227;18228;18229;26846;30625;30626;30627;32294;32295;32296;32297;32298;32966;36170;36171;39726;44177;44178;44179;44180;44181;44182;44183;44184;44185;47001;47002;47608;47609;47610;47611;53645;55448;55449;55450;55451;55452;59868;59869;61970;61971;62021;62022;62023;64103;65264;65277;67240;67241;67242;67749;69499,7883;11562;12488;15549;16566;18228;26846;30625;32295;32966;36171;39726;44181;44185;47001;47609;53645;55452;59868;59869;61970;62021;64103;65264;65277;67241;67749;69499,,,,,-1;-1;-1,protein_38,quanti,quanti,quanti,quanti
MTHFD1L,2.29806041521239,0.000626984356626321,Q6UB35;A0A087WVM4;B7ZM99;Q4VXM1;Q4VXM0,Q6UB35;A0A087WVM4;B7ZM99,6;6;6;1;1,4;4;4;1;1,4;4;4;1;1,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial","sp|Q6UB35|C1TM_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1;tr|A0A087WVM4|A0A087WVM4_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 S",5,6,4,4,2,2,4,4,1,1,3,3,1,1,3,3,5.9,4.2,4.2,105.79,978,978;913;979;57;92,0.0,6.4943,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.26891,0.29103,83.988,8,7,Median,0.4209,0.50587,0.15614,0.25709,0.9629,1.0125,0.16674,0.28505,,,39.85,80.959,1,1,3,3,1,0,3,3,Median,Median,Median,Median,2.2,2.0,4.0,3.9,155530000,120430000,35100000,12170000,8631800,3537900,15610000,10571000,5039600,74357000,61153000,13204000,53389000,40070000,13318000,,,,42,2355;3608;7926;9666;13849;15271,True;False;True;True;True;False,2902;4414;9832;11877;16746;18492,6947;10211;22730;22731;27351;27352;38721;38722;38723;42861;42862;42863;42864;42865,11837;16942;37487;37488;44797;44798;63528;63529;63530;70609;70610;70611;70612;70613;70614;70615;70616,11837;16942;37488;44797;63529;70613,,,,,-1;-1;-1;-1;-1,protein_43,quanti,quanti,quanti,quanti
NOMO2;NOMO1;NOMO3,-19.5447103199727,8.37936366142246e-07,Q5JPE7;Q15155;P69849;A0A0G2JP90;A0A087WW46;J3KN36;A0A0G2JN29;A0A087X117,Q5JPE7;Q15155;P69849;A0A0G2JP90;A0A087WW46;J3KN36;A0A0G2JN29;A0A087X117,2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2,Nodal modulator 2;Nodal modulator 1;Nodal modulator 3,sp|Q5JPE7|NOMO2_HUMAN Nodal modulator 2 OS=Homo sapiens OX=9606 GN=NOMO2 PE=1 SV=1;sp|Q15155|NOMO1_HUMAN Nodal modulator 1 OS=Homo sapiens OX=9606 GN=NOMO1 PE=1 SV=5;sp|P69849|NOMO3_HUMAN Nodal modulator 3 OS=Homo sapiens OX=9606 GN=NOMO3 PE=1 SV=2;tr|A0A0,8,2,2,2,1,2,0,0,1,2,0,0,1,2,0,0,2.8,2.8,2.8,139.44,1267,1267;1222;1222;1100;1100;1267;1267;1267,0.00064267,2.9343,By MS/MS,By MS/MS,,,0.77802,1.8754,48.975,3,1,Median,0.48568,1.0379,,,1.3624,2.5853,,,,45.404,,,1,2,0,0,0,1,0,0,Median,Median,Median,Median,2.1,2.8,0.0,0.0,82083000,38388000,43695000,22146000,11101000,11044000,59938000,27286000,32651000,0,0,0,0,0,0,,,,45,3266;12194,True;True,3998;14835,9311;9312;34136;34137,15527;15528;55873;55874,15527;55874,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_46,imputed MEC,imputed MEC,quanti,quanti
POLD2,-18.9206476563284,1.23473692967951e-07,P49005;F8W8R3;A0A087WWF6;C9JHC7;H7C1B3;C9IZD2;C9J8Z7;C9JLE1,P49005;F8W8R3;A0A087WWF6;C9JHC7,3;3;3;2;1;1;1;1,3;3;3;2;1;1;1;1,3;3;3;2;1;1;1;1,DNA polymerase delta subunit 2,sp|P49005|DPOD2_HUMAN DNA polymerase delta subunit 2 OS=Homo sapiens OX=9606 GN=POLD2 PE=1 SV=1;tr|F8W8R3|F8W8R3_HUMAN DNA polymerase delta subunit 2 OS=Homo sapiens OX=9606 GN=POLD2 PE=1 SV=1;tr|A0A087WWF6|A0A087WWF6_HUMAN DNA polymerase delta subunit 2 O,8,3,3,3,1,2,0,0,1,2,0,0,1,2,0,0,8.5,8.5,8.5,51.289,469,469;455;504;257;83;148;155;220,0.0012262,2.6515,By MS/MS,By MS/MS,,,2.9798,7.1664,54.271,3,2,Plateau,0.92703,2.2451,,,2.4934,5.3717,,,,44.312,,,1,2,0,0,1,1,0,0,Median,Median,Median,Median,3.0,5.5,0.0,0.0,70267000,23171000,47096000,19603000,8997400,10606000,50664000,14173000,36491000,0,0,0,0,0,0,,,,48,3820;8458;15111,True;True;True,4664;10452;18277,10768;24135;42338,17870;39821;69728;69729,17870;39821;69728,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_49,imputed MEC,imputed MEC,quanti,quanti
HYOU1,-1.83324896954088,0.00179757910136807,Q9Y4L1;E9PJ21;A0A087WWI4;K7EQK2;A0A087X054;A0A494C039;J3KTF1,Q9Y4L1;E9PJ21;A0A087WWI4;K7EQK2;A0A087X054;A0A494C039,8;8;8;8;8;8;1,8;8;8;8;8;8;1,8;8;8;8;8;8;1,Hypoxia up-regulated protein 1,sp|Q9Y4L1|HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|E9PJ21|E9PJ21_HUMAN Hypoxia up-regulated protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A087WWI4|A0A087WWI4_HUMAN Hypoxia up-regulated ,7,8,8,8,4,6,2,2,4,6,2,2,4,6,2,2,11.2,11.2,11.2,111.33,999,999;656;677;678;937;1000;224,0.0,11.425,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.36623,0.99812,29.551,15,9,Leave out requantified,0.35483,0.40294,0.56586,0.39992,1.51,0.88625,0.60721,0.45317,31.003,28.408,38.329,,5,7,2,1,3,3,2,1,Linear,Leave out requantified,Median,Median,4.5,7.6,3.2,4.2,350340000,249580000,100750000,103820000,75441000,28375000,176830000,117870000,58959000,41728000,31896000,9832100,27965000,24378000,3587300,,,,49,2320;5280;7713;13983;14444;15406;15622;16777,True;True;True;True;True;True;True;True,2859;6511;9554;16919;17461;18658;18917;20296,6823;15004;22018;22019;39139;39140;40370;43268;43269;43270;43271;43272;43273;43274;43909;43910;47067,11588;24804;36334;36335;36336;36337;64329;64330;66407;71346;71347;71348;71349;71350;71351;71352;72442;72443;77489,11588;24804;36337;64329;66407;71348;72442;77489,,,,,-1;-1;-1;-1;-1;-1;-1,protein_50,quanti,quanti,quanti,quanti
