DCAF6_vs_zBirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
SYMPK,1.2338961679,0.176112881521661,0,Q92797;A0A087WUE9,Q92797;A0A087WUE9,2;1,2;1,2;1,Symplekin,SYMPK,sp|Q92797|SYMPK_HUMAN Symplekin OS=Homo sapiens OX=9606 GN=SYMPK PE=1 SV=2;tr|A0A087WUE9|A0A087WUE9_HUMAN Symplekin OS=Homo sapiens OX=9606 GN=SYMPK PE=1 SV=1,2,2,2.4,1274
RAD50,-0.8498507463,0.00496321832462431,0,Q92878;A0A494C1B7;E7ESD9;A0A494BZX5;A0A494C122;A0A1W2PQ90;E7EN38;A0A494C0Y7;A0A494BZW0;E9PM98;C9JNH8;H7C0P8,Q92878;A0A494C1B7;E7ESD9;A0A494BZX5;A0A494C122;A0A1W2PQ90;E7EN38,7;6;5;5;5;5;4;3;2;2;1;1,7;6;5;5;5;5;4;3;2;2;1;1,7;6;5;5;5;5;4;3;2;2;1;1,DNA repair protein RAD50,RAD50,sp|Q92878|RAD50_HUMAN DNA repair protein RAD50 OS=Homo sapiens OX=9606 GN=RAD50 PE=1 SV=1;tr|A0A494C1B7|A0A494C1B7_HUMAN DNA repair protein RAD50 (Fragment) OS=Homo sapiens OX=9606 GN=RAD50 PE=1 SV=1;tr|E7ESD9|E7ESD9_HUMAN DNA repair protein RAD50 OS=Homo ,7,7,5.7,1312
UFD1L,0.2444966698,0.0923483426991191,0,Q92890;C9IZG3,Q92890,3;1,3;1,3;1,Ubiquitin fusion degradation protein 1 homolog,UFD1L,sp|Q92890|UFD1_HUMAN Ubiquitin recognition factor in ER-associated degradation protein 1 OS=Homo sapiens OX=9606 GN=UFD1 PE=1 SV=3,3,3,11.4,307
UPF1,0.0226063597,0.862457673278095,0,Q92900,Q92900,10,10,10,Regulator of nonsense transcripts 1,UPF1,sp|Q92900|RENT1_HUMAN Regulator of nonsense transcripts 1 OS=Homo sapiens OX=9606 GN=UPF1 PE=1 SV=2,10,10,10.3,1129
SMARCC1,0.1770042372,0.194473024556823,0,Q92922;F8WE13,Q92922,9;1,9;1,4;1,SWI/SNF complex subunit SMARCC1,SMARCC1,sp|Q92922|SMRC1_HUMAN SWI/SNF complex subunit SMARCC1 OS=Homo sapiens OX=9606 GN=SMARCC1 PE=1 SV=3,9,4,10,1105
TNPO1,0.1264194256,0.418038852858861,0,Q92973;O14787;A0A075B780;K7ENW1;K7ESC1;E7EW37;S4R398,Q92973,8;3;3;2;2;2;1,8;3;3;2;2;2;1,8;3;3;2;2;2;1,Transportin-1,TNPO1,sp|Q92973|TNPO1_HUMAN Transportin-1 OS=Homo sapiens OX=9606 GN=TNPO1 PE=1 SV=2,8,8,9.8,898
EMG1,-0.0087891199,0.957219786284728,0,Q92979;V9GYP5;A0A087WWQ2;A0A087WVM7,Q92979;V9GYP5;A0A087WWQ2;A0A087WVM7,4;3;3;2,4;3;3;2,4;3;3;2,Ribosomal RNA small subunit methyltransferase NEP1,EMG1,sp|Q92979|NEP1_HUMAN Ribosomal RNA small subunit methyltransferase NEP1 OS=Homo sapiens OX=9606 GN=EMG1 PE=1 SV=4;tr|V9GYP5|V9GYP5_HUMAN Ribosomal RNA small subunit methyltransferase NEP1 (Fragment) OS=Homo sapiens OX=9606 GN=EMG1 PE=1 SV=2;tr|A0A087WWQ2|A,4,4,19.3,244
GLMN,-1.6687041812,0.000317680907187504,1,Q92990;M0QXG8,Q92990;M0QXG8,2;1,2;1,2;1,Glomulin,GLMN,sp|Q92990|GLMN_HUMAN Glomulin OS=Homo sapiens OX=9606 GN=GLMN PE=1 SV=2;tr|M0QXG8|M0QXG8_HUMAN Glomulin (Fragment) OS=Homo sapiens OX=9606 GN=GLMN PE=1 SV=2,2,2,5.6,594
HIST1H2AC;HIST3H2A;HIST1H2AB,-0.0368027519,0.741920549468546,0,Q93077;Q7L7L0;P04908;A0A3B3IS11,Q93077;Q7L7L0;P04908;A0A3B3IS11,14;12;12;7,2;2;2;0,2;2;2;0,Histone H2A type 1-C;Histone H2A type 3;Histone H2A type 1-B/E,HIST1H2AC;HIST3H2A;HIST1H2AB,sp|Q93077|H2A1C_HUMAN Histone H2A type 1-C OS=Homo sapiens OX=9606 GN=H2AC6 PE=1 SV=3;sp|Q7L7L0|H2A3_HUMAN Histone H2A type 3 OS=Homo sapiens OX=9606 GN=H2AW PE=1 SV=3;sp|P04908|H2A1B_HUMAN Histone H2A type 1-B/E OS=Homo sapiens OX=9606 GN=H2AC4 PE=1 SV=2;,14,2,76.2,130
MYDGF,-0.1507435467,0.249804154251941,0,Q969H8;M0QXF7;M0QYN0,Q969H8;M0QXF7;M0QYN0,8;5;5,8;5;5,8;5;5,Myeloid-derived growth factor,MYDGF,sp|Q969H8|MYDGF_HUMAN Myeloid-derived growth factor OS=Homo sapiens OX=9606 GN=MYDGF PE=1 SV=1;tr|M0QXF7|M0QXF7_HUMAN Myeloid-derived growth factor (Fragment) OS=Homo sapiens OX=9606 GN=MYDGF PE=1 SV=1;tr|M0QYN0|M0QYN0_HUMAN Myeloid-derived growth factor O,8,8,40.5,173
TBRG4,0.0464688208,0.881704514299212,0,Q969Z0;C9IZN7;C9J7P5,Q969Z0;C9IZN7,4;2;1,4;2;1,4;2;1,Protein TBRG4,TBRG4,sp|Q969Z0|FAKD4_HUMAN FAST kinase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=TBRG4 PE=1 SV=1;tr|C9IZN7|C9IZN7_HUMAN FAST kinase domain-containing protein 4 (Fragment) OS=Homo sapiens OX=9606 GN=TBRG4 PE=1 SV=1,4,4,5.5,631
LRRC59,0.1799743063,0.160136470856622,0,Q96AG4;I3L223,Q96AG4,16;1,16;1,16;1,Leucine-rich repeat-containing protein 59,LRRC59,sp|Q96AG4|LRC59_HUMAN Leucine-rich repeat-containing protein 59 OS=Homo sapiens OX=9606 GN=LRRC59 PE=1 SV=1,16,16,43.3,307
FKBP10,0.0700615784,0.577995629972592,0,Q96AY3;K7ESG6;K7ELI6;C9JPC3;K7EM43;H0Y827,Q96AY3;K7ESG6,5;3;2;1;1;1,5;3;2;1;1;1,5;3;2;1;1;1,Peptidyl-prolyl cis-trans isomerase FKBP10;Peptidyl-prolyl cis-trans isomerase,FKBP10,sp|Q96AY3|FKB10_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP10 OS=Homo sapiens OX=9606 GN=FKBP10 PE=1 SV=1;tr|K7ESG6|K7ESG6_HUMAN Peptidylprolyl isomerase (Fragment) OS=Homo sapiens OX=9606 GN=FKBP10 PE=1 SV=1,5,5,10.1,582
COA7,-0.4749078937,0.0144237074303181,0,Q96BR5,Q96BR5,2,2,2,Cytochrome c oxidase assembly factor 7,COA7,sp|Q96BR5|COA7_HUMAN Cytochrome c oxidase assembly factor 7 OS=Homo sapiens OX=9606 GN=COA7 PE=1 SV=2,2,2,10.4,231
FAM136A,0.3710859542,0.396621167145243,0,Q96C01;E7EQY1;C9J2Y4,Q96C01;E7EQY1,6;4;2,6;4;2,6;4;2,Protein FAM136A,FAM136A,sp|Q96C01|F136A_HUMAN Protein FAM136A OS=Homo sapiens OX=9606 GN=FAM136A PE=1 SV=1;tr|E7EQY1|E7EQY1_HUMAN Protein FAM136A OS=Homo sapiens OX=9606 GN=FAM136A PE=1 SV=1,6,6,26.1,138
ULK4,-4.1089475933,1.64281111714024e-05,1,Q96C45;A0A0C4DG77,Q96C45;A0A0C4DG77,2;1,2;1,2;1,Serine/threonine-protein kinase ULK4,ULK4,sp|Q96C45|ULK4_HUMAN Serine/threonine-protein kinase ULK4 OS=Homo sapiens OX=9606 GN=ULK4 PE=1 SV=2;tr|A0A0C4DG77|A0A0C4DG77_HUMAN Serine/threonine-protein kinase ULK4 OS=Homo sapiens OX=9606 GN=ULK4 PE=1 SV=1,2,2,2.4,1275
PPP1R14B,0.4764682415,0.10164779770141,0,Q96C90,Q96C90,2,2,2,Protein phosphatase 1 regulatory subunit 14B,PPP1R14B,sp|Q96C90|PP14B_HUMAN Protein phosphatase 1 regulatory subunit 14B OS=Homo sapiens OX=9606 GN=PPP1R14B PE=1 SV=3,2,2,34.7,147
SNRNP40,0.4090723478,0.0417030263659188,0,Q96DI7;Q9NSS8,Q96DI7,8;3,8;3,8;3,U5 small nuclear ribonucleoprotein 40 kDa protein,SNRNP40,sp|Q96DI7|SNR40_HUMAN U5 small nuclear ribonucleoprotein 40 kDa protein OS=Homo sapiens OX=9606 GN=SNRNP40 PE=1 SV=1,8,8,29.7,357
SEH1L,-0.5325393051,0.0211459164154062,0,Q96EE3;K7ELV2;K7ENI5;K7EP88;K7EPZ5,Q96EE3;K7ELV2;K7ENI5;K7EP88,5;4;3;3;1,5;4;3;3;1,5;4;3;3;1,Nucleoporin SEH1,SEH1L,sp|Q96EE3|SEH1_HUMAN Nucleoporin SEH1 OS=Homo sapiens OX=9606 GN=SEH1L PE=1 SV=3;tr|K7ELV2|K7ELV2_HUMAN Nucleoporin SEH1 (Fragment) OS=Homo sapiens OX=9606 GN=SEH1L PE=1 SV=1;tr|K7ENI5|K7ENI5_HUMAN Nucleoporin SEH1 (Fragment) OS=Homo sapiens OX=9606 GN=SEH,5,5,21.7,360
ERO1L,-0.2697336809,0.223770565617245,0,Q96HE7;G3V3E6;G3V503;G3V5B3;Q86YB8,Q96HE7;G3V3E6,8;4;3;2;1,8;4;3;2;1,8;4;3;2;1,ERO1-like protein alpha,ERO1L,sp|Q96HE7|ERO1A_HUMAN ERO1-like protein alpha OS=Homo sapiens OX=9606 GN=ERO1A PE=1 SV=2;tr|G3V3E6|G3V3E6_HUMAN ERO1-like protein alpha OS=Homo sapiens OX=9606 GN=ERO1A PE=1 SV=1,8,8,20.5,468
PGAM5,-0.4474057045,0.0893589169707465,0,Q96HS1;F5GXG4,Q96HS1,11;4,11;4,11;4,"Serine/threonine-protein phosphatase PGAM5, mitochondrial",PGAM5,"sp|Q96HS1|PGAM5_HUMAN Serine/threonine-protein phosphatase PGAM5, mitochondrial OS=Homo sapiens OX=9606 GN=PGAM5 PE=1 SV=2",11,11,32.5,289
FUBP3,0.3902964815,0.0683394427525865,0,Q96I24;A0A494C1K6,Q96I24,7;1,5;1,5;1,Far upstream element-binding protein 3,FUBP3,sp|Q96I24|FUBP3_HUMAN Far upstream element-binding protein 3 OS=Homo sapiens OX=9606 GN=FUBP3 PE=1 SV=2,7,5,18.7,572
SUCLG2,-0.1973283714,0.143219723948905,0,Q96I99;E9PDQ8;H0Y852,Q96I99;E9PDQ8,9;8;3,9;8;3,9;8;3,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial",SUCLG2,"sp|Q96I99|SUCB2_HUMAN Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG2 PE=1 SV=2;tr|E9PDQ8|E9PDQ8_HUMAN Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG2 PE=1 ",9,9,21.3,432
ABHD14B,0.0611765527,0.619306726170705,0,Q96IU4;F8W9U3;B4DQI4,Q96IU4;F8W9U3;B4DQI4,7;6;5,7;6;5,7;6;5,Alpha/beta hydrolase domain-containing protein 14B,ABHD14B,sp|Q96IU4|ABHEB_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|F8W9U3|F8W9U3_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1;tr|B4DQI4|B4DQI4_HUMAN Protein ABHD14B OS=Homo sapiens OX=9606 GN=ABHD14B PE=1 SV=1,7,7,41,210
CNDP2,-0.1807377336,0.244999429661403,0,Q96KP4;J3QKT2;J3KSV5;A0A087WYZ1;J3KSS4;J3QQN6;J3QR27;J3QLU1;J3QKQ0;J3QRD0;J3QRA8;J3QL02;J3QRP4;A0A087WVS2;J3QRH4;J3KRD5,Q96KP4,14;6;5;5;4;4;4;4;4;4;4;4;2;2;2;1,14;6;5;5;4;4;4;4;4;4;4;4;2;2;2;1,14;6;5;5;4;4;4;4;4;4;4;4;2;2;2;1,Cytosolic non-specific dipeptidase,CNDP2,sp|Q96KP4|CNDP2_HUMAN Cytosolic non-specific dipeptidase OS=Homo sapiens OX=9606 GN=CNDP2 PE=1 SV=2,14,14,42.7,475
PRRC1,0.0908303529,0.665153964129014,0,Q96M27,Q96M27,3,3,3,Protein PRRC1,PRRC1,sp|Q96M27|PRRC1_HUMAN Protein PRRC1 OS=Homo sapiens OX=9606 GN=PRRC1 PE=1 SV=1,3,3,6.3,445
NSUN5,0.0662897499,0.846340975478802,0,Q96P11;Q63ZY6;Q3KNT7,Q96P11,7;2;2,7;2;2,7;2;2,Probable 28S rRNA (cytosine-C(5))-methyltransferase,NSUN5,sp|Q96P11|NSUN5_HUMAN 28S rRNA (cytosine-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NSUN5 PE=1 SV=2,7,7,26.8,429
ARAP1,-0.2369476295,0.432407009608332,0,Q96P48;E7EU13,Q96P48,3;1,3;1,3;1,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1",ARAP1,"sp|Q96P48|ARAP1_HUMAN Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ARAP1 PE=1 SV=3",3,3,3.4,1450
RBM14,0.0896029666,0.490884629126786,0,Q96PK6;A0A0A6YYI9;F8WDX3;A0A0A0MSL8;B8ZZ74,Q96PK6,17;4;4;4;4,17;4;4;4;4,17;4;4;4;4,RNA-binding protein 14,RBM14,sp|Q96PK6|RBM14_HUMAN RNA-binding protein 14 OS=Homo sapiens OX=9606 GN=RBM14 PE=1 SV=2,17,17,29.9,669
VPS35,-0.1884108933,0.308417177260676,0,Q96QK1;I3L4S0;A0A1W2PP10;A0A3B3ITD4,Q96QK1,8;1;1;1,8;1;1;1,8;1;1;1,Vacuolar protein sorting-associated protein 35,VPS35,sp|Q96QK1|VPS35_HUMAN Vacuolar protein sorting-associated protein 35 OS=Homo sapiens OX=9606 GN=VPS35 PE=1 SV=2,8,8,14.1,796
PURB,-0.1069124552,0.474275091516495,0,Q96QR8,Q96QR8,6,6,5,Transcriptional activator protein Pur-beta,PURB,sp|Q96QR8|PURB_HUMAN Transcriptional activator protein Pur-beta OS=Homo sapiens OX=9606 GN=PURB PE=1 SV=3,6,5,30.1,312
CDC5L,-0.3088351564,0.122675307883008,0,Q99459,Q99459,8,8,8,Cell division cycle 5-like protein,CDC5L,sp|Q99459|CDC5L_HUMAN Cell division cycle 5-like protein OS=Homo sapiens OX=9606 GN=CDC5L PE=1 SV=2,8,8,10.1,802
PSMD1,-0.1627321232,0.306965145061136,0,Q99460;A0A087WW66;H7C378;C9J9M4;F8WCE3;H7BZR6,Q99460;A0A087WW66,8;7;3;2;1;1,8;7;3;2;1;1,8;7;3;2;1;1,26S proteasome non-ATPase regulatory subunit 1,PSMD1,sp|Q99460|PSMD1_HUMAN 26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens OX=9606 GN=PSMD1 PE=1 SV=2;tr|A0A087WW66|A0A087WW66_HUMAN 26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens OX=9606 GN=PSMD1 PE=1 SV=1,8,8,9.7,953
VAT1,0.1815589504,0.206382982885091,0,Q99536;K7ERT7;K7ESA3;K7ENX2;K7EM19;K7EJM4,Q99536;K7ERT7,13;7;5;2;2;1,13;7;5;2;2;1,13;7;5;2;2;1,Synaptic vesicle membrane protein VAT-1 homolog,VAT1,sp|Q99536|VAT1_HUMAN Synaptic vesicle membrane protein VAT-1 homolog OS=Homo sapiens OX=9606 GN=VAT1 PE=1 SV=2;tr|K7ERT7|K7ERT7_HUMAN Synaptic vesicle membrane protein VAT-1 homolog (Fragment) OS=Homo sapiens OX=9606 GN=VAT1 PE=1 SV=1,13,13,29.8,393
PLIN2,1.1083708653,0.0091556494922448,1,Q99541;Q5SYF3;Q5SYF5;Q5SYF4,Q99541,8;2;2;2,8;2;2;2,8;2;2;2,Perilipin-2,PLIN2,sp|Q99541|PLIN2_HUMAN Perilipin-2 OS=Homo sapiens OX=9606 GN=PLIN2 PE=1 SV=2,8,8,28.6,437
S100A13,-0.057079062,0.787575821075327,0,Q99584,Q99584,1,1,1,Protein S100-A13,S100A13,sp|Q99584|S10AD_HUMAN Protein S100-A13 OS=Homo sapiens OX=9606 GN=S100A13 PE=1 SV=1,1,1,10.2,98
EIF3C;EIF3CL,0.0932429947,0.578796612596578,0,Q99613;B5ME19;H3BPE4;H3BTY8;H3BPE3,Q99613;B5ME19,15;14;2;1;1,15;14;2;1;1,15;14;2;1;1,Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein,EIF3C;EIF3CL,sp|Q99613|EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1;sp|B5ME19|EIFCL_HUMAN Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=1 SV=1,15,15,16.8,913
PHB2,0.0659326823,0.679251011705349,0,Q99623;J3KPX7;F5GY37;F5GWA7;F5H3X6;F5H0C5;F5H2D2;U3KPZ5,Q99623;J3KPX7;F5GY37;F5GWA7,36;35;33;23;17;10;8;2,36;35;33;23;17;10;8;2,36;35;33;23;17;10;8;2,Prohibitin-2,PHB2,sp|Q99623|PHB2_HUMAN Prohibitin-2 OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=2;tr|J3KPX7|J3KPX7_HUMAN Prohibitin OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=2;tr|F5GY37|F5GY37_HUMAN Prohibitin OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=1;tr|F5GWA7|F5GWA7_HUMAN Prohi,36,36,86,299
KIF2C,-0.7279938703,0.00396376105591589,0,Q99661;H0Y5Z9;Q5JR89;Q5JR91,Q99661,5;2;2;2,5;2;2;2,5;2;2;2,Kinesin-like protein KIF2C,KIF2C,sp|Q99661|KIF2C_HUMAN Kinesin-like protein KIF2C OS=Homo sapiens OX=9606 GN=KIF2C PE=1 SV=2,5,5,10.2,725
HSD17B10,0.1826420877,0.139378371772005,0,Q99714;Q5H928,Q99714;Q5H928,16;10,16;10,16;10,3-hydroxyacyl-CoA dehydrogenase type-2,HSD17B10,sp|Q99714|HCD2_HUMAN 3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens OX=9606 GN=HSD17B10 PE=1 SV=3;tr|Q5H928|Q5H928_HUMAN 3-hydroxyacyl-CoA dehydrogenase type-2 OS=Homo sapiens OX=9606 GN=HSD17B10 PE=1 SV=1,16,16,92.3,261
CCT7,-0.0850465606,0.461915936141167,0,Q99832;F8WAM2;F8WBP8;A0A0D9SG95,Q99832,43;9;3;1,43;9;3;1,43;9;3;1,T-complex protein 1 subunit eta,CCT7,sp|Q99832|TCPH_HUMAN T-complex protein 1 subunit eta OS=Homo sapiens OX=9606 GN=CCT7 PE=1 SV=2,43,43,71.8,543
HIST1H2BL,-0.5022547684,0.0210385568794003,0,Q99880,Q99880,25,3,2,Histone H2B type 1-L,HIST1H2BL,sp|Q99880|H2B1L_HUMAN Histone H2B type 1-L OS=Homo sapiens OX=9606 GN=H2BC13 PE=1 SV=3,25,2,91.3,126
NIPSNAP1,-0.1618303345,0.305699825745331,0,Q9BPW8;H7C2U6;C9JDV8;F8WCR5,Q9BPW8;H7C2U6,9;5;3;1,9;5;3;1,9;5;3;1,Protein NipSnap homolog 1,NIPSNAP1,sp|Q9BPW8|NIPS1_HUMAN Protein NipSnap homolog 1 OS=Homo sapiens OX=9606 GN=NIPSNAP1 PE=1 SV=1;tr|H7C2U6|H7C2U6_HUMAN Protein NipSnap homolog 1 (Fragment) OS=Homo sapiens OX=9606 GN=NIPSNAP1 PE=1 SV=1,9,9,43,284
NCAPG,-1.185138017,0.0759762571539939,0,Q9BPX3;D6RA93;H0Y9Z8,Q9BPX3;D6RA93,5;3;1,5;3;1,5;3;1,Condensin complex subunit 3,NCAPG,sp|Q9BPX3|CND3_HUMAN Condensin complex subunit 3 OS=Homo sapiens OX=9606 GN=NCAPG PE=1 SV=1;tr|D6RA93|D6RA93_HUMAN Condensin complex subunit 3 OS=Homo sapiens OX=9606 GN=NCAPG PE=1 SV=1,5,5,6.6,1015
WDR77,0.1101399883,0.635676594697916,0,Q9BQA1;H0Y711,Q9BQA1;H0Y711,4;2,4;2,4;2,Methylosome protein 50,WDR77,sp|Q9BQA1|MEP50_HUMAN Methylosome protein 50 OS=Homo sapiens OX=9606 GN=WDR77 PE=1 SV=1;tr|H0Y711|H0Y711_HUMAN Methylosome protein 50 (Fragment) OS=Homo sapiens OX=9606 GN=WDR77 PE=1 SV=1,4,4,11.1,342
MYBBP1A,1.8884525563,0.000238044484347604,1,Q9BQG0;I3L1L3,Q9BQG0;I3L1L3,12;10,12;10,12;10,Myb-binding protein 1A,MYBBP1A,sp|Q9BQG0|MBB1A_HUMAN Myb-binding protein 1A OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=2;tr|I3L1L3|I3L1L3_HUMAN Myb-binding protein 1A (Fragment) OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=1,12,12,11.9,1328
CORO1B,-0.3626954081,0.0344277200495659,0,Q9BR76;A0A087WW53;F5H390;F5H0D2,Q9BR76;A0A087WW53;F5H390,10;5;5;2,10;5;5;2,9;5;5;2,Coronin-1B;Coronin,CORO1B,sp|Q9BR76|COR1B_HUMAN Coronin-1B OS=Homo sapiens OX=9606 GN=CORO1B PE=1 SV=1;tr|A0A087WW53|A0A087WW53_HUMAN Coronin OS=Homo sapiens OX=9606 GN=CORO1B PE=1 SV=1;tr|F5H390|F5H390_HUMAN Coronin OS=Homo sapiens OX=9606 GN=CORO1B PE=1 SV=1,10,9,28.8,489
ERP44,-0.2336300389,0.0758865881416529,0,Q9BS26,Q9BS26,12,12,12,Endoplasmic reticulum resident protein 44,ERP44,sp|Q9BS26|ERP44_HUMAN Endoplasmic reticulum resident protein 44 OS=Homo sapiens OX=9606 GN=ERP44 PE=1 SV=1,12,12,31.5,406
TACO1,0.5419507585,0.0629870725322352,0,Q9BSH4,Q9BSH4,5,5,5,Translational activator of cytochrome c oxidase 1,TACO1,sp|Q9BSH4|TACO1_HUMAN Translational activator of cytochrome c oxidase 1 OS=Homo sapiens OX=9606 GN=TACO1 PE=1 SV=1,5,5,22.2,297
ESYT1,0.0225739824,0.894320559656896,0,Q9BSJ8;F8VZB1,Q9BSJ8,22;4,22;4,22;4,Extended synaptotagmin-1,ESYT1,sp|Q9BSJ8|ESYT1_HUMAN Extended synaptotagmin-1 OS=Homo sapiens OX=9606 GN=ESYT1 PE=1 SV=1,22,22,23.5,1104
ANP32E,0.9360610218,0.16815453721107,0,Q9BTT0;E9PPH5;Q5TB19;E9PLC4;E9PI45;Q5TB25,Q9BTT0;E9PPH5;Q5TB19;E9PLC4,3;2;2;2;1;1,3;2;2;2;1;1,3;2;2;2;1;1,Acidic leucine-rich nuclear phosphoprotein 32 family member E,ANP32E,sp|Q9BTT0|AN32E_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens OX=9606 GN=ANP32E PE=1 SV=1;tr|E9PPH5|E9PPH5_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member E (Fragment) OS=Homo sapiens OX=9606 GN=ANP32,3,3,11.2,268
TUBB6,0.3125039587,0.0385075418204476,0,Q9BUF5;K7ESM5;K7EL29;K7EN98;K7ESQ3;K7EQT3;K7EJ64;K7ERA8;K7EJZ4;K7EPE5;K7ES63,Q9BUF5;K7ESM5,28;20;7;7;6;6;6;6;6;6;3,20;12;7;7;6;6;6;6;6;6;2,17;9;7;7;6;6;6;6;6;6;2,Tubulin beta-6 chain,TUBB6,sp|Q9BUF5|TBB6_HUMAN Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1;tr|K7ESM5|K7ESM5_HUMAN Tubulin beta chain (Fragment) OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1,28,17,65.5,446
BDH2,-2.2203088011,0.0263711087975339,1,Q9BUT1;D6RIR6;D6RFG2;D6R9P2;D6R9U8,Q9BUT1;D6RIR6,4;2;1;1;1,4;2;1;1;1,4;2;1;1;1,3-hydroxybutyrate dehydrogenase type 2,BDH2,sp|Q9BUT1|BDH2_HUMAN 3-hydroxybutyrate dehydrogenase type 2 OS=Homo sapiens OX=9606 GN=BDH2 PE=1 SV=2;tr|D6RIR6|D6RIR6_HUMAN 3-hydroxybutyrate dehydrogenase type 2 (Fragment) OS=Homo sapiens OX=9606 GN=BDH2 PE=1 SV=1,4,4,29.4,245
NTMT1,-0.0319167201,0.789236646319247,0,Q9BV86;S4R344;S4R3J7,Q9BV86,3;1;1,3;1;1,3;1;1,"N-terminal Xaa-Pro-Lys N-methyltransferase 1;N-terminal Xaa-Pro-Lys N-methyltransferase 1, N-terminally processed",NTMT1,sp|Q9BV86|NTM1A_HUMAN N-terminal Xaa-Pro-Lys N-methyltransferase 1 OS=Homo sapiens OX=9606 GN=NTMT1 PE=1 SV=3,3,3,19.7,223
TUBB2B,0.3786556164,0.0449247758713756,0,Q9BVA1,Q9BVA1,33,5,1,Tubulin beta-2B chain,TUBB2B,sp|Q9BVA1|TBB2B_HUMAN Tubulin beta-2B chain OS=Homo sapiens OX=9606 GN=TUBB2B PE=1 SV=1,33,1,62.5,445
PBDC1,0.0302192738,0.793870699477606,0,Q9BVG4,Q9BVG4,1,1,1,Protein PBDC1,PBDC1,sp|Q9BVG4|PBDC1_HUMAN Protein PBDC1 OS=Homo sapiens OX=9606 GN=PBDC1 PE=1 SV=1,1,1,4.3,233
TMED9,-0.2132624553,0.454659717603139,0,Q9BVK6,Q9BVK6,5,5,4,Transmembrane emp24 domain-containing protein 9,TMED9,sp|Q9BVK6|TMED9_HUMAN Transmembrane emp24 domain-containing protein 9 OS=Homo sapiens OX=9606 GN=TMED9 PE=1 SV=2,5,4,23.4,235
GNL3,0.0168154643,0.936706850279326,0,Q9BVP2,Q9BVP2,5,5,5,Guanine nucleotide-binding protein-like 3,GNL3,sp|Q9BVP2|GNL3_HUMAN Guanine nucleotide-binding protein-like 3 OS=Homo sapiens OX=9606 GN=GNL3 PE=1 SV=2,5,5,11.1,549
ACAT2,2.1705551043,0.00547734819083458,1,Q9BWD1,Q9BWD1,4,4,4,"Acetyl-CoA acetyltransferase, cytosolic",ACAT2,"sp|Q9BWD1|THIC_HUMAN Acetyl-CoA acetyltransferase, cytosolic OS=Homo sapiens OX=9606 GN=ACAT2 PE=1 SV=2",4,4,19.4,397
