POC1B_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
PRDX1,0.110746086,0.309086939900049,0,Q06830;A0A0A0MSI0;A0A0A0MRQ5,Q06830;A0A0A0MSI0,27;26;8,27;26;8,24;23;5,Peroxiredoxin-1,PRDX1,sp|Q06830|PRDX1_HUMAN Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1;tr|A0A0A0MSI0|A0A0A0MSI0_HUMAN Peroxiredoxin-1 (Fragment) OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1,27,24,91.5,199
CKAP4,-0.1096352477,0.543327040150635,0,Q07065,Q07065,10,10,10,Cytoskeleton-associated protein 4,CKAP4,sp|Q07065|CKAP4_HUMAN Cytoskeleton-associated protein 4 OS=Homo sapiens OX=9606 GN=CKAP4 PE=1 SV=2,10,10,26.4,602
KHDRBS1,0.124667054,0.326608213902989,0,Q07666;Q5VWX1,Q07666,3;1,3;1,3;1,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",KHDRBS1,"sp|Q07666|KHDR1_HUMAN KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Homo sapiens OX=9606 GN=KHDRBS1 PE=1 SV=1",3,3,7.9,443
BAX,-0.2658593266,0.246214097946058,0,Q07812;K4JQN1,Q07812;K4JQN1,2;1,2;1,2;1,Apoptosis regulator BAX,BAX,sp|Q07812|BAX_HUMAN Apoptosis regulator BAX OS=Homo sapiens OX=9606 GN=BAX PE=1 SV=1;tr|K4JQN1|K4JQN1_HUMAN Apoptosis regulator BAX OS=Homo sapiens OX=9606 GN=BAX PE=1 SV=1,2,2,13.5,192
ARHGAP1,-0.2948833775,0.183303241252926,0,Q07960;E9PNR6;H0YE29,Q07960,3;1;1,3;1;1,3;1;1,Rho GTPase-activating protein 1,ARHGAP1,sp|Q07960|RHG01_HUMAN Rho GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARHGAP1 PE=1 SV=1,3,3,8.2,439
PPP3CA;PPP3CB,-0.0573274137,0.597219964907208,0,Q08209;P16298;E9PPC8;E9PK68;E7ETC2;Q5F2F8;P48454;H0YC26,Q08209;P16298;E9PPC8;E9PK68;E7ETC2;Q5F2F8,3;2;2;2;2;2;1;1,3;2;2;2;2;2;1;1,3;2;2;2;2;2;1;1,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform;Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform;Serine/threonine-protein phosphatase,PPP3CA;PPP3CB,sp|Q08209|PP2BA_HUMAN Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform OS=Homo sapiens OX=9606 GN=PPP3CA PE=1 SV=1;sp|P16298|PP2BB_HUMAN Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform OS=Homo sapiens OX=9606 G,3,3,7.5,521
DHX9,-0.0406720821,0.68924216749517,0,Q08211,Q08211,32,32,32,ATP-dependent RNA helicase A,DHX9,sp|Q08211|DHX9_HUMAN ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4,32,32,30.5,1270
PPID,0.0999637329,0.697421435324946,0,Q08752;H0Y8J0,Q08752,3;1,3;1,3;1,Peptidyl-prolyl cis-trans isomerase D,PPID,sp|Q08752|PPID_HUMAN Peptidyl-prolyl cis-trans isomerase D OS=Homo sapiens OX=9606 GN=PPID PE=1 SV=3,3,3,11.4,370
SSRP1,-0.3011216388,0.0440371564634658,0,Q08945;A0A0U1RRK2;E9PMD4,Q08945,14;3;2,14;3;2,14;3;2,FACT complex subunit SSRP1,SSRP1,sp|Q08945|SSRP1_HUMAN FACT complex subunit SSRP1 OS=Homo sapiens OX=9606 GN=SSRP1 PE=1 SV=1,14,14,25.2,709
NSUN2,0.6607598242,0.00684459204141942,0,Q08J23,Q08J23,12,12,12,tRNA (cytosine(34)-C(5))-methyltransferase,NSUN2,sp|Q08J23|NSUN2_HUMAN RNA cytosine C(5)-methyltransferase NSUN2 OS=Homo sapiens OX=9606 GN=NSUN2 PE=1 SV=2,12,12,20.1,767
RBBP4,-0.2588685251,0.0694434188678543,0,Q09028;H0YCT5;H0YF10;H0YDK2;H0YEU5;E9PNS2;E9PIC4;E9PNS6,Q09028;H0YCT5;H0YF10;H0YDK2,11;6;6;6;5;2;2;2,11;6;6;6;5;2;2;2,6;2;2;2;2;1;1;1,Histone-binding protein RBBP4,RBBP4,sp|Q09028|RBBP4_HUMAN Histone-binding protein RBBP4 OS=Homo sapiens OX=9606 GN=RBBP4 PE=1 SV=3;tr|H0YCT5|H0YCT5_HUMAN Histone-binding protein RBBP4 (Fragment) OS=Homo sapiens OX=9606 GN=RBBP4 PE=1 SV=1;tr|H0YF10|H0YF10_HUMAN Histone-binding protein RBBP4 (,11,6,42.8,425
AHNAK,0.1326515184,0.710862820816223,0,Q09666;E9PQE3;E9PJZ0;E9PKR9;E9PJC6;E9PLK4,Q09666,109;2;2;2;2;2,109;2;2;2;2;2,109;2;2;2;2;2,Neuroblast differentiation-associated protein AHNAK,AHNAK,sp|Q09666|AHNK_HUMAN Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2,109,109,36.2,5890
AP1B1,0.2550174872,0.172445259926581,0,Q10567;C9J1E7,Q10567;C9J1E7,8;5,3;1,3;1,AP-1 complex subunit beta-1,AP1B1,sp|Q10567|AP1B1_HUMAN AP-1 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP1B1 PE=1 SV=2;tr|C9J1E7|C9J1E7_HUMAN AP-1 complex subunit beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=AP1B1 PE=1 SV=1,8,3,9.2,949
PMPCA,-0.3346043089,0.0335674603801678,0,Q10713;Q5SXN9,Q10713,9;3,9;3,9;3,Mitochondrial-processing peptidase subunit alpha,PMPCA,sp|Q10713|MPPA_HUMAN Mitochondrial-processing peptidase subunit alpha OS=Homo sapiens OX=9606 GN=PMPCA PE=1 SV=2,9,9,17.1,525
SCRN1,-0.394643182,0.0101421024161042,0,Q12765;C9J7U9;C9K052;B8ZZP4,Q12765,5;2;2;1,5;2;2;1,5;2;2;1,Secernin-1,SCRN1,sp|Q12765|SCRN1_HUMAN Secernin-1 OS=Homo sapiens OX=9606 GN=SCRN1 PE=1 SV=2,5,5,17.9,414
TWF1,-0.065774156,0.695659705325435,0,Q12792;F8VS81;F8VRG3,Q12792,5;2;1,5;2;1,4;1;1,Twinfilin-1,TWF1,sp|Q12792|TWF1_HUMAN Twinfilin-1 OS=Homo sapiens OX=9606 GN=TWF1 PE=1 SV=3,5,4,16.6,350
SF3A3,-0.1247713203,0.265984167852079,0,Q12874,Q12874,9,9,9,Splicing factor 3A subunit 3,SF3A3,sp|Q12874|SF3A3_HUMAN Splicing factor 3A subunit 3 OS=Homo sapiens OX=9606 GN=SF3A3 PE=1 SV=1,9,9,21,501
AIMP1,-0.1043388414,0.335816534650273,0,Q12904;A0A5F9ZHC5;D6R937,Q12904;A0A5F9ZHC5,7;6;2,7;6;2,7;6;2,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1;Endothelial monocyte-activating polypeptide 2,AIMP1,sp|Q12904|AIMP1_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens OX=9606 GN=AIMP1 PE=1 SV=2;tr|A0A5F9ZHC5|A0A5F9ZHC5_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens OX=9,7,7,32.7,312
ILF2,-0.0467232872,0.630760125222226,0,Q12905;B4DY09;X6R6Z1;A0A0A0MRL0,Q12905;B4DY09;X6R6Z1;A0A0A0MRL0,8;7;4;4,8;7;4;4,8;7;4;4,Interleukin enhancer-binding factor 2,ILF2,sp|Q12905|ILF2_HUMAN Interleukin enhancer-binding factor 2 OS=Homo sapiens OX=9606 GN=ILF2 PE=1 SV=2;tr|B4DY09|B4DY09_HUMAN Interleukin enhancer-binding factor 2 OS=Homo sapiens OX=9606 GN=ILF2 PE=1 SV=1;tr|X6R6Z1|X6R6Z1_HUMAN Interleukin enhancer-binding ,8,8,36.9,390
ILF3,-0.0911544454,0.447662393291328,0,Q12906;K7EKJ9;K7EQR9;K7ERM6;K7ENK6;K7EM82;K7EJ09;K7ER69,Q12906,16;6;5;2;2;2;2;2,16;6;5;2;2;2;2;2,15;6;5;2;2;2;2;2,Interleukin enhancer-binding factor 3,ILF3,sp|Q12906|ILF3_HUMAN Interleukin enhancer-binding factor 3 OS=Homo sapiens OX=9606 GN=ILF3 PE=1 SV=3,16,15,23.9,894
TRAP1,0.0339747216,0.806361668672156,0,Q12931;I3L0K7;I3L239;I3L253;I3L2D5,Q12931;I3L0K7,16;10;4;1;1,16;10;4;1;1,16;10;4;1;1,"Heat shock protein 75 kDa, mitochondrial",TRAP1,"sp|Q12931|TRAP1_HUMAN Heat shock protein 75 kDa, mitochondrial OS=Homo sapiens OX=9606 GN=TRAP1 PE=1 SV=3;tr|I3L0K7|I3L0K7_HUMAN Heat shock protein 75 kDa, mitochondrial OS=Homo sapiens OX=9606 GN=TRAP1 PE=1 SV=1",16,16,26,704
FLII,0.2218701124,0.12489315287463,0,Q13045;J3KS54;J3KS39;J3QQQ2,Q13045;J3KS54,4;2;1;1,4;2;1;1,4;2;1;1,Protein flightless-1 homolog,FLII,sp|Q13045|FLII_HUMAN Protein flightless-1 homolog OS=Homo sapiens OX=9606 GN=FLII PE=1 SV=2;tr|J3KS54|J3KS54_HUMAN Protein flightless-1 homolog OS=Homo sapiens OX=9606 GN=FLII PE=1 SV=1,4,4,3.7,1269
IK,-0.1545711089,0.254584969703855,0,Q13123;E7EQZ7,Q13123;E7EQZ7,4;3,4;3,2;1,Protein Red,IK,sp|Q13123|RED_HUMAN Protein Red OS=Homo sapiens OX=9606 GN=IK PE=1 SV=3;tr|E7EQZ7|E7EQZ7_HUMAN Protein Red (Fragment) OS=Homo sapiens OX=9606 GN=IK PE=1 SV=1,4,2,9.3,557
HNRNPA0,-0.2284192048,0.0580451427942335,0,Q13151,Q13151,6,6,6,Heterogeneous nuclear ribonucleoprotein A0,HNRNPA0,sp|Q13151|ROA0_HUMAN Heterogeneous nuclear ribonucleoprotein A0 OS=Homo sapiens OX=9606 GN=HNRNPA0 PE=1 SV=1,6,6,27.5,305
AIMP2,-0.0291464027,0.803401044542643,0,Q13155;A8MU58,Q13155;A8MU58,3;2,3;2,3;2,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,AIMP2,sp|Q13155|AIMP2_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=AIMP2 PE=1 SV=2;tr|A8MU58|A8MU58_HUMAN Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=A,3,3,14.7,320
PRDX4,-0.1045429995,0.532184893320434,0,Q13162;H7C3T4;A6NG45,Q13162;H7C3T4,7;4;2,5;2;2,5;2;2,Peroxiredoxin-4,PRDX4,sp|Q13162|PRDX4_HUMAN Peroxiredoxin-4 OS=Homo sapiens OX=9606 GN=PRDX4 PE=1 SV=1;tr|H7C3T4|H7C3T4_HUMAN Peroxiredoxin-4 (Fragment) OS=Homo sapiens OX=9606 GN=PRDX4 PE=1 SV=1,7,5,38,271
PAK2,-0.3785532678,0.0675025743901582,0,Q13177;O75914;A0A087X294;Q13153;E9PM17;B3KNX7;B1AKS5;H7C1X3;H0YCG5,Q13177,13;5;5;4;4;4;3;3;3,13;5;5;4;4;4;3;3;3,13;5;5;4;4;4;3;3;3,Serine/threonine-protein kinase PAK 2;PAK-2p27;PAK-2p34,PAK2,sp|Q13177|PAK2_HUMAN Serine/threonine-protein kinase PAK 2 OS=Homo sapiens OX=9606 GN=PAK2 PE=1 SV=3,13,13,38.9,524
CBX3,-0.5267380819,0.00616053089291166,0,Q13185;B8ZZ43;C9JMM0;S4R2Y4,Q13185,10;4;4;4,10;4;4;4,8;4;4;4,Chromobox protein homolog 3,CBX3,sp|Q13185|CBX3_HUMAN Chromobox protein homolog 3 OS=Homo sapiens OX=9606 GN=CBX3 PE=1 SV=4,10,8,50.3,183
PSMD2,0.1569943636,0.185784410727377,0,Q13200;H7C1H2;H7C2Q3;C9JPC0,Q13200,18;5;4;4,18;5;4;4,18;5;4;4,26S proteasome non-ATPase regulatory subunit 2,PSMD2,sp|Q13200|PSMD2_HUMAN 26S proteasome non-ATPase regulatory subunit 2 OS=Homo sapiens OX=9606 GN=PSMD2 PE=1 SV=3,18,18,27,908
SRSF9,-0.207172007,0.232701024870489,0,Q13242;H0YIB4;S4R3G0,Q13242;H0YIB4;S4R3G0,6;5;5,5;5;4,5;5;4,Serine/arginine-rich splicing factor 9,SRSF9,sp|Q13242|SRSF9_HUMAN Serine/arginine-rich splicing factor 9 OS=Homo sapiens OX=9606 GN=SRSF9 PE=1 SV=1;tr|H0YIB4|H0YIB4_HUMAN Serine/arginine-rich-splicing factor 9 (Fragment) OS=Homo sapiens OX=9606 GN=SRSF9 PE=1 SV=8;tr|S4R3G0|S4R3G0_HUMAN Serine/argini,6,5,29,221
SRSF5,-0.0022453338,0.989559469811657,0,Q13243;B4DJK0;B4DUA4;G3V5K8,Q13243;B4DJK0;B4DUA4,4;2;2;1,3;1;1;1,3;1;1;1,Serine/arginine-rich splicing factor 5,SRSF5,sp|Q13243|SRSF5_HUMAN Serine/arginine-rich splicing factor 5 OS=Homo sapiens OX=9606 GN=SRSF5 PE=1 SV=1;tr|B4DJK0|B4DJK0_HUMAN Serine/arginine-rich-splicing factor 5 OS=Homo sapiens OX=9606 GN=SRSF5 PE=1 SV=1;tr|B4DUA4|B4DUA4_HUMAN Serine/arginine-rich-spl,4,3,23.5,272
TRIM28,0.3750893383,0.016236230312251,0,Q13263;M0R0K9;M0R3C0;M0R2I3,Q13263,19;9;3;1,19;9;3;1,19;9;3;1,Transcription intermediary factor 1-beta,TRIM28,sp|Q13263|TIF1B_HUMAN Transcription intermediary factor 1-beta OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=5,19,19,30.7,835
DHRS2,-0.4314280275,0.034620537202466,0,Q13268;C9JZP6;H0YJG9;H0YJP4,Q13268;C9JZP6;H0YJG9,19;17;12;8,19;17;12;8,19;17;12;8,"Dehydrogenase/reductase SDR family member 2, mitochondrial",DHRS2,"sp|Q13268|DHRS2_HUMAN Dehydrogenase/reductase SDR family member 2, mitochondrial OS=Homo sapiens OX=9606 GN=DHRS2 PE=1 SV=4;tr|C9JZP6|C9JZP6_HUMAN Dehydrogenase/reductase SDR family member 2, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=DHRS2 PE=1 S",19,19,55.7,280
G3BP1,-0.1061400704,0.3327976289942,0,Q13283;E5RIZ6;E5RI46;E5RIF8;E5RH42;E5RJU8;E5RH00;D6R9X5;D6R9A4,Q13283;E5RIZ6,14;7;6;6;6;6;4;3;3,14;7;6;6;6;6;4;3;3,11;4;3;3;3;3;1;0;0,Ras GTPase-activating protein-binding protein 1,G3BP1,sp|Q13283|G3BP1_HUMAN Ras GTPase-activating protein-binding protein 1 OS=Homo sapiens OX=9606 GN=G3BP1 PE=1 SV=1;tr|E5RIZ6|E5RIZ6_HUMAN Ras GTPase-activating protein-binding protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=G3BP1 PE=1 SV=1,14,11,32,466
EIF3I,-0.0122290026,0.904793421634946,0,Q13347;Q5TFK1,Q13347,12;2,12;2,12;2,Eukaryotic translation initiation factor 3 subunit I,EIF3I,sp|Q13347|EIF3I_HUMAN Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens OX=9606 GN=EIF3I PE=1 SV=1,12,12,47.7,325
UBE2V1;TMEM189-UBE2V1,-0.2498156946,0.0503452359575611,0,Q13404;G3V2F7;I3L0A0;A0A0A0MSL3;E5RIF1;D6RG00;H0YBX6,Q13404;G3V2F7;I3L0A0;A0A0A0MSL3,7;5;5;4;1;1;1,7;5;5;4;1;1;1,5;3;3;3;0;0;0,Ubiquitin-conjugating enzyme E2 variant 1,UBE2V1;TMEM189-UBE2V1,sp|Q13404|UB2V1_HUMAN Ubiquitin-conjugating enzyme E2 variant 1 OS=Homo sapiens OX=9606 GN=UBE2V1 PE=1 SV=2;tr|G3V2F7|G3V2F7_HUMAN Ubiquitin-conjugating enzyme E2 variant 1 OS=Homo sapiens OX=9606 GN=UBE2V1 PE=4 SV=2;tr|I3L0A0|I3L0A0_HUMAN HCG2044781 OS=Ho,7,5,46.9,147
DYNC1I2,0.0114280476,0.956342572775542,0,Q13409;E9PGG1;E7EU01;E7EUM4;E7ERR6;E7ERH4;E7ET01;E7ETL8;E7EQU2;E7ESD3;E7EMU4;E7EV09;E7EQL5,Q13409,5;1;1;1;1;1;1;1;1;1;1;1;1,5;1;1;1;1;1;1;1;1;1;1;1;1,5;1;1;1;1;1;1;1;1;1;1;1;1,Cytoplasmic dynein 1 intermediate chain 2,DYNC1I2,sp|Q13409|DC1I2_HUMAN Cytoplasmic dynein 1 intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1I2 PE=1 SV=3,5,5,16.6,638
NNT,0.0273557999,0.869617596909801,0,Q13423;A0A590UJM2;A0A590UK29;E9PCX7;A0A590UK15;D6RAI5;D6RHU2;A0A590UJA4;A0A590UKC7,Q13423;A0A590UJM2;A0A590UK29;E9PCX7;A0A590UK15,7;6;6;6;4;3;1;1;1,7;6;6;6;4;3;1;1;1,2;1;1;1;2;1;1;1;1,"NAD(P) transhydrogenase, mitochondrial",NNT,"sp|Q13423|NNTM_HUMAN NAD(P) transhydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=NNT PE=1 SV=3;tr|A0A590UJM2|A0A590UJM2_HUMAN NAD(P) transhydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=NNT PE=1 SV=1;tr|A0A590UK29|A0A590UK29_HUMAN NAD(P) transh",7,2,9.9,1086
SF3B2,-0.3753788637,0.0468993114764547,0,Q13435;E9PPJ0;H0YEX5;E9PJ04;E9PJT3;H0YCG1,Q13435;E9PPJ0,9;8;4;4;3;3,9;8;4;4;3;3,9;8;4;4;3;3,Splicing factor 3B subunit 2,SF3B2,sp|Q13435|SF3B2_HUMAN Splicing factor 3B subunit 2 OS=Homo sapiens OX=9606 GN=SF3B2 PE=1 SV=2;tr|E9PPJ0|E9PPJ0_HUMAN Splicing factor 3B subunit 2 OS=Homo sapiens OX=9606 GN=SF3B2 PE=1 SV=1,9,9,19.4,895
PDAP1,-0.2449849369,0.0868640668903532,0,Q13442,Q13442,4,4,4,28 kDa heat- and acid-stable phosphoprotein,PDAP1,sp|Q13442|HAP28_HUMAN 28 kDa heat- and acid-stable phosphoprotein OS=Homo sapiens OX=9606 GN=PDAP1 PE=1 SV=1,4,4,20.4,181
TUBB3,0.366258059,0.0308791905098564,0,Q13509;A0A0B4J269;G3V2A3;G3V5W4;G3V2R8;G3V3R4;G3V2N6;G3V542;G3V3J6;G3V3W7,Q13509;A0A0B4J269,28;27;8;4;4;4;4;1;1;1,8;7;3;3;3;3;3;1;1;1,8;7;3;3;3;3;3;1;1;1,Tubulin beta-3 chain,TUBB3,sp|Q13509|TBB3_HUMAN Tubulin beta-3 chain OS=Homo sapiens OX=9606 GN=TUBB3 PE=1 SV=2;tr|A0A0B4J269|A0A0B4J269_HUMAN G_PROTEIN_RECEP_F1_2 domain-containing protein OS=Homo sapiens OX=9606 PE=1 SV=1,28,8,60,450
DCTN2,0.0933108328,0.39044159054936,0,Q13561;F8W1I6;F8VW18;H0YI98;F8VRV7;H0YHL1;F8VX93;F8W0U6,Q13561;F8W1I6;F8VW18;H0YI98,14;11;9;8;5;3;3;2,14;11;9;8;5;3;3;2,14;11;9;8;5;3;3;2,Dynactin subunit 2,DCTN2,sp|Q13561|DCTN2_HUMAN Dynactin subunit 2 OS=Homo sapiens OX=9606 GN=DCTN2 PE=1 SV=4;tr|F8W1I6|F8W1I6_HUMAN Dynactin subunit 2 OS=Homo sapiens OX=9606 GN=DCTN2 PE=1 SV=1;tr|F8VW18|F8VW18_HUMAN Dynactin subunit 2 (Fragment) OS=Homo sapiens OX=9606 GN=DCTN2 P,14,14,47.4,401
TRA2A,0.088973591,0.420369825262082,0,Q13595,Q13595,4,4,4,Transformer-2 protein homolog alpha,TRA2A,sp|Q13595|TRA2A_HUMAN Transformer-2 protein homolog alpha OS=Homo sapiens OX=9606 GN=TRA2A PE=1 SV=1,4,4,11.7,282
SNX1,-0.5047152193,0.0138223563981253,0,Q13596;H0YK42;H0YK43,Q13596;H0YK42,6;5;1,5;4;1,5;4;1,Sorting nexin-1,SNX1,sp|Q13596|SNX1_HUMAN Sorting nexin-1 OS=Homo sapiens OX=9606 GN=SNX1 PE=1 SV=3;tr|H0YK42|H0YK42_HUMAN Sorting nexin-1 OS=Homo sapiens OX=9606 GN=SNX1 PE=1 SV=1,6,5,13.8,522
TSTA3,0.0316891201,0.876198632046731,0,Q13630;E9PKL9;E9PLH9;E9PP14;A0A0J9YX13;H0YCP7;H0YE90;E9PP60,Q13630;E9PKL9;E9PLH9;E9PP14;A0A0J9YX13,9;7;5;5;5;2;1;1,9;7;5;5;5;2;1;1,9;7;5;5;5;2;1;1,GDP-L-fucose synthase,TSTA3,sp|Q13630|FCL_HUMAN GDP-L-fucose synthase OS=Homo sapiens OX=9606 GN=TSTA3 PE=1 SV=1;tr|E9PKL9|E9PKL9_HUMAN GDP-L-fucose synthase (Fragment) OS=Homo sapiens OX=9606 GN=TSTA3 PE=1 SV=1;tr|E9PLH9|E9PLH9_HUMAN GDP-L-fucose synthase (Fragment) OS=Homo sapiens ,9,9,35.2,321
DDX39B,-0.0463182834,0.684804352579938,0,Q13838;Q5STU3;A0A0G2JJZ9;A0A140T9X3;F6WLT2;F6TRA5;A0A0A0MT12;F6S4E6;H0Y400;F6R6M7;A0A140T996;A0A140T9X9;F6UJC5;A0A140TA18;A0A140T9K1;A0A140T973;F6U6E2;F6S2B7;A0A140T9L4;A0A0G2JHN7;H0YCC6,Q13838;Q5STU3;A0A0G2JJZ9;A0A140T9X3;F6WLT2;F6TRA5;A0A0A0MT12;F6S4E6,20;19;15;14;12;11;11;10;8;7;7;6;6;6;6;6;5;5;5;5;3,20;19;15;14;12;11;11;10;8;7;7;6;6;6;6;6;5;5;5;5;3,8;8;7;7;5;4;4;3;3;1;4;5;5;5;3;3;1;1;2;1;3,Spliceosome RNA helicase DDX39B,DDX39B,sp|Q13838|DX39B_HUMAN Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B PE=1 SV=1;tr|Q5STU3|Q5STU3_HUMAN Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B PE=1 SV=2;tr|A0A0G2JJZ9|A0A0G2JJZ9_HUMAN Spliceosome RNA helicase DDX,20,8,58.9,428
BLMH,0.2881041882,0.134933089043265,0,Q13867;J3KSD8;K7ES02;K7ESE8;J3KS79;K7ENH5,Q13867;J3KSD8;K7ES02;K7ESE8,4;3;3;2;1;1,4;3;3;2;1;1,4;3;3;2;1;1,Bleomycin hydrolase,BLMH,sp|Q13867|BLMH_HUMAN Bleomycin hydrolase OS=Homo sapiens OX=9606 GN=BLMH PE=1 SV=1;tr|J3KSD8|J3KSD8_HUMAN Bleomycin hydrolase (Fragment) OS=Homo sapiens OX=9606 GN=BLMH PE=1 SV=8;tr|K7ES02|K7ES02_HUMAN Bleomycin hydrolase (Fragment) OS=Homo sapiens OX=9606,4,4,17.8,455
EXOSC2,-0.1113454826,0.564636736777909,0,Q13868;A3KFL2;A3KFL5;A3KFL1,Q13868;A3KFL2;A3KFL5,4;3;3;1,4;3;3;1,4;3;3;1,Exosome complex component RRP4,EXOSC2,sp|Q13868|EXOS2_HUMAN Exosome complex component RRP4 OS=Homo sapiens OX=9606 GN=EXOSC2 PE=1 SV=2;tr|A3KFL2|A3KFL2_HUMAN Exosome complex component RRP4 OS=Homo sapiens OX=9606 GN=EXOSC2 PE=1 SV=1;tr|A3KFL5|A3KFL5_HUMAN Exosome complex component RRP4 (Fragme,4,4,13.7,293
IL18,0.2148119365,0.190980932427763,0,Q14116,Q14116,11,11,11,Interleukin-18,IL18,sp|Q14116|IL18_HUMAN Interleukin-18 OS=Homo sapiens OX=9606 GN=IL18 PE=1 SV=1,11,11,65.3,193
BOP1,0.0877136043,0.428317616544073,0,Q14137;A0A075B729,Q14137,10;3,10;3,10;3,Ribosome biogenesis protein BOP1,BOP1,sp|Q14137|BOP1_HUMAN Ribosome biogenesis protein BOP1 OS=Homo sapiens OX=9606 GN=BOP1 PE=1 SV=2,10,10,16,746
EIF3A,-0.0470547913,0.624359738411926,0,Q14152,Q14152,23,23,23,Eukaryotic translation initiation factor 3 subunit A,EIF3A,sp|Q14152|EIF3A_HUMAN Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1,23,23,20.5,1382
TTLL12,-0.0528356412,0.642169461544183,0,Q14166,Q14166,4,4,4,Tubulin--tyrosine ligase-like protein 12,TTLL12,sp|Q14166|TTL12_HUMAN Tubulin--tyrosine ligase-like protein 12 OS=Homo sapiens OX=9606 GN=TTLL12 PE=1 SV=2,4,4,10.9,644
FHL2,0.420517494,0.0501229598863791,0,Q14192,Q14192,2,2,2,Four and a half LIM domains protein 2,FHL2,sp|Q14192|FHL2_HUMAN Four and a half LIM domains protein 2 OS=Homo sapiens OX=9606 GN=FHL2 PE=1 SV=3,2,2,11.1,279
DPYSL3,-0.2072549492,0.0922055553477414,0,Q14195;H0YBT4;Q14117;D6RF19,Q14195,14;5;1;1,12;3;1;1,11;2;0;1,Dihydropyrimidinase-related protein 3,DPYSL3,sp|Q14195|DPYL3_HUMAN Dihydropyrimidinase-related protein 3 OS=Homo sapiens OX=9606 GN=DPYSL3 PE=1 SV=1,14,11,37,570
DYNC1H1,0.0872545835,0.639494122633717,0,Q14204;A0A2R8Y706;A0A2R8Y5T0;A0A2R8Y6H2;A0A2R8Y542;A0A2R8YFZ7;H0YJ21;A0A2R8Y6I5;A0A2R8YGC7,Q14204;A0A2R8Y706;A0A2R8Y5T0,44;30;25;20;17;17;7;4;4,44;30;25;20;17;17;7;4;4,44;30;25;20;17;17;7;4;4,Cytoplasmic dynein 1 heavy chain 1,DYNC1H1,sp|Q14204|DYHC1_HUMAN Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5;tr|A0A2R8Y706|A0A2R8Y706_HUMAN Cytoplasmic dynein 1 heavy chain 1 (Fragment) OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=1;tr|A0A2R8Y5T0|A0A2R8Y5T0_HUMAN C,44,44,12.8,4646
EIF4A2,-0.9054426147,0.00327803770825902,0,Q14240;E7EQG2,Q14240;E7EQG2,15;13,5;3,5;3,"Eukaryotic initiation factor 4A-II;Eukaryotic initiation factor 4A-II, N-terminally processed",EIF4A2,sp|Q14240|IF4A2_HUMAN Eukaryotic initiation factor 4A-II OS=Homo sapiens OX=9606 GN=EIF4A2 PE=1 SV=2;tr|E7EQG2|E7EQG2_HUMAN Eukaryotic initiation factor 4A-II OS=Homo sapiens OX=9606 GN=EIF4A2 PE=1 SV=1,15,5,41.5,407
