Gene_names,POC1B_vs_BirA_logFC,POC1B_vs_BirA_pval,ID,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_POC1B_N1,Peptides_POC1B_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_POC1B_N1,Razor___unique_peptides_POC1B_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_POC1B_N1,Unique_peptides_POC1B_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_POC1B_N1,Identification_type_POC1B_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_POC1B_N1,Ratio_H_L_POC1B_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_POC1B_N1,Ratio_H_L_normalized_POC1B_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____POC1B_N1,Ratio_H_L_variability_____POC1B_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_POC1B_N1,Ratio_H_L_count_POC1B_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_POC1B_N1,Ratio_H_L_iso_count_POC1B_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_POC1B_N1,Ratio_H_L_type_POC1B_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_POC1B_N1____,Sequence_coverage_POC1B_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_POC1B_N1,Intensity_L_POC1B_N1,Intensity_H_POC1B_N1,Intensity_POC1B_N2,Intensity_L_POC1B_N2,Intensity_H_POC1B_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_POC1B_N1,metacell_Intensity_L_POC1B_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
PYCR2,0.723785594481093,0.208597769060823,protein_16,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9;A0A087WX69;A0A087WZF0,Q96C36;A0A087WTV6;J3KR12,6;6;5;2;1;1,5;5;4;1;1;1,5;5;4;1;1;1,Pyrroline-5-carboxylate reductase 2,sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|A0A087WTV6|A0A087WTV6_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|J3KR12|J3KR12_HUMAN Uncharacterized protei,6,6,5,5,3,3,5,3,2,2,4,2,2,2,4,2,26.2,22.2,22.2,33.637,320,320;246;359;319;87;157,0.0,5.8075,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.61095,1.2563,25.785,11,3,Leave out requantified,0.58045,0.4806,0.50862,0.6209,1.4289,1.2016,1.0359,1.2563,7.9277,35.738,41.976,38.338,2,2,4,3,0,0,2,1,Median,Median,Median,Median,11.2,14.7,24.1,12.8,229540000,137940000,91606000,31401000,19066000,12335000,59603000,40066000,19536000,90005000,53940000,36065000,48535000,24865000,23670000,,,,15,4277;5918;9794;12298;12845;14617,True;True;True;False;True;True,4458;6185;10270;12912;13484;15330,12865;12866;17848;29684;36974;36975;36976;36977;36978;38589;38590;38591;38592;38593;44020;44021,25071;25072;34853;57172;70948;70949;70950;70951;70952;70953;70954;70955;70956;70957;70958;70959;70960;70961;70962;70963;70964;73898;73899;73900;73901;73902;73903;73904;73905;73906;73907;73908;73909;73910;73911;73912;73913;73914;85043,25071;34853;57172;70950;73904;85043,,,,,-1;-1;-1;-1;-1;-1,protein_16,quanti,quanti,quanti,quanti
MRPL45,-0.424453949364295,0.31481228600015,protein_23,Q9BRJ2;A0A0G2JMS5;A0A087WU62;A0A087X2D5,Q9BRJ2;A0A0G2JMS5;A0A087WU62;A0A087X2D5,2;2;2;2,2;2;2;2,2;2;2;2,"39S ribosomal protein L45, mitochondrial","sp|Q9BRJ2|RM45_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=2;tr|A0A0G2JMS5|A0A0G2JMS5_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=1;tr|A0A087WU62|A0A087WU62_HUMAN 39S",4,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,11.1,11.1,11.1,35.351,306,306;256;256;306,0.0,1.8728,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40637,0.82939,46.429,5,2,Median,0.15657,0.426,0.40637,0.53918,0.45017,1.07,0.82939,1.1602,,50.732,,,1,2,1,1,0,0,1,1,Median,Median,Median,Median,4.6,11.1,4.6,4.6,136460000,99206000,37251000,25014000,20747000,4267700,67262000,42186000,25076000,24852000,22152000,2699500,19329000,14121000,5207400,,,,22,6731;8682,True;True,7040;9118,20372;20373;20374;20375;26471,39643;39644;39645;39646;39647;39648;39649;39650;51198,39648;51198,,,,,-1;-1;-1;-1,protein_23,quanti,quanti,quanti,quanti
CTNNBL1,-20.4653047594368,7.6797967719305e-08,protein_25,Q8WYA6;A0A087WUB9;A2A2P1,Q8WYA6;A0A087WUB9,3;3;1,3;3;1,3;3;1,Beta-catenin-like protein 1,sp|Q8WYA6|CTBL1_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1;tr|A0A087WUB9|A0A087WUB9_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1,3,3,3,3,2,3,0,0,2,3,0,0,2,3,0,0,8.0,8.0,8.0,65.173,563,563;568;166,0.0,1.864,By MS/MS,By MS/MS,,,0.52098,1.2574,32.8,4,1,Median,0.45748,0.57255,,,1.2541,1.2588,,,40.276,40.064,,,2,2,0,0,0,1,0,0,Median,Median,Median,Median,6.0,8.0,0.0,0.0,114930000,74365000,40561000,48875000,30647000,18228000,66051000,43718000,22333000,0,0,0,0,0,0,,,,24,8554;13317;15980,True;True;True,8989;13975;16751,26133;26134;40053;40054;48109,50653;76994;76995;76996;92891,50653;76996;92891,,,,,-1;-1;-1,protein_25,imputed MEC,imputed MEC,quanti,quanti
HNRNPDL,1.04840301022901,0.0206022235561477,protein_28,O14979;A0A087WUK2,O14979;A0A087WUK2,9;9,9;9,7;7,Heterogeneous nuclear ribonucleoprotein D-like,sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3;tr|A0A087WUK2|A0A087WUK2_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,2,9,9,7,5,5,9,9,5,5,9,9,3,3,7,7,16.9,16.9,14.5,46.437,420,420;363,0.0,49.524,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35447,0.843,10.681,30,3,Leave out requantified,0.29615,0.30965,0.37258,0.36784,1.0052,0.82943,0.83191,0.85431,16.776,10.792,11.054,12.499,6,5,10,9,1,2,0,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,12.1,12.1,16.9,16.9,3624200000,2691000000,933180000,704150000,547960000,156200000,611160000,460000000,151160000,1311200000,960080000,351110000,997650000,722940000,274710000,,,,27,2437;3411;4182;4217;9739;9740;10694;11367;12604,True;True;True;True;True;True;True;True;True,2549;3561;4358;4394;10213;10214;11216;11936;13229,7581;7582;7583;7584;10312;10313;10314;10315;12558;12559;12672;12673;12674;12675;29534;29535;29536;29537;32358;32359;34222;34223;34224;34225;34226;34227;34228;37859;37860;37861;37862,14872;14873;14874;14875;14876;14877;19992;19993;19994;19995;19996;19997;19998;19999;20000;20001;20002;20003;20004;20005;20006;24393;24394;24395;24396;24397;24398;24605;24606;24607;24608;24609;24610;24611;24612;24613;24614;24615;24616;56867;56868;56869;56870;56871;62278;62279;65723;65724;65725;65726;65727;65728;65729;65730;65731;65732;65733;65734;65735;65736;65737;65738;65739;65740;65741;72567;72568;72569;72570;72571;72572;72573;72574,14876;20001;24397;24605;56869;56870;62278;65740;72567,,,,,-1;-1,protein_28,quanti,quanti,quanti,quanti
SLIRP,0.71045721157196,0.044802362158969,protein_29,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7;H0YJI1;H0YJ07;H0YJU7,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7,6;6;6;6;6;5;1;1;1,6;6;6;6;6;5;1;1;1,6;6;6;6;6;5;1;1;1,"SRA stem-loop-interacting RNA-binding protein, mitochondrial","sp|Q9GZT3|SLIRP_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 SV=1;tr|A0A087WUN7|A0A087WUN7_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 ",9,6,6,6,5,4,6,4,5,4,6,4,5,4,6,4,67.9,67.9,67.9,12.349,109,109;92;96;98;124;76;40;56;72,0.0,17.186,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.63582,1.6199,17.303,19,2,Leave out requantified,0.51525,0.66547,0.82242,0.69823,1.4835,1.977,1.7211,1.5853,22.87,18.41,8.1874,15.995,5,4,6,4,0,1,1,0,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,47.7,46.8,67.9,55.0,1073800000,640960000,432800000,213560000,141210000,72354000,222700000,134180000,88517000,382240000,210210000,172030000,255260000,155360000,99893000,,,,28,2054;4624;10261;11332;11418;12093,True;True;True;True;True;True,2154;4827;10768;11900;11993;12696,6487;6488;6489;13994;13995;13996;13997;31070;31071;31072;31073;34107;34108;34400;34401;36329;36330;36331;36332,12851;12852;27268;27269;27270;59764;59765;59766;59767;59768;59769;59770;59771;59772;59773;59774;59775;59776;59777;65455;65456;66080;66081;66082;66083;69705;69706;69707;69708;69709;69710;69711;69712;69713;69714;69715;69716;69717;69718,12851;27269;59774;65456;66080;69709,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_29,quanti,quanti,quanti,quanti
GPX1,-19.4536129726773,6.49269655066426e-08,protein_31,P07203;A0A2R8Y6B6;A0A087WUQ6,P07203;A0A2R8Y6B6;A0A087WUQ6,3;3;3,3;3;3,3;3;3,Glutathione peroxidase 1;Glutathione peroxidase,sp|P07203|GPX1_HUMAN Glutathione peroxidase 1 OS=Homo sapiens OX=9606 GN=GPX1 PE=1 SV=4;tr|A0A2R8Y6B6|A0A2R8Y6B6_HUMAN Glutathione peroxidase 1 OS=Homo sapiens OX=9606 GN=GPX1 PE=1 SV=1;tr|A0A087WUQ6|A0A087WUQ6_HUMAN Glutathione peroxidase OS=Homo sapiens ,3,3,3,3,2,1,0,0,2,1,0,0,2,1,0,0,18.7,18.7,18.7,22.088,203,203;157;202,0.0042216,1.5112,By MS/MS,By MS/MS,,,6.0326,20.649,37.214,2,1,Median,6.0326,,,,20.649,,,,37.214,,,,2,0,0,0,1,0,0,0,Median,Median,Median,Median,9.9,8.9,0.0,0.0,207490000,36494000,170990000,187400000,16408000,170990000,20086000,20086000,0,0,0,0,0,0,0,,,,30,2657;3670;8215,True;True;True,2782;3826;8635,8214;11034;25079,16055;21384;21385;48711,16055;21385;48711,,,,,-1;-1;-1,protein_31,imputed MEC,imputed MEC,quanti,quanti
EIF5B,-0.948639788342238,0.0193299145277049,protein_32,O60841;A0A087WUT6,O60841;A0A087WUT6,7;7,7;7,7;7,Eukaryotic translation initiation factor 5B,sp|O60841|IF2P_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4;tr|A0A087WUT6|A0A087WUT6_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=1,2,7,7,7,5,5,4,3,5,5,4,3,5,5,4,3,10.4,10.4,10.4,138.83,1220,1220;1220,0.0,6.6197,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.36838,0.83484,87.97,17,5,Leave out requantified,0.31215,0.31699,0.39515,0.37138,1.0431,0.86726,0.8403,0.79428,15.326,16.107,105.95,14.244,5,5,4,3,3,2,0,0,Median,Leave out requantified,Leave out requantified,Leave out requantified,7.8,7.5,5.7,4.0,591300000,407250000,184050000,171310000,127570000,43732000,230380000,158660000,71719000,121550000,73305000,48249000,68061000,47714000,20347000,,,,31,803;4656;5241;5461;7504;8245;8545,True;True;True;True;True;True;True,832;4860;5476;5715;7885;8671;8979,2424;14074;15800;15801;15802;15803;16554;16555;22779;25203;25204;25205;25206;26094;26095;26096;26097,4676;27410;30671;30672;30673;30674;32368;44166;48893;50552;50553;50554;50555;50556;50557,4676;27410;30674;32368;44166;48893;50557,,,,,-1;-1,protein_32,quanti,quanti,quanti,quanti
BSG,-0.134391617973307,0.705555983419758,protein_33,P35613;A0A087WUV8;A0A087X2B5;R4GMX5;I3L192;R4GN83,P35613;A0A087WUV8;A0A087X2B5;R4GMX5;I3L192,5;5;5;3;3;2,5;5;5;3;3;2,5;5;5;3;3;2,Basigin,sp|P35613|BASI_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=2;tr|A0A087WUV8|A0A087WUV8_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|A0A087X2B5|A0A087X2B5_HUMAN Basigin (Fragment) OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|R4GMX5|R4GMX,6,5,5,5,3,4,4,3,3,4,4,3,3,4,4,3,17.4,17.4,17.4,42.2,385,385;189;221;84;160;52,0.0,9.4809,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.55248,1.2249,21.252,16,6,Leave out requantified,0.47132,0.47976,0.63695,0.63786,1.6935,1.1503,1.3904,1.4344,51.363,26.124,11.669,26.477,3,5,4,4,2,4,0,0,Median,Median,Leave out requantified,Leave out requantified,11.2,13.8,14.8,10.1,601800000,392540000,209260000,113920000,75944000,37975000,228610000,156830000,71774000,140660000,84083000,56580000,118620000,75684000,42932000,,,,32,3392;4922;11814;11823;12636,True;True;True;True;True,3542;5137;12401;12410;13264,10249;10250;10251;10252;10253;14851;35497;35498;35499;35512;35513;35514;37966;37967;37968;37969;37970,19854;19855;19856;19857;19858;19859;19860;19861;19862;19863;28885;68126;68142;68143;68144;68145;68146;72758;72759;72760;72761;72762;72763;72764,19858;28885;68126;68146;72760,,,,,-1;-1;-1;-1;-1;-1,protein_33,quanti,quanti,quanti,quanti
SPTBN1,-0.615946070603254,0.130462786571649,protein_34,Q01082;A0A087WUZ3;F8W6C1,Q01082;A0A087WUZ3,20;20;6,20;20;6,20;20;6,"Spectrin beta chain, non-erythrocytic 1","sp|Q01082|SPTB2_HUMAN Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2;tr|A0A087WUZ3|A0A087WUZ3_HUMAN Spectrin beta chain OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=1",3,20,20,20,11,17,9,9,11,17,9,9,11,17,9,9,12.8,12.8,12.8,274.61,2364,2364;2366;690,0.0,25.774,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.5487,1.2035,19.578,46,12,Leave out requantified,0.40976,0.55333,0.5587,0.59289,1.0158,1.2498,1.1017,1.195,33.03,20.163,21.317,19.366,11,17,9,9,4,3,3,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,6.2,11.0,5.2,4.7,1007000000,645700000,361300000,206010000,143330000,62680000,464690000,289170000,175520000,172080000,108640000,63446000,164210000,104560000,59651000,,,,33,1467;2169;3283;3680;5404;6204;6589;7461;9005;9223;9224;9811;9951;11628;13027;13039;13409;14045;14138;15022,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1535;2276;3431;3836;5653;6493;6894;7841;9448;9672;9673;10287;10437;12210;13669;13681;14068;14721;14818;15760,4658;4659;6818;6819;6820;6821;9957;11063;11064;16384;18802;19983;19984;19985;19986;22642;22643;22644;27370;28012;28013;28014;28015;28016;28017;28018;29722;30122;30123;30124;30125;34966;34967;39132;39133;39166;39167;39168;39169;40292;42218;42219;42474;42475;42476;45295,9246;9247;9248;13426;13427;19284;21442;21443;21444;21445;21446;21447;32013;36756;36757;38902;38903;38904;43897;43898;52727;53924;53925;53926;53927;53928;53929;53930;53931;53932;53933;57224;57924;57925;57926;67122;67123;67124;67125;67126;74931;74932;74933;75005;75006;75007;75008;75009;75010;75011;77495;81409;81410;81411;81964;81965;81966;87658,9246;13427;19284;21446;32013;36756;38904;43898;52727;53924;53933;57224;57925;67126;74932;75005;77495;81410;81966;87658,,,,,-1;-1;-1,protein_34,quanti,quanti,quanti,quanti
NAT10,-1.10580305438388,0.161297269072229,protein_37,Q9H0A0;A0A087WV29,Q9H0A0;A0A087WV29,3;3,3;3,3;3,N-acetyltransferase 10,sp|Q9H0A0|NAT10_HUMAN RNA cytidine acetyltransferase OS=Homo sapiens OX=9606 GN=NAT10 PE=1 SV=2;tr|A0A087WV29|A0A087WV29_HUMAN RNA cytidine acetyltransferase OS=Homo sapiens OX=9606 GN=NAT10 PE=1 SV=1,2,3,3,3,2,3,1,2,2,3,1,2,2,3,1,2,3.1,3.1,3.1,115.73,1025,1025;834,0.0,6.6251,By MS/MS,By MS/MS,By matching,By MS/MS,0.38395,0.96285,10.498,8,2,Leave out requantified,0.27951,0.32215,0.54921,0.47888,0.87839,0.7221,1.1485,1.034,19.919,9.8156,,3.9713,2,3,1,2,1,1,0,0,Median,Median,Median,Median,2.3,3.1,1.5,2.3,232890000,164350000,68542000,73002000,50610000,22392000,86134000,64685000,21449000,19337000,12421000,6915100,54415000,36629000,17786000,,,,36,587;3498;5621,True;True;True,605;3650;5881,1721;1722;1723;10557;16988;16989;16990;16991,3316;3317;3318;20432;33217;33218;33219;33220;33221,3316;20432;33221,,,,,-1;-1,protein_37,quanti,quanti,quanti,quanti
MTHFD1L,0.153563127338984,0.609947280599575,protein_40,Q6UB35;A0A087WVM4;B7ZM99;Q4VXM1;Q4VXM0;Q5JYA8;Q5JYA3;H0Y327,Q6UB35;A0A087WVM4;B7ZM99,6;6;6;1;1;1;1;1,5;5;5;1;1;1;1;1,5;5;5;1;1;1;1;1,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial","sp|Q6UB35|C1TM_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1;tr|A0A087WVM4|A0A087WVM4_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 S",8,6,5,5,3,3,3,4,2,2,2,3,2,2,2,3,6.7,5.7,5.7,105.79,978,978;913;979;57;92;108;114;332,0.0,4.4403,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.6323,1.1856,33.742,9,2,Leave out requantified,0.43292,0.73514,0.77902,0.67969,0.81201,1.471,1.4181,1.2962,24.103,52.83,46.392,34.937,2,2,2,3,2,0,0,0,Median,Median,Median,Leave out requantified,3.9,2.9,2.9,4.1,98331000,56483000,41848000,17913000,12877000,5036200,31192000,16961000,14231000,20211000,11441000,8770300,29014000,15204000,13810000,,,,39,1559;1826;2210;7700;13300;14696,True;True;True;True;True;False,1628;1915;2319;8102;13954;15416,4941;5806;5807;5808;6947;6948;23516;23517;39982;44282;44283;44284;44285;44286;44287,9753;11544;13729;13730;13731;45552;45553;45554;76803;85532;85533;85534;85535;85536;85537;85538;85539;85540;85541,9753;11544;13729;45552;76803;85537,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_40,quanti,quanti,quanti,quanti
NOMO2;NOMO1;NOMO3,-19.3927434101827,1.47645809899503e-06,protein_44,Q5JPE7;Q15155;P69849;A0A0G2JP90;A0A087WW46;J3KN36;A0A0G2JN29;A0A087X117,Q5JPE7;Q15155;P69849;A0A0G2JP90;A0A087WW46;J3KN36;A0A0G2JN29;A0A087X117,2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2,Nodal modulator 2;Nodal modulator 1;Nodal modulator 3,sp|Q5JPE7|NOMO2_HUMAN Nodal modulator 2 OS=Homo sapiens OX=9606 GN=NOMO2 PE=1 SV=1;sp|Q15155|NOMO1_HUMAN Nodal modulator 1 OS=Homo sapiens OX=9606 GN=NOMO1 PE=1 SV=5;sp|P69849|NOMO3_HUMAN Nodal modulator 3 OS=Homo sapiens OX=9606 GN=NOMO3 PE=1 SV=2;tr|A0A0,8,2,2,2,1,2,0,0,1,2,0,0,1,2,0,0,2.8,2.8,2.8,139.44,1267,1267;1222;1222;1100;1100;1267;1267;1267,0.0,3.5475,By MS/MS,By MS/MS,,,0.77802,1.8754,48.975,3,1,Median,0.48568,1.0379,,,1.3624,2.5853,,,,45.404,,,1,2,0,0,0,1,0,0,Median,Median,Median,Median,2.1,2.8,0.0,0.0,82083000,38388000,43695000,22146000,11101000,11044000,59938000,27286000,32651000,0,0,0,0,0,0,,,,43,3060;11713,True;True,3195;12297,9310;9311;35217;35218,18058;18059;67610;67611;67612,18058;67611,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_44,imputed MEC,imputed MEC,quanti,quanti
HYOU1,-0.554506895584776,0.346722853708051,protein_46,Q9Y4L1;E9PJ21;A0A087WWI4;K7EQK2;A0A087X054;A0A494C039;J3KTF1;Q9BST8;J3QQH7;J3QLE9;J3QL06;A0A087WW13;A0A087X214,Q9Y4L1;E9PJ21;A0A087WWI4;K7EQK2;A0A087X054;A0A494C039,12;12;12;12;12;12;4;3;3;3;3;2;1,12;12;12;12;12;12;4;3;3;3;3;2;1,12;12;12;12;12;12;4;3;3;3;3;2;1,Hypoxia up-regulated protein 1,sp|Q9Y4L1|HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|E9PJ21|E9PJ21_HUMAN Hypoxia up-regulated protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A087WWI4|A0A087WWI4_HUMAN Hypoxia up-regulated ,13,12,12,12,4,6,7,3,4,6,7,3,4,6,7,3,16.4,16.4,16.4,111.33,999,999;656;677;678;937;1000;224;147;149;154;211;102;92,0.0,16.996,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40972,0.92326,24.516,21,8,Leave out requantified,0.37336,0.40294,0.40721,0.44055,1.5051,0.88625,0.83172,0.93692,30.04,28.408,15.788,10.919,4,7,7,3,2,3,3,0,Linear,Leave out requantified,Leave out requantified,Leave out requantified,4.5,7.6,10.7,5.4,439520000,295310000,144210000,93042000,67814000,25228000,176830000,117870000,58959000,122890000,79697000,43190000,46765000,29932000,16834000,,,,45,2178;3367;5070;7499;13381;13451;13902;14054;14829;15033;15767;16176,True;True;True;True;True;True;True;True;True;True;True;True,2285;3517;5290;7880;14040;14110;14573;14730;15558;15771;16533;16958,6835;10188;10189;15245;22762;22763;40220;40423;40424;41747;42239;42240;44691;44692;44693;44694;45321;45322;47489;48701;48702,13447;19735;19736;19737;29570;44126;44127;44128;44129;77378;77787;77788;80388;81449;81450;86401;86402;86403;86404;87690;87691;91766;94173;94174;94175;94176;94177;94178;94179,13447;19737;29570;44129;77378;77787;80388;81450;86402;87691;91766;94174,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_46,quanti,quanti,quanti,quanti
TRAPPC3,-1.32735225667991,0.0572624563448209,protein_47,O43617;A0A087WWM0;A0A087WYS5;A6NKE1,O43617;A0A087WWM0;A0A087WYS5,3;3;2;1,3;3;2;1,3;3;2;1,Trafficking protein particle complex subunit 3,sp|O43617|TPPC3_HUMAN Trafficking protein particle complex subunit 3 OS=Homo sapiens OX=9606 GN=TRAPPC3 PE=1 SV=1;tr|A0A087WWM0|A0A087WWM0_HUMAN Trafficking protein particle complex subunit OS=Homo sapiens OX=9606 GN=TRAPPC3 PE=1 SV=1;tr|A0A087WYS5|A0A087W,4,3,3,3,3,3,1,2,3,3,1,2,3,3,1,2,18.9,18.9,18.9,20.274,180,180;188;114;118,0.0,7.0014,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.74252,1.7658,4.6764,9,1,Leave out requantified,0.58903,0.74572,0.95774,0.84612,1.6285,1.9146,2.0029,1.7857,1.6152,10.365,,0.19982,3,3,1,2,1,0,0,0,Median,Leave out requantified,Median,Median,18.9,18.9,4.4,12.8,224740000,127710000,97023000,65771000,39388000,26383000,95300000,56013000,39287000,18885000,10200000,8685600,44779000,22111000,22668000,,,,46,3960;8126;11406,True;True;True,4126;8543;11980,11890;11891;11892;24796;24797;24798;24799;34370;34371,23027;23028;23029;48066;48067;48068;48069;48070;48071;48072;66029;66030;66031;66032,23029;48072;66029,,,,,-1;-1;-1;-1,protein_47,quanti,quanti,quanti,quanti
