Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity WSB2-N1,Intensity WSB2-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
Q9UHR5;J3QQJ0;J3QLH3;F5H478;J3KRU5;X6R3T8;J3KS14;J3QLM2;J3KRR6,Q9UHR5;J3QQJ0;J3QLH3;F5H478;J3KRU5;X6R3T8,14;13;10;9;9;9;6;4;4,14;13;10;9;9;9;6;4;4,14;13;10;9;9;9;6;4;4,SAP30-binding protein,SAP30BP,sp|Q9UHR5|S30BP_HUMAN SAP30-binding protein OS=Homo sapiens OX=9606 GN=SAP30BP PE=1 SV=1;tr|J3QQJ0|J3QQJ0_HUMAN SAP30-binding protein (Fragment) OS=Homo sapiens OX=9606 GN=SAP30BP PE=1 SV=1;tr|J3QLH3|J3QLH3_HUMAN SAP30-binding protein (Fragment) OS=Homo sa,14,14,44.2,23.13650743168,22.7542987172687,29.9390163857156,30.2131509170296
P82979;F8VZQ9;H0YHG0;F8VS12,P82979;F8VZQ9;H0YHG0,5;5;4;1,5;5;4;1,5;5;4;1,SAP domain-containing ribonucleoprotein,SARNP,sp|P82979|SARNP_HUMAN SAP domain-containing ribonucleoprotein OS=Homo sapiens OX=9606 GN=SARNP PE=1 SV=3;tr|F8VZQ9|F8VZQ9_HUMAN SAP domain-containing ribonucleoprotein OS=Homo sapiens OX=9606 GN=SARNP PE=1 SV=1;tr|H0YHG0|H0YHG0_HUMAN Uncharacterized protei,5,5,22.9,4.25717907948666,4.09415654932906,25.2773552314866,25.2145642904793
P49591;Q5T5C7,P49591;Q5T5C7,5;5,5;5,5;5,"Serine--tRNA ligase, cytoplasmic",SARS,"sp|P49591|SYSC_HUMAN Serine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=SARS1 PE=1 SV=3;tr|Q5T5C7|Q5T5C7_HUMAN Serine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=SARS1 PE=1 SV=1",5,5,11.5,4.25717907948666,4.09415654932906,25.4017800267147,25.5550843108147
O43290;E9PQI8,O43290,38;5,38;5,38;5,U4/U6.U5 tri-snRNP-associated protein 1,SART1,sp|O43290|SNUT1_HUMAN U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens OX=9606 GN=SART1 PE=1 SV=1,38,38,52.8,4.25717907948666,4.09415654932906,31.0922593864091,31.0075156162975
Q15020;A0A499FI31;A0A494C0L2;F8W667;F8VVK9;F8VZM2;H0YHU8,Q15020;A0A499FI31,33;33;6;6;5;5;3,33;33;6;6;5;5;3,33;33;6;6;5;5;3,Squamous cell carcinoma antigen recognized by T-cells 3,SART3,sp|Q15020|SART3_HUMAN Squamous cell carcinoma antigen recognized by T-cells 3 OS=Homo sapiens OX=9606 GN=SART3 PE=1 SV=1;tr|A0A499FI31|A0A499FI31_HUMAN Squamous cell carcinoma antigen recognized by T-cells 3 OS=Homo sapiens OX=9606 GN=SART3 PE=1 SV=1,33,33,43.9,4.25717907948666,4.09415654932906,30.5514217167153,30.3127870398594
A3KN83;Q9Y2G9;K7ES28,A3KN83,14;3;3,14;3;3,14;3;3,Protein strawberry notch homolog 1,SBNO1,sp|A3KN83|SBNO1_HUMAN Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1,14,14,15.1,4.25717907948666,4.09415654932906,27.8569746524655,27.0619846872841
Q9H7N4,Q9H7N4,6,6,6,"Splicing factor, arginine/serine-rich 19",SCAF1,"sp|Q9H7N4|SFR19_HUMAN Splicing factor, arginine/serine-rich 19 OS=Homo sapiens OX=9606 GN=SCAF1 PE=1 SV=3",6,6,6.7,4.25717907948666,4.09415654932906,24.7010229653804,26.5037154829542
Q99590;F8VXG7;A0A0A0MTP7,Q99590;F8VXG7;A0A0A0MTP7,5;5;3,5;5;3,5;5;3,Protein SCAF11,SCAF11,sp|Q99590|SCAFB_HUMAN Protein SCAF11 OS=Homo sapiens OX=9606 GN=SCAF11 PE=1 SV=2;tr|F8VXG7|F8VXG7_HUMAN Protein SCAF11 OS=Homo sapiens OX=9606 GN=SCAF11 PE=1 SV=1;tr|A0A0A0MTP7|A0A0A0MTP7_HUMAN Protein SCAF11 OS=Homo sapiens OX=9606 GN=SCAF11 PE=1 SV=1,5,5,4.6,4.25717907948666,4.09415654932906,26.3626733226085,26.1588283071899
O95104;Q9UPN6;A0A0A0MT33,O95104,6;2;2,6;2;2,6;2;2,"Splicing factor, arginine/serine-rich 15",SCAF4,sp|O95104|SCAF4_HUMAN SR-related and CTD-associated factor 4 OS=Homo sapiens OX=9606 GN=SCAF4 PE=1 SV=3,6,6,7.2,28.1804923372543,26.4157067005258,26.1179898906627,25.9395937406458
Q8WVM8;J3KNG4;G3V4I1;G3V5F3;G3V2M8;G3V3K9;G3V363;H0YJS6;H0YJY1,Q8WVM8,9;4;3;3;3;2;2;2;1,9;4;3;3;3;2;2;2;1,9;4;3;3;3;2;2;2;1,Sec1 family domain-containing protein 1,SCFD1,sp|Q8WVM8|SCFD1_HUMAN Sec1 family domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SCFD1 PE=1 SV=4,9,9,20.7,4.25717907948666,4.09415654932906,26.2796593187012,26.7139771342515
Q9UQR0;B4DRC2;H0Y6S1,Q9UQR0;B4DRC2,18;9;3,18;9;3,18;9;3,Sex comb on midleg-like protein 2,SCML2,sp|Q9UQR0|SCML2_HUMAN Sex comb on midleg-like protein 2 OS=Homo sapiens OX=9606 GN=SCML2 PE=1 SV=1;tr|B4DRC2|B4DRC2_HUMAN Sex comb on midleg-like protein 2 OS=Homo sapiens OX=9606 GN=SCML2 PE=1 SV=1,18,18,35.7,4.25717907948666,4.09415654932906,28.858072131193,28.6625820561053
Q14160;A0A0G2JNZ2;A0A669KB89;A0A0G2JPP5;A0A0G2JMS7;H0YCG0;A0A669KAX5;Q9BTT6;Q5T0G3,Q14160;A0A0G2JNZ2;A0A669KB89;A0A0G2JPP5;A0A0G2JMS7,45;45;45;44;40;16;6;3;3,45;45;45;44;40;16;6;3;3,40;40;40;39;35;16;4;3;3,Protein scribble homolog,SCRIB,sp|Q14160|SCRIB_HUMAN Protein scribble homolog OS=Homo sapiens OX=9606 GN=SCRIB PE=1 SV=4;tr|A0A0G2JNZ2|A0A0G2JNZ2_HUMAN Protein scribble homolog OS=Homo sapiens OX=9606 GN=SCRIB PE=1 SV=1;tr|A0A669KB89|A0A669KB89_HUMAN Protein scribble homolog OS=Homo sap,45,40,42.6,25.840477525467,22.0327479784703,30.4997147106171,30.3914099862999
Q6P3W7;A0A0U1RQQ9;F8VSC5;H0YIK6,Q6P3W7;A0A0U1RQQ9;F8VSC5,6;6;5;1,6;6;5;1,6;6;5;1,SCY1-like protein 2,SCYL2,sp|Q6P3W7|SCYL2_HUMAN SCY1-like protein 2 OS=Homo sapiens OX=9606 GN=SCYL2 PE=1 SV=1;tr|A0A0U1RQQ9|A0A0U1RQQ9_HUMAN SCY1-like protein 2 OS=Homo sapiens OX=9606 GN=SCYL2 PE=1 SV=1;tr|F8VSC5|F8VSC5_HUMAN SCY1-like protein 2 (Fragment) OS=Homo sapiens OX=9606,6,6,9.9,4.25717907948666,4.09415654932906,26.4150941664494,25.8254161274571
Q8IZE3;X6RHX1,Q8IZE3;X6RHX1,6;6,6;6,6;6,Protein-associating with the carboxyl-terminal domain of ezrin,SCYL3,sp|Q8IZE3|PACE1_HUMAN Protein-associating with the carboxyl-terminal domain of ezrin OS=Homo sapiens OX=9606 GN=SCYL3 PE=1 SV=3;tr|X6RHX1|X6RHX1_HUMAN Protein-associating with the carboxyl-terminal domain of ezrin (Fragment) OS=Homo sapiens OX=9606 GN=SCYL,6,6,9.6,4.25717907948666,4.09415654932906,26.2781886723963,25.1754280271722
Q9NVU7;E7EW05,Q9NVU7;E7EW05,5;4,5;4,5;4,Protein SDA1 homolog,SDAD1,sp|Q9NVU7|SDA1_HUMAN Protein SDA1 homolog OS=Homo sapiens OX=9606 GN=SDAD1 PE=1 SV=3;tr|E7EW05|E7EW05_HUMAN Protein SDA1 OS=Homo sapiens OX=9606 GN=SDAD1 PE=1 SV=1,5,5,8.4,4.25717907948666,4.09415654932906,25.6435314499844,25.721923583035
O00560;G5EA09;B4DHN5;E9PBU7,O00560;G5EA09,5;4;2;2,5;4;2;2,5;4;2;2,Syntenin-1,SDCBP,"sp|O00560|SDCB1_HUMAN Syntenin-1 OS=Homo sapiens OX=9606 GN=SDCBP PE=1 SV=1;tr|G5EA09|G5EA09_HUMAN Syndecan binding protein (Syntenin), isoform CRA_a OS=Homo sapiens OX=9606 GN=SDCBP PE=1 SV=1",5,5,27.2,4.25717907948666,4.09415654932906,26.8282037106271,26.5886368705258
Q6IQ49,Q6IQ49,3,3,3,Protein SDE2 homolog,SDE2,sp|Q6IQ49|SDE2_HUMAN Replication stress response regulator SDE2 OS=Homo sapiens OX=9606 GN=SDE2 PE=1 SV=1,3,3,13.3,4.25717907948666,4.09415654932906,23.0151053373796,23.6473521415506
O15027;A0A3F2YNX0;A0A3F2YNZ0;F1T0I1;A0A0C4DH09;X6RGP5;Q8N9G1,O15027;A0A3F2YNX0;A0A3F2YNZ0;F1T0I1;A0A0C4DH09;X6RGP5,5;5;5;5;3;3;1,5;5;5;5;3;3;1,5;5;5;5;3;3;1,Protein transport protein Sec16A,SEC16A,sp|O15027|SC16A_HUMAN Protein transport protein Sec16A OS=Homo sapiens OX=9606 GN=SEC16A PE=1 SV=4;tr|A0A3F2YNX0|A0A3F2YNX0_HUMAN Protein transport protein sec16 OS=Homo sapiens OX=9606 GN=SEC16A PE=1 SV=1;tr|A0A3F2YNZ0|A0A3F2YNZ0_HUMAN Protein transport p,5,5,3.6,23.223525685754,23.354781847145,25.3861722055606,23.7377894997231
O75396;A0A087X1A9,O75396;A0A087X1A9,2;1,2;1,2;1,Vesicle-trafficking protein SEC22b,SEC22B,sp|O75396|SC22B_HUMAN Vesicle-trafficking protein SEC22b OS=Homo sapiens OX=9606 GN=SEC22B PE=1 SV=4;tr|A0A087X1A9|A0A087X1A9_HUMAN Vesicle-trafficking protein SEC22b (Fragment) OS=Homo sapiens OX=9606 GN=SEC22B PE=1 SV=1,2,2,9.3,4.25717907948666,4.09415654932906,24.3536669839685,24.422010340409
Q9Y6Y8;H7C4C4;H7C0V8;A0A0C4DH82,Q9Y6Y8,12;3;3;3,12;3;3;3,12;3;3;3,SEC23-interacting protein,SEC23IP,sp|Q9Y6Y8|S23IP_HUMAN SEC23-interacting protein OS=Homo sapiens OX=9606 GN=SEC23IP PE=1 SV=1,12,12,15.0,4.25717907948666,4.09415654932906,27.9859286869219,27.5623817216233
O95486,O95486,4,3,3,Protein transport protein Sec24A,SEC24A,sp|O95486|SC24A_HUMAN Protein transport protein Sec24A OS=Homo sapiens OX=9606 GN=SEC24A PE=1 SV=2,4,3,4.0,4.25717907948666,4.09415654932906,25.2095904990067,23.6286751438011
O95487,O95487,11,11,10,Protein transport protein Sec24B,SEC24B,sp|O95487|SC24B_HUMAN Protein transport protein Sec24B OS=Homo sapiens OX=9606 GN=SEC24B PE=1 SV=2,11,10,10.7,23.4630124153042,21.6312090350138,27.5154787211959,27.731238743243
O94979;D6REX3;D6RHZ5;H0YAB3;H0Y8V7;H0Y9K1;H0Y9T9;H0Y8W8;D6RE64;D6RCQ9;H0YAF5,O94979;D6REX3;D6RHZ5;H0YAB3,12;12;10;6;5;4;3;2;1;1;1,12;12;10;6;5;4;3;2;1;1;1,3;3;3;0;0;0;3;0;1;1;0,Protein transport protein Sec31A,SEC31A,sp|O94979|SC31A_HUMAN Protein transport protein Sec31A OS=Homo sapiens OX=9606 GN=SEC31A PE=1 SV=3;tr|D6REX3|D6REX3_HUMAN Protein transport protein Sec31A OS=Homo sapiens OX=9606 GN=SEC31A PE=1 SV=1;tr|D6RHZ5|D6RHZ5_HUMAN Protein transport protein Sec31A O,12,3,12.0,4.25717907948666,4.09415654932906,27.9824511332582,27.773353039014
K7ELV2;Q96EE3,K7ELV2;Q96EE3,2;1,2;1,2;1,Nucleoporin SEH1,SEH1L,tr|K7ELV2|K7ELV2_HUMAN Nucleoporin SEH1 (Fragment) OS=Homo sapiens OX=9606 GN=SEH1L PE=1 SV=1;sp|Q96EE3|SEH1_HUMAN Nucleoporin SEH1 OS=Homo sapiens OX=9606 GN=SEH1L PE=1 SV=3,2,2,8.4,22.5367547033919,22.6358888362183,24.573056154561,23.8331595612275
Q8NC51,Q8NC51,17,17,17,Plasminogen activator inhibitor 1 RNA-binding protein,SERBP1,sp|Q8NC51|PAIRB_HUMAN Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens OX=9606 GN=SERBP1 PE=1 SV=2,17,17,43.4,27.743039599854,26.600737102145,31.5130516356754,31.2033817234385
P50454;E9PQ34;E9PJH8;E9PIG2;E9PRS3;E9PKH2;E9PNX1;E9PK86;E9PMI5;E9PR70;E9PPV6,P50454;E9PQ34;E9PJH8;E9PIG2;E9PRS3;E9PKH2;E9PNX1;E9PK86;E9PMI5;E9PR70;E9PPV6,2;1;1;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1;1;1,Serpin H1,SERPINH1,sp|P50454|SERPH_HUMAN Serpin H1 OS=Homo sapiens OX=9606 GN=SERPINH1 PE=1 SV=2;tr|E9PQ34|E9PQ34_HUMAN Serpin H1 (Fragment) OS=Homo sapiens OX=9606 GN=SERPINH1 PE=1 SV=1;tr|E9PJH8|E9PJH8_HUMAN Serpin H1 (Fragment) OS=Homo sapiens OX=9606 GN=SERPINH1 PE=1 SV=,2,2,7.9,25.7510068432953,25.0063840915959,4.51247618958678,4.42747165566269
Q01105;A0A0C4DFV9;P0DME0;A0A087X027,Q01105;A0A0C4DFV9;P0DME0;A0A087X027,5;5;3;3,5;5;3;3,5;5;3;3,Protein SET;Protein SETSIP,SET;SETSIP,sp|Q01105|SET_HUMAN Protein SET OS=Homo sapiens OX=9606 GN=SET PE=1 SV=3;tr|A0A0C4DFV9|A0A0C4DFV9_HUMAN Protein SET OS=Homo sapiens OX=9606 GN=SET PE=1 SV=1;sp|P0DME0|SETLP_HUMAN Protein SETSIP OS=Homo sapiens OX=9606 GN=SETSIP PE=1 SV=1;tr|A0A087X027|A0A0,5,5,27.6,4.25717907948666,4.09415654932906,28.0017968731582,27.3989295740992
Q9BYW2;H7BZ93;C9JG86;H7BXT4;H7C3H4,Q9BYW2;H7BZ93;C9JG86;H7BXT4;H7C3H4,2;2;2;2;2,2;2;2;2;2,2;2;2;2;2,Histone-lysine N-methyltransferase SETD2,SETD2,sp|Q9BYW2|SETD2_HUMAN Histone-lysine N-methyltransferase SETD2 OS=Homo sapiens OX=9606 GN=SETD2 PE=1 SV=3;tr|H7BZ93|H7BZ93_HUMAN Histone-lysine N-methyltransferase SETD2 (Fragment) OS=Homo sapiens OX=9606 GN=SETD2 PE=1 SV=1;tr|C9JG86|C9JG86_HUMAN Histone-l,2,2,1.4,4.25717907948666,4.09415654932906,25.1807925040346,24.3095945884916
Q7Z333;X6RI79,Q7Z333;X6RI79,9;6,9;6,9;6,Probable helicase senataxin,SETX,sp|Q7Z333|SETX_HUMAN Probable helicase senataxin OS=Homo sapiens OX=9606 GN=SETX PE=1 SV=4;tr|X6RI79|X6RI79_HUMAN Probable helicase senataxin (Fragment) OS=Homo sapiens OX=9606 GN=SETX PE=1 SV=1,9,9,4.3,4.25717907948666,4.09415654932906,26.4207421781172,25.2533523874935
Q15637;F8WEV5;C9J792,Q15637,14;4;2,14;4;2,12;4;2,Splicing factor 1,SF1,sp|Q15637|SF01_HUMAN Splicing factor 1 OS=Homo sapiens OX=9606 GN=SF1 PE=1 SV=4,14,12,30.7,23.9977754572755,22.704172148226,30.3689045196256,30.2787469857731
Q15459;H7C1L2;F8WC79;F8WB66,Q15459,24;3;1;1,24;3;1;1,24;3;1;1,Splicing factor 3A subunit 1,SF3A1,sp|Q15459|SF3A1_HUMAN Splicing factor 3A subunit 1 OS=Homo sapiens OX=9606 GN=SF3A1 PE=1 SV=1,24,24,37.6,4.25717907948666,4.09415654932906,30.4303180699199,30.3865874885183
O75533;H7C341;B4DGZ4;A0A494C1M2;F8WC19,O75533,63;9;6;6;1,63;9;6;6;1,63;9;6;6;1,Splicing factor 3B subunit 1,SF3B1,sp|O75533|SF3B1_HUMAN Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3,63,63,60.8,4.25717907948666,4.09415654932906,32.0954383433122,31.9995070457602
Q13435;E9PPJ0;H0YCG1;E9PJ04;E9PJT3;H0YEX5;E9PIL8,Q13435;E9PPJ0,36;33;14;13;12;9;2,36;33;14;13;12;9;2,36;33;14;13;12;9;2,Splicing factor 3B subunit 2,SF3B2,sp|Q13435|SF3B2_HUMAN Splicing factor 3B subunit 2 OS=Homo sapiens OX=9606 GN=SF3B2 PE=1 SV=2;tr|E9PPJ0|E9PPJ0_HUMAN Splicing factor 3B subunit 2 OS=Homo sapiens OX=9606 GN=SF3B2 PE=1 SV=1,36,36,46.5,4.25717907948666,4.09415654932906,32.3263527797493,32.1500409909667
Q15393,Q15393,3,3,3,Splicing factor 3B subunit 3,SF3B3,sp|Q15393|SF3B3_HUMAN Splicing factor 3B subunit 3 OS=Homo sapiens OX=9606 GN=SF3B3 PE=1 SV=4,3,3,3.5,4.25717907948666,4.09415654932906,25.1920459379776,24.4973485074666
P23246;H0Y9K7;H0Y9U2,P23246,19;5;2,18;5;2,18;5;2,"Splicing factor, proline- and glutamine-rich",SFPQ,"sp|P23246|SFPQ_HUMAN Splicing factor, proline- and glutamine-rich OS=Homo sapiens OX=9606 GN=SFPQ PE=1 SV=2",19,18,35.4,27.1403394177717,23.1244255275411,30.2652829954181,29.7244401857436
Q12872;H0YFR9,Q12872,6;1,6;1,6;1,"Splicing factor, suppressor of white-apricot homolog",SFSWAP,"sp|Q12872|SFSWA_HUMAN Splicing factor, suppressor of white-apricot homolog OS=Homo sapiens OX=9606 GN=SFSWAP PE=1 SV=3",6,6,7.6,4.25717907948666,4.09415654932906,26.2930737672722,25.3520846568296
Q7L8J4,Q7L8J4,6,6,6,SH3 domain-binding protein 5-like,SH3BP5L,sp|Q7L8J4|3BP5L_HUMAN SH3 domain-binding protein 5-like OS=Homo sapiens OX=9606 GN=SH3BP5L PE=1 SV=1,6,6,16.8,4.25717907948666,4.09415654932906,27.5099790023768,27.4368243702563
A0A494C1M0;A0A0U1RQE4;Q5HYK7;A0A0U1RQN2,A0A494C1M0;A0A0U1RQE4;Q5HYK7,12;12;11;1,12;12;11;1,12;12;11;1,SH3 domain-containing protein 19,SH3D19,tr|A0A494C1M0|A0A494C1M0_HUMAN SH3 domain-containing protein 19 OS=Homo sapiens OX=9606 GN=SH3D19 PE=1 SV=1;tr|A0A0U1RQE4|A0A0U1RQE4_HUMAN SH3 domain-containing protein 19 OS=Homo sapiens OX=9606 GN=SH3D19 PE=1 SV=1;sp|Q5HYK7|SH319_HUMAN SH3 domain-contain,12,12,11.9,4.25717907948666,4.09415654932906,26.9127362364299,26.5764342923321
Q99961;M0QYE0;M0R0I3;Q99962;M0R2K6,Q99961;M0QYE0;M0R0I3,9;7;7;2;1,9;7;7;2;1,9;7;7;2;1,Endophilin-A2,SH3GL1,sp|Q99961|SH3G1_HUMAN Endophilin-A2 OS=Homo sapiens OX=9606 GN=SH3GL1 PE=1 SV=1;tr|M0QYE0|M0QYE0_HUMAN Endophilin-A2 (Fragment) OS=Homo sapiens OX=9606 GN=SH3GL1 PE=1 SV=8;tr|M0R0I3|M0R0I3_HUMAN Endophilin-A2 (Fragment) OS=Homo sapiens OX=9606 GN=SH3GL1 PE,9,9,31.8,4.25717907948666,4.09415654932906,27.9157021638652,27.700943618674
Q96B97;Q5JPT2;Q5VSN0,Q96B97;Q5JPT2,11;11;3,11;11;3,11;11;3,SH3 domain-containing kinase-binding protein 1,SH3KBP1,sp|Q96B97|SH3K1_HUMAN SH3 domain-containing kinase-binding protein 1 OS=Homo sapiens OX=9606 GN=SH3KBP1 PE=1 SV=2;tr|Q5JPT2|Q5JPT2_HUMAN SH3 domain-containing kinase-binding protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=SH3KBP1 PE=1 SV=1,11,11,22.7,4.25717907948666,4.09415654932906,28.0635283922225,28.2409994474276
A1X283;G3V144;A0A1B0GUF2;Q5TCZ1;H0Y507,A1X283,35;16;16;2;2,35;16;16;2;2,35;16;16;2;2,SH3 and PX domain-containing protein 2B,SH3PXD2B,sp|A1X283|SPD2B_HUMAN SH3 and PX domain-containing protein 2B OS=Homo sapiens OX=9606 GN=SH3PXD2B PE=1 SV=3,35,35,47.9,24.0824531406292,24.8579001491556,31.4183533218916,31.0483023954582
Q7Z6J0;D6RAL3;D6RHX5;H0YA90,Q7Z6J0,3;1;1;1,3;1;1;1,3;1;1;1,E3 ubiquitin-protein ligase SH3RF1,SH3RF1,sp|Q7Z6J0|SH3R1_HUMAN E3 ubiquitin-protein ligase SH3RF1 OS=Homo sapiens OX=9606 GN=SH3RF1 PE=1 SV=2,3,3,4.8,4.25717907948666,4.09415654932906,23.236911695195,24.3376970258862
P29353;X6R6D0;H0Y539;Q5T181;Q5T182;Q5T188;P98077,P29353;X6R6D0;H0Y539,8;5;4;3;3;2;1,8;5;4;3;3;2;1,8;5;4;3;3;2;1,SHC-transforming protein 1,SHC1,sp|P29353|SHC1_HUMAN SHC-transforming protein 1 OS=Homo sapiens OX=9606 GN=SHC1 PE=1 SV=4;tr|X6R6D0|X6R6D0_HUMAN SHC-transforming protein 1 OS=Homo sapiens OX=9606 GN=SHC1 PE=1 SV=1;tr|H0Y539|H0Y539_HUMAN SHC-transforming protein 1 (Fragment) OS=Homo sapie,8,8,22.6,23.4216251937885,22.676357933671,27.8391803321763,27.2881525879686
Q8NEM2;I3L3Z1,Q8NEM2,3;1,3;1,3;1,SHC SH2 domain-binding protein 1,SHCBP1,sp|Q8NEM2|SHCBP_HUMAN SHC SH2 domain-binding protein 1 OS=Homo sapiens OX=9606 GN=SHCBP1 PE=1 SV=3,3,3,4.0,4.25717907948666,4.09415654932906,24.6874175477251,24.5788255080881
Q13796;C9IZC6;F5H3B6;Q8TF72;A0A2R8Y5P9;Q9ULL8,Q13796;C9IZC6;F5H3B6,14;7;7;2;2;1,14;7;7;2;2;1,14;7;7;2;2;1,Protein Shroom2,SHROOM2,sp|Q13796|SHRM2_HUMAN Protein Shroom2 OS=Homo sapiens OX=9606 GN=SHROOM2 PE=1 SV=1;tr|C9IZC6|C9IZC6_HUMAN Protein Shroom2 (Fragment) OS=Homo sapiens OX=9606 GN=SHROOM2 PE=1 SV=1;tr|F5H3B6|F5H3B6_HUMAN Protein Shroom2 OS=Homo sapiens OX=9606 GN=SHROOM2 PE=1,14,14,12.4,4.25717907948666,4.09415654932906,27.4345992149653,26.849119669136
Q96ST3;H3BP90;H3BNZ3,Q96ST3,21;3;1,21;3;1,21;3;1,Paired amphipathic helix protein Sin3a,SIN3A,sp|Q96ST3|SIN3A_HUMAN Paired amphipathic helix protein Sin3a OS=Homo sapiens OX=9606 GN=SIN3A PE=1 SV=2,21,21,22.9,4.25717907948666,4.09415654932906,28.3487459812306,28.2686998269845
O75182;M0QYC5;M0R271,O75182;M0QYC5,31;16;8,31;16;8,31;16;8,Paired amphipathic helix protein Sin3b,SIN3B,sp|O75182|SIN3B_HUMAN Paired amphipathic helix protein Sin3b OS=Homo sapiens OX=9606 GN=SIN3B PE=1 SV=2;tr|M0QYC5|M0QYC5_HUMAN Paired amphipathic helix protein Sin3b OS=Homo sapiens OX=9606 GN=SIN3B PE=1 SV=1,31,31,35.5,4.25717907948666,4.09415654932906,30.1723599014861,29.9699389010549
Q96FS4;F6RY50;E9PIB3,Q96FS4;F6RY50,9;7;2,9;7;2,9;7;2,Signal-induced proliferation-associated protein 1,SIPA1,sp|Q96FS4|SIPA1_HUMAN Signal-induced proliferation-associated protein 1 OS=Homo sapiens OX=9606 GN=SIPA1 PE=1 SV=1;tr|F6RY50|F6RY50_HUMAN Signal-induced proliferation-associated protein 1 OS=Homo sapiens OX=9606 GN=SIPA1 PE=1 SV=1,9,9,12.6,4.25717907948666,4.09415654932906,27.1334964280578,26.9881520976905
O43166;H0YJY2,O43166,39;7,39;7,9;2,Signal-induced proliferation-associated 1-like protein 1,SIPA1L1,sp|O43166|SI1L1_HUMAN Signal-induced proliferation-associated 1-like protein 1 OS=Homo sapiens OX=9606 GN=SIPA1L1 PE=1 SV=4,39,9,32.4,24.4864643447432,20.3992654056968,29.85445025105,29.5895836322024
Q96EB6;B0QZ35;E9PC49,Q96EB6;B0QZ35;E9PC49,3;2;2,3;2;2,3;2;2,NAD-dependent protein deacetylase sirtuin-1;SirtT1 75 kDa fragment,SIRT1,sp|Q96EB6|SIR1_HUMAN NAD-dependent protein deacetylase sirtuin-1 OS=Homo sapiens OX=9606 GN=SIRT1 PE=1 SV=2;tr|B0QZ35|B0QZ35_HUMAN NAD-dependent protein deacetylase sirtuin-1 OS=Homo sapiens OX=9606 GN=SIRT1 PE=1 SV=1;tr|E9PC49|E9PC49_HUMAN NAD-dependent p,3,3,5.2,4.25717907948666,4.09415654932906,24.2747631697026,23.304520667236
Q8IXJ6;F8WCF4;C9JZQ0;B5MCS1;A0A0A0MRF5;E7EWX6;A0A087WYM3;C9JR33;C9J3U7;F8WF57;F8WDM4,Q8IXJ6;F8WCF4;C9JZQ0;B5MCS1;A0A0A0MRF5;E7EWX6;A0A087WYM3;C9JR33;C9J3U7;F8WF57;F8WDM4,4;4;4;4;4;4;4;3;3;2;2,4;4;4;4;4;4;4;3;3;2;2,4;4;4;4;4;4;4;3;3;2;2,NAD-dependent protein deacetylase sirtuin-2,SIRT2,sp|Q8IXJ6|SIR2_HUMAN NAD-dependent protein deacetylase sirtuin-2 OS=Homo sapiens OX=9606 GN=SIRT2 PE=1 SV=2;tr|F8WCF4|F8WCF4_HUMAN NAD-dependent protein deacetylase sirtuin-2 OS=Homo sapiens OX=9606 GN=SIRT2 PE=1 SV=1;tr|C9JZQ0|C9JZQ0_HUMAN NAD-dependent p,4,4,13.6,4.25717907948666,4.09415654932906,26.2465550547927,25.6128491542748
Q9UIU6;G3V2N2,Q9UIU6,5;2,5;2,5;2,Homeobox protein SIX4,SIX4,sp|Q9UIU6|SIX4_HUMAN Homeobox protein SIX4 OS=Homo sapiens OX=9606 GN=SIX4 PE=1 SV=2,5,5,12.3,4.25717907948666,4.09415654932906,26.0542619925784,25.751875198218
Q8IX90;F5GWG1;F5H8H7,Q8IX90,10;1;1,10;1;1,10;1;1,Spindle and kinetochore-associated protein 3,SKA3,sp|Q8IX90|SKA3_HUMAN Spindle and kinetochore-associated protein 3 OS=Homo sapiens OX=9606 GN=SKA3 PE=1 SV=2,10,10,33.3,4.25717907948666,4.09415654932906,28.6862556832602,28.5022591804645
Q15477;F8WDE8;B4E0B4,Q15477,3;1;1,3;1;1,3;1;1,Helicase SKI2W,SKIV2L,sp|Q15477|SKIV2_HUMAN Helicase SKI2W OS=Homo sapiens OX=9606 GN=SKIV2L PE=1 SV=3,3,3,4.1,24.773826336996,23.3200336666073,25.5566052155926,24.4073020002906
