CRBN_vs_zBirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
UPP1,1.0255421156,0.00107103639121473,1,Q16831;F8WD51;C9J486;C9JIP2;B4DND0;C9K0J2,Q16831;F8WD51;C9J486;C9JIP2;B4DND0,7;5;5;5;5;2,7;5;5;5;5;2,7;5;5;5;5;2,Uridine phosphorylase 1,UPP1,sp|Q16831|UPP1_HUMAN Uridine phosphorylase 1 OS=Homo sapiens OX=9606 GN=UPP1 PE=1 SV=1;tr|F8WD51|F8WD51_HUMAN Uridine phosphorylase 1 OS=Homo sapiens OX=9606 GN=UPP1 PE=1 SV=1;tr|C9J486|C9J486_HUMAN Uridine phosphorylase 1 (Fragment) OS=Homo sapiens OX=960,7,7,26.5,310
CDO1,0.040257735,0.775986813812255,0,Q16878,Q16878,2,2,2,Cysteine dioxygenase type 1,CDO1,sp|Q16878|CDO1_HUMAN Cysteine dioxygenase type 1 OS=Homo sapiens OX=9606 GN=CDO1 PE=1 SV=2,2,2,21,200
HNRNPUL2;HNRNPUL2-BSCL2,-0.2776393041,0.0861280804039152,0,Q1KMD3;H3BQZ7,Q1KMD3;H3BQZ7,23;21,23;21,23;21,Heterogeneous nuclear ribonucleoprotein U-like protein 2,HNRNPUL2;HNRNPUL2-BSCL2,sp|Q1KMD3|HNRL2_HUMAN Heterogeneous nuclear ribonucleoprotein U-like protein 2 OS=Homo sapiens OX=9606 GN=HNRNPUL2 PE=1 SV=1;tr|H3BQZ7|H3BQZ7_HUMAN HCG2044799 OS=Homo sapiens OX=9606 GN=HNRNPUL2-BSCL2 PE=4 SV=1,23,23,34.7,747
SMU1,-0.2614940255,0.227623356135554,0,Q2TAY7,Q2TAY7,11,11,11,"WD40 repeat-containing protein SMU1;WD40 repeat-containing protein SMU1, N-terminally processed",SMU1,sp|Q2TAY7|SMU1_HUMAN WD40 repeat-containing protein SMU1 OS=Homo sapiens OX=9606 GN=SMU1 PE=1 SV=2,11,11,27.3,513
LEPRE1,-0.3343304872,0.0622006845240696,0,Q32P28;H7C2W6;E2QRI1,Q32P28,10;3;2,10;3;2,10;3;2,Prolyl 3-hydroxylase 1,LEPRE1,sp|Q32P28|P3H1_HUMAN Prolyl 3-hydroxylase 1 OS=Homo sapiens OX=9606 GN=P3H1 PE=1 SV=2,10,10,15.2,736
TUBB8,-0.0559639021,0.726761992523979,0,Q3ZCM7;A0A075B736;Q5SQY0,Q3ZCM7;A0A075B736;Q5SQY0,12;11;11,3;3;3,3;3;3,Tubulin beta-8 chain,TUBB8,sp|Q3ZCM7|TBB8_HUMAN Tubulin beta-8 chain OS=Homo sapiens OX=9606 GN=TUBB8 PE=1 SV=2;tr|A0A075B736|A0A075B736_HUMAN Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB8 PE=1 SV=1;tr|Q5SQY0|Q5SQY0_HUMAN Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB8 PE=,12,3,23.9,444
MRPL51,0.1324746756,0.564392969111226,0,Q4U2R6;M0R176;A0A087WU28;A0A0B4J2C1,Q4U2R6;M0R176;A0A087WU28;A0A0B4J2C1,2;1;1;1,2;1;1;1,2;1;1;1,"39S ribosomal protein L51, mitochondrial",MRPL51,"sp|Q4U2R6|RM51_HUMAN 39S ribosomal protein L51, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL51 PE=1 SV=1;tr|M0R176|M0R176_HUMAN 39S ribosomal protein L51, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL51 PE=1 SV=1;tr|A0A087WU28|A0A087WU28_HUMAN 39S ribosom",2,2,25,128
FAM98B,-0.1654704896,0.229476917259745,0,Q52LJ0;H0YNA1,Q52LJ0,10;2,10;2,7;2,Protein FAM98B,FAM98B,sp|Q52LJ0|FA98B_HUMAN Protein FAM98B OS=Homo sapiens OX=9606 GN=FAM98B PE=1 SV=2,10,7,25.4,433
HSP90AB2P,-0.4719593282,0.0228750966545343,0,Q58FF8,Q58FF8,15,2,2,Putative heat shock protein HSP 90-beta 2,HSP90AB2P,sp|Q58FF8|H90B2_HUMAN Putative heat shock protein HSP 90-beta 2 OS=Homo sapiens OX=9606 GN=HSP90AB2P PE=1 SV=2,15,2,23.6,381
ZNF326,-0.2939376452,0.0655186006524892,0,Q5BKZ1;A0A0A0MRN4;E2QRN4,Q5BKZ1;A0A0A0MRN4,13;7;1,13;7;1,13;7;1,DBIRD complex subunit ZNF326,ZNF326,sp|Q5BKZ1|ZN326_HUMAN DBIRD complex subunit ZNF326 OS=Homo sapiens OX=9606 GN=ZNF326 PE=1 SV=2;tr|A0A0A0MRN4|A0A0A0MRN4_HUMAN DBIRD complex subunit ZNF326 OS=Homo sapiens OX=9606 GN=ZNF326 PE=1 SV=1,13,13,32.6,582
MAGED2,-0.7074593595,0.018309752680092,0,Q9UNF1;Q5H909;Q5H907,Q9UNF1;Q5H909;Q5H907,9;9;6,9;9;6,9;9;6,Melanoma-associated antigen D2,MAGED2,"sp|Q9UNF1|MAGD2_HUMAN Melanoma-associated antigen D2 OS=Homo sapiens OX=9606 GN=MAGED2 PE=1 SV=2;tr|Q5H909|Q5H909_HUMAN Melanoma-associated antigen D2 OS=Homo sapiens OX=9606 GN=MAGED2 PE=1 SV=2;tr|Q5H907|Q5H907_HUMAN Melanoma antigen family D, 2, isoform ",9,9,20.3,606
RRP12,0.13231477,0.449259122213041,0,Q5JTH9;A0A087X1U8,Q5JTH9,18;1,18;1,18;1,RRP12-like protein,RRP12,sp|Q5JTH9|RRP12_HUMAN RRP12-like protein OS=Homo sapiens OX=9606 GN=RRP12 PE=1 SV=2,18,18,18,1297
SNX5,-0.2630817505,0.260888943293357,0,Q9Y5X3;Q5QPE5;Q5QPE4;U3KQL0;U3KQP5;A0A087WUY5,Q9Y5X3;Q5QPE5;Q5QPE4,4;4;2;1;1;1,4;4;2;1;1;1,4;4;2;1;1;1,Sorting nexin-5,SNX5,sp|Q9Y5X3|SNX5_HUMAN Sorting nexin-5 OS=Homo sapiens OX=9606 GN=SNX5 PE=1 SV=1;tr|Q5QPE5|Q5QPE5_HUMAN Sorting nexin-5 (Fragment) OS=Homo sapiens OX=9606 GN=SNX5 PE=1 SV=1;tr|Q5QPE4|Q5QPE4_HUMAN Sorting nexin-5 (Fragment) OS=Homo sapiens OX=9606 GN=SNX5 PE=,4,4,9.2,404
SH3BGRL3,0.3816378072,0.0913245682334609,0,Q9H299;Q5T123,Q9H299;Q5T123,3;3,3;3,3;3,SH3 domain-binding glutamic acid-rich-like protein 3,SH3BGRL3,sp|Q9H299|SH3L3_HUMAN SH3 domain-binding glutamic acid-rich-like protein 3 OS=Homo sapiens OX=9606 GN=SH3BGRL3 PE=1 SV=1;tr|Q5T123|Q5T123_HUMAN SH3 domain-binding glutamic acid-rich-like protein 3 OS=Homo sapiens OX=9606 GN=SH3BGRL3 PE=1 SV=1,3,3,38.7,93
FLNA,-0.1029642545,0.47771963374265,0,Q60FE5;P21333;A0A087WWY3;F8WE98;H0Y5C6;H0Y5F3;A0A669KBC6;H7C2E7,Q60FE5;P21333;A0A087WWY3,102;101;92;21;9;4;1;1,93;92;85;14;7;4;1;1,93;92;85;14;7;4;1;1,Filamin-A,FLNA,tr|Q60FE5|Q60FE5_HUMAN Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=1;sp|P21333|FLNA_HUMAN Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=4;tr|A0A087WWY3|A0A087WWY3_HUMAN Filamin-A OS=Homo sapiens OX=9606 GN=FLNA PE=1 SV=1,102,93,48.8,2620
ATL3,-0.2539235695,0.0982409066547701,0,Q6DD88;F5H6I7;F5GWF8,Q6DD88;F5H6I7,11;10;3,11;10;3,11;10;3,Atlastin-3,ATL3,sp|Q6DD88|ATLA3_HUMAN Atlastin-3 OS=Homo sapiens OX=9606 GN=ATL3 PE=1 SV=1;tr|F5H6I7|F5H6I7_HUMAN Atlastin-3 OS=Homo sapiens OX=9606 GN=ATL3 PE=1 SV=1,11,11,37.5,541
SMYD5,-2.9117551054,0.00181210717701699,1,Q6GMV2;E2QRN5;F8WEJ9;C9IYN9,Q6GMV2;E2QRN5;F8WEJ9;C9IYN9,3;2;2;2,3;2;2;2,3;2;2;2,SET and MYND domain-containing protein 5,SMYD5,sp|Q6GMV2|SMYD5_HUMAN SET and MYND domain-containing protein 5 OS=Homo sapiens OX=9606 GN=SMYD5 PE=1 SV=2;tr|E2QRN5|E2QRN5_HUMAN SET and MYND domain-containing protein 5 OS=Homo sapiens OX=9606 GN=SMYD5 PE=1 SV=1;tr|F8WEJ9|F8WEJ9_HUMAN SET and MYND domain-,3,3,11.5,418
LAMTOR1,-0.2114060866,0.125047687815,0,Q6IAA8;F5GX19;F5H3Y3;H0YFI1;F5H479,Q6IAA8;F5GX19;F5H3Y3,5;3;3;2;2,5;3;3;2;2,5;3;3;2;2,Ragulator complex protein LAMTOR1,LAMTOR1,sp|Q6IAA8|LTOR1_HUMAN Ragulator complex protein LAMTOR1 OS=Homo sapiens OX=9606 GN=LAMTOR1 PE=1 SV=2;tr|F5GX19|F5GX19_HUMAN Ragulator complex protein LAMTOR1 OS=Homo sapiens OX=9606 GN=LAMTOR1 PE=1 SV=1;tr|F5H3Y3|F5H3Y3_HUMAN Ragulator complex protein LAMT,5,5,52.8,161
TWF2,-0.7788099712,0.00964036937723957,0,Q6IBS0;D6RG15,Q6IBS0;D6RG15,7;5,7;5,2;2,Twinfilin-2,TWF2,sp|Q6IBS0|TWF2_HUMAN Twinfilin-2 OS=Homo sapiens OX=9606 GN=TWF2 PE=1 SV=2;tr|D6RG15|D6RG15_HUMAN Twinfilin-2 OS=Homo sapiens OX=9606 GN=TWF2 PE=1 SV=1,7,2,32.7,349
SLC25A24,-0.4866328182,0.00987779787129469,0,Q6NUK1;A0A3B3IU96,Q6NUK1,6;1,6;1,6;1,Calcium-binding mitochondrial carrier protein SCaMC-1,SLC25A24,sp|Q6NUK1|SCMC1_HUMAN Calcium-binding mitochondrial carrier protein SCaMC-1 OS=Homo sapiens OX=9606 GN=SLC25A24 PE=1 SV=2,6,6,16.6,477
HIBCH,-1.1511470456,0.0912568052832357,0,Q6NVY1;B8ZZZ0;H7C400;H7BYI7;H7C1A5;F8W8A6;B9A058,Q6NVY1;B8ZZZ0,6;5;1;1;1;1;1,6;5;1;1;1;1;1,6;5;1;1;1;1;1,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",HIBCH,"sp|Q6NVY1|HIBCH_HUMAN 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=HIBCH PE=1 SV=2;tr|B8ZZZ0|B8ZZZ0_HUMAN 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=HIBCH PE=1 SV=1",6,6,17.1,386
PTRF,-1.2667780023,0.000354277448815967,1,Q6NZI2,Q6NZI2,12,12,12,Polymerase I and transcript release factor,PTRF,sp|Q6NZI2|CAVN1_HUMAN Caveolae-associated protein 1 OS=Homo sapiens OX=9606 GN=CAVIN1 PE=1 SV=1,12,12,36.2,390
SLC27A4,-0.0689637199,0.654946515115654,0,Q6P1M0,Q6P1M0,2,2,2,Long-chain fatty acid transport protein 4,SLC27A4,sp|Q6P1M0|S27A4_HUMAN Long-chain fatty acid transport protein 4 OS=Homo sapiens OX=9606 GN=SLC27A4 PE=1 SV=1,2,2,3.6,643
EDC4,0.1880674556,0.286504303189786,0,Q6P2E9;I3L2F4;I3L3M2,Q6P2E9,10;2;1,10;2;1,10;2;1,Enhancer of mRNA-decapping protein 4,EDC4,sp|Q6P2E9|EDC4_HUMAN Enhancer of mRNA-decapping protein 4 OS=Homo sapiens OX=9606 GN=EDC4 PE=1 SV=1,10,10,12.8,1401
PRPF8,-0.0506728373,0.713574928038551,0,Q6P2Q9;I3L0J9;I3L3Z8;I3L1T8,Q6P2Q9,69;23;11;2,69;23;11;2,69;23;11;2,Pre-mRNA-processing-splicing factor 8,PRPF8,sp|Q6P2Q9|PRP8_HUMAN Pre-mRNA-processing-splicing factor 8 OS=Homo sapiens OX=9606 GN=PRPF8 PE=1 SV=2,69,69,36.9,2335
FAHD1,-0.0282932524,0.876532309880018,0,Q6P587,Q6P587,5,5,5,"Acylpyruvase FAHD1, mitochondrial",FAHD1,"sp|Q6P587|FAHD1_HUMAN Acylpyruvase FAHD1, mitochondrial OS=Homo sapiens OX=9606 GN=FAHD1 PE=1 SV=2",5,5,33.9,224
HSDL2,0.4547373303,0.384618289307051,0,Q6YN16,Q6YN16,5,5,5,Hydroxysteroid dehydrogenase-like protein 2,HSDL2,sp|Q6YN16|HSDL2_HUMAN Hydroxysteroid dehydrogenase-like protein 2 OS=Homo sapiens OX=9606 GN=HSDL2 PE=1 SV=1,5,5,21.1,418
UNC13D,0.2723321793,0.0968191407369827,0,Q70J99;K7EMK8;K7EIH3;K7EQ37,Q70J99;K7EMK8,6;3;1;1,6;3;1;1,6;3;1;1,Protein unc-13 homolog D,UNC13D,sp|Q70J99|UN13D_HUMAN Protein unc-13 homolog D OS=Homo sapiens OX=9606 GN=UNC13D PE=1 SV=1;tr|K7EMK8|K7EMK8_HUMAN Protein unc-13 homolog D (Fragment) OS=Homo sapiens OX=9606 GN=UNC13D PE=1 SV=1,6,6,9.4,1090
HIST2H3A,-0.7189841081,0.00521318484812014,0,Q71DI3,Q71DI3,18,18,2,Histone H3.2,HIST2H3A,sp|Q71DI3|H32_HUMAN Histone H3.2 OS=Homo sapiens OX=9606 GN=H3C15 PE=1 SV=3,18,2,77.2,136
SND1,0.2151925864,0.146078961646332,0,Q7KZF4;H7C597,Q7KZF4,56;14,56;14,56;14,Staphylococcal nuclease domain-containing protein 1,SND1,sp|Q7KZF4|SND1_HUMAN Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1,56,56,75.2,910
TRMT10C,-0.1011640329,0.489717188597368,0,Q7L0Y3;C9JVB6,Q7L0Y3;C9JVB6,16;12,16;12,16;12,Mitochondrial ribonuclease P protein 1,TRMT10C,sp|Q7L0Y3|TM10C_HUMAN tRNA methyltransferase 10 homolog C OS=Homo sapiens OX=9606 GN=TRMT10C PE=1 SV=2;tr|C9JVB6|C9JVB6_HUMAN tRNA methyltransferase 10 homolog C (Fragment) OS=Homo sapiens OX=9606 GN=TRMT10C PE=1 SV=1,16,16,51.1,403
EIF3M,-0.0081013971,0.953062313011197,0,Q7L2H7;J3KNJ2;H0YCQ8;E9PN86;E9PRI2;E7ESM3;E9PRY0,Q7L2H7,12;5;5;3;2;2;1,12;5;5;3;2;2;1,12;5;5;3;2;2;1,Eukaryotic translation initiation factor 3 subunit M,EIF3M,sp|Q7L2H7|EIF3M_HUMAN Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens OX=9606 GN=EIF3M PE=1 SV=1,12,12,39,374
CYFIP1;CYFIP2,0.4111118988,0.0468281683834702,0,Q7L576;A0A0G2JQT1;E7EVJ5;A0A0G2JR96;H7C229;E7EW33;A0A087WU52;A0A0G2JRX2;A0A0G2JRV9;A0A087WWL1;H0YL50;A0A087WVE1;A0A087WTQ3;A0A087WWZ1;A0A087WV63;A0A087WWY5;A0A0G2JQH3;A0A087WZL7;A0A0G2JRF5;A0A087WVZ5,Q7L576;A0A0G2JQT1;E7EVJ5;A0A0G2JR96;H7C229;E7EW33,14;8;8;8;7;7;2;2;2;2;2;2;2;2;1;1;1;1;1;1,14;8;8;8;7;7;2;2;2;2;2;2;2;2;1;1;1;1;1;1,7;3;1;3;1;1;1;1;1;1;0;0;0;0;0;0;1;0;0;1,Cytoplasmic FMR1-interacting protein 1,CYFIP1;CYFIP2,sp|Q7L576|CYFP1_HUMAN Cytoplasmic FMR1-interacting protein 1 OS=Homo sapiens OX=9606 GN=CYFIP1 PE=1 SV=1;tr|A0A0G2JQT1|A0A0G2JQT1_HUMAN Cytoplasmic FMR1-interacting protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=CYFIP1 PE=1 SV=4;tr|E7EVJ5|E7EVJ5_HUMAN Cyt,14,7,14,1253
MYH14,-0.1411098857,0.375632439691664,0,Q7Z406;M0QY43,Q7Z406;M0QY43,8;4,1;1,1;1,Myosin-14,MYH14,sp|Q7Z406|MYH14_HUMAN Myosin-14 OS=Homo sapiens OX=9606 GN=MYH14 PE=1 SV=2;tr|M0QY43|M0QY43_HUMAN Myosin-14 (Fragment) OS=Homo sapiens OX=9606 GN=MYH14 PE=1 SV=8,8,1,3.9,1995
HUWE1,-0.3337623297,0.057824036848488,0,Q7Z6Z7;H0Y659,Q7Z6Z7,15;7,15;7,15;7,E3 ubiquitin-protein ligase HUWE1,HUWE1,sp|Q7Z6Z7|HUWE1_HUMAN E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens OX=9606 GN=HUWE1 PE=1 SV=3,15,15,5.3,4374
PABPN1,0.0095526064,0.955095536321539,0,Q86U42;B4DEH8;G3V4T2;H0YJH9;A6NDY0,Q86U42;B4DEH8;G3V4T2,6;4;4;2;1,6;4;4;2;1,6;4;4;2;1,Polyadenylate-binding protein 2,PABPN1,sp|Q86U42|PABP2_HUMAN Polyadenylate-binding protein 2 OS=Homo sapiens OX=9606 GN=PABPN1 PE=1 SV=3;tr|B4DEH8|B4DEH8_HUMAN Polyadenylate-binding protein 2 OS=Homo sapiens OX=9606 GN=PABPN1 PE=1 SV=1;tr|G3V4T2|G3V4T2_HUMAN Polyadenylate-binding protein 2 OS=H,6,6,28.8,306
KTN1,-0.2165721836,0.201721805312955,0,Q86UP2;G3V4Y7;B7Z6P3;H0YJZ8;G3V5G2;H0YJV5;G3V5P0;H0YJP2,Q86UP2,27;10;4;3;3;2;2;1,27;10;4;3;3;2;2;1,27;10;4;3;3;2;2;1,Kinectin,KTN1,sp|Q86UP2|KTN1_HUMAN Kinectin OS=Homo sapiens OX=9606 GN=KTN1 PE=1 SV=1,27,27,30.1,1357
ALYREF,-0.1519863414,0.241147948934794,0,Q86V81;E9PB61,Q86V81;E9PB61,11;9,11;9,11;9,THO complex subunit 4,ALYREF,sp|Q86V81|THOC4_HUMAN THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=3;tr|E9PB61|E9PB61_HUMAN THO complex subunit 4 OS=Homo sapiens OX=9606 GN=ALYREF PE=1 SV=1,11,11,50.2,257
CAND1,-0.221282625,0.12646800387589,0,Q86VP6;A0A0C4DGH5;H0YH27;O75155;F5H6I6;A0A3B3ISC4;F8WBB8,Q86VP6;A0A0C4DGH5,18;12;5;1;1;1;1,18;12;5;1;1;1;1,18;12;5;1;1;1;1,Cullin-associated NEDD8-dissociated protein 1,CAND1,sp|Q86VP6|CAND1_HUMAN Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens OX=9606 GN=CAND1 PE=1 SV=2;tr|A0A0C4DGH5|A0A0C4DGH5_HUMAN Cullin-associated NEDD8-dissociated protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=CAND1 PE=1 SV=1,18,18,22.7,1230
THOC6,-0.2694125506,0.334188809213361,0,Q86W42,Q86W42,4,4,4,THO complex subunit 6 homolog,THOC6,sp|Q86W42|THOC6_HUMAN THO complex subunit 6 homolog OS=Homo sapiens OX=9606 GN=THOC6 PE=1 SV=1,4,4,15.2,341
CXorf67,0.3487564852,0.132920189519513,0,Q86X51,Q86X51,6,6,6,Uncharacterized protein CXorf67,CXorf67,sp|Q86X51|EZHIP_HUMAN EZH inhibitory protein OS=Homo sapiens OX=9606 GN=EZHIP PE=1 SV=1,6,6,13.3,503
CARM1,0.3340082369,0.0744755140557429,0,Q86X55;K7EK20;K7EPK1;K7EQA8;K7EQB9,Q86X55,6;2;2;2;1,6;2;2;2;1,6;2;2;2;1,Histone-arginine methyltransferase CARM1,CARM1,sp|Q86X55|CARM1_HUMAN Histone-arginine methyltransferase CARM1 OS=Homo sapiens OX=9606 GN=CARM1 PE=1 SV=3,6,6,17.6,608
HIST2H2AB,0.1033812646,0.731588859682559,0,Q8IUE6,Q8IUE6,12,6,3,Histone H2A type 2-B,HIST2H2AB,sp|Q8IUE6|H2A2B_HUMAN Histone H2A type 2-B OS=Homo sapiens OX=9606 GN=H2AC21 PE=1 SV=3,12,3,71.5,130
AHNAK2,-0.0716358941,0.608902547308528,0,Q8IVF2,Q8IVF2,9,9,9,Protein AHNAK2,AHNAK2,sp|Q8IVF2|AHNK2_HUMAN Protein AHNAK2 OS=Homo sapiens OX=9606 GN=AHNAK2 PE=1 SV=2,9,9,11.6,5795
RHOT2,-0.293345291,0.0675151360718362,0,Q8IXI1;H3BST5;I3L2C6;Q8IXI2;H3BMP9;H3BVI5;H3BUX4;H7BXZ6,Q8IXI1;H3BST5;I3L2C6,9;5;5;1;1;1;1;1,9;5;5;1;1;1;1;1,9;5;5;1;1;1;1;1,Mitochondrial Rho GTPase 2,RHOT2,sp|Q8IXI1|MIRO2_HUMAN Mitochondrial Rho GTPase 2 OS=Homo sapiens OX=9606 GN=RHOT2 PE=1 SV=2;tr|H3BST5|H3BST5_HUMAN Mitochondrial Rho GTPase 2 (Fragment) OS=Homo sapiens OX=9606 GN=RHOT2 PE=1 SV=2;tr|I3L2C6|I3L2C6_HUMAN Mitochondrial Rho GTPase 2 (Fragment),9,9,20.2,618
MRPL41,0.0519370736,0.738311118529607,0,Q8IXM3,Q8IXM3,3,3,3,"39S ribosomal protein L41, mitochondrial",MRPL41,"sp|Q8IXM3|RM41_HUMAN 39S ribosomal protein L41, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL41 PE=1 SV=1",3,3,23.4,137
FTSJ3,-0.1391656296,0.449044353187183,0,Q8IY81;J3KS36;J3QSE2,Q8IY81,22;3;2,22;3;2,22;3;2,pre-rRNA processing protein FTSJ3,FTSJ3,sp|Q8IY81|SPB1_HUMAN pre-rRNA 2-O-ribose RNA methyltransferase FTSJ3 OS=Homo sapiens OX=9606 GN=FTSJ3 PE=1 SV=2,22,22,41.7,847
CCAR2,-0.0260033974,0.873415719588941,0,Q8N163;E5RHJ4;H0YC69;E5RFJ3;H0YC58;E5RGU7,Q8N163,19;7;4;4;4;3,19;7;4;4;4;3,8;4;4;4;4;3,Cell cycle and apoptosis regulator protein 2,CCAR2,sp|Q8N163|CCAR2_HUMAN Cell cycle and apoptosis regulator protein 2 OS=Homo sapiens OX=9606 GN=CCAR2 PE=1 SV=2,19,8,31.4,923
NDUFAF2,0.1481706624,0.421680267205954,0,Q8N183;D6RA56;H0YA50,Q8N183;D6RA56,4;2;1,4;2;1,4;2;1,"Mimitin, mitochondrial",NDUFAF2,sp|Q8N183|NDUF2_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2 OS=Homo sapiens OX=9606 GN=NDUFAF2 PE=1 SV=1;tr|D6RA56|D6RA56_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2 OS=Homo sapiens OX=9606 GN=N,4,4,33.1,169
NUP93,-0.9108308096,0.000593685981084171,0,Q8N1F7;H3BVG0;H3BPA9;H3BP95;H3BV15;H3BMX0;H3BRD9;H3BM93;H3BRI8;H3BVE2;H3BNN5;H3BV11;H3BNG7,Q8N1F7;H3BVG0,19;17;6;5;4;4;4;4;3;2;2;2;1,19;17;6;5;4;4;4;4;3;2;2;2;1,19;17;6;5;4;4;4;4;3;2;2;2;1,Nuclear pore complex protein Nup93,NUP93,sp|Q8N1F7|NUP93_HUMAN Nuclear pore complex protein Nup93 OS=Homo sapiens OX=9606 GN=NUP93 PE=1 SV=2;tr|H3BVG0|H3BVG0_HUMAN Nuclear pore complex protein Nup93 OS=Homo sapiens OX=9606 GN=NUP93 PE=1 SV=1,19,19,30.6,819
LRRC47,-0.4399025237,0.017227624365649,0,Q8N1G4,Q8N1G4,5,5,5,Leucine-rich repeat-containing protein 47,LRRC47,sp|Q8N1G4|LRC47_HUMAN Leucine-rich repeat-containing protein 47 OS=Homo sapiens OX=9606 GN=LRRC47 PE=1 SV=1,5,5,13.2,583
ARFGAP1,0.1970468886,0.172869750135341,0,Q8N6T3;E5RIU2;F8VWB3;E5RGL6;E5RHH7;E5RHC5;F8W1U7;F8VWH9;E5RHT6,Q8N6T3;E5RIU2;F8VWB3;E5RGL6;E5RHH7;E5RHC5;F8W1U7;F8VWH9,4;2;2;2;2;2;2;2;1,4;2;2;2;2;2;2;2;1,4;2;2;2;2;2;2;2;1,ADP-ribosylation factor GTPase-activating protein 1,ARFGAP1,sp|Q8N6T3|ARFG1_HUMAN ADP-ribosylation factor GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARFGAP1 PE=1 SV=2;tr|E5RIU2|E5RIU2_HUMAN ADP-ribosylation factor GTPase-activating protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=ARFGAP1 PE=1 SV=1;tr|F8V,4,4,11.8,406
COLGALT1,-0.2834898017,0.236908455014052,0,Q8NBJ5;M0QYH0;M0QX72,Q8NBJ5,10;1;1,10;1;1,10;1;1,Procollagen galactosyltransferase 1,COLGALT1,sp|Q8NBJ5|GT251_HUMAN Procollagen galactosyltransferase 1 OS=Homo sapiens OX=9606 GN=COLGALT1 PE=1 SV=1,10,10,22.3,622
TXNDC5,-0.061917142,0.608903533222825,0,Q8NBS9,Q8NBS9,18,18,18,Thioredoxin domain-containing protein 5,TXNDC5,sp|Q8NBS9|TXND5_HUMAN Thioredoxin domain-containing protein 5 OS=Homo sapiens OX=9606 GN=TXNDC5 PE=1 SV=2,18,18,44,432
PDPR,-0.182742008,0.194581547377926,0,Q8NCN5;H3BQG3;A8MT40;B7ZAR9,Q8NCN5;H3BQG3;A8MT40,11;9;9;1,11;9;9;1,11;9;9;1,"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial",PDPR,"sp|Q8NCN5|PDPR_HUMAN Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial OS=Homo sapiens OX=9606 GN=PDPR PE=1 SV=2;tr|H3BQG3|H3BQG3_HUMAN Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial OS=Homo sapiens OX=9606 GN=PDPR ",11,11,16,879
MAPK1IP1L,-0.2525764542,0.338723689413508,0,Q8NDC0,Q8NDC0,1,1,1,MAPK-interacting and spindle-stabilizing protein-like,MAPK1IP1L,sp|Q8NDC0|MISSL_HUMAN MAPK-interacting and spindle-stabilizing protein-like OS=Homo sapiens OX=9606 GN=MAPK1IP1L PE=1 SV=4,1,1,6.9,245
NGDN,0.4145233281,0.0344957615532665,0,Q8NEJ9;H0YJ17;G3V4G1,Q8NEJ9;H0YJ17,5;3;2,5;3;2,5;3;2,Neuroguidin,NGDN,sp|Q8NEJ9|NGDN_HUMAN Neuroguidin OS=Homo sapiens OX=9606 GN=NGDN PE=1 SV=1;tr|H0YJ17|H0YJ17_HUMAN Neuroguidin (Fragment) OS=Homo sapiens OX=9606 GN=NGDN PE=1 SV=1,5,5,22.2,315
NUP43,-0.4548462353,0.051028155991812,0,Q8NFH3;B4E301;F5H0E3;B4DVD1,Q8NFH3,5;2;2;2,5;2;2;2,5;2;2;2,Nucleoporin Nup43,NUP43,sp|Q8NFH3|NUP43_HUMAN Nucleoporin Nup43 OS=Homo sapiens OX=9606 GN=NUP43 PE=1 SV=1,5,5,17.9,380
