Gene_names,DET1_vs_BirA_logFC,DET1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_DET1_N1,Peptides_DET1_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_DET1_N1,Razor___unique_peptides_DET1_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_DET1_N1,Unique_peptides_DET1_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_DET1_N1,Identification_type_DET1_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_DET1_N1,Ratio_H_L_DET1_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_DET1_N1,Ratio_H_L_normalized_DET1_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____DET1_N1,Ratio_H_L_variability_____DET1_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_DET1_N1,Ratio_H_L_count_DET1_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_DET1_N1,Ratio_H_L_iso_count_DET1_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_DET1_N1,Ratio_H_L_type_DET1_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_DET1_N1____,Sequence_coverage_DET1_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_DET1_N1,Intensity_L_DET1_N1,Intensity_H_DET1_N1,Intensity_DET1_N2,Intensity_L_DET1_N2,Intensity_H_DET1_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DET1_N1,metacell_Intensity_L_DET1_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
MINOS1;MINOS1-NBL1,-19.7294333721798,4.036847873865e-07,Q5TGZ0;A0A087WU07;A0A3B3IRY5;R4GMY4;R4GNA1,Q5TGZ0;A0A087WU07;A0A3B3IRY5;R4GMY4;R4GNA1,2;2;1;1;1,2;2;1;1;1,2;2;1;1;1,MICOS complex subunit MIC10,sp|Q5TGZ0|MIC10_HUMAN MICOS complex subunit MIC10 OS=Homo sapiens OX=9606 GN=MICOS10 PE=1 SV=1;tr|A0A087WU07|A0A087WU07_HUMAN MICOS complex subunit MIC10 OS=Homo sapiens OX=9606 GN=MICOS10 PE=1 SV=1;tr|A0A3B3IRY5|A0A3B3IRY5_HUMAN MICOS complex subunit MIC1,5,2,2,2,2,1,0,0,2,1,0,0,2,1,0,0,59.0,59.0,59.0,8.8081,78,78;62;39;70;71,0.00057143,2.4466,By MS/MS,By MS/MS,,,0.43947,1.1147,6.7279,2,1,Median,0.4253,0.45411,,,1.0629,1.169,,,,,,,1,1,0,0,1,0,0,0,Median,Median,Median,Median,59.0,14.1,0.0,0.0,51101000,35019000,16082000,16839000,12962000,3876800,34262000,22057000,12205000,0,0,0,0,0,0,,,,25,11769;13783,True;True,15377;17885,34499;39942;39943,61129;70607;70608,61129;70608,,,,,-1;-1;-1;-1;-1,protein_26,imputed MEC,imputed MEC,quanti,quanti
RNPEP,-2.13219634873213,0.148529484838419,Q9H4A4;A0A087WU27;A6NKB8;A0A087WUS4;C9JMZ3,Q9H4A4;A0A087WU27;A6NKB8;A0A087WUS4,6;6;6;5;2,6;6;6;5;2,6;6;6;5;2,Aminopeptidase B,sp|Q9H4A4|AMPB_HUMAN Aminopeptidase B OS=Homo sapiens OX=9606 GN=RNPEP PE=1 SV=2;tr|A0A087WU27|A0A087WU27_HUMAN Aminopeptidase B (Fragment) OS=Homo sapiens OX=9606 GN=RNPEP PE=1 SV=1;tr|A6NKB8|A6NKB8_HUMAN Aminopeptidase B OS=Homo sapiens OX=9606 GN=RNPEP ,5,6,6,6,4,3,1,3,4,3,1,3,4,3,1,3,11.8,11.8,11.8,72.595,650,650;171;611;151;344,0.0,6.7314,By MS/MS,By MS/MS,By matching,By MS/MS,0.46589,1.1154,24.41,11,2,Leave out requantified,0.23894,0.51062,0.66726,0.3253,0.66216,1.1354,1.3874,0.89671,21.108,33.812,,30.898,4,3,1,3,2,0,0,0,Median,Leave out requantified,Median,Leave out requantified,7.1,6.9,1.2,5.1,327220000,238820000,88399000,135470000,105730000,29743000,77362000,53775000,23587000,13981000,7131000,6849600,100410000,72186000,28220000,,,,26,415;509;5271;7957;10163;16667,True;True;True;True;True;True,511;616;6875;10492;13422;21530,1159;1387;1388;1389;15609;23733;23734;30205;30206;30207;48491,2103;2492;2493;2494;28336;42850;42851;53817;53818;86202,2103;2492;28336;42851;53817;86202,,,,,-1;-1;-1;-1;-1,protein_27,quanti,quanti,quanti,quanti
CTNNBL1,-1.15129112820889,0.0962523707535284,Q8WYA6;A0A087WUB9;A2A2P1,Q8WYA6;A0A087WUB9,6;6;1,6;6;1,6;6;1,Beta-catenin-like protein 1,sp|Q8WYA6|CTBL1_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1;tr|A0A087WUB9|A0A087WUB9_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1,3,6,6,6,2,3,4,2,2,3,4,2,2,3,4,2,13.1,13.1,13.1,65.173,563,563;568;166,0.0,4.8898,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.54688,1.345,28.817,9,5,Leave out requantified,0.45748,0.57255,0.37426,0.56826,1.2541,1.2588,0.78492,1.2373,40.276,40.064,0.80764,11.81,2,2,3,2,0,1,3,1,Median,Median,Median,Median,6.0,8.0,6.6,3.7,184840000,120050000,64787000,48875000,30647000,18228000,66051000,43718000,22333000,43541000,29864000,13677000,26372000,15823000,10549000,,,,29,4397;6866;9736;11081;15465;18597,True;True;True;True;True;True,5625;9046;12885;14544;20005;24007,12775;12776;20556;29042;29043;32697;32698;44960;44961;44962;54113,23267;23268;37297;52010;58029;58030;58031;58032;58033;79480;79481;79482;79483;96230,23267;37297;52010;58032;79480;96230,11;12,,457;458,,-1;-1;-1,protein_30,quanti,quanti,quanti,quanti
HNRNPDL,0.840443394428348,0.174648863153132,O14979;A0A087WUK2,O14979;A0A087WUK2,13;13,11;11,11;11,Heterogeneous nuclear ribonucleoprotein D-like,sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3;tr|A0A087WUK2|A0A087WUK2_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,2,13,11,11,5,5,13,8,3,3,11,6,3,3,11,6,21.9,21.4,21.4,46.437,420,420;363,0.0,21.457,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.22491,0.81702,23.361,38,22,Leave out requantified,0.26747,0.35794,0.19927,0.23589,0.99733,0.99823,0.84926,0.75511,24.301,31.894,36.925,26.762,4,4,20,10,1,3,12,6,Median,Median,Leave out requantified,Leave out requantified,12.1,12.1,21.9,16.2,4433700000,3457100000,976570000,613900000,479620000,134290000,719970000,522960000,197010000,2015000000,1554300000,460710000,1084800000,900250000,184570000,,,,32,2761;3825;4707;4739;4740;7732;11186;13270;13271;14661;16350;18470;18471,True;True;True;False;True;True;True;True;True;False;True;True;True,3560;3561;4908;4909;4910;6058;6107;6108;6109;6110;6111;10139;14662;17269;17270;18987;18988;21122;23840;23841;23842;23843,8286;8287;8288;8289;8290;8291;11190;11191;11192;11193;11194;11195;11196;11197;11198;11199;13697;13698;13822;13823;13824;13825;13826;13827;13828;13829;13830;13831;13832;13833;13834;13835;23000;32951;38593;38594;38595;38596;38597;38598;38599;38600;42529;42530;42531;42532;42533;42534;42535;42536;47506;53745;53746;53747;53748;53749;53750;53751,15369;15370;15371;15372;15373;15374;15375;15376;15377;15378;20504;20505;20506;20507;20508;20509;20510;20511;20512;20513;20514;20515;20516;20517;20518;20519;20520;20521;20522;25030;25031;25032;25033;25034;25247;25248;25249;25250;25251;25252;25253;25254;25255;25256;25257;25258;25259;25260;25261;25262;25263;25264;25265;25266;25267;25268;25269;25270;25271;25272;25273;25274;25275;25276;25277;25278;25279;25280;25281;25282;25283;41660;58498;68278;68279;68280;68281;68282;68283;68284;68285;68286;68287;68288;68289;68290;68291;68292;75071;75072;75073;75074;75075;75076;75077;75078;75079;75080;84391;95680;95681;95682;95683;95684;95685;95686;95687;95688;95689,15372;20510;25031;25252;25283;41660;58498;68279;68284;75075;84391;95684;95687,13;14;15;16;17,,180;197;302;306;311,,-1;-1,protein_33,quanti,quanti,quanti,quanti
LDHAL6A,19.932440398176,1.00168708454442e-05,Q6ZMR3;A0A087WUM2,Q6ZMR3;A0A087WUM2,5;5,2;2,2;2,L-lactate dehydrogenase A-like 6A;L-lactate dehydrogenase,sp|Q6ZMR3|LDH6A_HUMAN L-lactate dehydrogenase A-like 6A OS=Homo sapiens OX=9606 GN=LDHAL6A PE=2 SV=1;tr|A0A087WUM2|A0A087WUM2_HUMAN L-lactate dehydrogenase OS=Homo sapiens OX=9606 GN=LDHAL6A PE=1 SV=1,2,5,2,2,3,3,2,3,0,0,1,2,0,0,1,2,12.7,8.4,8.4,36.507,332,332;233,0.0096507,1.2621,By matching,By matching,By MS/MS,By MS/MS,1.31,4.2477,8.101,2,2,Median,,,1.2675,1.3539,,,4.0112,4.4982,,,,,0,0,1,1,0,0,1,1,Median,Median,Median,Median,4.8,4.8,6.0,12.0,185450000,74296000,111150000,0,0,0,0,0,0,26082000,10469000,15613000,159360000,63827000,95536000,,,,33,10308;12380;12535;16852;16853,True;False;True;False;False,13593;16146;16329;21768;21769;21770,30571;30572;36235;36236;36637;49046;49047;49048;49049;49050;49051;49052;49053;49054;49055,54386;54387;54388;64288;64289;65010;87190;87191;87192;87193;87194;87195;87196;87197;87198;87199;87200;87201;87202;87203;87204;87205;87206;87207;87208;87209;87210;87211;87212;87213;87214,54388;64289;65010;87194;87214,18,,155,,-1;-1,protein_34,quanti,quanti,imputed MEC,imputed MEC
GPX1,1.63268793336413,0.0142296237757579,P07203;A0A2R8Y6B6;A0A087WUQ6,P07203;A0A2R8Y6B6;A0A087WUQ6,4;4;4,4;4;4,4;4;4,Glutathione peroxidase 1;Glutathione peroxidase,sp|P07203|GPX1_HUMAN Glutathione peroxidase 1 OS=Homo sapiens OX=9606 GN=GPX1 PE=1 SV=4;tr|A0A2R8Y6B6|A0A2R8Y6B6_HUMAN Glutathione peroxidase 1 OS=Homo sapiens OX=9606 GN=GPX1 PE=1 SV=1;tr|A0A087WUQ6|A0A087WUQ6_HUMAN Glutathione peroxidase OS=Homo sapiens ,3,4,4,4,2,1,2,2,2,1,2,2,2,1,2,2,19.2,19.2,19.2,22.088,203,203;157;202,0.0,5.0583,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.45696,1.306,172.75,7,6,Median,6.0326,,0.31494,1.1247,20.649,,0.81152,3.4768,37.214,,37.097,233.83,2,0,3,2,1,0,3,2,Median,Median,Median,Median,9.9,8.9,10.3,10.3,698030000,185060000,512970000,187400000,16408000,170990000,20086000,20086000,0,103160000,72344000,30820000,387370000,76218000,311160000,,,,34,3000;4126;4127;9311,True;True;True;True,3868;5290;5291;12313;12314,8971;12008;12009;12010;27796;27797;27798;27799,16642;21918;21919;21920;21921;21922;49932;49933;49934;49935,16642;21919;21920;49933,,,,,-1;-1;-1,protein_35,quanti,quanti,quanti,quanti
MYEF2,20.5010554085565,2.09863466070991e-06,Q9P2K5;H0YKS1;A0A0C4DGV1;H0YN19;A0A087WUT0;A0A0A0MQW0;A0A0A0MR39,Q9P2K5;H0YKS1;A0A0C4DGV1;H0YN19;A0A087WUT0;A0A0A0MQW0;A0A0A0MR39,2;2;2;2;2;2;2,2;2;2;2;2;2;2,2;2;2;2;2;2;2,Myelin expression factor 2,sp|Q9P2K5|MYEF2_HUMAN Myelin expression factor 2 OS=Homo sapiens OX=9606 GN=MYEF2 PE=1 SV=3;tr|H0YKS1|H0YKS1_HUMAN Myelin expression factor 2 (Fragment) OS=Homo sapiens OX=9606 GN=MYEF2 PE=1 SV=1;tr|A0A0C4DGV1|A0A0C4DGV1_HUMAN Myelin expression factor 2 OS,7,2,2,2,0,0,2,1,0,0,2,1,0,0,2,1,3.7,3.7,3.7,64.121,600,600;126;211;290;547;576;600,0.00057208,2.4536,,,By MS/MS,By MS/MS,0.2749,1.0377,16.446,3,0,Median,,,0.26637,0.45964,,,0.9716,1.2614,,,9.3054,,0,0,2,1,0,0,0,0,Median,Median,Median,Median,0.0,0.0,3.7,1.8,119650000,86660000,32993000,0,0,0,0,0,0,87572000,63522000,24050000,32080000,23138000,8942700,,,,35,6582;11249,True;True,8659;14736,19611;33120;33121,35498;58820;58821,35498;58820,19,,521,,-1;-1;-1;-1;-1;-1;-1,protein_36,quanti,quanti,imputed MEC,imputed MEC
EIF5B,-2.53794873982417,0.00270769849529433,O60841;A0A087WUT6,O60841;A0A087WUT6,6;6,6;6,6;6,Eukaryotic translation initiation factor 5B,sp|O60841|IF2P_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4;tr|A0A087WUT6|A0A087WUT6_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=1,2,6,6,6,4,5,1,1,4,5,1,1,4,5,1,1,9.1,9.1,9.1,138.83,1220,1220;1220,0.0,5.7235,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.2981,0.83484,18.508,11,6,Leave out requantified,0.2905,0.31699,0.73997,0.39563,0.96312,0.86726,2.8275,1.1905,16.995,16.107,,,4,5,1,1,2,2,1,1,Median,Leave out requantified,Median,Median,6.6,7.5,1.6,1.6,468930000,330130000,138800000,149510000,111110000,38401000,230380000,158660000,71719000,44497000,28904000,15593000,44547000,31463000,13084000,,,,36,5225;5868;6112;7120;9348;9725,True;True;True;True;True;True,6822;7696;8074;9376;12367;12868,15489;17415;17416;18334;18335;21299;21300;27914;27915;28995;28996,28150;31518;31519;31520;33268;38587;38588;50091;51914;51915;51916,28150;31520;33268;38588;50091;51914,,,,,-1;-1,protein_37,quanti,quanti,quanti,quanti
BSG,0.271532032247489,0.616055741569839,P35613;A0A087WUV8;A0A087X2B5;R4GMX5;I3L192;R4GN83,P35613;A0A087WUV8;A0A087X2B5;R4GMX5;I3L192,5;5;5;3;3;2,5;5;5;3;3;2,5;5;5;3;3;2,Basigin,sp|P35613|BASI_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=2;tr|A0A087WUV8|A0A087WUV8_HUMAN Basigin OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|A0A087X2B5|A0A087X2B5_HUMAN Basigin (Fragment) OS=Homo sapiens OX=9606 GN=BSG PE=1 SV=1;tr|R4GMX5|R4GMX,6,5,5,5,3,4,3,3,3,4,3,3,3,4,3,3,17.4,17.4,17.4,42.2,385,385;189;221;84;160;52,0.0,7.7103,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3613,1.1475,16.828,15,9,Leave out requantified,0.47132,0.47976,0.3613,0.59995,1.6935,1.1503,1.1475,1.9221,51.363,26.124,33.495,11.991,3,5,4,3,2,4,1,2,Median,Median,Leave out requantified,Median,11.2,13.8,10.6,10.6,884440000,581690000,302760000,113920000,75944000,37975000,228610000,156830000,71774000,285180000,189930000,95251000,256740000,158980000,97758000,,,,37,3804;5510;13778;13787;14696,True;True;True;True;True,4883;4884;7200;17880;17889;19030,11132;11133;11134;11135;11136;11137;11138;11139;16322;39932;39933;39934;39935;39947;39948;42647;42648;42649,20412;20413;20414;20415;20416;20417;20418;20419;20420;20421;20422;20423;29608;70593;70594;70595;70596;70597;70598;70612;70613;70614;75259;75260;75261,20416;29608;70598;70612;75260,,,,,-1;-1;-1;-1;-1;-1,protein_38,quanti,quanti,quanti,quanti
ADRM1,-0.955298394483766,0.321157231967615,Q16186;A0A087WUX6;A0A087WX59,Q16186;A0A087WUX6;A0A087WX59,2;2;2,2;2;2,2;2;2,Proteasomal ubiquitin receptor ADRM1,sp|Q16186|ADRM1_HUMAN Proteasomal ubiquitin receptor ADRM1 OS=Homo sapiens OX=9606 GN=ADRM1 PE=1 SV=2;tr|A0A087WUX6|A0A087WUX6_HUMAN Proteasomal ubiquitin receptor ADRM1 (Fragment) OS=Homo sapiens OX=9606 GN=ADRM1 PE=1 SV=1;tr|A0A087WX59|A0A087WX59_HUMAN P,3,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,6.4,6.4,6.4,42.153,407,407;141;368,0.0,10.387,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.57811,1.7494,7.8187,7,1,Leave out requantified,0.56893,0.62899,0.46043,0.49454,1.7891,1.7399,1.3165,1.5252,12.04,1.2036,,12.637,2,2,1,2,0,0,0,1,Median,Median,Median,Median,6.4,6.4,3.7,6.4,306520000,185080000,121450000,65363000,39466000,25897000,108110000,57749000,50357000,22899000,14348000,8550500,110160000,73513000,36643000,,,,38,4585;16026,True;True,5880;5881;20713,13316;13317;13318;46510;46511;46512;46513,24282;24283;24284;24285;24286;82372;82373;82374;82375;82376;82377;82378;82379;82380;82381;82382;82383;82384;82385;82386;82387;82388;82389;82390,24282;82380,,,,,-1;-1;-1,protein_39,quanti,quanti,quanti,quanti
SPTBN1,2.2979072167883,0.0204540243027356,Q01082;A0A087WUZ3;F8W6C1;O15020;A4QPE4;A0A494C1G7;E9PJZ2,Q01082;A0A087WUZ3,45;45;12;3;3;1;1,45;45;12;3;3;1;1,42;42;9;0;0;0;0,"Spectrin beta chain, non-erythrocytic 1","sp|Q01082|SPTB2_HUMAN Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2;tr|A0A087WUZ3|A0A087WUZ3_HUMAN Spectrin beta chain OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=1",7,45,45,42,11,17,38,20,11,17,38,20,11,17,35,20,24.5,24.5,23.4,274.61,2364,2364;2366;690;2390;934;110;117,0.0,77.16,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.35972,1.0938,31.35,102,36,Leave out requantified,0.37059,0.55391,0.26639,0.37211,1.0998,1.214,1.0586,1.0449,33.111,19.498,30.696,54.49,11,17,48,26,4,2,24,6,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,6.3,11.0,19.5,11.3,4849100000,3461000000,1388100000,222170000,154960000,67211000,465780000,289260000,176520000,2831200000,2132200000,698980000,1329900000,884490000,445410000,,,,39,1033;1676;2476;2491;2589;2688;2731;2770;3441;3442;3497;3532;3541;3691;3758;4142;6057;6965;7396;7561;8127;8381;8757;9257;10263;10565;10566;11280;11447;12351;13004;13580;14626;15038;15129;15143;15570;15865;15869;16281;16282;16399;17482;18202;18544,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1328;2171;2172;3185;3201;3336;3337;3469;3518;3576;4410;4411;4482;4527;4539;4737;4826;5308;7997;9177;9715;9919;10745;11140;11626;12247;12248;13540;13912;13913;14775;14776;14981;16109;16934;16935;17643;18946;19447;19559;19577;20146;20518;20523;20524;21036;21037;21184;21185;22616;22617;23518;23933,3072;3073;5083;5084;7439;7465;7466;7467;7468;7469;7789;7790;7791;7792;7793;8074;8075;8174;8340;8341;10101;10102;10262;10353;10374;10810;11014;12038;12039;12040;18174;20855;20856;20857;22079;22080;22081;22082;22531;24235;25093;26228;27630;27631;27632;27633;27634;27635;30469;31284;31285;31286;31287;31288;31289;31290;31291;33196;33197;33198;33199;33200;33598;33599;33600;33601;36137;37879;37880;37881;37882;39402;39403;42439;42440;43655;43656;43912;43913;43957;43958;43959;43960;45237;46031;46032;46042;46043;47313;47314;47315;47316;47641;47642;47643;47644;47645;51002;51003;51004;51005;53034;53956,5580;5581;9516;9517;13831;13868;13869;13870;13871;13872;14537;14538;14539;14540;14541;14542;14543;14544;15004;15005;15006;15007;15155;15514;15515;15516;18596;18597;18598;18896;19031;19083;19838;20205;21960;21961;21962;21963;21964;21965;21966;32996;37800;39974;39975;39976;39977;39978;40767;43621;45031;45032;47034;49575;49576;49577;49578;49579;49580;54216;55534;55535;55536;55537;55538;55539;55540;55541;55542;55543;55544;55545;55546;55547;55548;55549;58941;58942;58943;58944;58945;58946;59570;59571;59572;59573;59574;64093;67080;67081;67082;67083;67084;67085;67086;67087;69605;69606;69607;69608;69609;74946;74947;77000;77001;77483;77484;77485;77486;77487;77580;77581;77582;77583;77584;80006;81458;81459;81460;81478;81479;81480;83973;83974;83975;83976;83977;83978;83979;84609;84610;84611;84612;84613;84614;84615;84616;84617;84618;90902;90903;90904;90905;90906;90907;90908;94496;96018,5580;9517;13831;13871;14543;15005;15155;15514;18596;18598;18896;19031;19083;19838;20205;21963;32996;37800;39976;40767;43621;45032;47034;49579;54216;55539;55549;58942;59573;64093;67083;69609;74946;77000;77486;77583;80006;81458;81479;83973;83975;84611;90905;94496;96018,20;21;22,,832;842;2344,,-1;-1;-1;-1;-1;-1;-1,protein_40,quanti,quanti,quanti,quanti
MTHFD1L,3.26631277190852,0.00172030794459478,Q6UB35;A0A087WVM4;B7ZM99;Q4VXM0;Q4VXM1,Q6UB35;A0A087WVM4;B7ZM99,9;9;9;2;1,7;7;7;2;1,7;7;7;2;1,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial","sp|Q6UB35|C1TM_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1;tr|A0A087WVM4|A0A087WVM4_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 S",5,9,7,7,2,2,8,7,1,1,6,5,1,1,6,5,10.3,8.6,8.6,105.79,978,978;913;979;92;57,0.0,11.283,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.40276,1.0665,37.842,14,2,Leave out requantified,0.4209,0.50587,0.34912,0.45987,0.9629,1.0125,1.0665,1.2842,,,35.626,39.739,1,1,7,5,1,0,1,0,Median,Median,Leave out requantified,Leave out requantified,2.2,2.0,9.1,6.9,404250000,267730000,136520000,12170000,8631800,3537900,15610000,10571000,5039600,220350000,151520000,68825000,156120000,97006000,59114000,,,,45,1768;2529;3081;3786;6366;8662;10713;15445;17070,True;True;True;False;True;True;True;True;False,2277;3254;3255;3966;4860;8394;11515;14096;19973;22092,5344;5345;7603;7604;9177;9178;11089;11090;19028;26015;26016;31693;31694;44883;44884;44885;49812;49813;49814;49815;49816;49817;49818,9959;9960;9961;14197;14198;14199;14200;17031;17032;20331;20332;20333;34461;46692;46693;46694;56294;56295;56296;79321;79322;79323;79324;79325;79326;88558;88559;88560;88561;88562;88563;88564;88565;88566;88567,9960;14199;17031;20331;34461;46693;56294;79321;88562,27,,727,,-1;-1;-1;-1;-1,protein_46,quanti,quanti,quanti,quanti
POLR2E,-0.399163802177078,0.486676073691942,P19388;A0A087WVZ9;A0A0A0MQR7;K7EQN2;K7EJ87;A0A087WVN5;A0A087WWX0,P19388;A0A087WVZ9;A0A0A0MQR7;K7EQN2;K7EJ87;A0A087WVN5;A0A087WWX0,2;2;2;1;1;1;1,2;2;2;1;1;1;1,2;2;2;1;1;1;1,"DNA-directed RNA polymerases I, II, and III subunit RPABC1","sp|P19388|RPAB1_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV=4;tr|A0A087WVZ9|A0A087WVZ9_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV",7,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,12.4,12.4,12.4,24.551,210,210;184;204;51;68;83;134,0.0,3.7092,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.7132,1.8577,15.766,4,0,Leave out requantified,0.57692,0.86112,,0.68902,1.817,2.1456,,2.0768,,36.141,,,1,2,0,1,0,0,0,0,Median,Median,Median,Median,6.7,12.4,6.7,6.7,183160000,112900000,70258000,32334000,20294000,12040000,72599000,36642000,35958000,34228000,34228000,0,43996000,21736000,22260000,,,,49,1218;11023,True;True,1580;14480,3643;3644;3645;3646;32555,6572;6573;6574;6575;6576;6577;57783,6574;57783,,,,,-1;-1;-1;-1;-1;-1;-1,protein_50,quanti,quanti,quanti,quanti
ABCB7,20.668635084884,2.28660028714365e-05,O75027;A0A2R8Y473;A0A590UJS8;A0A087WW65;A0A5F9ZA98;E9PNQ5;A0A2R8Y3N2;E9PJR8;B4DGL8,O75027;A0A2R8Y473;A0A590UJS8;A0A087WW65;A0A5F9ZA98;E9PNQ5;A0A2R8Y3N2;E9PJR8;B4DGL8,2;2;2;2;2;1;1;1;1,2;2;2;2;2;1;1;1;1,2;2;2;2;2;1;1;1;1,"ATP-binding cassette sub-family B member 7, mitochondrial","sp|O75027|ABCB7_HUMAN ATP-binding cassette sub-family B member 7, mitochondrial OS=Homo sapiens OX=9606 GN=ABCB7 PE=1 SV=2;tr|A0A2R8Y473|A0A2R8Y473_HUMAN ATP-binding cassette sub-family B member 7, mitochondrial OS=Homo sapiens OX=9606 GN=ABCB7 PE=1 SV=1;t",9,2,2,2,0,0,1,1,0,0,1,1,0,0,1,1,2.8,2.8,2.8,82.64,752,752;651;693;713;757;159;159;188;702,0.0030848,1.771,,,By MS/MS,By MS/MS,2.4792,10.519,,1,1,Median,,,2.4792,,,,10.519,,,,,,0,0,1,0,0,0,1,0,Median,Median,Median,Median,0.0,0.0,1.3,1.5,236160000,151500000,84663000,0,0,0,0,0,0,98092000,13429000,84663000,138070000,138070000,0,,,,52,593;1334,True;True,727;1725,1641;3970,2929;7169,2929;7169,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_53,quanti,quanti,imputed MEC,imputed MEC
