Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity CIAO1-N1,Intensity CIAO1-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
P53814;H7C372;C9JGQ0;C9JQZ8;A0A087WVP4;A0A087X1R1,P53814;H7C372;C9JGQ0;C9JQZ8;A0A087WVP4;A0A087X1R1,2;2;1;1;1;1,2;2;1;1;1;1,2;2;1;1;1;1,Smoothelin,SMTN,sp|P53814|SMTN_HUMAN Smoothelin OS=Homo sapiens OX=9606 GN=SMTN PE=1 SV=7;tr|H7C372|H7C372_HUMAN Smoothelin (Fragment) OS=Homo sapiens OX=9606 GN=SMTN PE=1 SV=2;tr|C9JGQ0|C9JGQ0_HUMAN Smoothelin (Fragment) OS=Homo sapiens OX=9606 GN=SMTN PE=1 SV=1;tr|C9JQZ,2,2,3.6,25.2019480018814,23.0202020644066,23.6111049680254,23.7388204380555
O00161;H3BM38;H3BNE1;H3BR18;H3BPJ0;H3BNG6;H3BU94;H3BR99;H3BP15;H3BQY9,O00161;H3BM38;H3BNE1;H3BR18;H3BPJ0,8;8;7;7;7;3;3;3;2;2,8;8;7;7;7;3;3;3;2;2,6;6;6;6;6;3;3;2;0;0,Synaptosomal-associated protein 23;Synaptosomal-associated protein,SNAP23,sp|O00161|SNP23_HUMAN Synaptosomal-associated protein 23 OS=Homo sapiens OX=9606 GN=SNAP23 PE=1 SV=1;tr|H3BM38|H3BM38_HUMAN Synaptosomal-associated protein (Fragment) OS=Homo sapiens OX=9606 GN=SNAP23 PE=1 SV=1;tr|H3BNE1|H3BNE1_HUMAN Synaptosomal-associate,8,6,38.4,25.5112616327829,24.8107351844188,27.7772467856112,28.0273875253042
O95721;C9JAF7,O95721;C9JAF7,13;8,13;8,13;8,Synaptosomal-associated protein 29;Synaptosomal-associated protein,SNAP29,sp|O95721|SNP29_HUMAN Synaptosomal-associated protein 29 OS=Homo sapiens OX=9606 GN=SNAP29 PE=1 SV=1;tr|C9JAF7|C9JAF7_HUMAN Synaptosomal-associated protein 29 (Fragment) OS=Homo sapiens OX=9606 GN=SNAP29 PE=1 SV=1,13,13,60.9,29.0516249641776,27.9898309411866,28.7821617427115,28.5138987572373
P37840;E7EPV7;A0A669KB41;A0A669KBH5;H6UYS7;D6RA31,P37840;E7EPV7;A0A669KB41;A0A669KBH5;H6UYS7,3;3;3;3;2;1,3;3;3;3;2;1,3;3;3;3;2;1,Alpha-synuclein,SNCA,sp|P37840|SYUA_HUMAN Alpha-synuclein OS=Homo sapiens OX=9606 GN=SNCA PE=1 SV=1;tr|E7EPV7|E7EPV7_HUMAN Alpha-synuclein OS=Homo sapiens OX=9606 GN=SNCA PE=1 SV=1;tr|A0A669KB41|A0A669KB41_HUMAN Alpha-synuclein OS=Homo sapiens OX=9606 GN=SNCA PE=4 SV=1;tr|A0A6,3,3,25.0,4.29321427599828,4.26311898798562,24.7995638446617,24.9764435068977
Q7KZF4;H7C597,Q7KZF4,34;6,34;6,34;6,Staphylococcal nuclease domain-containing protein 1,SND1,sp|Q7KZF4|SND1_HUMAN Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1,34,34,47.1,28.4839302689699,27.868971816958,29.5161928987641,29.3989499544582
O75643;A0A494C1A5,O75643;A0A494C1A5,37;24,37;24,37;24,U5 small nuclear ribonucleoprotein 200 kDa helicase,SNRNP200,sp|O75643|U520_HUMAN U5 small nuclear ribonucleoprotein 200 kDa helicase OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV=2;tr|A0A494C1A5|A0A494C1A5_HUMAN U5 small nuclear ribonucleoprotein 200 kDa helicase (Fragment) OS=Homo sapiens OX=9606 GN=SNRNP200 PE=1 SV,37,37,22.6,27.6710791758138,27.435791689237,28.5116763574189,28.1990575502054
P09661;H0YMA0;H0YKK0;H0YLR3,P09661;H0YMA0;H0YKK0,18;10;10;7,18;10;10;7,18;10;10;7,U2 small nuclear ribonucleoprotein A,SNRPA1,sp|P09661|RU2A_HUMAN U2 small nuclear ribonucleoprotein A OS=Homo sapiens OX=9606 GN=SNRPA1 PE=1 SV=2;tr|H0YMA0|H0YMA0_HUMAN U2 small nuclear ribonucleoprotein A (Fragment) OS=Homo sapiens OX=9606 GN=SNRPA1 PE=1 SV=1;tr|H0YKK0|H0YKK0_HUMAN Small nuclear,18,18,54.5,29.1093618140998,28.6182791824298,29.9535201602867,30.1714057380645
P14678;P63162;J3QLE5;J3KRY3;S4R3P3,P14678;P63162;J3QLE5;J3KRY3;S4R3P3,4;3;3;2;2,4;3;3;2;2,4;3;3;2;2,Small nuclear ribonucleoprotein-associated proteins B and B;Small nuclear ribonucleoprotein-associated protein N,SNRPB;SNRPN,sp|P14678|RSMB_HUMAN Small nuclear ribonucleoprotein-associated proteins B and B OS=Homo sapiens OX=9606 GN=SNRPB PE=1 SV=2;sp|P63162|RSMN_HUMAN Small nuclear ribonucleoprotein-associated protein N OS=Homo sapiens OX=9606 GN=SNRPN PE=1 SV=1;tr|J3QLE5|J3QL,4,4,20.8,4.29321427599828,4.26311898798562,25.0500528893075,24.7531257322123
P62314;J3QLR7;J3QLI9,P62314;J3QLR7;J3QLI9,2;1;1,2;1;1,2;1;1,Small nuclear ribonucleoprotein Sm D1,SNRPD1,sp|P62314|SMD1_HUMAN Small nuclear ribonucleoprotein Sm D1 OS=Homo sapiens OX=9606 GN=SNRPD1 PE=1 SV=1;tr|J3QLR7|J3QLR7_HUMAN Small nuclear ribonucleoprotein Sm D1 OS=Homo sapiens OX=9606 GN=SNRPD1 PE=1 SV=1;tr|J3QLI9|J3QLI9_HUMAN Small nuclear ribonucleop,2,2,20.2,22.5440862076894,22.3219335983217,25.5829647435613,25.4083066739003
P62316;K7ERG4;K7EJB5,P62316;K7ERG4,6;3;2,6;3;2,6;3;2,Small nuclear ribonucleoprotein Sm D2,SNRPD2,sp|P62316|SMD2_HUMAN Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens OX=9606 GN=SNRPD2 PE=1 SV=1;tr|K7ERG4|K7ERG4_HUMAN Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens OX=9606 GN=SNRPD2 PE=1 SV=1,6,6,55.9,24.8912950269063,23.6025221776936,26.5549526186444,25.8508371350379
P62318;H3BT13,P62318,5;2,5;2,5;2,Small nuclear ribonucleoprotein Sm D3,SNRPD3,sp|P62318|SMD3_HUMAN Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens OX=9606 GN=SNRPD3 PE=1 SV=1,5,5,46.0,25.211002719922,24.3329259792145,26.3176724771712,26.186937112316
P62308;Q49AN9;F5H013;A8MWD9,P62308;Q49AN9;F5H013;A8MWD9,3;3;3;2,3;3;3;2,3;3;3;2,Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15,SNRPG;SNRPGP15,sp|P62308|RUXG_HUMAN Small nuclear ribonucleoprotein G OS=Homo sapiens OX=9606 GN=SNRPG PE=1 SV=1;tr|Q49AN9|Q49AN9_HUMAN Small nuclear ribonucleoprotein G OS=Homo sapiens OX=9606 GN=SNRPG PE=1 SV=1;tr|F5H013|F5H013_HUMAN Small nuclear ribonucleoprotein G O,3,3,67.1,25.2215505417909,24.9475427737027,23.2229953156576,23.0492137484004
Q13573;G3V3A4;G3V4X8;G3V5R3,Q13573;G3V3A4;G3V4X8,29;25;19;10,29;25;19;10,29;25;19;10,SNW domain-containing protein 1,SNW1,sp|Q13573|SNW1_HUMAN SNW domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNW1 PE=1 SV=1;tr|G3V3A4|G3V3A4_HUMAN SNW domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNW1 PE=1 SV=1;tr|G3V4X8|G3V4X8_HUMAN SNW domain-containing protein 1 OS=Homo s,29,29,52.4,31.1233063943513,30.4076059068411,30.1360174461009,29.7614815373676
Q13596;H0YK42;H0YK43;H0YKT3;J3KPH4;H0YKD5;H0YKL5;H0YK58,Q13596;H0YK42,31;24;1;1;1;1;1;1,31;24;1;1;1;1;1;1,29;22;1;1;1;1;1;1,Sorting nexin-1,SNX1,sp|Q13596|SNX1_HUMAN Sorting nexin-1 OS=Homo sapiens OX=9606 GN=SNX1 PE=1 SV=3;tr|H0YK42|H0YK42_HUMAN Sorting nexin-1 OS=Homo sapiens OX=9606 GN=SNX1 PE=1 SV=1,31,29,50.2,31.4278731195015,30.6060256898478,31.579476643606,31.3854050568818
O60749;D6RC15,O60749,18;7,16;7,16;7,Sorting nexin-2,SNX2,sp|O60749|SNX2_HUMAN Sorting nexin-2 OS=Homo sapiens OX=9606 GN=SNX2 PE=1 SV=2,18,16,38.5,27.4161900964228,26.8222584470094,28.3593423317027,28.4463615109868
O95219;F8W9T3;F8WDD4,O95219;F8W9T3,11;6;1,11;6;1,11;6;1,Sorting nexin-4,SNX4,sp|O95219|SNX4_HUMAN Sorting nexin-4 OS=Homo sapiens OX=9606 GN=SNX4 PE=1 SV=1;tr|F8W9T3|F8W9T3_HUMAN Sorting nexin-4 (Fragment) OS=Homo sapiens OX=9606 GN=SNX4 PE=1 SV=1,11,11,31.6,25.5797751323602,25.0192333114236,26.7168575500282,26.5857749472685
Q9Y5X3;Q5QPE5;Q5QPE4;A0A087WUY5;U3KQL0;U3KQP5,Q9Y5X3;Q5QPE5;Q5QPE4;A0A087WUY5,14;10;9;7;2;2,14;10;9;7;2;2,14;10;9;7;2;2,Sorting nexin-5,SNX5,sp|Q9Y5X3|SNX5_HUMAN Sorting nexin-5 OS=Homo sapiens OX=9606 GN=SNX5 PE=1 SV=1;tr|Q5QPE5|Q5QPE5_HUMAN Sorting nexin-5 (Fragment) OS=Homo sapiens OX=9606 GN=SNX5 PE=1 SV=1;tr|Q5QPE4|Q5QPE4_HUMAN Sorting nexin-5 (Fragment) OS=Homo sapiens OX=9606 GN=SNX5 PE=,14,14,43.1,27.3249161207014,26.431430397701,27.3516972272658,27.6446457180297
Q9UNH7;A0A0A0MRI2;G3V5X9;Q86XE0;G3V2U1;H0YJF8;G3V4Z5,Q9UNH7;A0A0A0MRI2;G3V5X9,15;14;9;2;2;2;2,15;14;9;2;2;2;2,15;14;9;2;2;2;2,"Sorting nexin-6;Sorting nexin-6, N-terminally processed",SNX6,sp|Q9UNH7|SNX6_HUMAN Sorting nexin-6 OS=Homo sapiens OX=9606 GN=SNX6 PE=1 SV=1;tr|A0A0A0MRI2|A0A0A0MRI2_HUMAN Sorting nexin OS=Homo sapiens OX=9606 GN=SNX6 PE=1 SV=1;tr|G3V5X9|G3V5X9_HUMAN Sorting nexin-6 (Fragment) OS=Homo sapiens OX=9606 GN=SNX6 PE=1 SV=,15,15,37.4,27.9741581918359,25.328447308121,26.700943618674,26.1724171312287
Q9Y5X2;C9IYC5;C9JCB9;C9J8E6;C9J014;C9J271,Q9Y5X2;C9IYC5;C9JCB9;C9J8E6;C9J014;C9J271,2;1;1;1;1;1,2;1;1;1;1;1,2;1;1;1;1;1,Sorting nexin-8,SNX8,sp|Q9Y5X2|SNX8_HUMAN Sorting nexin-8 OS=Homo sapiens OX=9606 GN=SNX8 PE=1 SV=1;tr|C9IYC5|C9IYC5_HUMAN Sorting nexin-8 (Fragment) OS=Homo sapiens OX=9606 GN=SNX8 PE=1 SV=1;tr|C9JCB9|C9JCB9_HUMAN Sorting nexin-8 (Fragment) OS=Homo sapiens OX=9606 GN=SNX8 PE=,2,2,7.3,24.3427236062819,23.1356779772785,23.4521165374308,23.4630124153042
Q9Y5X1;A0A087WVE4;A0A087WZW2,Q9Y5X1,16;1;1,16;1;1,16;1;1,Sorting nexin-9,SNX9,sp|Q9Y5X1|SNX9_HUMAN Sorting nexin-9 OS=Homo sapiens OX=9606 GN=SNX9 PE=1 SV=1,16,16,37.8,27.3359437962519,25.7402367764424,27.9958802123228,28.4392839383868
P35610;B1APM4,P35610;B1APM4,3;2,3;2,3;2,Sterol O-acyltransferase 1,SOAT1,sp|P35610|SOAT1_HUMAN Sterol O-acyltransferase 1 OS=Homo sapiens OX=9606 GN=SOAT1 PE=1 SV=3;tr|B1APM4|B1APM4_HUMAN Sterol O-acyltransferase 1 (Fragment) OS=Homo sapiens OX=9606 GN=SOAT1 PE=1 SV=1,3,3,9.1,25.4936888554618,25.2033303769114,23.2222878520951,23.246843721149
P18583;J3QSZ5;H7C2G8;H7C1S4;H7C257,P18583,28;13;7;1;1,28;13;7;1;1,10;6;0;0;0,Protein SON,SON,sp|P18583|SON_HUMAN Protein SON OS=Homo sapiens OX=9606 GN=SON PE=1 SV=4,28,10,15.7,28.4937728265049,27.7594510914456,27.8602349816291,27.557496539297
Q9BX66;A0A0U1RQI5,Q9BX66;A0A0U1RQI5,3;2,3;2,2;2,Sorbin and SH3 domain-containing protein 1,SORBS1,sp|Q9BX66|SRBS1_HUMAN Sorbin and SH3 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SORBS1 PE=1 SV=3;tr|A0A0U1RQI5|A0A0U1RQI5_HUMAN Sorbin and SH3 domain-containing protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=SORBS1 PE=1 SV=1,3,2,3.4,4.29321427599828,4.26311898798562,24.5231881519468,24.3601129931993
Q53LP3,Q53LP3,4,4,4,Ankyrin repeat domain-containing protein SOWAHC,SOWAHC,sp|Q53LP3|SWAHC_HUMAN Ankyrin repeat domain-containing protein SOWAHC OS=Homo sapiens OX=9606 GN=SOWAHC PE=1 SV=1,4,4,13.3,24.5088765382629,23.1034094073111,21.9023854197503,20.8923767947132
P48436;P57073;P56693;A6PVD3;P35713;Q9H6I2,P48436,8;3;2;2;1;1,8;3;2;2;1;1,8;3;2;2;1;1,Transcription factor SOX-9,SOX9,sp|P48436|SOX9_HUMAN Transcription factor SOX-9 OS=Homo sapiens OX=9606 GN=SOX9 PE=1 SV=1,8,8,24.2,26.1056953067451,24.2348378919123,26.7456062168642,26.7725352738116
P23497;E9PHV6;C9JBL0;Q9H930;H7BYP4;U5Y3L1;H7C1G8;H7C4B4,P23497;E9PHV6;C9JBL0,7;7;6;2;2;2;1;1,7;7;6;2;2;2;1;1,7;7;6;2;2;2;1;1,Nuclear autoantigen Sp-100,SP100,sp|P23497|SP100_HUMAN Nuclear autoantigen Sp-100 OS=Homo sapiens OX=9606 GN=SP100 PE=1 SV=3;tr|E9PHV6|E9PHV6_HUMAN Nuclear autoantigen Sp-100 OS=Homo sapiens OX=9606 GN=SP100 PE=1 SV=1;tr|C9JBL0|C9JBL0_HUMAN Nuclear autoantigen Sp-100 (Fragment) OS=Homo sa,7,7,10.9,4.29321427599828,4.26311898798562,26.9711456723848,26.756845399379
Q07617,Q07617,4,4,4,Sperm-associated antigen 1,SPAG1,sp|Q07617|SPAG1_HUMAN Sperm-associated antigen 1 OS=Homo sapiens OX=9606 GN=SPAG1 PE=1 SV=3,4,4,5.6,4.29321427599828,4.26311898798562,24.6791707995991,23.9540251608543
Q96R06;K7ELG0;J3KTQ0;K7ELC8;F5GZT2;E9PMD0;J3KSV2;J3QRV8;J3QS12,Q96R06,41;10;7;6;6;5;3;3;1,41;10;7;6;6;5;3;3;1,41;10;7;6;6;5;3;3;1,Sperm-associated antigen 5,SPAG5,sp|Q96R06|SPAG5_HUMAN Sperm-associated antigen 5 OS=Homo sapiens OX=9606 GN=SPAG5 PE=1 SV=2,41,41,49.2,29.1244777884362,27.8647870995758,28.9837018442519,29.4288416158298
O75391;I3L0X5;I3L4C3;I3L0Q5,O75391;I3L0X5;I3L4C3,4;3;2;1,4;3;2;1,4;3;2;1,Sperm-associated antigen 7,SPAG7,sp|O75391|SPAG7_HUMAN Sperm-associated antigen 7 OS=Homo sapiens OX=9606 GN=SPAG7 PE=1 SV=2;tr|I3L0X5|I3L0X5_HUMAN Sperm-associated antigen 7 OS=Homo sapiens OX=9606 GN=SPAG7 PE=1 SV=1;tr|I3L4C3|I3L4C3_HUMAN Sperm-associated antigen 7 OS=Homo sapiens OX=96,4,4,26.4,24.233887620273,24.722723918808,26.3947659491577,26.1144197452108
Q8NB90;P62195;J3QRR3;J3QRW1;J3QLH6;J3KRP2;J3QSA9;J3QQM1,Q8NB90,13;1;1;1;1;1;1;1,13;1;1;1;1;1;1;1,13;1;1;1;1;1;1;1,Spermatogenesis-associated protein 5,SPATA5,sp|Q8NB90|AFG2H_HUMAN ATPase family protein 2 homolog OS=Homo sapiens OX=9606 GN=SPATA5 PE=1 SV=3,13,13,15.9,26.8320731489796,24.5672068903624,26.4983685049527,26.4771354477329
Q9NUQ6;B8ZZZ7;F8W6C2;Q4ZFW0;F8WAV0;C9IZC3;C9J8M7;F2Z2S1;C9JKE4;F8VZ02;F8VT91;C9JGM8,Q9NUQ6;B8ZZZ7;F8W6C2,4;3;2;1;1;1;1;1;1;1;1;1,4;3;2;1;1;1;1;1;1;1;1;1,4;3;2;1;1;1;1;1;1;1;1;1,SPATS2-like protein,SPATS2L,"sp|Q9NUQ6|SPS2L_HUMAN SPATS2-like protein OS=Homo sapiens OX=9606 GN=SPATS2L PE=1 SV=2;tr|B8ZZZ7|B8ZZZ7_HUMAN DNA polymerase-transactivated protein 6, isoform CRA_b OS=Homo sapiens OX=9606 GN=SPATS2L PE=1 SV=1;tr|F8W6C2|F8W6C2_HUMAN SPATS2-like protein (Fr",4,4,10.6,25.4284782563017,25.7001234470701,23.892636195592,23.2289507671258
Q8NBT2;K7ERQ7;A0A0A0MSN0;K7EJH0;K7EMX1;K7EJV2;K7ESQ2,Q8NBT2;K7ERQ7;A0A0A0MSN0;K7EJH0;K7EMX1;K7EJV2;K7ESQ2,2;1;1;1;1;1;1,2;1;1;1;1;1;1,2;1;1;1;1;1;1,Kinetochore protein Spc24,SPC24,sp|Q8NBT2|SPC24_HUMAN Kinetochore protein Spc24 OS=Homo sapiens OX=9606 GN=SPC24 PE=1 SV=2;tr|K7ERQ7|K7ERQ7_HUMAN Kinetochore protein Spc24 (Fragment) OS=Homo sapiens OX=9606 GN=SPC24 PE=1 SV=1;tr|A0A0A0MSN0|A0A0A0MSN0_HUMAN Kinetochore protein Spc24 OS=Ho,2,2,19.3,24.7085673825969,25.0418065152937,22.7110594386283,23.0485986223344
Q96EA4;D6RDK5;D6RCL1;D6REZ1;D6R936;D6RIF7;D6RIB8;D6RC83;H0YBG5,Q96EA4;D6RDK5;D6RCL1;D6REZ1;D6R936;D6RIF7;D6RIB8;D6RC83;H0YBG5,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,2;1;1;1;1;1;1;1;1,Protein Spindly,SPDL1,sp|Q96EA4|SPDLY_HUMAN Protein Spindly OS=Homo sapiens OX=9606 GN=SPDL1 PE=1 SV=2;tr|D6RDK5|D6RDK5_HUMAN Protein Spindly OS=Homo sapiens OX=9606 GN=SPDL1 PE=1 SV=2;tr|D6RCL1|D6RCL1_HUMAN Protein Spindly OS=Homo sapiens OX=9606 GN=SPDL1 PE=1 SV=1;tr|D6REZ1|D,2,2,7.6,22.8394159045629,19.8873426043064,22.1927984783112,22.1106336846668
Q69YQ0;C9J8U1;F8WAN1;A0A494C1J1;C9JLY8,Q69YQ0;C9J8U1;F8WAN1;A0A494C1J1,10;10;10;9;1,10;10;10;9;1,10;10;10;9;1,Cytospin-A,SPECC1L;SPECC1L-ADORA2A,sp|Q69YQ0|CYTSA_HUMAN Cytospin-A OS=Homo sapiens OX=9606 GN=SPECC1L PE=1 SV=2;tr|C9J8U1|C9J8U1_HUMAN Cytospin-A (Fragment) OS=Homo sapiens OX=9606 GN=SPECC1L PE=4 SV=8;tr|F8WAN1|F8WAN1_HUMAN SPECC1L-ADORA2A readthrough (NMD candidate) OS=Homo sapiens OX=96,10,10,13.0,4.29321427599828,4.26311898798562,27.3947659491577,26.9050650491371
Q15772,Q15772,3,3,3,Striated muscle preferentially expressed protein kinase,SPEG,sp|Q15772|SPEG_HUMAN Striated muscle preferentially expressed protein kinase OS=Homo sapiens OX=9606 GN=SPEG PE=1 SV=4,3,3,1.6,25.2952508378258,23.726816020129,23.9129646012963,23.8174357378858
Q96T58;H0Y5U7;F6WRY4;A0A669KB49,Q96T58,5;1;1;1,5;1;1;1,5;1;1;1,Msx2-interacting protein,SPEN,sp|Q96T58|MINT_HUMAN Msx2-interacting protein OS=Homo sapiens OX=9606 GN=SPEN PE=1 SV=1,5,5,2.0,23.5930901651769,23.8103288371254,24.5546160173623,22.6826466061706
Q8N0X7,Q8N0X7,7,7,7,Spartin,SPG20,sp|Q8N0X7|SPART_HUMAN Spartin OS=Homo sapiens OX=9606 GN=SPART PE=1 SV=1,7,7,15.5,23.8389399831477,24.9532703693959,26.002000833929,25.7953336084803
Q13813;A0A0D9SF54;A0A0D9SGF6,Q13813;A0A0D9SF54;A0A0D9SGF6,15;15;15,15;15;15,15;15;15,"Spectrin alpha chain, non-erythrocytic 1",SPTAN1,"sp|Q13813|SPTN1_HUMAN Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3;tr|A0A0D9SF54|A0A0D9SF54_HUMAN Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=1;tr|A0A0D9SGF6|A0A0D9SGF6_HUMAN Sp",15,15,8.7,23.177794217844,23.4299471033306,26.9840279384423,26.0343946414414
Q01082;A0A087WUZ3;F8W6C1,Q01082;A0A087WUZ3,13;12;5,13;12;5,13;12;5,"Spectrin beta chain, non-erythrocytic 1",SPTBN1,"sp|Q01082|SPTB2_HUMAN Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2;tr|A0A087WUZ3|A0A087WUZ3_HUMAN Spectrin beta chain OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=1",13,13,7.6,4.29321427599828,4.26311898798562,26.4585450415058,25.4917943917238
Q13501;E7EMC7;E3W990;D6RBF1;C9J6J8,Q13501;E7EMC7,6;6;2;1;1,6;6;2;1;1,2;2;1;1;1,Sequestosome-1,SQSTM1,sp|Q13501|SQSTM_HUMAN Sequestosome-1 OS=Homo sapiens OX=9606 GN=SQSTM1 PE=1 SV=1;tr|E7EMC7|E7EMC7_HUMAN Sequestosome-1 OS=Homo sapiens OX=9606 GN=SQSTM1 PE=1 SV=1,6,2,21.8,25.205047160327,24.9975872360808,26.0214056594438,26.0206005485957
Q8NEF9,Q8NEF9,11,11,11,Serum response factor-binding protein 1,SRFBP1,sp|Q8NEF9|SRFB1_HUMAN Serum response factor-binding protein 1 OS=Homo sapiens OX=9606 GN=SRFBP1 PE=1 SV=1,11,11,31.2,26.5569559660399,23.662208525241,27.7409186979752,27.8422412775611
Q7Z6B7;G5EA48,Q7Z6B7;G5EA48,4;3,2;1,2;1,SLIT-ROBO Rho GTPase-activating protein 1,SRGAP1,"sp|Q7Z6B7|SRGP1_HUMAN SLIT-ROBO Rho GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=SRGAP1 PE=1 SV=1;tr|G5EA48|G5EA48_HUMAN SLIT-ROBO Rho GTPase activating protein 1, isoform CRA_a OS=Homo sapiens OX=9606 GN=SRGAP1 PE=1 SV=1",4,2,4.2,4.29321427599828,4.26311898798562,25.1224761345397,24.2890501968579
O75044;B7ZM87;A0A075B7B5;P0DMP2;A0A286YEY3;P0DJJ0;Q5VZB4;E9PDX4;A0A087WW56;A0A075B743;A0A087X0L1;A0A087X1G6;A0A075B7C8,O75044;B7ZM87;A0A075B7B5;P0DMP2;A0A286YEY3;P0DJJ0,16;16;15;11;11;10;6;5;5;4;4;2;2,16;16;15;11;11;10;6;5;5;4;4;2;2,14;14;13;10;10;9;5;5;5;3;4;2;1,SLIT-ROBO Rho GTPase-activating protein 2;SLIT-ROBO Rho GTPase-activating protein 2B;SLIT-ROBO Rho GTPase-activating protein 2C,SRGAP2;SRGAP2B;SRGAP2C,sp|O75044|SRGP2_HUMAN SLIT-ROBO Rho GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=SRGAP2 PE=1 SV=3;tr|B7ZM87|B7ZM87_HUMAN SLIT-ROBO Rho GTPase-activating protein 2 OS=Homo sapiens OX=9606 GN=SRGAP2 PE=1 SV=1;tr|A0A075B7B5|A0A075B7B5_HUMAN SLIT-ROB,16,14,20.8,27.2220482675755,26.3557852570887,23.1763795349304,24.0894207384659
P61011;G3V4F7;G3V480;G3V346;A0A0D9SFN7;G3V3L9,P61011;G3V4F7,17;14;3;1;1;1,17;14;3;1;1;1,17;14;3;1;1;1,Signal recognition particle 54 kDa protein,SRP54,sp|P61011|SRP54_HUMAN Signal recognition particle 54 kDa protein OS=Homo sapiens OX=9606 GN=SRP54 PE=1 SV=1;tr|G3V4F7|G3V4F7_HUMAN Signal recognition particle 54 kDa protein OS=Homo sapiens OX=9606 GN=SRP54 PE=1 SV=1,17,17,39.9,27.2011628210075,25.9745411525437,27.5736202622522,27.3863202409199
Q9UHB9,Q9UHB9,37,37,37,Signal recognition particle subunit SRP68,SRP68,sp|Q9UHB9|SRP68_HUMAN Signal recognition particle subunit SRP68 OS=Homo sapiens OX=9606 GN=SRP68 PE=1 SV=2,37,37,53.3,31.1405344556307,29.9194010191664,30.8476719517379,30.846327408266
O76094;D6RDY6;R4GNC1,O76094;D6RDY6,11;7;5,11;7;5,11;7;5,Signal recognition particle subunit SRP72,SRP72,sp|O76094|SRP72_HUMAN Signal recognition particle subunit SRP72 OS=Homo sapiens OX=9606 GN=SRP72 PE=1 SV=3;tr|D6RDY6|D6RDY6_HUMAN Signal recognition particle subunit SRP72 (Fragment) OS=Homo sapiens OX=9606 GN=SRP72 PE=1 SV=3,11,11,21.3,26.606396401511,26.4018776567323,27.5528878703384,26.9272791982313
P78362;F8WBW4;C9J2M4;H7C521;H7C5L6,P78362;F8WBW4;C9J2M4;H7C521;H7C5L6,2;1;1;1;1,2;1;1;1;1,2;1;1;1;1,SRSF protein kinase 2;SRSF protein kinase 2 N-terminal;SRSF protein kinase 2 C-terminal,SRPK2,sp|P78362|SRPK2_HUMAN SRSF protein kinase 2 OS=Homo sapiens OX=9606 GN=SRPK2 PE=1 SV=3;tr|F8WBW4|F8WBW4_HUMAN SRSF protein kinase 2 OS=Homo sapiens OX=9606 GN=SRPK2 PE=1 SV=1;tr|C9J2M4|C9J2M4_HUMAN SRSF protein kinase 2 (Fragment) OS=Homo sapiens OX=9606 G,2,2,4.7,24.1343780614492,24.3363464732831,23.1109044473118,23.8677824703306
P08240,P08240,14,14,14,Signal recognition particle receptor subunit alpha,SRPR,sp|P08240|SRPRA_HUMAN Signal recognition particle receptor subunit alpha OS=Homo sapiens OX=9606 GN=SRPRA PE=1 SV=2,14,14,32.1,28.3574558253581,27.1051957412978,25.5783936539702,26.1976054633195
Q8IYB3;A9Z1X7;M0R088;E9PCT1;M0R1E7;M0QXG5,Q8IYB3;A9Z1X7;M0R088;E9PCT1,6;6;4;4;2;2,6;6;4;4;2;2,6;6;4;4;2;2,Serine/arginine repetitive matrix protein 1,SRRM1,sp|Q8IYB3|SRRM1_HUMAN Serine/arginine repetitive matrix protein 1 OS=Homo sapiens OX=9606 GN=SRRM1 PE=1 SV=2;tr|A9Z1X7|A9Z1X7_HUMAN Serine/arginine repetitive matrix protein 1 OS=Homo sapiens OX=9606 GN=SRRM1 PE=1 SV=1;tr|M0R088|M0R088_HUMAN Serine/arginin,6,6,10.1,27.0700963707464,27.1313390533423,23.7207761446715,23.440884371292
