Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity POC1B-N1,Intensity POC1B-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q15208;H0YGN4,Q15208,14;2,14;2,12;0,Serine/threonine-protein kinase 38,STK38,sp|Q15208|STK38_HUMAN Serine/threonine-protein kinase 38 OS=Homo sapiens OX=9606 GN=STK38 PE=1 SV=1,14,12,32.5,25.6433938263266,24.0655430139324,29.4367052524723,29.1338638407817
Q13043;F5H5B4;Q13188;A0A087WVN8,Q13043;F5H5B4,3;2;1;1,3;2;1;1,3;2;1;1,Serine/threonine-protein kinase 4;Serine/threonine-protein kinase 4 37kDa subunit;Serine/threonine-protein kinase 4 18kDa subunit,STK4,sp|Q13043|STK4_HUMAN Serine/threonine-protein kinase 4 OS=Homo sapiens OX=9606 GN=STK4 PE=1 SV=2;tr|F5H5B4|F5H5B4_HUMAN Serine/threonine-protein kinase 4 OS=Homo sapiens OX=9606 GN=STK4 PE=1 SV=1,3,3,7.4,4.12024628707503,4.14613732404923,22.8388822934222,25.0013136931232
P16949;A2A2D0,P16949;A2A2D0,6;6,6;6,4;4,Stathmin,STMN1,sp|P16949|STMN1_HUMAN Stathmin OS=Homo sapiens OX=9606 GN=STMN1 PE=1 SV=3;tr|A2A2D0|A2A2D0_HUMAN Stathmin (Fragment) OS=Homo sapiens OX=9606 GN=STMN1 PE=1 SV=8,6,4,30.2,25.7614181291689,23.5845139002296,28.9002353625194,28.7629708283315
Q8WXE9;A0A3B3IU55;H0YJ05,Q8WXE9;A0A3B3IU55,5;5;1,5;5;1,5;5;1,Stonin-2,STON2,sp|Q8WXE9|STON2_HUMAN Stonin-2 OS=Homo sapiens OX=9606 GN=STON2 PE=1 SV=1;tr|A0A3B3IU55|A0A3B3IU55_HUMAN Stonin-2 OS=Homo sapiens OX=9606 GN=STON2 PE=1 SV=1,5,5,7.6,4.12024628707503,4.14613732404923,26.0201554260837,24.5028813228418
Q9Y3F4;H0YH33,Q9Y3F4,16;5,16;5,16;5,Serine-threonine kinase receptor-associated protein,STRAP,sp|Q9Y3F4|STRAP_HUMAN Serine-threonine kinase receptor-associated protein OS=Homo sapiens OX=9606 GN=STRAP PE=1 SV=1,16,16,57.1,23.4596397339029,24.1569977568834,30.2918669959422,30.3109469363954
Q5VSL9,Q5VSL9,3,3,3,Striatin-interacting protein 1,STRIP1,sp|Q5VSL9|STRP1_HUMAN Striatin-interacting protein 1 OS=Homo sapiens OX=9606 GN=STRIP1 PE=1 SV=1,3,3,4.9,4.12024628707503,4.14613732404923,26.3846745497121,26.1060349124667
O43815,O43815,15,15,14,Striatin,STRN,sp|O43815|STRN_HUMAN Striatin OS=Homo sapiens OX=9606 GN=STRN PE=1 SV=4,15,14,27.9,4.12024628707503,4.14613732404923,28.3665720156591,27.6664813717264
Q13033;G3V340;G3V3G7,Q13033;G3V340,8;4;2,7;3;1,6;3;1,Striatin-3,STRN3,sp|Q13033|STRN3_HUMAN Striatin-3 OS=Homo sapiens OX=9606 GN=STRN3 PE=1 SV=3;tr|G3V340|G3V340_HUMAN Striatin-3 OS=Homo sapiens OX=9606 GN=STRN3 PE=1 SV=1,8,6,13.6,4.12024628707503,4.14613732404923,27.5246982091255,26.0045961306698
Q9NRL3;F5GYK2;M0R317;M0R0P4;M0QXN2;M0R2A7;M0QYS2;M0R0W8;R4GN16;M0QZM0,Q9NRL3;F5GYK2;M0R317,6;6;3;2;1;1;1;1;1;1,4;4;2;1;0;0;0;0;1;1,4;4;2;1;0;0;0;0;1;1,Striatin-4,STRN4,sp|Q9NRL3|STRN4_HUMAN Striatin-4 OS=Homo sapiens OX=9606 GN=STRN4 PE=1 SV=2;tr|F5GYK2|F5GYK2_HUMAN Striatin-4 OS=Homo sapiens OX=9606 GN=STRN4 PE=1 SV=1;tr|M0R317|M0R317_HUMAN Striatin-4 (Fragment) OS=Homo sapiens OX=9606 GN=STRN4 PE=1 SV=1,6,4,11.6,4.12024628707503,4.14613732404923,26.2678162464734,24.9663565294188
Q8TCJ2,Q8TCJ2,2,2,2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,STT3B,sp|Q8TCJ2|STT3B_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B OS=Homo sapiens OX=9606 GN=STT3B PE=1 SV=1,2,2,1.9,4.12024628707503,4.14613732404923,23.751543241872,23.3165853762308
Q13190;H7C3X5;E9PNU4,Q13190;H7C3X5,5;5;2,5;5;2,5;5;2,Syntaxin-5,STX5,sp|Q13190|STX5_HUMAN Syntaxin-5 OS=Homo sapiens OX=9606 GN=STX5 PE=1 SV=2;tr|H7C3X5|H7C3X5_HUMAN Syntaxin-5 (Fragment) OS=Homo sapiens OX=9606 GN=STX5 PE=1 SV=1,5,5,23.1,4.12024628707503,4.14613732404923,26.5272810760865,26.1472083415389
P53999,P53999,5,5,5,Activated RNA polymerase II transcriptional coactivator p15,SUB1,sp|P53999|TCP4_HUMAN Activated RNA polymerase II transcriptional coactivator p15 OS=Homo sapiens OX=9606 GN=SUB1 PE=1 SV=3,5,5,37.8,4.12024628707503,4.14613732404923,27.5576426054145,27.5102809003723
Q8IWZ8;V9GZ08;B4DVK3;K7ESM0;K7EM86;K7ELR6,Q8IWZ8,18;5;4;2;2;2,18;5;4;2;2;2,18;5;4;2;2;2,SURP and G-patch domain-containing protein 1,SUGP1,sp|Q8IWZ8|SUGP1_HUMAN SURP and G-patch domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SUGP1 PE=1 SV=2,18,18,34.0,4.12024628707503,4.14613732404923,28.8497758870417,28.6851196239248
Q8IX01;M0R2Z9;M0R3F6;M0R065;M0R216;M0R2Y3,Q8IX01;M0R2Z9;M0R3F6,21;21;17;4;4;1,21;21;17;4;4;1,21;21;17;4;4;1,SURP and G-patch domain-containing protein 2,SUGP2,sp|Q8IX01|SUGP2_HUMAN SURP and G-patch domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SUGP2 PE=1 SV=2;tr|M0R2Z9|M0R2Z9_HUMAN SURP and G-patch domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SUGP2 PE=1 SV=1;tr|M0R3F6|M0R3F6_HUMAN SURP and G-p,21,21,28.0,4.12024628707503,4.14613732404923,28.1258822070247,28.3046947270831
Q9Y2Z0,Q9Y2Z0,17,17,17,Suppressor of G2 allele of SKP1 homolog,SUGT1,sp|Q9Y2Z0|SGT1_HUMAN Protein SGT1 homolog OS=Homo sapiens OX=9606 GN=SUGT1 PE=1 SV=3,17,17,54.5,28.9275617859432,28.3638181429841,28.6521206609293,28.3933344808003
O00267,O00267,4,4,4,Transcription elongation factor SPT5,SUPT5H,sp|O00267|SPT5H_HUMAN Transcription elongation factor SPT5 OS=Homo sapiens OX=9606 GN=SUPT5H PE=1 SV=1,4,4,4.1,4.12024628707503,4.14613732404923,24.6277293513644,24.4884884054603
O15260;Q5T8U5;B7Z1G8,O15260;Q5T8U5;B7Z1G8,2;2;1,2;2;1,2;2;1,Surfeit locus protein 4,SURF4,"sp|O15260|SURF4_HUMAN Surfeit locus protein 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=3;tr|Q5T8U5|Q5T8U5_HUMAN Surfeit 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=1;tr|B7Z1G8|B7Z1G8_HUMAN Surfeit 4, isoform CRA_b OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=1",2,2,8.6,25.1370121495752,24.8179236128493,23.4787715940811,23.7256365292604
O75683,O75683,2,2,2,Surfeit locus protein 6,SURF6,sp|O75683|SURF6_HUMAN Surfeit locus protein 6 OS=Homo sapiens OX=9606 GN=SURF6 PE=1 SV=3,2,2,9.1,4.12024628707503,4.14613732404923,25.0771237570473,24.2469174226244
O95425;A0A0J9YWY6,O95425,19;8,19;8,19;8,Supervillin,SVIL,sp|O95425|SVIL_HUMAN Supervillin OS=Homo sapiens OX=9606 GN=SVIL PE=1 SV=2,19,19,13.1,4.12024628707503,4.14613732404923,27.4465587109271,27.4823922963912
Q9UH65;E7EMB1;E9PJM7;E9PJK8,Q9UH65;E7EMB1,26;24;7;4,26;24;7;4,26;24;7;4,Switch-associated protein 70,SWAP70,sp|Q9UH65|SWP70_HUMAN Switch-associated protein 70 OS=Homo sapiens OX=9606 GN=SWAP70 PE=1 SV=1;tr|E7EMB1|E7EMB1_HUMAN Switch-associated protein 70 OS=Homo sapiens OX=9606 GN=SWAP70 PE=1 SV=1,26,26,46.7,4.12024628707503,4.14613732404923,30.3393674195462,30.0486921550285
Q96A49,Q96A49,7,7,7,Synapse-associated protein 1,SYAP1,sp|Q96A49|SYAP1_HUMAN Synapse-associated protein 1 OS=Homo sapiens OX=9606 GN=SYAP1 PE=1 SV=1,7,7,27.3,4.12024628707503,4.14613732404923,26.1323200781597,26.6404455290473
Q92797;A0A087WUE9;M0R3C7;M0R180;M0QXP5;M0R033;M0R1C2;M0R039,Q92797;A0A087WUE9;M0R3C7,18;14;10;3;3;2;2;1,18;14;10;3;3;2;2;1,18;14;10;3;3;2;2;1,Symplekin,SYMPK,sp|Q92797|SYMPK_HUMAN Symplekin OS=Homo sapiens OX=9606 GN=SYMPK PE=1 SV=2;tr|A0A087WUE9|A0A087WUE9_HUMAN Symplekin OS=Homo sapiens OX=9606 GN=SYMPK PE=1 SV=1;tr|M0R3C7|M0R3C7_HUMAN Symplekin OS=Homo sapiens OX=9606 GN=SYMPK PE=1 SV=1,18,18,20.0,4.12024628707503,4.14613732404923,27.4360300658588,27.4460853857782
O60506;B7Z645;F6UXX1,O60506;B7Z645,10;8;4,5;4;2,5;4;2,Heterogeneous nuclear ribonucleoprotein Q,SYNCRIP,sp|O60506|HNRPQ_HUMAN Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=2;tr|B7Z645|B7Z645_HUMAN Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens OX=9606 GN=SYNCRIP PE=1 SV=1,10,5,18.8,4.12024628707503,4.14613732404923,27.0185009104616,25.8583745326404
G3V5X4;A0A0A0MRE3;Q8WXH0;G3V3D4;G3V4T3;A0A0C4DGK3,G3V5X4;A0A0A0MRE3;Q8WXH0;G3V3D4;G3V4T3;A0A0C4DGK3,2;2;1;1;1;1,2;2;1;1;1;1,2;2;1;1;1;1,Nesprin-2,SYNE2,tr|G3V5X4|G3V5X4_HUMAN Nesprin-2 OS=Homo sapiens OX=9606 GN=SYNE2 PE=1 SV=1;tr|A0A0A0MRE3|A0A0A0MRE3_HUMAN Nesprin-2 OS=Homo sapiens OX=9606 GN=SYNE2 PE=1 SV=1;sp|Q8WXH0|SYNE2_HUMAN Nesprin-2 OS=Homo sapiens OX=9606 GN=SYNE2 PE=1 SV=3;tr|G3V3D4|G3V3D4_HUMA,2,2,0.6,4.12024628707503,4.14613732404923,24.1066140554351,23.7409830135601
Q6ZMZ3;G3V533,Q6ZMZ3;G3V533,2;2,2;2,2;2,Nesprin-3,SYNE3,sp|Q6ZMZ3|SYNE3_HUMAN Nesprin-3 OS=Homo sapiens OX=9606 GN=SYNE3 PE=1 SV=2;tr|G3V533|G3V533_HUMAN Nesprin-3 OS=Homo sapiens OX=9606 GN=SYNE3 PE=1 SV=1,2,2,4.1,4.12024628707503,4.14613732404923,23.371324668039,22.6910866296665
O43426;A0A0D9SGJ6;J3KQV8;J3KPK1;C9JFZ1;C9JW66;C9J1Z6,O43426;A0A0D9SGJ6;J3KQV8;J3KPK1;C9JFZ1;C9JW66,20;20;20;17;17;11;2,20;20;20;17;17;11;2,20;20;20;17;17;11;2,Synaptojanin-1,SYNJ1,sp|O43426|SYNJ1_HUMAN Synaptojanin-1 OS=Homo sapiens OX=9606 GN=SYNJ1 PE=1 SV=2;tr|A0A0D9SGJ6|A0A0D9SGJ6_HUMAN Synaptojanin-1 OS=Homo sapiens OX=9606 GN=SYNJ1 PE=1 SV=1;tr|J3KQV8|J3KQV8_HUMAN Synaptojanin-1 OS=Homo sapiens OX=9606 GN=SYNJ1 PE=1 SV=1;tr|J3K,20,20,14.9,4.12024628707503,4.14613732404923,28.0858297412254,27.8923814272807
O15056;A0A1W2PR85;E7ER60;H0YEV8;Q5TA15;H7BY56,O15056;A0A1W2PR85;E7ER60,24;23;17;3;1;1,24;23;17;3;1;1,24;23;17;3;1;1,Synaptojanin-2,SYNJ2,sp|O15056|SYNJ2_HUMAN Synaptojanin-2 OS=Homo sapiens OX=9606 GN=SYNJ2 PE=1 SV=3;tr|A0A1W2PR85|A0A1W2PR85_HUMAN Synaptojanin-2 OS=Homo sapiens OX=9606 GN=SYNJ2 PE=1 SV=1;tr|E7ER60|E7ER60_HUMAN Synaptojanin-2 OS=Homo sapiens OX=9606 GN=SYNJ2 PE=1 SV=2,24,24,22.9,4.12024628707503,4.14613732404923,29.0005886195149,28.8715884581953
Q8N3V7,Q8N3V7,25,25,25,Synaptopodin,SYNPO,sp|Q8N3V7|SYNPO_HUMAN Synaptopodin OS=Homo sapiens OX=9606 GN=SYNPO PE=1 SV=2,25,25,37.1,4.12024628707503,4.14613732404923,30.5106959069901,30.1450373667486
Q9UMZ2;A0A087WZS7,Q9UMZ2,13;3,13;3,13;3,Synergin gamma,SYNRG,sp|Q9UMZ2|SYNRG_HUMAN Synergin gamma OS=Homo sapiens OX=9606 GN=SYNRG PE=1 SV=2,13,13,14.9,4.12024628707503,4.14613732404923,28.1844231952756,27.7714651886518
Q9HCH5;A0A0U1RR07;E9PRW5;E9PS29;A0A0U1RQP0,Q9HCH5;A0A0U1RR07;E9PRW5;E9PS29;A0A0U1RQP0,2;2;1;1;1,2;2;1;1;1,2;2;1;1;1,Synaptotagmin-like protein 2,SYTL2,sp|Q9HCH5|SYTL2_HUMAN Synaptotagmin-like protein 2 OS=Homo sapiens OX=9606 GN=SYTL2 PE=1 SV=3;tr|A0A0U1RR07|A0A0U1RR07_HUMAN Synaptotagmin-like protein 2 OS=Homo sapiens OX=9606 GN=SYTL2 PE=1 SV=1;tr|E9PRW5|E9PRW5_HUMAN Synaptotagmin-like protein 2 (Fragme,2,2,6.0,4.12024628707503,4.14613732404923,24.5574143977248,24.693438887963
Q96C24,Q96C24,2,2,2,Synaptotagmin-like protein 4,SYTL4,sp|Q96C24|SYTL4_HUMAN Synaptotagmin-like protein 4 OS=Homo sapiens OX=9606 GN=SYTL4 PE=1 SV=2,2,2,5.1,4.12024628707503,4.14613732404923,25.2095904990067,23.1695757961834
Q5T011,Q5T011,5,5,5,Protein SZT2,SZT2,sp|Q5T011|SZT2_HUMAN KICSTOR complex protein SZT2 OS=Homo sapiens OX=9606 GN=SZT2 PE=1 SV=3,5,5,2.0,4.12024628707503,4.14613732404923,25.3900490072837,25.2140083743306
Q9NYJ8;A0A1B0GV57;U3KQ62,Q9NYJ8;A0A1B0GV57,3;2;1,3;2;1,3;2;1,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2,TAB2,sp|Q9NYJ8|TAB2_HUMAN TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 OS=Homo sapiens OX=9606 GN=TAB2 PE=1 SV=1;tr|A0A1B0GV57|A0A1B0GV57_HUMAN TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 OS=Homo sapiens OX=9606 GN=TAB2 PE=1 SV=1,3,3,7.5,4.12024628707503,4.14613732404923,25.149962280401,24.984484768237
O75410;E7EVI4;E7ET87;H0YAY0;E5RFM9;R4GMT7;H0YBT8;B4E3H6;E5RJU4;O95359;D6RAA5;E9PBC6;E7EMZ9;Q4VXL8;E5RJG6;A0A0C4DGD3;H0Y9C3;A0A0C4DGD5;Q4VXL4,O75410;E7EVI4;E7ET87;H0YAY0;E5RFM9;R4GMT7,12;9;9;8;6;6;5;4;2;1;1;1;1;1;1;1;1;1;1,12;9;9;8;6;6;5;4;2;1;1;1;1;1;1;1;1;1;1,12;9;9;8;6;6;5;4;2;1;1;1;1;1;1;1;1;1;1,Transforming acidic coiled-coil-containing protein 1,TACC1,sp|O75410|TACC1_HUMAN Transforming acidic coiled-coil-containing protein 1 OS=Homo sapiens OX=9606 GN=TACC1 PE=1 SV=2;tr|E7EVI4|E7EVI4_HUMAN Transforming acidic coiled-coil-containing protein 1 OS=Homo sapiens OX=9606 GN=TACC1 PE=1 SV=1;tr|E7ET87|E7ET87_HU,12,12,20.1,4.12024628707503,4.14613732404923,27.6716191318588,27.470106732954
Q9Y6A5;A0A494BZT8;Q8IX09;C9JWI7;H0Y8F2;C9JA91;E7EMT0;A0A494C117;F8WC55,Q9Y6A5;A0A494BZT8,13;13;3;3;3;3;3;3;1,13;13;3;3;3;3;3;3;1,13;13;3;3;3;3;3;3;1,Transforming acidic coiled-coil-containing protein 3,TACC3,sp|Q9Y6A5|TACC3_HUMAN Transforming acidic coiled-coil-containing protein 3 OS=Homo sapiens OX=9606 GN=TACC3 PE=1 SV=1;tr|A0A494BZT8|A0A494BZT8_HUMAN Transforming acidic coiled-coil-containing protein 3 OS=Homo sapiens OX=9606 GN=TACC3 PE=1 SV=1,13,13,22.7,4.12024628707503,4.14613732404923,27.9432431027051,27.9331456547137
P21675;Q8IZX4;H0Y9L7;H7BY98;H7C2K9;H0Y8N6,P21675;Q8IZX4,20;12;4;4;4;3,20;12;4;4;4;3,20;12;4;4;4;3,Transcription initiation factor TFIID subunit 1;Transcription initiation factor TFIID subunit 1-like,TAF1;TAF1L,sp|P21675|TAF1_HUMAN Transcription initiation factor TFIID subunit 1 OS=Homo sapiens OX=9606 GN=TAF1 PE=1 SV=2;sp|Q8IZX4|TAF1L_HUMAN Transcription initiation factor TFIID subunit 1-like OS=Homo sapiens OX=9606 GN=TAF1L PE=1 SV=1,20,20,13.9,4.12024628707503,4.14613732404923,27.8461928849743,27.9021346680956
Q6P1X5;H0YC37;H0YB55;H0YEX2,Q6P1X5,7;2;1;1,7;2;1;1,7;2;1;1,Transcription initiation factor TFIID subunit 2,TAF2,sp|Q6P1X5|TAF2_HUMAN Transcription initiation factor TFIID subunit 2 OS=Homo sapiens OX=9606 GN=TAF2 PE=1 SV=3,7,7,7.5,4.12024628707503,4.14613732404923,25.9741472486075,25.8793515955796
Q5VWG9,Q5VWG9,3,3,3,Transcription initiation factor TFIID subunit 3,TAF3,sp|Q5VWG9|TAF3_HUMAN Transcription initiation factor TFIID subunit 3 OS=Homo sapiens OX=9606 GN=TAF3 PE=1 SV=1,3,3,4.1,4.12024628707503,4.14613732404923,25.4232934203948,25.4733621575189
P49848;J3KR72;C9JIS2;E5RHA1;C9J088;C9JFL8;C9JTY6;C9JHQ8;E5RKA5;F8WEJ7;C9J7C4,P49848;J3KR72,8;8;2;2;2;2;2;1;1;1;1,8;8;2;2;2;2;2;1;1;1;1,8;8;2;2;2;2;2;1;1;1;1,Transcription initiation factor TFIID subunit 6,TAF6,sp|P49848|TAF6_HUMAN Transcription initiation factor TFIID subunit 6 OS=Homo sapiens OX=9606 GN=TAF6 PE=1 SV=1;tr|J3KR72|J3KR72_HUMAN Transcription initiation factor TFIID subunit 6 OS=Homo sapiens OX=9606 GN=TAF6 PE=1 SV=1,8,8,14.8,4.12024628707503,4.14613732404923,25.9445170846361,25.7200976836996
Q15545;A0A096LPC3,Q15545,7;1,7;1,7;1,Transcription initiation factor TFIID subunit 7,TAF7,sp|Q15545|TAF7_HUMAN Transcription initiation factor TFIID subunit 7 OS=Homo sapiens OX=9606 GN=TAF7 PE=1 SV=1,7,7,25.2,22.8521096030267,24.5493372151286,27.2443607862179,27.0849685970592
Q16594;D6RIE8;D6RGK3;D6RIV9;D6RIY1;Q9HBM6;D6RHW1,Q16594;D6RIE8;D6RGK3;D6RIV9;D6RIY1;Q9HBM6;D6RHW1,8;8;7;7;6;5;5,8;8;7;7;6;5;5,8;8;7;7;6;5;5,Transcription initiation factor TFIID subunit 9;Transcription initiation factor TFIID subunit 9B,TAF9;TAF9B,sp|Q16594|TAF9_HUMAN Transcription initiation factor TFIID subunit 9 OS=Homo sapiens OX=9606 GN=TAF9 PE=1 SV=1;tr|D6RIE8|D6RIE8_HUMAN Transcription initiation factor TFIID subunit 9 (Fragment) OS=Homo sapiens OX=9606 GN=TAF9 PE=1 SV=9;tr|D6RGK3|D6RGK3_HUMA,8,8,31.8,4.12024628707503,4.14613732404923,27.4840839760914,27.5212571636343
Q01995;H0YCU9;E9PJ32,Q01995;H0YCU9,7;6;3,7;6;3,7;6;3,Transgelin,TAGLN,sp|Q01995|TAGL_HUMAN Transgelin OS=Homo sapiens OX=9606 GN=TAGLN PE=1 SV=4;tr|H0YCU9|H0YCU9_HUMAN Transgelin (Fragment) OS=Homo sapiens OX=9606 GN=TAGLN PE=1 SV=1,7,7,38.8,22.4367481360075,22.5771031521708,26.6941831480787,26.6517102019078
P37802;X6RJP6;Q9UI15;C9J5W6,P37802;X6RJP6,15;14;1;1,15;14;1;1,15;14;1;1,Transgelin-2,TAGLN2,sp|P37802|TAGL2_HUMAN Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3;tr|X6RJP6|X6RJP6_HUMAN Transgelin-2 (Fragment) OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=1,15,15,75.9,28.9465653886188,28.4075451306522,32.8597167854932,32.6763393505925
Q9C0D5,Q9C0D5,16,16,16,Protein TANC1,TANC1,sp|Q9C0D5|TANC1_HUMAN Protein TANC1 OS=Homo sapiens OX=9606 GN=TANC1 PE=1 SV=3,16,16,10.7,4.12024628707503,4.14613732404923,26.8359322369037,27.2284847762035
Q9C0B7,Q9C0B7,21,21,21,Transport and Golgi organization protein 6 homolog,TANGO6,sp|Q9C0B7|TNG6_HUMAN Transport and Golgi organization protein 6 homolog OS=Homo sapiens OX=9606 GN=TANGO6 PE=1 SV=2,21,21,25.4,22.8767454970629,22.707272338302,28.9302436121331,28.5024109472478
Q92844;H7C3L4;E7EQA9;H7BZ28,Q92844;H7C3L4;E7EQA9;H7BZ28,2;2;2;1,2;2;2;1,2;2;2;1,TRAF family member-associated NF-kappa-B activator,TANK,sp|Q92844|TANK_HUMAN TRAF family member-associated NF-kappa-B activator OS=Homo sapiens OX=9606 GN=TANK PE=1 SV=2;tr|H7C3L4|H7C3L4_HUMAN TRAF family member-associated NF-kappa-B activator (Fragment) OS=Homo sapiens OX=9606 GN=TANK PE=1 SV=1;tr|E7EQA9|E7EQA,2,2,5.4,4.12024628707503,4.14613732404923,23.2334634509173,22.5321475745724
Q9H2K8;G3V1Q8,Q9H2K8;G3V1Q8,2;1,2;1,2;1,Serine/threonine-protein kinase TAO3,TAOK3,sp|Q9H2K8|TAOK3_HUMAN Serine/threonine-protein kinase TAO3 OS=Homo sapiens OX=9606 GN=TAOK3 PE=1 SV=2;tr|G3V1Q8|G3V1Q8_HUMAN Serine/threonine-protein kinase TAO3 OS=Homo sapiens OX=9606 GN=TAOK3 PE=1 SV=1,2,2,3.9,4.12024628707503,4.14613732404923,24.1068536328137,24.2159566127708
Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;A0A087WV68;K7EN94;A0A0A0N0M3;K7EJM5;A0A087WXQ5;A0A087WXV3;A0A1W2PNU8;A0A087WX67;A0A087WW61;K7EL26;A0A087WZC9;A0A087WYE7;A0A0A0MSV7;K7EJ99;A0A087WTZ4,Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;A0A087WV68;K7EN94;A0A0A0N0M3;K7EJM5;A0A087WXQ5,5;5;4;4;4;4;3;3;3;3;3;2;2;2;2;1;1;1;1;1;1,5;5;4;4;4;4;3;3;3;3;3;2;2;2;2;1;1;1;1;1;1,5;5;4;4;4;4;3;3;3;3;3;2;2;2;2;1;1;1;1;1;1,TAR DNA-binding protein 43,TARDBP;TDP43,sp|Q13148|TADBP_HUMAN TAR DNA-binding protein 43 OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WX29|A0A087WX29_HUMAN TAR DNA-binding protein 43 (Fragment) OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WYY0|A0A087WYY0_HUMAN TAR DNA-binding pro,5,5,21.0,4.12024628707503,4.14613732404923,26.9796739437662,26.7108282896966
P26639;A2RTX5;B7ZLP8,P26639,5;1;1,5;1;1,5;1;1,"Threonine--tRNA ligase, cytoplasmic",TARS,"sp|P26639|SYTC_HUMAN Threonine--tRNA ligase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TARS1 PE=1 SV=3",5,5,6.4,4.12024628707503,4.14613732404923,25.5427704641039,25.8523144274398
Q8TC07;F8WCB5;F8WDJ1;F8WF35,Q8TC07,16;2;1;1,16;2;1;1,7;2;1;1,TBC1 domain family member 15,TBC1D15,sp|Q8TC07|TBC15_HUMAN TBC1 domain family member 15 OS=Homo sapiens OX=9606 GN=TBC1D15 PE=1 SV=2,16,7,23.7,4.12024628707503,4.14613732404923,28.982614330978,28.6872239686151
Q9BYX2,Q9BYX2,6,6,6,TBC1 domain family member 2A,TBC1D2,sp|Q9BYX2|TBD2A_HUMAN TBC1 domain family member 2A OS=Homo sapiens OX=9606 GN=TBC1D2 PE=1 SV=3,6,6,7.9,4.12024628707503,4.14613732404923,25.645181910676,26.3311156720893
Q9UPU7;C9JW56,Q9UPU7,6;2,6;2,6;2,TBC1 domain family member 2B,TBC1D2B,sp|Q9UPU7|TBD2B_HUMAN TBC1 domain family member 2B OS=Homo sapiens OX=9606 GN=TBC1D2B PE=1 SV=2,6,6,9.2,4.12024628707503,4.14613732404923,25.2929158473449,24.2237613432261
Q92609;C9J3F6;C9JMP7;C9JIU4;F2Z3I5;C9JNM0;C9JED7;F2Z3C3;C9K0P2;C9J397;C9JWX0;C9JW04;C9JDR8,Q92609;C9J3F6,10;7;2;2;2;2;2;2;2;2;2;2;2,10;7;2;2;2;2;2;2;2;2;2;2;2,10;7;2;2;2;2;2;2;2;2;2;2;2,TBC1 domain family member 5,TBC1D5,sp|Q92609|TBCD5_HUMAN TBC1 domain family member 5 OS=Homo sapiens OX=9606 GN=TBC1D5 PE=1 SV=1;tr|C9J3F6|C9J3F6_HUMAN TBC1 domain family member 5 OS=Homo sapiens OX=9606 GN=TBC1D5 PE=1 SV=1,10,10,15.1,4.12024628707503,4.14613732404923,27.4766874993336,27.0310741864153
O95759;J3KQ40;Q0IIM8;D6RFZ2,O95759;J3KQ40,19;19;1;1,19;19;1;1,18;18;0;0,TBC1 domain family member 8,TBC1D8,sp|O95759|TBCD8_HUMAN TBC1 domain family member 8 OS=Homo sapiens OX=9606 GN=TBC1D8 PE=1 SV=3;tr|J3KQ40|J3KQ40_HUMAN TBC1 domain family member 8 OS=Homo sapiens OX=9606 GN=TBC1D8 PE=1 SV=1,19,18,21.8,22.7198749400322,22.3260003946465,28.6747199634367,28.3003369184145
Q99426;K7EP07;K7EK42;A0A494C0X0;K7EL99,Q99426;K7EP07;K7EK42;A0A494C0X0,4;3;3;3;1,4;3;3;3;1,4;3;3;3;1,Tubulin-folding cofactor B,TBCB,sp|Q99426|TBCB_HUMAN Tubulin-folding cofactor B OS=Homo sapiens OX=9606 GN=TBCB PE=1 SV=2;tr|K7EP07|K7EP07_HUMAN Tubulin-folding cofactor B (Fragment) OS=Homo sapiens OX=9606 GN=TBCB PE=1 SV=8;tr|K7EK42|K7EK42_HUMAN Tubulin-folding cofactor B OS=Homo sapie,4,4,20.5,4.12024628707503,4.14613732404923,26.1591941386949,25.5614497104206
