GRWD1_vs_zCtl,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
GINS4,0.2096413327,0.430222961857811,0,Q9BRT9;E5RFF9;E5RH56,Q9BRT9;E5RFF9,3;2;1,3;2;1,3;2;1,"DNA replication complex GINS protein SLD5;DNA replication complex GINS protein SLD5, N-terminally processed;DNA replication complex GINS protein SLD5",GINS4,sp|Q9BRT9|SLD5_HUMAN DNA replication complex GINS protein SLD5 OS=Homo sapiens OX=9606 GN=GINS4 PE=1 SV=1;tr|E5RFF9|E5RFF9_HUMAN DNA replication complex GINS protein SLD5 OS=Homo sapiens OX=9606 GN=GINS4 PE=1 SV=1,3,3,16.1,223
GINS3,-0.2910190052,0.0790397679033556,0,Q9BRX5,Q9BRX5,2,2,2,DNA replication complex GINS protein PSF3,GINS3,sp|Q9BRX5|PSF3_HUMAN DNA replication complex GINS protein PSF3 OS=Homo sapiens OX=9606 GN=GINS3 PE=1 SV=1,2,2,10.2,216
ERP44,0.0111152725,0.97468005708934,0,Q9BS26,Q9BS26,8,8,8,Endoplasmic reticulum resident protein 44,ERP44,sp|Q9BS26|ERP44_HUMAN Endoplasmic reticulum resident protein 44 OS=Homo sapiens OX=9606 GN=ERP44 PE=1 SV=1,8,8,24.9,406
ESYT1,-0.2581096067,0.179628327737632,0,Q9BSJ8;F8VZB1,Q9BSJ8,12;2,12;2,12;2,Extended synaptotagmin-1,ESYT1,sp|Q9BSJ8|ESYT1_HUMAN Extended synaptotagmin-1 OS=Homo sapiens OX=9606 GN=ESYT1 PE=1 SV=1,12,12,13.4,1104
TUBB6,0.4454794382,0.00679876956804212,0,Q9BUF5;K7ESM5;K7EL29;K7ES63;K7EN98;K7ESQ3;K7EQT3;K7EJ64;K7ERA8;K7EJZ4;K7EPE5,Q9BUF5;K7ESM5,33;25;9;7;7;6;6;6;6;6;6,22;14;7;3;7;6;6;6;6;6;6,18;10;7;3;7;6;6;6;6;6;6,Tubulin beta-6 chain,TUBB6,sp|Q9BUF5|TBB6_HUMAN Tubulin beta-6 chain OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1;tr|K7ESM5|K7ESM5_HUMAN Tubulin beta chain (Fragment) OS=Homo sapiens OX=9606 GN=TUBB6 PE=1 SV=1,33,18,76.2,446
BDH2,-1.1389087043,0.0577771627916996,0,Q9BUT1;D6RFG2;D6R9U8;D6RIR6;D6RBF6;D6R9P2,Q9BUT1;D6RFG2;D6R9U8;D6RIR6,3;2;2;2;1;1,3;2;2;2;1;1,3;2;2;2;1;1,3-hydroxybutyrate dehydrogenase type 2,BDH2,sp|Q9BUT1|BDH2_HUMAN 3-hydroxybutyrate dehydrogenase type 2 OS=Homo sapiens OX=9606 GN=BDH2 PE=1 SV=2;tr|D6RFG2|D6RFG2_HUMAN 3-hydroxybutyrate dehydrogenase type 2 OS=Homo sapiens OX=9606 GN=BDH2 PE=1 SV=1;tr|D6R9U8|D6R9U8_HUMAN 3-hydroxybutyrate dehydroge,3,3,22.9,245
NTMT1,-0.1967637284,0.1983086373353,0,Q9BV86;S4R344;S4R3J7,Q9BV86,3;1;1,3;1;1,3;1;1,"N-terminal Xaa-Pro-Lys N-methyltransferase 1;N-terminal Xaa-Pro-Lys N-methyltransferase 1, N-terminally processed",NTMT1,sp|Q9BV86|NTM1A_HUMAN N-terminal Xaa-Pro-Lys N-methyltransferase 1 OS=Homo sapiens OX=9606 GN=NTMT1 PE=1 SV=3,3,3,19.7,223
TUBB2B,0.566407446,0.00486962538188052,0,Q9BVA1,Q9BVA1,35,7,1,Tubulin beta-2B chain,TUBB2B,sp|Q9BVA1|TBB2B_HUMAN Tubulin beta-2B chain OS=Homo sapiens OX=9606 GN=TUBB2B PE=1 SV=1,35,1,73,445
PBDC1,-0.1379832942,0.314463415571165,0,Q9BVG4,Q9BVG4,1,1,1,Protein PBDC1,PBDC1,sp|Q9BVG4|PBDC1_HUMAN Protein PBDC1 OS=Homo sapiens OX=9606 GN=PBDC1 PE=1 SV=1,1,1,4.3,233
TMED9,-0.4608807952,0.0372422775612305,0,Q9BVK6;Q7Z7H5;F8W7F7,Q9BVK6,4;1;1,4;1;1,4;1;1,Transmembrane emp24 domain-containing protein 9,TMED9,sp|Q9BVK6|TMED9_HUMAN Transmembrane emp24 domain-containing protein 9 OS=Homo sapiens OX=9606 GN=TMED9 PE=1 SV=2,4,4,19.6,235
GNL3,-0.0007804041,0.997073049320237,0,Q9BVP2,Q9BVP2,5,5,5,Guanine nucleotide-binding protein-like 3,GNL3,sp|Q9BVP2|GNL3_HUMAN Guanine nucleotide-binding protein-like 3 OS=Homo sapiens OX=9606 GN=GNL3 PE=1 SV=2,5,5,10.7,549
ACAT2,0.1396293018,0.717591828044714,0,Q9BWD1,Q9BWD1,5,5,5,"Acetyl-CoA acetyltransferase, cytosolic",ACAT2,"sp|Q9BWD1|THIC_HUMAN Acetyl-CoA acetyltransferase, cytosolic OS=Homo sapiens OX=9606 GN=ACAT2 PE=1 SV=2",5,5,27.5,397
RBM4,-0.7808026962,0.000871626814669514,0,Q9BWF3;E9PB51;D6R9K7;J3QRR5;Q9BQ04;E9PLB0;E9PM61;U3KQD5,Q9BWF3;E9PB51;D6R9K7;J3QRR5,4;3;2;2;1;1;1;1,4;3;2;2;1;1;1;1,4;3;2;2;1;1;1;1,RNA-binding protein 4,RBM4,sp|Q9BWF3|RBM4_HUMAN RNA-binding protein 4 OS=Homo sapiens OX=9606 GN=RBM4 PE=1 SV=1;tr|E9PB51|E9PB51_HUMAN RNA-binding protein 4 (Fragment) OS=Homo sapiens OX=9606 GN=RBM4 PE=1 SV=1;tr|D6R9K7|D6R9K7_HUMAN RNA-binding protein 4 OS=Homo sapiens OX=9606 GN=R,4,4,17.9,364
SF3B5,0.0716487432,0.451474894124365,0,Q9BWJ5,Q9BWJ5,4,4,4,Splicing factor 3B subunit 5,SF3B5,sp|Q9BWJ5|SF3B5_HUMAN Splicing factor 3B subunit 5 OS=Homo sapiens OX=9606 GN=SF3B5 PE=1 SV=1,4,4,59.3,86
HINT2,-1.3095670041,0.00180207176663566,1,Q9BX68,Q9BX68,2,2,2,"Histidine triad nucleotide-binding protein 2, mitochondrial",HINT2,"sp|Q9BX68|HINT2_HUMAN Histidine triad nucleotide-binding protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=HINT2 PE=1 SV=1",2,2,19,163
EIF2A,-0.0822186683,0.757188831720283,0,Q9BY44;F8WAE5;C9IZE1;H7C5Q3;H7C5R5;F8WF18;F8WAT3,Q9BY44;F8WAE5;C9IZE1,12;11;6;4;3;1;1,12;11;6;4;3;1;1,12;11;6;4;3;1;1,"Eukaryotic translation initiation factor 2A;Eukaryotic translation initiation factor 2A, N-terminally processed",EIF2A,sp|Q9BY44|EIF2A_HUMAN Eukaryotic translation initiation factor 2A OS=Homo sapiens OX=9606 GN=EIF2A PE=1 SV=3;tr|F8WAE5|F8WAE5_HUMAN Eukaryotic translation initiation factor 2A OS=Homo sapiens OX=9606 GN=EIF2A PE=1 SV=1;tr|C9IZE1|C9IZE1_HUMAN Eukaryotic tra,12,12,28.9,585
MRPL13,0.2222516552,0.307066645022749,0,Q9BYD1;E5RJI7;H0YAX3;E5RFI2,Q9BYD1;E5RJI7,4;3;1;1,4;3;1;1,4;3;1;1,"39S ribosomal protein L13, mitochondrial",MRPL13,"sp|Q9BYD1|RM13_HUMAN 39S ribosomal protein L13, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL13 PE=1 SV=1;tr|E5RJI7|E5RJI7_HUMAN 39S ribosomal protein L13, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPL13 PE=1 SV=8",4,4,26.4,178
MRPL1,1.2112071259,0.0582201893617983,0,Q9BYD6;H0Y8N7,Q9BYD6;H0Y8N7,2;1,2;1,2;1,"39S ribosomal protein L1, mitochondrial",MRPL1,"sp|Q9BYD6|RM01_HUMAN 39S ribosomal protein L1, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL1 PE=1 SV=2;tr|H0Y8N7|H0Y8N7_HUMAN 39S ribosomal protein L1, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MRPL1 PE=1 SV=1",2,2,6.8,325
NLN,-0.3663851723,0.0238229783826088,0,Q9BYT8;H0YAF7;H0YAK4;E9PCB6,Q9BYT8;H0YAF7;H0YAK4;E9PCB6,2;1;1;1,2;1;1;1,2;1;1;1,"Neurolysin, mitochondrial",NLN,"sp|Q9BYT8|NEUL_HUMAN Neurolysin, mitochondrial OS=Homo sapiens OX=9606 GN=NLN PE=1 SV=1;tr|H0YAF7|H0YAF7_HUMAN Neurolysin, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=NLN PE=1 SV=2;tr|H0YAK4|H0YAK4_HUMAN Neurolysin, mitochondrial (Fragment) OS=Homo",2,2,3.7,704
DPY30,-0.9899988547,0.0225975650388332,0,Q9C005,Q9C005,2,2,2,Protein dpy-30 homolog,DPY30,sp|Q9C005|DPY30_HUMAN Protein dpy-30 homolog OS=Homo sapiens OX=9606 GN=DPY30 PE=1 SV=1,2,2,27.3,99
NAT10,0.0892825013,0.385030889105151,0,Q9H0A0;A0A087WV29,Q9H0A0;A0A087WV29,5;4,5;4,5;4,N-acetyltransferase 10,NAT10,sp|Q9H0A0|NAT10_HUMAN RNA cytidine acetyltransferase OS=Homo sapiens OX=9606 GN=NAT10 PE=1 SV=2;tr|A0A087WV29|A0A087WV29_HUMAN RNA cytidine acetyltransferase OS=Homo sapiens OX=9606 GN=NAT10 PE=1 SV=1,5,5,5.5,1025
ILKAP,0.0381607863,0.981145384283705,0,Q9H0C8;E9PC05;H7C2I8;F8SNU7,Q9H0C8;E9PC05,3;2;1;1,3;2;1;1,3;2;1;1,Integrin-linked kinase-associated serine/threonine phosphatase 2C,ILKAP,sp|Q9H0C8|ILKAP_HUMAN Integrin-linked kinase-associated serine/threonine phosphatase 2C OS=Homo sapiens OX=9606 GN=ILKAP PE=1 SV=1;tr|E9PC05|E9PC05_HUMAN Integrin-linked kinase-associated serine/threonine phosphatase 2C (Fragment) OS=Homo sapiens OX=9606 G,3,3,8.9,392
XRN2,-0.1629043403,0.206385464778774,0,Q9H0D6,Q9H0D6,9,9,9,5-3 exoribonuclease 2,XRN2,sp|Q9H0D6|XRN2_HUMAN 5-3 exoribonuclease 2 OS=Homo sapiens OX=9606 GN=XRN2 PE=1 SV=1,9,9,10.8,950
DDX47,0.1224750275,0.257192493678494,0,Q9H0S4;F5H1N9,Q9H0S4,7;1,7;1,7;1,Probable ATP-dependent RNA helicase DDX47,DDX47,sp|Q9H0S4|DDX47_HUMAN Probable ATP-dependent RNA helicase DDX47 OS=Homo sapiens OX=9606 GN=DDX47 PE=1 SV=1,7,7,17.8,455
RAB1B,-0.2302100313,0.0524436059345068,0,Q9H0U4;E9PLD0;Q92928;P59190;A0A2R8YDI9;H0YLJ8;H0YL94;G3V196;A0A2R8YFB8,Q9H0U4;E9PLD0,14;11;6;1;1;1;1;1;1,14;11;6;1;1;1;1;1;1,7;7;4;0;0;0;0;0;0,Ras-related protein Rab-1B,RAB1B,sp|Q9H0U4|RAB1B_HUMAN Ras-related protein Rab-1B OS=Homo sapiens OX=9606 GN=RAB1B PE=1 SV=1;tr|E9PLD0|E9PLD0_HUMAN Ras-related protein Rab-1B OS=Homo sapiens OX=9606 GN=RAB1B PE=1 SV=1,14,7,73.6,201
RSPH9,1.7911066193,0.0236614771780139,1,Q9H1X1,Q9H1X1,1,1,1,Radial spoke head protein 9 homolog,RSPH9,sp|Q9H1X1|RSPH9_HUMAN Radial spoke head protein 9 homolog OS=Homo sapiens OX=9606 GN=RSPH9 PE=1 SV=1,1,1,5.1,276
MRPL46,-0.3052368794,0.0350663495768297,0,Q9H2W6,Q9H2W6,3,3,3,"39S ribosomal protein L46, mitochondrial",MRPL46,"sp|Q9H2W6|RM46_HUMAN 39S ribosomal protein L46, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL46 PE=1 SV=1",3,3,11.5,279
BOLA2;BOLA2B,-0.2047790776,0.317688086177927,0,Q9H3K6;H3BV85;A0A087WZT3;H3BTW0;A0A0B4J295;H3BVE0;H3BPT9,Q9H3K6;H3BV85;A0A087WZT3;H3BTW0;A0A0B4J295;H3BVE0,6;5;4;3;3;3;2,6;5;4;3;3;3;2,6;5;4;3;3;3;2,BolA-like protein 2,BOLA2;BOLA2B,sp|Q9H3K6|BOLA2_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2 PE=1 SV=1;tr|H3BV85|H3BV85_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B PE=1 SV=2;tr|A0A087WZT3|A0A087WZT3_HUMAN BolA-like protein 2 OS=Homo sapiens OX=9606 GN=BOLA2B,6,6,72.1,86
TMX1,-0.2990572936,0.0717947348666057,0,Q9H3N1;G3V448,Q9H3N1,3;1,3;1,3;1,Thioredoxin-related transmembrane protein 1,TMX1,sp|Q9H3N1|TMX1_HUMAN Thioredoxin-related transmembrane protein 1 OS=Homo sapiens OX=9606 GN=TMX1 PE=1 SV=1,3,3,12.9,280
EHD1,0.0260339844,0.884279964014763,0,Q9H4M9;A0A024R571;C9JC03;C9JIJ3;C9IZH1;C9J2Z4;C9JDQ8;Q9NZN4,Q9H4M9;A0A024R571;C9JC03,7;6;5;3;3;3;2;1,7;6;5;3;3;3;2;1,2;1;0;1;1;0;0;0,EH domain-containing protein 1,EHD1,sp|Q9H4M9|EHD1_HUMAN EH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=EHD1 PE=1 SV=2;tr|A0A024R571|A0A024R571_HUMAN EH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=EHD1 PE=1 SV=1;tr|C9JC03|C9JC03_HUMAN EH domain-containing protein 1 (Fra,7,2,17.4,534
PTGES2,1.2290030309,0.000478115543972032,1,Q9H7Z7;A6NHH0;X6RJ95,Q9H7Z7;A6NHH0;X6RJ95,4;2;2,4;2;2,4;2;2,Prostaglandin E synthase 2;Prostaglandin E synthase 2 truncated form,PTGES2,sp|Q9H7Z7|PGES2_HUMAN Prostaglandin E synthase 2 OS=Homo sapiens OX=9606 GN=PTGES2 PE=1 SV=1;tr|A6NHH0|A6NHH0_HUMAN Prostaglandin E synthase 2 OS=Homo sapiens OX=9606 GN=PTGES2 PE=1 SV=2;tr|X6RJ95|X6RJ95_HUMAN Prostaglandin E synthase 2 (Fragment) OS=Homo ,4,4,14.6,377
PHAX,-0.1723628416,0.104687552638715,0,Q9H814,Q9H814,2,2,2,Phosphorylated adapter RNA export protein,PHAX,sp|Q9H814|PHAX_HUMAN Phosphorylated adapter RNA export protein OS=Homo sapiens OX=9606 GN=PHAX PE=1 SV=1,2,2,6.3,394
UBE2Z,-0.4687253433,0.0123723304234703,0,Q9H832;I3L286;I3L4C5,Q9H832,4;1;1,4;1;1,4;1;1,Ubiquitin-conjugating enzyme E2 Z,UBE2Z,sp|Q9H832|UBE2Z_HUMAN Ubiquitin-conjugating enzyme E2 Z OS=Homo sapiens OX=9606 GN=UBE2Z PE=1 SV=2,4,4,14.1,354
MOB1A;MOB1B,-0.3779396646,0.129987189952822,0,Q9H8S9;Q7L9L4,Q9H8S9;Q7L9L4,2;1,2;1,2;1,MOB kinase activator 1A;MOB kinase activator 1B,MOB1A;MOB1B,sp|Q9H8S9|MOB1A_HUMAN MOB kinase activator 1A OS=Homo sapiens OX=9606 GN=MOB1A PE=1 SV=4;sp|Q7L9L4|MOB1B_HUMAN MOB kinase activator 1B OS=Homo sapiens OX=9606 GN=MOB1B PE=1 SV=3,2,2,8.3,216
HN1L,-0.1753921096,0.160453154610666,0,Q9H910;H3BMV3;A6NGP5;H3BMM8;B4E1P3;H3BU16;H3BMT0;H3BTV5;H3BS08,Q9H910;H3BMV3;A6NGP5;H3BMM8;B4E1P3;H3BU16,7;6;5;4;4;4;3;3;2,7;6;5;4;4;4;3;3;2,7;6;5;4;4;4;3;3;2,Hematological and neurological expressed 1-like protein,HN1L,sp|Q9H910|JUPI2_HUMAN Jupiter microtubule associated homolog 2 OS=Homo sapiens OX=9606 GN=JPT2 PE=1 SV=1;tr|H3BMV3|H3BMV3_HUMAN Jupiter microtubule-associated homolog 2 (Fragment) OS=Homo sapiens OX=9606 GN=JPT2 PE=1 SV=1;tr|A6NGP5|A6NGP5_HUMAN Jupiter mic,7,7,56.3,190
SFXN1,-0.1574507184,0.145139305531106,0,Q9H9B4;S4R2X2;D6RFI0;D6RDG7;D6RAE9,Q9H9B4;S4R2X2;D6RFI0;D6RDG7,8;6;6;5;3,7;6;6;5;3,7;6;6;5;3,Sideroflexin-1,SFXN1,sp|Q9H9B4|SFXN1_HUMAN Sideroflexin-1 OS=Homo sapiens OX=9606 GN=SFXN1 PE=1 SV=4;tr|S4R2X2|S4R2X2_HUMAN Sideroflexin-1 OS=Homo sapiens OX=9606 GN=SFXN1 PE=1 SV=1;tr|D6RFI0|D6RFI0_HUMAN Sideroflexin-1 (Fragment) OS=Homo sapiens OX=9606 GN=SFXN1 PE=1 SV=8;tr|,8,7,38.2,322
GRPEL1,0.0308545089,0.777871168985896,0,Q9HAV7,Q9HAV7,6,6,6,"GrpE protein homolog 1, mitochondrial",GRPEL1,"sp|Q9HAV7|GRPE1_HUMAN GrpE protein homolog 1, mitochondrial OS=Homo sapiens OX=9606 GN=GRPEL1 PE=1 SV=2",6,6,33.6,217
C12orf10,-0.0155931885,0.871060424743152,0,Q9HB07;F8VQQ3;F8VR84;H3BPH3,Q9HB07;F8VQQ3;F8VR84,11;9;8;2,11;9;8;2,11;9;8;2,"UPF0160 protein MYG1, mitochondrial",C12orf10,sp|Q9HB07|MYG1_HUMAN MYG1 exonuclease OS=Homo sapiens OX=9606 GN=MYG1 PE=1 SV=3;tr|F8VQQ3|F8VQQ3_HUMAN MYG1 exonuclease OS=Homo sapiens OX=9606 GN=MYG1 PE=1 SV=1;tr|F8VR84|F8VR84_HUMAN MYG1 exonuclease OS=Homo sapiens OX=9606 GN=MYG1 PE=1 SV=1,11,11,37.8,376
CACYBP,0.4838885627,0.0103792317730418,0,Q9HB71;B2ZWH1,Q9HB71,8;2,8;2,8;2,Calcyclin-binding protein,CACYBP,sp|Q9HB71|CYBP_HUMAN Calcyclin-binding protein OS=Homo sapiens OX=9606 GN=CACYBP PE=1 SV=2,8,8,46.1,228
SDF2L1,0.0932120191,0.690192396733573,0,Q9HCN8,Q9HCN8,3,3,3,Stromal cell-derived factor 2-like protein 1,SDF2L1,sp|Q9HCN8|SDF2L_HUMAN Stromal cell-derived factor 2-like protein 1 OS=Homo sapiens OX=9606 GN=SDF2L1 PE=1 SV=2,3,3,23.1,221
DYNLRB1;DYNLRB2,-0.9402955893,0.000763388694130506,0,Q9NP97;Q8TF09;B1AKR6;H3BQI1;H3BNG9;H3BPA0;Q7Z4M1,Q9NP97;Q8TF09;B1AKR6;H3BQI1,4;3;3;2;1;1;1,4;3;3;2;1;1;1,4;3;3;2;1;1;1,Dynein light chain roadblock-type 1;Dynein light chain roadblock-type 2,DYNLRB1;DYNLRB2,sp|Q9NP97|DLRB1_HUMAN Dynein light chain roadblock-type 1 OS=Homo sapiens OX=9606 GN=DYNLRB1 PE=1 SV=3;sp|Q8TF09|DLRB2_HUMAN Dynein light chain roadblock-type 2 OS=Homo sapiens OX=9606 GN=DYNLRB2 PE=1 SV=1;tr|B1AKR6|B1AKR6_HUMAN Dynein light chain roadbloc,4,4,47.9,96
EXOSC4,0.1703167747,0.417039007681289,0,Q9NPD3;E9PI41;E9PPI9,Q9NPD3;E9PI41,5;3;2,5;3;2,5;3;2,Exosome complex component RRP41,EXOSC4,sp|Q9NPD3|EXOS4_HUMAN Exosome complex component RRP41 OS=Homo sapiens OX=9606 GN=EXOSC4 PE=1 SV=3;tr|E9PI41|E9PI41_HUMAN Exosome complex component RRP41 (Fragment) OS=Homo sapiens OX=9606 GN=EXOSC4 PE=1 SV=8,5,5,25.3,245
NOP10,0.4479060272,0.0169245528031808,0,Q9NPE3,Q9NPE3,3,3,3,H/ACA ribonucleoprotein complex subunit 3,NOP10,sp|Q9NPE3|NOP10_HUMAN H/ACA ribonucleoprotein complex subunit 3 OS=Homo sapiens OX=9606 GN=NOP10 PE=1 SV=1,3,3,45.3,64
TIGAR,0.1163284854,0.313190430431796,0,Q9NQ88;A0A0U1RQD1,Q9NQ88,7;3,7;3,7;3,"Fructose-2,6-bisphosphatase TIGAR",TIGAR,"sp|Q9NQ88|TIGAR_HUMAN Fructose-2,6-bisphosphatase TIGAR OS=Homo sapiens OX=9606 GN=TIGAR PE=1 SV=1",7,7,33,270
RTN4,-0.2248701555,0.251331375755197,0,Q9NQC3;F8W914;H7C106;A0A0U1RQR6,Q9NQC3;F8W914;H7C106,5;4;3;1,5;4;3;1,5;4;3;1,Reticulon-4;Reticulon,RTN4,sp|Q9NQC3|RTN4_HUMAN Reticulon-4 OS=Homo sapiens OX=9606 GN=RTN4 PE=1 SV=2;tr|F8W914|F8W914_HUMAN Reticulon OS=Homo sapiens OX=9606 GN=RTN4 PE=1 SV=1;tr|H7C106|H7C106_HUMAN Reticulon (Fragment) OS=Homo sapiens OX=9606 GN=RTN4 PE=1 SV=1,5,5,7.5,1192
RPRD1B,0.1131579801,0.407809725767717,0,Q9NQG5;Q96P16;E9PQF3;K7EQR8;E9PIQ9;A2A2M0;A0A0C4DGQ6,Q9NQG5,4;1;1;1;1;1;1,4;1;1;1;1;1;1,4;1;1;1;1;1;1,Regulation of nuclear pre-mRNA domain-containing protein 1B,RPRD1B,sp|Q9NQG5|RPR1B_HUMAN Regulation of nuclear pre-mRNA domain-containing protein 1B OS=Homo sapiens OX=9606 GN=RPRD1B PE=1 SV=1,4,4,17.8,326
NIT2,-0.5544598115,0.0193204475947092,0,Q9NQR4;H7C579;F8WF70,Q9NQR4;H7C579,6;5;2,6;5;2,6;5;2,Omega-amidase NIT2,NIT2,sp|Q9NQR4|NIT2_HUMAN Omega-amidase NIT2 OS=Homo sapiens OX=9606 GN=NIT2 PE=1 SV=1;tr|H7C579|H7C579_HUMAN Omega-amidase NIT2 (Fragment) OS=Homo sapiens OX=9606 GN=NIT2 PE=1 SV=8,6,6,32.6,276
XPNPEP1,0.0776962021,0.774744922023873,0,Q9NQW7;Q5T6H3;Q5T6H2;Q5T6H7,Q9NQW7;Q5T6H3;Q5T6H2;Q5T6H7,6;4;4;4,6;4;4;4,6;4;4;4,Xaa-Pro aminopeptidase 1,XPNPEP1,sp|Q9NQW7|XPP1_HUMAN Xaa-Pro aminopeptidase 1 OS=Homo sapiens OX=9606 GN=XPNPEP1 PE=1 SV=3;tr|Q5T6H3|Q5T6H3_HUMAN Xaa-Pro aminopeptidase 1 (Fragment) OS=Homo sapiens OX=9606 GN=XPNPEP1 PE=1 SV=1;tr|Q5T6H2|Q5T6H2_HUMAN Xaa-Pro aminopeptidase 1 (Fragment) OS,6,6,14.1,623
PDLIM7,0.0212334492,0.81641712034947,0,Q9NR12;D6RAN1;D6RF83;H7BYK4;D6RH06,Q9NR12;D6RAN1;D6RF83;H7BYK4;D6RH06,3;2;2;2;2,3;2;2;2;2,3;2;2;2;2,PDZ and LIM domain protein 7,PDLIM7,sp|Q9NR12|PDLI7_HUMAN PDZ and LIM domain protein 7 OS=Homo sapiens OX=9606 GN=PDLIM7 PE=1 SV=1;tr|D6RAN1|D6RAN1_HUMAN PDZ and LIM domain protein 7 (Fragment) OS=Homo sapiens OX=9606 GN=PDLIM7 PE=1 SV=1;tr|D6RF83|D6RF83_HUMAN PDZ and LIM domain protein 7 (F,3,3,8.5,457
DIABLO,0.4169085333,0.28750986818352,0,Q9NR28;H7BZQ7;H7BZK7;A0A2U3TZH2,Q9NR28;H7BZQ7;H7BZK7;A0A2U3TZH2,2;1;1;1,2;1;1;1,2;1;1;1,"Diablo homolog, mitochondrial",DIABLO,"sp|Q9NR28|DBLOH_HUMAN Diablo homolog, mitochondrial OS=Homo sapiens OX=9606 GN=DIABLO PE=1 SV=1;tr|H7BZQ7|H7BZQ7_HUMAN Diablo homolog, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=DIABLO PE=1 SV=2;tr|H7BZK7|H7BZK7_HUMAN Diablo homolog, mitochondrial",2,2,16.7,239
DDX21,0.5183788984,0.0348905913205019,0,Q9NR30;Q9BQ39;A0A087WVC1,Q9NR30,20;2;2,20;2;2,20;2;2,Nucleolar RNA helicase 2,DDX21,sp|Q9NR30|DDX21_HUMAN Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5,20,20,29.8,783
SAR1A;SAR1B,-1.0050520595,0.375218986213509,0,Q9NR31;Q5SQT8;Q9Y6B6;X1WI22;D6RAA2;D6RDB2;D6RD69;H0Y5E8,Q9NR31;Q5SQT8;Q9Y6B6;X1WI22;D6RAA2;D6RDB2;D6RD69,4;3;2;2;2;2;2;1,4;3;2;2;2;2;2;1,4;3;2;2;2;2;2;1,GTP-binding protein SAR1a;GTP-binding protein SAR1b,SAR1A;SAR1B,sp|Q9NR31|SAR1A_HUMAN GTP-binding protein SAR1a OS=Homo sapiens OX=9606 GN=SAR1A PE=1 SV=1;tr|Q5SQT8|Q5SQT8_HUMAN GTP-binding protein SAR1a OS=Homo sapiens OX=9606 GN=SAR1A PE=1 SV=1;sp|Q9Y6B6|SAR1B_HUMAN GTP-binding protein SAR1b OS=Homo sapiens OX=9606 G,4,4,29.8,198
NANS,0.2289444476,0.169302274817632,0,Q9NR45;Q5TBR0;Q5TBR1,Q9NR45,8;1;1,8;1;1,8;1;1,Sialic acid synthase,NANS,sp|Q9NR45|SIAS_HUMAN Sialic acid synthase OS=Homo sapiens OX=9606 GN=NANS PE=1 SV=2,8,8,33.1,359
EIF2B3,0.0649897837,0.785863276230986,0,Q9NR50;H0Y580;A0A0D9SEN0,Q9NR50;H0Y580,6;3;2,6;3;2,6;3;2,Translation initiation factor eIF-2B subunit gamma,EIF2B3,sp|Q9NR50|EI2BG_HUMAN Translation initiation factor eIF-2B subunit gamma OS=Homo sapiens OX=9606 GN=EIF2B3 PE=1 SV=1;tr|H0Y580|H0Y580_HUMAN Translation initiation factor eIF-2B subunit gamma (Fragment) OS=Homo sapiens OX=9606 GN=EIF2B3 PE=1 SV=1,6,6,21.7,452
POLE3,0.1173444687,0.445258131343872,0,Q9NRF9,Q9NRF9,4,4,4,DNA polymerase epsilon subunit 3,POLE3,sp|Q9NRF9|DPOE3_HUMAN DNA polymerase epsilon subunit 3 OS=Homo sapiens OX=9606 GN=POLE3 PE=1 SV=1,4,4,44.9,147
AASDHPPT,-0.4312658408,0.00942130851348397,0,Q9NRN7;E9PNF3;E9PLW6,Q9NRN7;E9PNF3;E9PLW6,7;4;4,7;4;4,7;4;4,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,AASDHPPT,sp|Q9NRN7|ADPPT_HUMAN L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2;tr|E9PNF3|E9PNF3_HUMAN L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase (Fragment) OS=Hom,7,7,29.8,309
