Gene_names,PAFAH1B1_vs_BirA_logFC,PAFAH1B1_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_PAFAH1B1_N1,Peptides_PAFAHB_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_PAFAH1B1_N1,Razor___unique_peptides_PAFAHB_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_PAFAH1B1_N1,Unique_peptides_PAFAHB_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_PAFAH1B1_N1,Identification_type_PAFAHB_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_PAFAH1B1_N1,Ratio_H_L_PAFAHB_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_PAFAH1B1_N1,Ratio_H_L_normalized_PAFAHB_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____PAFAH1B1_N1,Ratio_H_L_variability_____PAFAHB_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_PAFAH1B1_N1,Ratio_H_L_count_PAFAHB_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_PAFAH1B1_N1,Ratio_H_L_iso_count_PAFAHB_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_PAFAH1B1_N1,Ratio_H_L_type_PAFAHB_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_PAFAH1B1_N1____,Sequence_coverage_PAFAHB_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_PAFAH1B1_N1,Intensity_L_PAFAH1B1_N1,Intensity_H_PAFAH1B1_N1,Intensity_PAFAHB_N2,Intensity_L_PAFAHB_N2,Intensity_H_PAFAHB_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_PAFAH1B1_N1,metacell_Intensity_L_PAFAHB_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
HNRNPDL,-0.103808038351751,0.725082552929434,A0A087WU03,A0A087WU03,2,2,2,,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,1,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,40.4,40.4,40.4,6.7215,57,57,0.0011503,2.228,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.27491,0.71592,28.362,5,2,Median,0.33858,0.32527,0.27491,0.26375,1.0106,0.70866,0.71592,0.67386,,46.15,,,1,2,1,1,0,0,1,1,Median,Median,Median,Median,40.4,40.4,31.6,31.6,372600000,285440000,87158000,27175000,19945000,7229600,44137000,31308000,12829000,177980000,140320000,37662000,123300000,93865000,29438000,,,,25,16573;16574,True;True,18876;18877,46946;46947;46948;46949;46950,89186;89187;89188;89189;89190;89191;89192;89193;89194,89189;89191,,,,,-1,protein_26,quanti,quanti,quanti,quanti
MINOS1;MINOS1-NBL1,-20.5807924862971,3.63478693989473e-07,Q5TGZ0;A0A087WU07;A0A3B3IRY5;R4GMY4;R4GNA1,Q5TGZ0;A0A087WU07;A0A3B3IRY5;R4GMY4;R4GNA1,2;2;1;1;1,2;2;1;1;1,2;2;1;1;1,MICOS complex subunit MIC10,sp|Q5TGZ0|MIC10_HUMAN MICOS complex subunit MIC10 OS=Homo sapiens OX=9606 GN=MICOS10 PE=1 SV=1;tr|A0A087WU07|A0A087WU07_HUMAN MICOS complex subunit MIC10 OS=Homo sapiens OX=9606 GN=MICOS10 PE=1 SV=1;tr|A0A3B3IRY5|A0A3B3IRY5_HUMAN MICOS complex subunit MIC1,5,2,2,2,2,1,0,0,2,1,0,0,2,1,0,0,59.0,59.0,59.0,8.8081,78,78;62;39;70;71,0.00077973,2.3427,By MS/MS,By MS/MS,,,0.43947,1.1147,6.7279,2,1,Median,0.4253,0.45411,,,1.0629,1.169,,,,,,,1,1,0,0,1,0,0,0,Median,Median,Median,Median,59.0,14.1,0.0,0.0,51101000,35019000,16082000,16839000,12962000,3876800,34262000,22057000,12205000,0,0,0,0,0,0,,,,27,17439;20521,True;True,19877;23242,49365;57445;57446,93651;108657;108658,93651;108658,,,,,-1;-1;-1;-1;-1,protein_28,imputed MEC,imputed MEC,quanti,quanti
CTNNBL1,0.279007500083676,0.498338582401815,Q8WYA6;A0A087WUB9;A2A2P1,Q8WYA6;A0A087WUB9,8;8;1,8;8;1,8;8;1,Beta-catenin-like protein 1,sp|Q8WYA6|CTBL1_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1;tr|A0A087WUB9|A0A087WUB9_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1,3,8,8,8,2,4,5,6,2,4,5,6,2,4,5,6,15.8,15.8,15.8,65.173,563,563;568;166,0.0,15.531,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.57123,1.3298,15.962,15,4,Leave out requantified,0.45748,0.60101,0.55423,0.55503,1.2541,1.6711,1.2498,1.3145,40.276,31.288,34.124,13.08,2,3,5,5,0,1,3,0,Median,Plateau,Median,Leave out requantified,6.0,10.7,7.8,11.5,901660000,560630000,341030000,48875000,30647000,18228000,80151000,50739000,29412000,329990000,198910000,131080000,442650000,280340000,162310000,,,,32,6124;6665;7094;10332;14598;16557;22746;27173,True;True;True;True;True;True;True;True,6814;7407;7889;11660;16708;18859;25703;30717,16816;16817;16818;18230;18231;19399;19400;29158;41679;41680;41681;46904;63862;63863;63864;63865;76422,32090;32091;32092;32093;34789;34790;34791;34792;37123;37124;56076;79483;89107;121268;121269;121270;121271;121272;146079,32091;34789;37123;56076;79483;89107;121272;146079,15;16,,457;458,,-1;-1;-1,protein_33,quanti,quanti,quanti,quanti
SPCS2,1.06611776693284,0.00454518767118541,Q15005;E9PL01;A0A087WUC6;E9PI68;E9PRB9;H0YE04,Q15005;E9PL01;A0A087WUC6;E9PI68;E9PRB9,4;4;4;4;3;1,4;4;4;4;3;1,4;4;4;4;3;1,Signal peptidase complex subunit 2,sp|Q15005|SPCS2_HUMAN Signal peptidase complex subunit 2 OS=Homo sapiens OX=9606 GN=SPCS2 PE=1 SV=3;tr|E9PL01|E9PL01_HUMAN Signal peptidase complex subunit 2 OS=Homo sapiens OX=9606 GN=SPCS2 PE=1 SV=1;tr|A0A087WUC6|A0A087WUC6_HUMAN Signal peptidase complex,6,4,4,4,1,1,3,3,1,1,3,3,1,1,3,3,19.0,19.0,19.0,25.003,226,226;157;227;257;87;166,0.0,5.2161,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.48112,1.1736,87.623,6,3,Median,0.39914,0.50121,1.0079,0.79552,1.1148,1.2354,2.5021,1.9351,,,117.46,136.42,1,1,2,2,0,0,2,1,Median,Median,Median,Median,8.4,8.4,15.0,15.9,879530000,373060000,506470000,21786000,15680000,6106200,27558000,17259000,10299000,448930000,174840000,274100000,381250000,165280000,215970000,,,,33,5702;13724;15734;20856,True;True;True;True,6343;15691;17937;23611,15671;15672;15673;15674;39067;44604;58415;58416,29899;29900;29901;29902;74425;84742;110570;110571,29899;74425;84742;110570,,,,,-1;-1;-1;-1;-1;-1,protein_34,quanti,quanti,quanti,quanti
HNRNPDL,0.865260849465361,0.00814852605509426,O14979;A0A087WUK2,O14979;A0A087WUK2,17;17,15;15,15;15,Heterogeneous nuclear ribonucleoprotein D-like,sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3;tr|A0A087WUK2|A0A087WUK2_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,2,17,15,15,5,5,14,15,3,3,12,13,3,3,12,13,36.2,33.8,33.8,46.437,420,420;363,0.0,148.39,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.29616,0.65352,23.301,45,20,Leave out requantified,0.26747,0.35794,0.30849,0.25775,0.99733,0.99823,0.66535,0.69548,24.301,31.894,23.663,17.712,4,4,17,20,1,3,7,9,Median,Median,Leave out requantified,Leave out requantified,12.1,12.1,33.3,32.6,12957000000,10024000000,2933400000,613900000,479620000,134290000,719970000,522960000,197010000,6117300000,4779100000,1338200000,5506100000,4242200000,1263900000,,,,35,3200;3201;3767;5778;7140;7184;11639;16678;16679;16680;18315;19159;19745;21718;24366;24955;26990,True;True;True;True;True;False;True;True;True;True;True;True;True;False;True;True;True,3599;3600;4229;6422;6423;7945;8003;8004;13143;13144;18995;18996;18997;20827;21759;22397;24574;27507;28232;30494,9310;9311;9312;9313;9314;9315;10797;10798;10799;10800;15872;15873;15874;15875;15876;15877;15878;19562;19563;19564;19728;19729;19730;19731;19732;19733;19734;19735;19736;19737;32775;32776;47235;47236;47237;47238;47239;51745;51746;53936;55396;55397;55398;55399;55400;55401;55402;55403;60872;60873;60874;60875;60876;68439;68440;68441;68442;70360;70361;75867,18067;18068;18069;18070;18071;18072;18073;18074;18075;18076;18077;20891;20892;20893;20894;20895;30297;30298;30299;30300;30301;30302;30303;30304;30305;30306;30307;30308;30309;30310;30311;30312;30313;30314;30315;37406;37407;37408;37409;37410;37411;37412;37413;37762;37763;37764;37765;37766;37767;37768;37769;37770;37771;37772;37773;37774;37775;37776;37777;37778;37779;37780;37781;37782;37783;37784;37785;37786;37787;37788;37789;37790;37791;37792;37793;62912;62913;89734;89735;89736;89737;89738;89739;89740;89741;89742;89743;98194;98195;102210;104893;104894;104895;104896;104897;104898;104899;104900;104901;104902;104903;104904;115235;115236;115237;115238;115239;115240;115241;115242;130611;130612;130613;130614;130615;130616;130617;134382;134383;145122,18072;18077;20895;30312;37412;37774;62912;89734;89737;89743;98195;102210;104901;115239;130612;134383;145122,17;18,,180;302,,-1;-1,protein_36,quanti,quanti,quanti,quanti
SLIRP,1.27287517901298,0.00328656735394107,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7;H0YJ07;H0YJU7;H0YJI1,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7,7;7;7;7;7;6;3;3;1,7;7;7;7;7;6;3;3;1,7;7;7;7;7;6;3;3;1,"SRA stem-loop-interacting RNA-binding protein, mitochondrial","sp|Q9GZT3|SLIRP_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 SV=1;tr|A0A087WUN7|A0A087WUN7_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 ",9,7,7,7,4,3,6,6,4,3,6,6,4,3,6,6,55.0,55.0,55.0,12.349,109,109;92;96;98;124;76;56;72;40,0.0,26.933,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.61486,1.601,16.597,27,5,Leave out requantified,0.49915,0.66547,0.6618,0.6348,1.3419,1.977,1.7271,1.6706,25.744,25.125,12.057,14.137,4,3,10,10,0,1,2,2,Leave out requantified,Median,Leave out requantified,Leave out requantified,34.9,33.9,54.1,54.1,5585700000,3299000000,2286600000,198090000,131270000,66827000,203540000,123680000,79855000,2760300000,1608800000,1151600000,2423700000,1435300000,988350000,,,,36,3088;4550;17526;19673;19820;19821;20913,True;True;True;True;True;True;True,3482;5077;19968;22320;22480;22481;22482;23674,9018;9019;9020;9021;9022;9023;9024;12750;12751;49556;49557;49558;49559;49560;49561;55205;55630;55631;55632;55633;55634;55635;55636;58570;58571;58572;58573,17617;17618;17619;17620;17621;17622;17623;17624;24591;24592;24593;24594;24595;24596;24597;24598;94015;94016;94017;94018;94019;94020;94021;94022;94023;94024;94025;104486;105319;105320;105321;105322;105323;105324;105325;105326;105327;105328;105329;105330;105331;105332;105333;105334;105335;110880;110881;110882;110883;110884;110885;110886;110887;110888;110889;110890;110891;110892;110893;110894;110895;110896,17623;24597;94020;104486;105320;105329;110893,19,,36,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_37,quanti,quanti,quanti,quanti
GPX1,2.45720896583619,0.000203912606927523,P07203;A0A087WUQ6;A0A2R8Y6B6;A0A494C1C9;A0A494C118,P07203;A0A087WUQ6;A0A2R8Y6B6,8;8;6;1;1,8;8;6;1;1,8;8;6;1;1,Glutathione peroxidase 1;Glutathione peroxidase,sp|P07203|GPX1_HUMAN Glutathione peroxidase 1 OS=Homo sapiens OX=9606 GN=GPX1 PE=1 SV=4;tr|A0A087WUQ6|A0A087WUQ6_HUMAN Glutathione peroxidase OS=Homo sapiens OX=9606 GN=GPX1 PE=1 SV=1;tr|A0A2R8Y6B6|A0A2R8Y6B6_HUMAN Glutathione peroxidase 1 OS=Homo sapiens ,5,8,8,8,2,1,5,6,2,1,5,6,2,1,5,6,54.2,54.2,54.2,22.088,203,203;202;157;104;170,0.0,19.087,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.3067,0.75306,132.77,12,3,Leave out requantified,6.0326,,0.33063,0.28935,20.649,,0.74954,0.75624,37.214,,74.866,74.023,2,0,5,5,1,0,1,1,Median,Median,Leave out requantified,Leave out requantified,9.9,8.9,40.4,45.3,1707800000,1024600000,683200000,187400000,16408000,170990000,20086000,20086000,0,807810000,538890000,268920000,692510000,449230000,243280000,,,,37,3069;4161;4270;6229;6230;7988;13997;27623,True;True;True;True;True;True;True;True,3463;4658;4776;6933;6934;8961;16003;31203,8971;8972;11790;12069;17088;17089;17090;22261;22262;39862;39863;39864;77649;77650,17540;17541;22854;23294;32569;32570;32571;32572;32573;42718;42719;76084;76085;76086;76087;76088;148492;148493;148494;148495;148496,17540;22854;23294;32570;32572;42719;76086;148494,,,,,-1;-1;-1;-1;-1,protein_38,quanti,quanti,quanti,quanti
MYEF2,20.9611536680695,7.7684833734343e-07,Q9P2K5;A0A087WUT0;A0A0A0MQW0;A0A0A0MR39;A0A0C4DGV1;H0YKS1;A0A087WWC8;H0YN19,Q9P2K5;A0A087WUT0;A0A0A0MQW0;A0A0A0MR39;A0A0C4DGV1,3;3;3;3;2;1;1;1,3;3;3;3;2;1;1;1,3;3;3;3;2;1;1;1,Myelin expression factor 2,sp|Q9P2K5|MYEF2_HUMAN Myelin expression factor 2 OS=Homo sapiens OX=9606 GN=MYEF2 PE=1 SV=3;tr|A0A087WUT0|A0A087WUT0_HUMAN Myelin expression factor 2 OS=Homo sapiens OX=9606 GN=MYEF2 PE=1 SV=1;tr|A0A0A0MQW0|A0A0A0MQW0_HUMAN Myelin expression factor 2 OS=Ho,8,3,3,3,0,0,2,3,0,0,2,3,0,0,2,3,7.7,7.7,7.7,64.121,600,600;547;576;600;211;126;126;290,0.0085409,1.5302,,,By MS/MS,By MS/MS,0.46647,0.98415,20.931,5,1,Leave out requantified,,,0.4456,0.41663,,,0.89934,1.0099,,,9.0881,24.193,0,0,2,3,0,0,0,1,Median,Median,Median,Median,0.0,0.0,3.7,7.7,365860000,241830000,124030000,0,0,0,0,0,0,139460000,96540000,42922000,226400000,145290000,81107000,,,,38,9846;16769;24310,True;True;True,11087;19095;27441,27591;47459;47460;68264;68265,52946;90178;90179;130231;130232,52946;90179;130232,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_39,quanti,quanti,imputed MEC,imputed MEC
EIF5B,0.405599005046728,0.0856880170223408,O60841;A0A087WUT6,O60841;A0A087WUT6,15;15,15;15,15;15,Eukaryotic translation initiation factor 5B,sp|O60841|IF2P_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4;tr|A0A087WUT6|A0A087WUT6_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=1,2,15,15,15,5,6,12,12,5,6,12,12,5,6,12,12,19.8,19.8,19.8,138.83,1220,1220;1220,0.0,38.794,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39816,0.99923,18.763,34,14,Leave out requantified,0.31215,0.31699,0.41939,0.39743,1.0431,0.86726,1.0089,0.97266,17.143,16.107,10.334,18.153,5,5,12,12,2,2,5,5,Median,Leave out requantified,Leave out requantified,Leave out requantified,7.1,8.1,18.3,16.5,3503500000,2391900000,1111600000,199780000,149430000,50347000,239940000,168230000,71719000,1623500000,1071300000,552180000,1440200000,1002900000,437340000,,,,39,1139;1666;4495;7875;7876;8854;9231;9754;10434;10708;12353;14050;14582;22891;23368,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1262;1886;5017;8834;8835;9951;10410;10982;11784;12096;14128;16069;16688;25871;26395,3261;3262;4905;4906;12611;12612;21933;21934;24734;24735;24736;24737;24738;25969;25970;25971;25972;27324;27325;29479;29480;30243;30244;35142;35143;40043;40044;40045;40046;41613;41614;41615;41616;64287;64288;65582;65583,6355;9466;9467;9468;9469;9470;9471;9472;24314;24315;42041;42042;47338;47339;47340;47341;47342;47343;47344;49908;49909;49910;52440;52441;52442;52443;56715;56716;58144;58145;58146;58147;67144;67145;67146;76366;76367;76368;76369;76370;76371;76372;76373;79337;79338;79339;79340;79341;79342;79343;122120;122121;124767;124768,6355;9467;24314;42041;42042;47343;49910;52440;56715;58145;67144;76372;79342;122121;124767,,,,,-1;-1,protein_40,quanti,quanti,quanti,quanti
SPTBN1,2.21891220356329,0.00335830368086131,Q01082;A0A087WUZ3;F8W6C1;A4QPE4,Q01082;A0A087WUZ3,62;62;21;3,62;62;21;3,59;59;18;0,"Spectrin beta chain, non-erythrocytic 1","sp|Q01082|SPTB2_HUMAN Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2;tr|A0A087WUZ3|A0A087WUZ3_HUMAN Spectrin beta chain OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=1",4,62,62,59,12,17,49,47,12,17,49,47,12,17,47,44,36.0,36.0,34.3,274.61,2364,2364;2366;690;934,0.0,288.39,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39157,0.93477,24.67,140,39,Leave out requantified,0.42249,0.55391,0.39211,0.38339,1.0902,1.214,0.90608,0.94537,58.143,23.38,24.026,21.309,12,18,54,56,4,2,17,16,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,7.0,10.8,28.8,28.9,15729000000,10659000000,5069800000,245640000,160380000,85261000,493390000,306690000,186690000,7443300000,5046300000,2397100000,7546300000,5145500000,2400700000,,,,42,1264;2207;3247;3268;3420;3626;3719;3797;4097;4765;5037;5148;5305;5542;5567;5686;6251;8084;9029;9135;9145;10480;11146;11386;11835;12616;12617;13913;14257;14336;14337;15103;15117;15858;15859;16143;16213;16806;17033;17152;17153;19286;19339;20233;20690;20881;21443;21665;21666;22287;22311;22329;22876;23287;23297;23870;24010;24146;24576;24644;25551;27088,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1410;2497;3651;3672;3848;4070;4169;4263;4592;5322;5611;5727;5902;6161;6196;6326;6957;9071;10159;10287;10312;11834;12584;12853;13422;14477;14478;15908;16330;16415;16416;17247;17264;18078;18079;18406;18483;19135;19407;19542;19543;21896;21954;22925;23429;23639;24279;24513;24514;25198;25223;25243;25855;26313;26323;26952;27110;27253;27738;27814;28903;30606,3659;6478;6479;6480;9440;9441;9480;9481;9482;9483;9484;9485;9924;9925;9926;9927;10425;10426;10427;10642;10643;10886;10887;11643;11644;13319;13320;13985;14196;14197;14605;15213;15214;15215;15216;15310;15625;15626;15627;17143;17144;17145;17146;22548;22549;25294;25295;25632;25722;25723;25724;29594;31407;31408;31409;31410;32084;33437;36019;36020;36021;39637;39638;39639;39640;40695;40696;40951;40952;40953;40954;42918;42919;42920;42921;42922;42966;42967;44985;44986;44987;44988;44989;44990;44991;45778;45779;45987;45988;47549;47550;47551;47552;47553;47554;48199;48200;48201;48527;48528;48529;54253;54254;54381;54382;56673;56674;57926;58478;58479;60149;60150;60151;60736;60737;60738;60739;60740;62505;62560;62561;62617;62618;62619;62620;64246;65370;65393;65394;65395;65396;67055;67056;67450;67451;67452;67800;67801;69046;69224;69225;69226;69227;71989;71990;76154,7154;12696;12697;12698;18348;18349;18409;18410;18411;18412;18413;18414;19329;19330;19331;19332;19333;20239;20240;20241;20242;20595;20596;20597;20598;20599;20600;21113;21114;22565;22566;25609;25610;25611;25612;26756;27094;27095;27893;29051;29052;29053;29054;29055;29056;29057;29058;29059;29060;29236;29818;29819;29820;32666;32667;32668;32669;32670;32671;32672;43270;48535;48536;48537;48538;49262;49263;49427;49428;49429;49430;49431;49432;56925;56926;60260;60261;60262;60263;60264;61576;61577;64129;68697;68698;68699;75572;75573;75574;75575;75576;75577;75578;75579;75580;77508;77509;78020;78021;78022;78023;78024;81691;81692;81693;81694;81695;81696;81697;81698;81699;81700;81701;81806;81807;81808;85476;85477;85478;85479;85480;85481;85482;85483;85484;85485;85486;85487;85488;85489;86985;86986;87379;87380;87381;87382;90342;90343;90344;90345;90346;91483;91484;91485;91486;92060;92061;92062;102771;102978;102979;102980;102981;102982;102983;102984;102985;102986;102987;107220;107221;107222;107223;107224;109584;110702;110703;110704;110705;113814;113815;113816;113817;113818;114993;114994;114995;118398;118478;118479;118598;118599;118600;118601;118602;118603;122028;124388;124389;124434;124435;124436;124437;124438;124439;127822;127823;127824;128664;128665;128666;128667;128668;128669;128670;128671;129362;129363;131774;132114;132115;132116;132117;132118;132119;137793;137794;137795;137796;137797;137798;145654,7154;12697;18349;18414;19330;20239;20595;21113;22566;25611;26756;27094;27893;29060;29236;29818;32669;43270;48535;49262;49428;56925;60262;61577;64129;68697;68699;75575;77509;78021;78022;81692;81806;85481;85489;86986;87381;90346;91486;92060;92061;102771;102984;107224;109584;110702;113814;114994;114995;118398;118478;118601;122028;124389;124434;127823;128666;129363;131774;132114;137795;145654,,,,,-1;-1;-1;-1,protein_43,quanti,quanti,quanti,quanti
MTHFD1L,3.84375811119039,5.85161775378548e-05,Q6UB35;A0A087WVM4;B7ZM99;H0Y327;Q5JYA8;Q5JYA3;Q4VXM1;Q4VXM0,Q6UB35;A0A087WVM4;B7ZM99,16;16;16;3;2;2;1;1,15;15;15;3;2;2;1;1,15;15;15;3;2;2;1;1,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial","sp|Q6UB35|C1TM_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1;tr|A0A087WVM4|A0A087WVM4_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 S",8,16,15,15,3,3,15,13,2,2,15,13,2,2,15,13,24.6,23.6,23.6,105.79,978,978;913;979;332;108;114;57;92,0.0,30.477,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.505,1.1622,29.475,31,8,Leave out requantified,0.43292,0.73514,0.4944,0.44495,0.81201,1.471,1.1964,1.1437,24.103,52.83,29.401,33.301,2,2,15,12,2,0,4,2,Median,Median,Leave out requantified,Leave out requantified,3.9,2.9,23.6,20.6,3276000000,2125000000,1151000000,17913000,12877000,5036200,31192000,16961000,14231000,1666900000,1076000000,590960000,1560000000,1019200000,540810000,,,,49,2319;2728;3335;4437;4606;5357;6382;7290;13006;16086;16799;18863;22717;24568;24934;27613,True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True,2614;3084;3753;4958;5141;5955;7104;8135;14920;18339;19128;21441;25668;27727;28208;31193,6802;6803;6804;6805;6806;8017;8018;8019;9680;9681;12489;12490;12890;14712;14713;17490;17491;20116;20117;37209;37210;37211;37212;37213;45599;45600;47535;53171;53172;63757;63758;63759;69005;69006;70298;70299;70300;70301;77627;77628,13297;13298;13299;13300;13301;13302;13303;13304;13305;13306;15777;15778;18815;18816;18817;18818;24106;24107;24872;28086;28087;28088;33355;33356;33357;33358;38595;38596;70992;70993;70994;70995;70996;86605;86606;86607;86608;90320;90321;100831;121042;121043;121044;121045;121046;121047;121048;131683;131684;131685;131686;131687;131688;131689;131690;131691;131692;134259;134260;134261;134262;134263;134264;134265;148458;148459,13299;15777;18816;24107;24872;28086;33355;38596;70996;86607;90321;100831;121045;131687;134263;148459,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_50,quanti,quanti,quanti,quanti
SMTN,22.2990188151773,3.00597622294651e-07,P53814;A0A087WVP4;A0A087X1R1;C9JQZ8;C9JP19;H7C372,P53814;A0A087WVP4;A0A087X1R1,7;7;7;2;1;1,7;7;7;2;1;1,7;7;7;2;1;1,Smoothelin,sp|P53814|SMTN_HUMAN Smoothelin OS=Homo sapiens OX=9606 GN=SMTN PE=1 SV=7;tr|A0A087WVP4|A0A087WVP4_HUMAN Smoothelin OS=Homo sapiens OX=9606 GN=SMTN PE=1 SV=1;tr|A0A087X1R1|A0A087X1R1_HUMAN Smoothelin OS=Homo sapiens OX=9606 GN=SMTN PE=1 SV=1,6,7,7,7,0,0,6,6,0,0,6,6,0,0,6,6,10.0,10.0,10.0,99.058,917,917;971;1002;158;98;127,0.0,13.583,,,By MS/MS,By MS/MS,1.1517,2.3435,13.901,14,5,Leave out requantified,,,1.1935,1.0104,,,2.4304,2.0313,,,14.1,15.569,0,0,7,7,0,0,2,3,Median,Median,Leave out requantified,Leave out requantified,0.0,0.0,8.9,9.2,1240600000,604420000,636210000,0,0,0,0,0,0,556570000,260880000,295690000,684070000,343540000,340520000,,,,50,567;2040;2116;8503;12675;14392;25089,True;True;True;True;True;True;True,619;2309;2395;9537;14539;16476;28384,1575;6029;6030;6224;6225;23687;36189;36190;36191;36192;41093;41094;70738;70739,2973;11852;11853;12197;12198;45336;69016;69017;69018;69019;78265;78266;135161;135162;135163;135164,2973;11852;12197;45336;69018;78266;135163,,,,,-1;-1;-1;-1;-1;-1,protein_51,quanti,quanti,imputed MEC,imputed MEC
