Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity WDR53-N1,Intensity WDR53-N2,Intensity IP-BirA-alone-N1,Intensity IP-BirA-alone-N2
Q8NI27;A0A0C4DG98;H0Y815;F2Z2V2,Q8NI27;A0A0C4DG98,25;23;8;2,25;23;8;2,25;23;8;2,THO complex subunit 2,THOC2,sp|Q8NI27|THOC2_HUMAN THO complex subunit 2 OS=Homo sapiens OX=9606 GN=THOC2 PE=1 SV=2;tr|A0A0C4DG98|A0A0C4DG98_HUMAN THO complex subunit 2 OS=Homo sapiens OX=9606 GN=THOC2 PE=1 SV=1,25,25,19.8,4.09271599355779,3.98362812786341,29.3112718311251,29.1291784477036
Q9Y2W1;A0A3B3ITZ9,Q9Y2W1;A0A3B3ITZ9,22;22,22;22,21;21,Thyroid hormone receptor-associated protein 3,THRAP3,sp|Q9Y2W1|TR150_HUMAN Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=2;tr|A0A3B3ITZ9|A0A3B3ITZ9_HUMAN Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=1,22,21,23.8,22.7754720381508,21.2869999397178,30.2718637797547,30.2515793113362
Q9BV44;H7C0R6;H7C3J3,Q9BV44;H7C0R6,6;3;2,6;3;2,6;3;2,THUMP domain-containing protein 3,THUMPD3,sp|Q9BV44|THUM3_HUMAN THUMP domain-containing protein 3 OS=Homo sapiens OX=9606 GN=THUMPD3 PE=1 SV=1;tr|H7C0R6|H7C0R6_HUMAN THUMP domain-containing protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=THUMPD3 PE=1 SV=1,6,6,13.6,4.09271599355779,3.98362812786341,25.6318695601186,23.8101958316689
Q9NQ88;A0A0U1RQD1,Q9NQ88;A0A0U1RQD1,2;1,2;1,2;1,"Fructose-2,6-bisphosphatase TIGAR",TIGAR,"sp|Q9NQ88|TIGAR_HUMAN Fructose-2,6-bisphosphatase TIGAR OS=Homo sapiens OX=9606 GN=TIGAR PE=1 SV=1;tr|A0A0U1RQD1|A0A0U1RQD1_HUMAN Chromosome 12 open reading frame 5, isoform CRA_b OS=Homo sapiens OX=9606 GN=TIGAR PE=1 SV=1",2,2,12.6,22.8061491639137,21.1489172077161,24.8019826109719,23.8468748532236
O75663,O75663,15,15,15,TIP41-like protein,TIPRL,sp|O75663|TIPRL_HUMAN TIP41-like protein OS=Homo sapiens OX=9606 GN=TIPRL PE=1 SV=2,15,15,67.6,25.6164433981292,22.6201992959371,30.8956927999751,30.8118408399041
Q07157;G3V1L9;H0YKB1;H0Y3R8;H0YLT6,Q07157;G3V1L9,61;61;9;7;3,61;61;9;7;3,3;3;0;0;0,Tight junction protein ZO-1,TJP1,"sp|Q07157|ZO1_HUMAN Tight junction protein ZO-1 OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=3;tr|G3V1L9|G3V1L9_HUMAN Tight junction protein 1 (Zona occludens 1), isoform CRA_a OS=Homo sapiens OX=9606 GN=TJP1 PE=1 SV=1",61,3,47.5,22.8221903593398,21.109921696179,31.0937710512923,30.709152666432
P04183;K7ES52;K7ERJ1;K7ERV3;K7ENW5,P04183;K7ES52;K7ERJ1;K7ERV3;K7ENW5,2;2;2;2;1,2;2;2;2;1,2;2;2;2;1,"Thymidine kinase, cytosolic;Thymidine kinase",TK1,"sp|P04183|KITH_HUMAN Thymidine kinase, cytosolic OS=Homo sapiens OX=9606 GN=TK1 PE=1 SV=2;tr|K7ES52|K7ES52_HUMAN Thymidine kinase OS=Homo sapiens OX=9606 GN=TK1 PE=1 SV=1;tr|K7ERJ1|K7ERJ1_HUMAN Thymidine kinase (Fragment) OS=Homo sapiens OX=9606 GN=TK1 PE=",2,2,13.7,4.09271599355779,3.98362812786341,24.2358605618576,24.8038556010386
P29401;A0A0B4J1R6;E9PFF2,P29401;A0A0B4J1R6;E9PFF2,2;2;1,2;2;1,2;2;1,Transketolase,TKT,sp|P29401|TKT_HUMAN Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3;tr|A0A0B4J1R6|A0A0B4J1R6_HUMAN Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=1;tr|E9PFF2|E9PFF2_HUMAN Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=1,2,2,5.0,4.09271599355779,3.98362812786341,24.5087391855288,23.7607077668793
H0YNT2;K7EK93;K7EQH5;Q04726;Q04724;K7EJR7;H0YNI7;F5H7D6;A0A0D9SES8;H0YKT5;H0YKN8;H0YL70,H0YNT2;K7EK93;K7EQH5,3;2;2;1;1;1;1;1;1;1;1;1,2;2;2;0;0;0;0;0;0;0;0;0,2;2;2;0;0;0;0;0;0;0;0;0,,TLE3;TLE2;AES,"tr|H0YNT2|H0YNT2_HUMAN Transducin-like enhancer protein 3 OS=Homo sapiens OX=9606 GN=TLE3 PE=1 SV=1;tr|K7EK93|K7EK93_HUMAN Transducin-like enhancer protein 2 OS=Homo sapiens OX=9606 GN=TLE2 PE=1 SV=1;tr|K7EQH5|K7EQH5_HUMAN Amino-terminal enhancer of split,",3,2,4.5,27.3067856118867,23.7372737541627,24.7600986064026,24.0780773622765
Q04727;Q04725;Q5JSZ1;E7EQH3;K7EMK7;F8WAY5;A0A0A0MT79;Q5JSZ2;K7EPF3;K7ESD8;Q5JSY8;Q5JSY7,Q04727;Q04725;Q5JSZ1;E7EQH3;K7EMK7,3;2;2;2;2;1;1;1;1;1;1;1,3;2;2;2;2;1;1;1;1;1;1;1,2;1;2;2;1;1;1;1;1;1;1;1,Transducin-like enhancer protein 4;Transducin-like enhancer protein 2,TLE4;TLE2,sp|Q04727|TLE4_HUMAN Transducin-like enhancer protein 4 OS=Homo sapiens OX=9606 GN=TLE4 PE=1 SV=3;sp|Q04725|TLE2_HUMAN Transducin-like enhancer protein 2 OS=Homo sapiens OX=9606 GN=TLE2 PE=1 SV=2;tr|Q5JSZ1|Q5JSZ1_HUMAN Transducin-like enhancer protein 4 (F,3,2,6.9,24.5349278612071,22.1968372735139,23.7491918268356,23.672927686643
Q86UE8;J3KRK0;J3QLK5;J3QR10;J3QS73;J3KST4;J3QS44,Q86UE8;J3KRK0;J3QLK5,3;2;2;1;1;1;1,3;2;2;1;1;1;1,2;2;1;1;1;1;1,Serine/threonine-protein kinase tousled-like 2,TLK2,sp|Q86UE8|TLK2_HUMAN Serine/threonine-protein kinase tousled-like 2 OS=Homo sapiens OX=9606 GN=TLK2 PE=1 SV=2;tr|J3KRK0|J3KRK0_HUMAN Serine/threonine-protein kinase tousled-like 2 (Fragment) OS=Homo sapiens OX=9606 GN=TLK2 PE=1 SV=1;tr|J3QLK5|J3QLK5_HUMAN,3,2,7.3,4.09271599355779,3.98362812786341,24.8114213418774,23.7961014144723
Q9Y490,Q9Y490,118,118,107,Talin-1,TLN1,sp|Q9Y490|TLN1_HUMAN Talin-1 OS=Homo sapiens OX=9606 GN=TLN1 PE=1 SV=3,118,107,59.1,28.6436828208462,24.9912266841945,33.805301038223,33.7011998267084
Q9Y4G6;A0A1B0GVU7;H0YMT1,Q9Y4G6;A0A1B0GVU7,17;9;8,6;4;3,6;4;3,Talin-2,TLN2,sp|Q9Y4G6|TLN2_HUMAN Talin-2 OS=Homo sapiens OX=9606 GN=TLN2 PE=1 SV=4;tr|A0A1B0GVU7|A0A1B0GVU7_HUMAN Talin-2 OS=Homo sapiens OX=9606 GN=TLN2 PE=1 SV=1,17,6,7.0,4.09271599355779,3.98362812786341,25.5937740689778,25.150194766912
Q8N511;J3KRW7;J3KS81,Q8N511;J3KRW7;J3KS81,2;2;2,2;2;2,2;2;2,Transmembrane protein 199,TMEM199,sp|Q8N511|TM199_HUMAN Transmembrane protein 199 OS=Homo sapiens OX=9606 GN=TMEM199 PE=1 SV=1;tr|J3KRW7|J3KRW7_HUMAN Transmembrane protein 199 OS=Homo sapiens OX=9606 GN=TMEM199 PE=1 SV=1;tr|J3KS81|J3KS81_HUMAN Transmembrane protein 199 OS=Homo sapiens OX=9,2,2,11.5,4.09271599355779,3.98362812786341,24.6909374885751,25.1353570226328
P57088;D6RAA6;H0Y8N0,P57088;D6RAA6;H0Y8N0,2;2;1,2;2;1,2;2;1,Transmembrane protein 33,TMEM33,sp|P57088|TMM33_HUMAN Transmembrane protein 33 OS=Homo sapiens OX=9606 GN=TMEM33 PE=1 SV=2;tr|D6RAA6|D6RAA6_HUMAN Transmembrane protein 33 (Fragment) OS=Homo sapiens OX=9606 GN=TMEM33 PE=1 SV=1;tr|H0Y8N0|H0Y8N0_HUMAN Transmembrane protein 33 (Fragment) OS=,2,2,8.9,22.4907177170614,21.1182384848026,24.548043898107,23.6442743909627
Q8N5G2;A0A3B3ITD2,Q8N5G2;A0A3B3ITD2,2;1,2;1,2;1,Macoilin,TMEM57,sp|Q8N5G2|MACOI_HUMAN Macoilin OS=Homo sapiens OX=9606 GN=MACO1 PE=1 SV=1;tr|A0A3B3ITD2|A0A3B3ITD2_HUMAN Macoilin OS=Homo sapiens OX=9606 GN=MACO1 PE=1 SV=1,2,2,5.3,4.09271599355779,3.98362812786341,26.8466113606962,23.0618899529314
Q8NBN3,Q8NBN3,2,2,2,Transmembrane protein 87A,TMEM87A,sp|Q8NBN3|TM87A_HUMAN Transmembrane protein 87A OS=Homo sapiens OX=9606 GN=TMEM87A PE=1 SV=3,2,2,5.6,4.09271599355779,3.98362812786341,25.1581926950658,24.829244642384
Q9NYL9;H0YKU1;H0YNJ8;P28289,Q9NYL9;H0YKU1;H0YNJ8,11;6;6;1,11;6;6;1,11;6;6;1,Tropomodulin-3,TMOD3,sp|Q9NYL9|TMOD3_HUMAN Tropomodulin-3 OS=Homo sapiens OX=9606 GN=TMOD3 PE=1 SV=1;tr|H0YKU1|H0YKU1_HUMAN Tropomodulin-3 (Fragment) OS=Homo sapiens OX=9606 GN=TMOD3 PE=1 SV=1;tr|H0YNJ8|H0YNJ8_HUMAN Tropomodulin-3 OS=Homo sapiens OX=9606 GN=TMOD3 PE=1 SV=1,11,11,39.8,4.09271599355779,3.98362812786341,27.4390460988411,27.685253324406
P42166,P42166,19,9,9,"Lamina-associated polypeptide 2, isoform alpha;Thymopoietin;Thymopentin",TMPO,"sp|P42166|LAP2A_HUMAN Lamina-associated polypeptide 2, isoform alpha OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2",19,9,37.0,4.09271599355779,3.98362812786341,27.0195617156865,26.386451815155
P42167;G5E972;H0YJH7,P42167;G5E972,20;17;9,20;17;9,10;7;6,"Lamina-associated polypeptide 2, isoforms beta/gamma;Thymopoietin;Thymopentin",TMPO,"sp|P42167|LAP2B_HUMAN Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2;tr|G5E972|G5E972_HUMAN Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=1",20,10,58.1,22.1225310250156,21.6132448130546,30.9027528417289,30.7937409663458
P62328,P62328,4,4,4,Thymosin beta-4;Hematopoietic system regulatory peptide,TMSB4X,sp|P62328|TYB4_HUMAN Thymosin beta-4 OS=Homo sapiens OX=9606 GN=TMSB4X PE=1 SV=2,4,4,63.6,4.09271599355779,3.98362812786341,27.5315557753185,27.9921564299198
Q15025;A0A0A0MRZ4;E7EMV7;E7EW15;H0YC17;E7EWG2;E7EW68,Q15025;A0A0A0MRZ4;E7EMV7,11;11;10;5;4;1;1,11;11;10;5;4;1;1,11;11;10;5;4;1;1,TNFAIP3-interacting protein 1,TNIP1,sp|Q15025|TNIP1_HUMAN TNFAIP3-interacting protein 1 OS=Homo sapiens OX=9606 GN=TNIP1 PE=1 SV=2;tr|A0A0A0MRZ4|A0A0A0MRZ4_HUMAN TNFAIP3-interacting protein 1 OS=Homo sapiens OX=9606 GN=TNIP1 PE=1 SV=1;tr|E7EMV7|E7EMV7_HUMAN TNFAIP3-interacting protein 1 OS=H,11,11,20.0,4.09271599355779,3.98362812786341,27.4850058750786,27.2249942351174
Q9C0C2;E9PKK0;E9PKE7,Q9C0C2,38;5;4,38;5;4,29;5;4,182 kDa tankyrase-1-binding protein,TNKS1BP1,sp|Q9C0C2|TB182_HUMAN 182 kDa tankyrase-1-binding protein OS=Homo sapiens OX=9606 GN=TNKS1BP1 PE=1 SV=4,38,29,33.8,22.0881917016801,21.1243831083111,29.9105649654131,29.4945741223866
Q9UPQ9,Q9UPQ9,22,22,2,Trinucleotide repeat-containing gene 6B protein,TNRC6B,sp|Q9UPQ9|TNR6B_HUMAN Trinucleotide repeat-containing gene 6B protein OS=Homo sapiens OX=9606 GN=TNRC6B PE=1 SV=4,22,2,18.7,4.09271599355779,3.98362812786341,28.5205080229794,28.7224057563221
A0A2R8Y4T1;Q9HBL0;A0A087WWW7;E9PGF5;E9PF55;A0A494C067;E7ERH1,A0A2R8Y4T1;Q9HBL0;A0A087WWW7;E9PGF5;E9PF55;A0A494C067,3;2;2;2;2;2;1,2;1;1;1;1;1;1,2;1;1;1;1;1;1,Tensin-1,TNS1,tr|A0A2R8Y4T1|A0A2R8Y4T1_HUMAN Tensin-1 OS=Homo sapiens OX=9606 GN=TNS1 PE=1 SV=1;sp|Q9HBL0|TENS1_HUMAN Tensin-1 OS=Homo sapiens OX=9606 GN=TNS1 PE=1 SV=2;tr|A0A087WWW7|A0A087WWW7_HUMAN Tensin-1 OS=Homo sapiens OX=9606 GN=TNS1 PE=1 SV=1;tr|E9PGF5|E9PGF5_HU,3,2,2.7,4.09271599355779,3.98362812786341,23.6899783561026,23.1156583963803
Q68CZ2;E9PCX8;C9JHU5;C9JWN9;C9JTD0;H0Y4U1;F8VV64,Q68CZ2;E9PCX8,15;10;6;2;2;1;1,15;10;6;2;2;1;1,14;10;6;2;2;0;0,Tensin-3,TNS3,sp|Q68CZ2|TENS3_HUMAN Tensin-3 OS=Homo sapiens OX=9606 GN=TNS3 PE=1 SV=2;tr|E9PCX8|E9PCX8_HUMAN Tensin-3 (Fragment) OS=Homo sapiens OX=9606 GN=TNS3 PE=1 SV=8,15,14,16.7,21.1435152516954,20.7313361503336,27.4375388704975,27.4816996734686
O60784;B0QY01;V9GYF4;B0QY02;V9GZ68;Q6UW50,O60784;B0QY01,6;3;2;2;1;1,6;3;2;2;1;1,6;3;2;2;1;1,Target of Myb protein 1,TOM1,sp|O60784|TOM1_HUMAN Target of Myb protein 1 OS=Homo sapiens OX=9606 GN=TOM1 PE=1 SV=2;tr|B0QY01|B0QY01_HUMAN Target of Myb protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=TOM1 PE=1 SV=8,6,6,16.5,4.09271599355779,3.98362812786341,25.9791069580875,25.6855206882023
Q15785,Q15785,2,2,2,Mitochondrial import receptor subunit TOM34,TOMM34,sp|Q15785|TOM34_HUMAN Mitochondrial import receptor subunit TOM34 OS=Homo sapiens OX=9606 GN=TOMM34 PE=1 SV=2,2,2,10.0,4.09271599355779,3.98362812786341,23.6839960504341,23.9256051442428
Q5JTV8;A0A0A0MSK5;J3KN66;H0YDU3;H0Y4R4;H0YD16,Q5JTV8;A0A0A0MSK5;J3KN66,8;8;7;3;3;2,8;8;7;3;3;2,8;8;7;3;3;2,Torsin-1A-interacting protein 1,TOR1AIP1,sp|Q5JTV8|TOIP1_HUMAN Torsin-1A-interacting protein 1 OS=Homo sapiens OX=9606 GN=TOR1AIP1 PE=1 SV=2;tr|A0A0A0MSK5|A0A0A0MSK5_HUMAN Torsin-1A-interacting protein 1 OS=Homo sapiens OX=9606 GN=TOR1AIP1 PE=1 SV=1;tr|J3KN66|J3KN66_HUMAN Torsin-1A-interacting pr,8,8,17.0,4.09271599355779,3.98362812786341,26.1338099594372,26.3709257477984
O94842;A0A669KB71;O15405;O94900;Q96NM4;C9J919;C9JNL1,O94842;A0A669KB71,14;9;4;3;3;1;1,14;9;4;3;3;1;1,14;9;4;3;3;1;1,TOX high mobility group box family member 4,TOX4,sp|O94842|TOX4_HUMAN TOX high mobility group box family member 4 OS=Homo sapiens OX=9606 GN=TOX4 PE=1 SV=1;tr|A0A669KB71|A0A669KB71_HUMAN TOX high mobility group box family member 4 OS=Homo sapiens OX=9606 GN=TOX4 PE=4 SV=1,14,14,32.4,23.3726536060852,22.1485510585929,30.8885980388881,31.0334129608665
Q12888;A6NNK5;C9JXV0;H7BZY0;H7C3N7;M0R142;H7C151,Q12888;A6NNK5;C9JXV0,49;48;26;7;6;2;1,49;48;26;7;6;2;1,49;48;26;7;6;2;1,Tumor suppressor p53-binding protein 1,TP53BP1,sp|Q12888|TP53B_HUMAN TP53-binding protein 1 OS=Homo sapiens OX=9606 GN=TP53BP1 PE=1 SV=2;tr|A6NNK5|A6NNK5_HUMAN TP53-binding protein 1 OS=Homo sapiens OX=9606 GN=TP53BP1 PE=1 SV=2;tr|C9JXV0|C9JXV0_HUMAN TP53-binding protein 1 (Fragment) OS=Homo sapiens OX,49,49,39.0,4.09271599355779,3.98362812786341,30.8703395305199,30.6848689021213
Q13625;H7C5L8;Q96KQ4;A0A3B3ISJ2,Q13625,17;2;1;1,17;2;1;1,17;2;1;1,Apoptosis-stimulating of p53 protein 2,TP53BP2,sp|Q13625|ASPP2_HUMAN Apoptosis-stimulating of p53 protein 2 OS=Homo sapiens OX=9606 GN=TP53BP2 PE=1 SV=2,17,17,22.0,4.09271599355779,3.98362812786341,28.2996821102996,28.3209632936482
P55327;H0YC42;E5RFR7;H0YC44;E5RK35,P55327;H0YC42;E5RFR7;H0YC44,8;7;4;4;1,8;7;4;4;1,8;7;4;4;1,Tumor protein D52,TPD52,sp|P55327|TPD52_HUMAN Tumor protein D52 OS=Homo sapiens OX=9606 GN=TPD52 PE=1 SV=2;tr|H0YC42|H0YC42_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=1 SV=2;tr|E5RFR7|E5RFR7_HUMAN Tumor protein D52 OS=Homo sapiens OX=9606 GN=TPD52 PE=1 SV=1;tr|H0YC4,8,8,51.8,4.09271599355779,3.98362812786341,28.7629074855566,28.595553548495
O43399;A0A087WYR3;A0A087WZ51,O43399;A0A087WYR3;A0A087WZ51,6;6;4,6;6;4,6;6;4,Tumor protein D54,TPD52L2,sp|O43399|TPD54_HUMAN Tumor protein D54 OS=Homo sapiens OX=9606 GN=TPD52L2 PE=1 SV=2;tr|A0A087WYR3|A0A087WYR3_HUMAN Tumor protein D54 OS=Homo sapiens OX=9606 GN=TPD52L2 PE=1 SV=1;tr|A0A087WZ51|A0A087WZ51_HUMAN Tumor protein D54 OS=Homo sapiens OX=9606 GN=T,6,6,41.7,4.09271599355779,3.98362812786341,28.9185482785008,28.3663635728747
A0A087WWU8;D6R904;A0A494C0G0;Q5VU61,A0A087WWU8;D6R904,11;8;5;3,11;8;5;3,6;6;3;3,,TPM3,tr|A0A087WWU8|A0A087WWU8_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1;tr|D6R904|D6R904_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1,11,6,43.2,25.0098795193313,21.8839380946407,26.7249442805889,26.6324243894845
P12270;Q5SWX9,P12270,63;4,63;4,63;4,Nucleoprotein TPR,TPR,sp|P12270|TPR_HUMAN Nucleoprotein TPR OS=Homo sapiens OX=9606 GN=TPR PE=1 SV=3,63,63,31.4,27.2384505155969,23.8441226345573,30.6166677413308,30.2936219661772
Q9ULW0,Q9ULW0,28,28,28,Targeting protein for Xklp2,TPX2,sp|Q9ULW0|TPX2_HUMAN Targeting protein for Xklp2 OS=Homo sapiens OX=9606 GN=TPX2 PE=1 SV=2,28,28,39.8,4.09271599355779,3.98362812786341,30.0834730376669,29.8985065486026
Q14258;A0A3B3IUA7,Q14258;A0A3B3IUA7,23;16,23;16,23;16,E3 ubiquitin/ISG15 ligase TRIM25,TRIM25,sp|Q14258|TRI25_HUMAN E3 ubiquitin/ISG15 ligase TRIM25 OS=Homo sapiens OX=9606 GN=TRIM25 PE=1 SV=2;tr|A0A3B3IUA7|A0A3B3IUA7_HUMAN E3 ubiquitin/ISG15 ligase TRIM25 OS=Homo sapiens OX=9606 GN=TRIM25 PE=1 SV=1,23,23,44.6,23.3812619923601,21.7759590426609,29.4827577133618,29.4540127879225
Q13263;M0R0K9;M0R3C0;M0R2I3,Q13263;M0R0K9,21;11;3;2,21;11;3;2,21;11;3;2,Transcription intermediary factor 1-beta,TRIM28,sp|Q13263|TIF1B_HUMAN Transcription intermediary factor 1-beta OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=5;tr|M0R0K9|M0R0K9_HUMAN Transcription intermediary factor 1-beta (Fragment) OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=1,21,21,37.0,22.4707273804322,21.1011157038846,30.3928433645012,30.0460917667238
Q9UPN9;H0Y612,Q9UPN9;H0Y612,9;9,9;9,9;9,E3 ubiquitin-protein ligase TRIM33,TRIM33,sp|Q9UPN9|TRI33_HUMAN E3 ubiquitin-protein ligase TRIM33 OS=Homo sapiens OX=9606 GN=TRIM33 PE=1 SV=3;tr|H0Y612|H0Y612_HUMAN E3 ubiquitin-protein ligase TRIM33 (Fragment) OS=Homo sapiens OX=9606 GN=TRIM33 PE=1 SV=1,9,9,9.3,4.09271599355779,3.98362812786341,26.7270238413683,26.5695699802371
Q9BRZ2;C9JI91,Q9BRZ2,10;4,10;4,10;4,E3 ubiquitin-protein ligase TRIM56,TRIM56,sp|Q9BRZ2|TRI56_HUMAN E3 ubiquitin-protein ligase TRIM56 OS=Homo sapiens OX=9606 GN=TRIM56 PE=1 SV=3,10,10,19.1,4.09271599355779,3.98362812786341,26.4874767300643,25.2708128693809
O75962;E7EWP2;E7EPJ7;F5H228;A0A087X139;A0A1W2PRD7,O75962;E7EWP2;E7EPJ7;F5H228,28;25;22;18;3;3,28;25;22;18;3;3,25;22;20;15;3;3,Triple functional domain protein,TRIO,sp|O75962|TRIO_HUMAN Triple functional domain protein OS=Homo sapiens OX=9606 GN=TRIO PE=1 SV=2;tr|E7EWP2|E7EWP2_HUMAN Triple functional domain protein OS=Homo sapiens OX=9606 GN=TRIO PE=1 SV=2;tr|E7EPJ7|E7EPJ7_HUMAN Triple functional domain protein (Fragm,28,25,12.5,21.3685831913092,20.927809111628,28.3720225131472,27.9324699720657
Q15654;H7BZE2,Q15654,6;2,6;2,6;2,Thyroid receptor-interacting protein 6,TRIP6,sp|Q15654|TRIP6_HUMAN Thyroid receptor-interacting protein 6 OS=Homo sapiens OX=9606 GN=TRIP6 PE=1 SV=3,6,6,24.2,23.1890620172003,21.6952286729521,27.9721322804829,25.1861248212337
Q32P41;G3V494;G3V5X1,Q32P41,14;1;1,14;1;1,14;1;1,tRNA (guanine(37)-N1)-methyltransferase,TRMT5,sp|Q32P41|TRM5_HUMAN tRNA (guanine(37)-N1)-methyltransferase OS=Homo sapiens OX=9606 GN=TRMT5 PE=1 SV=2,14,14,40.1,4.09271599355779,3.98362812786341,27.8826784015658,27.8219544593472
Q9UJA5,Q9UJA5,5,5,5,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6,TRMT6,sp|Q9UJA5|TRM6_HUMAN tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6 OS=Homo sapiens OX=9606 GN=TRMT6 PE=1 SV=1,5,5,15.1,4.09271599355779,3.98362812786341,25.1280182428117,25.2568470368809
Q92574;A0A2R8Y5S3;A0A2R8Y5N2;A0A2R8YFV7;A0A2R8Y6S1;Q86WV8;A0A2R8Y7E9;A0A2R8Y6W1;Q59IT9;A0A2R8Y6S8;A0A2R8Y5J1;A0A2R8Y5Q4;A0A2R8Y6N1;A0A2R8YGL0;A0A2R8Y5F8;A0A2R8YD74;A0A2R8YGX7;A0A2R8YEH9;A0A2R8Y5U8;A0A2R8Y756,Q92574;A0A2R8Y5S3;A0A2R8Y5N2;A0A2R8YFV7;A0A2R8Y6S1,10;10;10;10;6;4;4;4;4;3;3;3;3;3;3;2;2;2;1;1,10;10;10;10;6;4;4;4;4;3;3;3;3;3;3;2;2;2;1;1,10;10;10;10;6;4;4;4;4;3;3;3;3;3;3;2;2;2;1;1,Hamartin,TSC1,sp|Q92574|TSC1_HUMAN Hamartin OS=Homo sapiens OX=9606 GN=TSC1 PE=1 SV=2;tr|A0A2R8Y5S3|A0A2R8Y5S3_HUMAN Hamartin OS=Homo sapiens OX=9606 GN=TSC1 PE=1 SV=1;tr|A0A2R8Y5N2|A0A2R8Y5N2_HUMAN Hamartin OS=Homo sapiens OX=9606 GN=TSC1 PE=1 SV=1;tr|A0A2R8YFV7|A0A2R8,10,10,14.3,21.9578728936761,21.4403669996584,26.6993557674185,26.6204482807974
Q9Y3Q8;O75157;Q15714;Q99576;Q5JRJ0;E7EWD5;H0Y865;H7BZ77,Q9Y3Q8,3;1;1;1;1;1;1;1,3;1;1;1;1;1;1;1,3;1;1;1;1;1;1;1,TSC22 domain family protein 4,TSC22D4,sp|Q9Y3Q8|T22D4_HUMAN TSC22 domain family protein 4 OS=Homo sapiens OX=9606 GN=TSC22D4 PE=1 SV=2,3,3,9.6,4.09271599355779,3.98362812786341,25.4319563615961,25.6882449724495
Q2NL82;I3L1Q5,Q2NL82,4;1,4;1,4;1,Pre-rRNA-processing protein TSR1 homolog,TSR1,sp|Q2NL82|TSR1_HUMAN Pre-rRNA-processing protein TSR1 homolog OS=Homo sapiens OX=9606 GN=TSR1 PE=1 SV=1,4,4,6.1,4.09271599355779,3.98362812786341,25.2722020456279,25.6944222930271
Q99614;H0YB37,Q99614;H0YB37,4;3,4;3,4;3,Tetratricopeptide repeat protein 1,TTC1,sp|Q99614|TTC1_HUMAN Tetratricopeptide repeat protein 1 OS=Homo sapiens OX=9606 GN=TTC1 PE=1 SV=1;tr|H0YB37|H0YB37_HUMAN Tetratricopeptide repeat protein 1 (Fragment) OS=Homo sapiens OX=9606 GN=TTC1 PE=1 SV=1,4,4,16.4,23.2651354204584,21.7636129002281,26.7555726202573,26.6221253458405
Q96AY4;A0A087WW06,Q96AY4;A0A087WW06,5;5,5;5,5;5,Tetratricopeptide repeat protein 28,TTC28,sp|Q96AY4|TTC28_HUMAN Tetratricopeptide repeat protein 28 OS=Homo sapiens OX=9606 GN=TTC28 PE=1 SV=4;tr|A0A087WW06|A0A087WW06_HUMAN Tetratricopeptide repeat protein 28 OS=Homo sapiens OX=9606 GN=TTC28 PE=1 SV=1,5,5,2.5,4.09271599355779,3.98362812786341,24.8334008751097,24.0371106197326
O95801,O95801,3,3,3,Tetratricopeptide repeat protein 4,TTC4,sp|O95801|TTC4_HUMAN Tetratricopeptide repeat protein 4 OS=Homo sapiens OX=9606 GN=TTC4 PE=1 SV=3,3,3,8.5,22.2917080657416,20.6548213038252,23.4309680286565,22.6676971576115
Q8N5M4;E9PKV8;H0YDR3;E7EST3,Q8N5M4;E9PKV8;H0YDR3;E7EST3,2;2;1;1,2;2;1;1,2;2;1;1,Tetratricopeptide repeat protein 9C,TTC9C,sp|Q8N5M4|TTC9C_HUMAN Tetratricopeptide repeat protein 9C OS=Homo sapiens OX=9606 GN=TTC9C PE=1 SV=1;tr|E9PKV8|E9PKV8_HUMAN Tetratricopeptide repeat protein 9C (Fragment) OS=Homo sapiens OX=9606 GN=TTC9C PE=1 SV=1;tr|H0YDR3|H0YDR3_HUMAN Tetratricopeptide r,2,2,17.0,4.09271599355779,3.98362812786341,25.7247101423087,25.7584729198685
