Gene_names,NUP43_vs_BirA_logFC,NUP43_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_N1,Peptides_BirA_alone_N2,Peptides_NUP43_N1,Peptides_NUP43_N2,Razor___unique_peptides_BirA_alone_N1,Razor___unique_peptides_BirA_alone_N2,Razor___unique_peptides_NUP43_N1,Razor___unique_peptides_NUP43_N2,Unique_peptides_BirA_alone_N1,Unique_peptides_BirA_alone_N2,Unique_peptides_NUP43_N1,Unique_peptides_NUP43_N2,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_N1,Identification_type_BirA_alone_N2,Identification_type_NUP43_N1,Identification_type_NUP43_N2,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_N1,Ratio_H_L_BirA_alone_N2,Ratio_H_L_NUP43_N1,Ratio_H_L_NUP43_N2,Ratio_H_L_normalized_BirA_alone_N1,Ratio_H_L_normalized_BirA_alone_N2,Ratio_H_L_normalized_NUP43_N1,Ratio_H_L_normalized_NUP43_N2,Ratio_H_L_variability_____BirA_alone_N1,Ratio_H_L_variability_____BirA_alone_N2,Ratio_H_L_variability_____NUP43_N1,Ratio_H_L_variability_____NUP43_N2,Ratio_H_L_count_BirA_alone_N1,Ratio_H_L_count_BirA_alone_N2,Ratio_H_L_count_NUP43_N1,Ratio_H_L_count_NUP43_N2,Ratio_H_L_iso_count_BirA_alone_N1,Ratio_H_L_iso_count_BirA_alone_N2,Ratio_H_L_iso_count_NUP43_N1,Ratio_H_L_iso_count_NUP43_N2,Ratio_H_L_type_BirA_alone_N1,Ratio_H_L_type_BirA_alone_N2,Ratio_H_L_type_NUP43_N1,Ratio_H_L_type_NUP43_N2,Sequence_coverage_BirA_alone_N1____,Sequence_coverage_BirA_alone_N2____,Sequence_coverage_NUP43_N1____,Sequence_coverage_NUP43_N2____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_N1,Intensity_L_BirA_alone_N1,Intensity_H_BirA_alone_N1,Intensity_BirA_alone_N2,Intensity_L_BirA_alone_N2,Intensity_H_BirA_alone_N2,Intensity_NUP43_N1,Intensity_L_NUP43_N1,Intensity_H_NUP43_N1,Intensity_NUP43_N2,Intensity_L_NUP43_N2,Intensity_H_NUP43_N2,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_NUP43_N1,metacell_Intensity_L_NUP43_N2,metacell_Intensity_L_BirA_alone_N1,metacell_Intensity_L_BirA_alone_N2
PABPC1,1.92566982810156,0.00107930883411518,P11940;A0A087WTT1;E7EQV3;E7ERJ7;H0YAR2;Q9H361;H0YBN4;E5RGH3;E5RJB9;H0YB86;E5RH24;H0YAP2;H0YEQ8;Q4VXU2;H0YAS6;H0YB75;E5RHG7;H0YAS7;H0YC10;E5RGC4;E5RFD8;Q96DU9,P11940;A0A087WTT1;E7EQV3;E7ERJ7;H0YAR2,31;31;30;29;18;15;11;9;9;8;8;7;6;4;3;3;3;2;2;1;1;1,31;31;30;29;18;15;11;9;9;8;8;7;6;4;3;3;3;2;2;1;1;1,16;16;16;15;11;9;2;2;1;5;1;7;0;2;3;3;0;2;2;0;0;1,Polyadenylate-binding protein 1;Polyadenylate-binding protein,sp|P11940|PABP1_HUMAN Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2;tr|A0A087WTT1|A0A087WTT1_HUMAN Polyadenylate-binding protein OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=1;tr|E7EQV3|E7EQV3_HUMAN Polyadenylate-binding protein ,22,31,31,16,14,10,26,26,14,10,26,26,7,3,13,14,43.1,43.1,25.3,70.67,636,636;522;591;604;284;631;174;108;129;165;118;131;112;614;169;183;75;136;42;43;61;382,0.0,116.05,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.27105,0.77958,36.226,95,36,Leave out requantified,0.28599,0.30003,0.25542,0.25155,1.0101,0.83688,0.75969,0.75061,27.65,10.223,58.517,43.588,14,11,40,30,6,2,17,11,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,21.7,16.0,39.0,38.8,12927000000,9767800000,3159300000,698640000,513790000,184850000,646390000,482670000,163720000,4813200000,3554100000,1259100000,6768900000,5217300000,1551600000,,,,20,1098;1225;1555;2350;3507;3509;4947;5439;5446;5447;6649;8102;8103;8584;8620;8621;8926;10129;13107;13108;13567;13791;14458;15238;15757;15952;15953;15985;16081;16082;21140,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1251;1252;1406;1407;1798;2702;4028;4030;5659;5660;6243;6252;6253;6254;7701;9434;9435;9969;10008;10009;10010;10011;10371;11791;15167;15168;15684;15929;16679;16680;17563;18141;18378;18379;18416;18522;18523;24232,3225;3226;3227;3228;3229;3626;3627;3628;3629;3630;3631;4680;4681;4682;7109;7110;7111;10280;10281;10282;10287;10288;14171;14172;14173;14174;14175;15593;15594;15618;15619;15620;15621;19284;19285;23783;23784;23785;23786;23787;23788;25116;25117;25221;25222;25223;25224;25225;25226;25227;25228;25229;25230;25231;25232;25233;26087;26088;26089;29673;29674;38041;38042;38043;39359;39360;39361;39986;39987;39988;41837;41838;41839;41840;41841;43901;43902;43903;43904;45360;45361;45999;46000;46001;46002;46103;46349;46350;46351;46352;46353;46354;46355;46356;46357;60902;60903;60904,6047;6048;6049;6050;6051;6052;6053;6054;6055;6770;6771;6772;6773;6774;6775;6776;6777;6778;8884;8885;8886;8887;8888;8889;13682;13683;13684;13685;19539;19540;19541;19548;19549;26560;26561;26562;26563;26564;26565;26566;26567;26568;26569;26570;26571;26572;26573;26574;26575;26576;26577;29372;29373;29374;29375;29376;29377;29378;29379;29441;29442;29443;29444;29445;29446;29447;29448;29449;36169;36170;44903;44904;44905;44906;44907;44908;44909;44910;44911;44912;44913;47294;47295;47296;47481;47482;47483;47484;47485;47486;47487;47488;47489;47490;47491;47492;47493;47494;47495;47496;47497;47498;47499;47500;47501;47502;49131;49132;49133;55467;55468;55469;55470;55471;55472;55473;55474;55475;55476;70692;70693;70694;73145;73146;73147;73148;74344;74345;74346;74347;74348;77861;77862;77863;77864;77865;77866;77867;81251;81252;81253;81254;81255;81256;81257;83876;83877;85118;85119;85120;85121;85122;85283;85284;85285;85762;85763;85764;85765;85766;85767;85768;85769;85770;85771;85772;85773;85774;85775;85776;85777;114087;114088;114089;114090;114091;114092;114093;114094;114095;114096;114097,6052;6775;8886;13683;19539;19548;26565;29373;29445;29449;36170;44909;44911;47296;47492;47496;49132;55468;70692;70693;73148;74347;77865;81255;83877;85121;85122;85283;85772;85775;114088,6,,361,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_21,quanti,quanti,quanti,quanti
ALG13,20.7597148443925,2.74768202270555e-06,Q9NP73;A0A096LNJ4;A0A087WX43;D6RE84;A0A096LP10;A0A087WTT9;A0A1B0GVW6;A0A096LNL2,Q9NP73;A0A096LNJ4;A0A087WX43;D6RE84;A0A096LP10;A0A087WTT9;A0A1B0GVW6;A0A096LNL2,3;3;3;3;3;3;3;2,3;3;3;3;3;3;3;2,3;3;3;3;3;3;3;2,Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13,sp|Q9NP73|ALG13_HUMAN Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13 OS=Homo sapiens OX=9606 GN=ALG13 PE=1 SV=2;tr|A0A096LNJ4|A0A096LNJ4_HUMAN Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ,8,3,3,3,0,0,3,1,0,0,3,1,0,0,3,1,3.3,3.3,3.3,126.05,1137,1137;132;133;159;162;171;296;150,0.020894,0.96972,,,By MS/MS,By MS/MS,0.70903,2.069,24.149,3,0,Plateau,,,0.60902,0.63681,,,1.8548,1.8135,,,34.102,,0,0,2,1,0,0,0,0,Median,Median,Median,Median,0.0,0.0,3.3,0.6,237000000,140820000,96181000,0,0,0,0,0,0,155660000,90029000,65635000,81340000,50793000,30547000,,,,21,6462;10608;11272,True;True;True,7469;12323;13098,18690;31024;31025;32971,35043;58083;58084;61732,35043;58083;61732,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_22,quanti,quanti,imputed MEC,imputed MEC
HNRNPDL,1.61212820004873,0.00330016507012344,A0A087WU03,A0A087WU03,2,2,2,,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,40.4,40.4,40.4,6.7215,57,57,0.0013339,2.114,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.31209,0.76766,36.861,9,1,Leave out requantified,0.33858,0.32527,0.27929,0.2259,1.0106,0.70866,0.96648,0.64959,,46.15,27.501,12.851,1,2,3,3,0,0,0,1,Median,Median,Plateau,Plateau,40.4,40.4,40.4,40.4,509480000,400950000,108530000,27175000,19945000,7229600,44137000,31308000,12829000,203720000,156380000,47336000,234450000,193320000,41135000,,,,24,12669;12670,True;True,14672;14673,36828;36829;36830;36831;36832;36833;36834;36835;36836,68579;68580;68581;68582;68583;68584;68585;68586;68587;68588;68589;68590;68591;68592;68593;68594;68595;68596;68597;68598,68581;68587,,,,,-1,protein_25,quanti,quanti,quanti,quanti
MINOS1;MINOS1-NBL1,-19.9706473625725,2.57975925205356e-07,Q5TGZ0;A0A087WU07;A0A3B3IRY5;R4GMY4;R4GNA1,Q5TGZ0;A0A087WU07;A0A3B3IRY5;R4GMY4;R4GNA1,2;2;1;1;1,2;2;1;1;1,2;2;1;1;1,MICOS complex subunit MIC10,sp|Q5TGZ0|MIC10_HUMAN MICOS complex subunit MIC10 OS=Homo sapiens OX=9606 GN=MICOS10 PE=1 SV=1;tr|A0A087WU07|A0A087WU07_HUMAN MICOS complex subunit MIC10 OS=Homo sapiens OX=9606 GN=MICOS10 PE=1 SV=1;tr|A0A3B3IRY5|A0A3B3IRY5_HUMAN MICOS complex subunit MIC1,5,2,2,2,2,1,0,0,2,1,0,0,2,1,0,0,59.0,59.0,59.0,8.8081,78,78;62;39;70;71,0.0009574,2.6978,By MS/MS,By MS/MS,,,0.43947,1.1147,6.7279,2,1,Median,0.4253,0.45411,,,1.0629,1.169,,,,,,,1,1,0,0,1,0,0,0,Median,Median,Median,Median,59.0,14.1,0.0,0.0,51101000,35019000,16082000,16839000,12962000,3876800,34262000,22057000,12205000,0,0,0,0,0,0,,,,25,13397;15571,True;True,15498;17931,38902;44805;44806,72295;82869;82870,72295;82870,,,,,-1;-1;-1;-1;-1,protein_26,imputed MEC,imputed MEC,quanti,quanti
CTNNBL1,0.611516053811552,0.306208959620442,Q8WYA6;A0A087WUB9;A2A2P1,Q8WYA6;A0A087WUB9,7;7;1,7;7;1,7;7;1,Beta-catenin-like protein 1,sp|Q8WYA6|CTBL1_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1;tr|A0A087WUB9|A0A087WUB9_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1,3,7,7,7,2,3,6,5,2,3,6,5,2,3,6,5,17.1,17.1,17.1,65.173,563,563;568;166,0.0,10.993,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.54688,1.3892,22.127,14,3,Leave out requantified,0.45748,0.60101,0.52669,0.51633,1.2541,1.6711,1.0886,1.2234,40.276,31.288,18.627,21.576,2,3,5,4,0,1,2,0,Median,Plateau,Leave out requantified,Leave out requantified,6.0,8.7,12.4,9.2,519450000,365070000,154380000,48875000,30647000,18228000,80151000,50739000,29412000,229820000,178110000,51719000,160600000,105580000,55021000,,,,32,4653;4987;5039;7909;11105;12648;17423,True;True;True;True;True;True;True,5327;5702;5761;9199;12919;14650;20012,13366;13367;13368;14280;14434;14435;23181;23182;32570;32571;36782;36783;50218;50219;50220;50221,25121;25122;25123;26784;27101;27102;27103;27104;43755;43756;61056;68489;68490;68491;68492;93296;93297;93298;93299;93300;93301,25123;26784;27104;43756;61056;68490;93300,,,,,-1;-1;-1,protein_33,quanti,quanti,quanti,quanti
SPCS2,1.61245885405986,0.00166354315986763,Q15005;E9PL01;A0A087WUC6;E9PI68;E9PRB9,Q15005;E9PL01;A0A087WUC6;E9PI68;E9PRB9,4;4;4;4;3,4;4;4;4;3,4;4;4;4;3,Signal peptidase complex subunit 2,sp|Q15005|SPCS2_HUMAN Signal peptidase complex subunit 2 OS=Homo sapiens OX=9606 GN=SPCS2 PE=1 SV=3;tr|E9PL01|E9PL01_HUMAN Signal peptidase complex subunit 2 OS=Homo sapiens OX=9606 GN=SPCS2 PE=1 SV=1;tr|A0A087WUC6|A0A087WUC6_HUMAN Signal peptidase complex,5,4,4,4,1,1,3,3,1,1,3,3,1,1,3,3,24.8,24.8,24.8,25.003,226,226;157;227;257;87,0.0,8.1617,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.43453,1.2382,17.263,7,0,Leave out requantified,0.39914,0.50121,0.42738,0.42373,1.1148,1.2354,1.1536,1.241,,,25.038,16.709,1,1,2,3,0,0,0,0,Median,Median,Median,Leave out requantified,8.4,8.4,20.8,20.8,392610000,269400000,123210000,21786000,15680000,6106200,27558000,17259000,10299000,131920000,88728000,43191000,211350000,147730000,63618000,,,,33,22;3156;4323;10444,True;True;True;True,22;3634;4949;12132,55;9372;9373;12434;12435;12436;12437;30539,103;17877;17878;17879;23399;23400;23401;23402;23403;23404;23405;23406;23407;23408;23409;57097,103;17878;23407;57097,,,,,-1;-1;-1;-1;-1,protein_34,quanti,quanti,quanti,quanti
SYMPK,21.4353501374406,1.32265582801228e-06,Q92797;A0A087WUE9;M0R3C7;M0R1C2;M0R180;M0QXP5,Q92797;A0A087WUE9;M0R3C7,5;5;4;1;1;1,5;5;4;1;1;1,5;5;4;1;1;1,Symplekin,sp|Q92797|SYMPK_HUMAN Symplekin OS=Homo sapiens OX=9606 GN=SYMPK PE=1 SV=2;tr|A0A087WUE9|A0A087WUE9_HUMAN Symplekin OS=Homo sapiens OX=9606 GN=SYMPK PE=1 SV=1;tr|M0R3C7|M0R3C7_HUMAN Symplekin OS=Homo sapiens OX=9606 GN=SYMPK PE=1 SV=1,6,5,5,5,0,0,2,5,0,0,2,5,0,0,2,5,6.8,6.8,6.8,141.15,1274,1274;1058;673;115;137;142,0.0,5.7461,,,By MS/MS,By MS/MS,0.33534,0.82456,18.481,8,3,Leave out requantified,,,0.35238,0.33534,,,0.84524,0.8459,,,16.043,18.823,0,0,2,6,0,0,1,2,Median,Median,Median,Leave out requantified,0.0,0.0,2.4,6.8,348340000,250810000,97531000,0,0,0,0,0,0,81599000,61691000,19907000,266740000,189120000,77624000,,,,35,4764;11770;15230;20083;20141,True;True;True;True;True,5455;13660;17555;23050;23127,13674;34306;43885;43886;57958;58178;58179;58180,25664;63949;63950;81215;81216;108633;109105;109106;109107,25664;63949;81216;108633;109106,,,,,-1;-1;-1;-1;-1;-1,protein_36,quanti,quanti,imputed MEC,imputed MEC
HNRNPDL,1.30919903805487,0.00278762442360656,O14979;A0A087WUK2,O14979;A0A087WUK2,11;11,9;9,9;9,Heterogeneous nuclear ribonucleoprotein D-like,sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3;tr|A0A087WUK2|A0A087WUK2_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,2,11,9,9,5,5,11,9,3,3,9,7,3,3,9,7,22.6,20.2,20.2,46.437,420,420;363,0.0,34.865,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.22603,0.70958,23.998,32,14,Leave out requantified,0.26747,0.35794,0.26164,0.16523,0.99733,0.99823,0.78515,0.47842,24.301,31.894,32.488,21.83,4,4,14,10,1,3,4,6,Median,Median,Leave out requantified,Leave out requantified,12.1,12.1,22.6,19.8,8344400000,6766500000,1577900000,613900000,479620000,134290000,719970000,522960000,197010000,2917400000,2310500000,606840000,4093100000,3453400000,639760000,,,,36,2693;3087;4389;5403;5444;12755;12756;14059;14989;16515;20815,True;True;True;True;False;True;True;True;True;False;True,3090;3552;3553;5016;6193;6194;6249;6250;14764;14765;16228;17286;17287;19008;19009;23867,8031;8032;9165;9166;9167;9168;9169;12603;12604;12605;12606;12607;12608;15463;15464;15607;15608;15609;15610;15611;15612;15613;15614;15615;15616;37079;37080;37081;37082;37083;40754;40755;40756;43253;43254;43255;43256;43257;43258;43259;43260;47601;47602;47603;47604;47605;47606;47607;59993,15303;15304;15305;15306;17437;17438;17439;17440;17441;17442;17443;17444;17445;17446;17447;17448;23715;23716;23717;23718;23719;23720;23721;23722;23723;23724;23725;23726;23727;23728;23729;23730;23731;29146;29147;29148;29408;29409;29410;29411;29412;29413;29414;29415;29416;29417;29418;29419;29420;29421;29422;29423;29424;29425;29426;29427;29428;29429;29430;29431;29432;29433;29434;29435;29436;29437;29438;29439;69035;69036;69037;69038;69039;69040;75846;75847;75848;75849;80211;80212;80213;80214;80215;80216;80217;80218;80219;80220;80221;80222;80223;80224;80225;80226;80227;88072;88073;88074;88075;88076;88077;88078;88079;88080;88081;88082;88083;88084;112438;112439,15303;17437;23721;29146;29413;69036;69038;75846;80220;88076;112438,,,,,-1;-1,protein_37,quanti,quanti,quanti,quanti
SLIRP,1.46641451269286,0.00321134882256249,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7;H0YJI1;H0YJ07;H0YJU7,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7,6;6;6;6;6;5;1;1;1,6;6;6;6;6;5;1;1;1,6;6;6;6;6;5;1;1;1,"SRA stem-loop-interacting RNA-binding protein, mitochondrial","sp|Q9GZT3|SLIRP_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 SV=1;tr|A0A087WUN7|A0A087WUN7_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 ",9,6,6,6,5,4,6,6,5,4,6,6,5,4,6,6,67.9,67.9,67.9,12.349,109,109;92;96;98;124;76;40;56;72,0.0,37.356,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.57417,1.6618,17.166,26,3,Leave out requantified,0.51525,0.66547,0.60672,0.57613,1.4835,1.977,1.8803,1.6854,22.87,18.41,16.019,32.08,5,4,9,8,0,1,0,2,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,47.7,46.8,67.9,67.9,3285300000,2055300000,1230000000,213560000,141210000,72354000,222700000,134180000,88517000,1112600000,683760000,428890000,1736400000,1096200000,640250000,,,,37,2594;5952;13462;14939;15042;15878,True;True;True;True;True;True,2979;2980;6877;15567;15568;17230;17348;17349;18289,7776;7777;7778;7779;7780;17275;17276;17277;17278;39060;39061;39062;39063;39064;39065;43113;43114;43115;43434;43435;43436;43437;45739;45740;45741;45742,14894;14895;14896;14897;14898;14899;14900;32508;32509;32510;32511;32512;32513;32514;72625;72626;72627;72628;72629;72630;72631;72632;72633;72634;72635;79937;79938;79939;79940;80518;80519;80520;80521;80522;80523;84632;84633;84634;84635;84636;84637;84638;84639;84640;84641;84642;84643;84644;84645;84646;84647;84648;84649,14897;32514;72629;79939;80521;84648,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_38,quanti,quanti,quanti,quanti
MYEF2,19.3063770480509,2.36882165257631e-07,Q9P2K5;A0A087WUT0;A0A0A0MQW0;A0A0A0MR39;A0A0C4DGV1;H0YN19,Q9P2K5;A0A087WUT0;A0A0A0MQW0;A0A0A0MR39;A0A0C4DGV1;H0YN19,2;2;2;2;1;1,2;2;2;2;1;1,2;2;2;2;1;1,Myelin expression factor 2,sp|Q9P2K5|MYEF2_HUMAN Myelin expression factor 2 OS=Homo sapiens OX=9606 GN=MYEF2 PE=1 SV=3;tr|A0A087WUT0|A0A087WUT0_HUMAN Myelin expression factor 2 OS=Homo sapiens OX=9606 GN=MYEF2 PE=1 SV=1;tr|A0A0A0MQW0|A0A0A0MQW0_HUMAN Myelin expression factor 2 OS=Ho,6,2,2,2,0,0,1,2,0,0,1,2,0,0,1,2,6.2,6.2,6.2,64.121,600,600;547;576;600;211;290,0.0044971,1.5534,,,By MS/MS,By MS/MS,0.4398,0.93965,23.207,3,1,Median,,,0.40161,0.50823,,,0.93965,1.0835,,,,30.69,0,0,1,2,0,0,0,1,Median,Median,Median,Median,0.0,0.0,4.0,6.2,85682000,52279000,33403000,0,0,0,0,0,0,30174000,17567000,12607000,55508000,34713000,20796000,,,,39,7507;10394,True;True,8736;12081,21918;21919;30414,41255;41256;56887,41256;56887,,,,,-1;-1;-1;-1;-1;-1,protein_40,quanti,quanti,imputed MEC,imputed MEC
EIF5B,-1.75865587910602,0.00200449369279009,O60841;A0A087WUT6,O60841;A0A087WUT6,8;8,8;8,8;8,Eukaryotic translation initiation factor 5B,sp|O60841|IF2P_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4;tr|A0A087WUT6|A0A087WUT6_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=1,2,8,8,8,5,5,3,3,5,5,3,3,5,5,3,3,11.6,11.6,11.6,138.83,1220,1220;1220,0.0,11.237,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.33767,0.86875,24.673,17,7,Leave out requantified,0.32523,0.31699,0.47829,0.34884,1.0537,0.86726,1.2147,0.9424,15.504,16.107,55.086,83.934,6,5,3,3,3,2,1,1,Median,Leave out requantified,Median,Median,7.8,7.5,5.8,4.6,815990000,530390000,285600000,213910000,158230000,55678000,230380000,158660000,71719000,170640000,100640000,69998000,201060000,112860000,88206000,,,,40,5988;6740;7041;7445;8184;9640;10702;11089,True;True;True;True;True;True;True;True,6921;7816;8208;8664;9520;11230;12435;12899,17389;19571;19572;20593;20594;20595;20596;21728;24011;24012;28235;31320;31321;31322;31323;32509;32510,32698;36724;36725;36726;38833;38834;40848;40849;45283;45284;52793;58647;58648;58649;58650;58651;60937;60938;60939,32698;36726;38834;40848;45284;52793;58651;60937,,,,,-1;-1,protein_41,quanti,quanti,quanti,quanti
SPTBN1,2.30515333811153,0.0029664423126517,Q01082;A0A087WUZ3;F8W6C1;O15020;A4QPE4,Q01082;A0A087WUZ3,53;53;19;2;2,53;53;19;2;2,52;52;18;1;1,"Spectrin beta chain, non-erythrocytic 1","sp|Q01082|SPTB2_HUMAN Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2;tr|A0A087WUZ3|A0A087WUZ3_HUMAN Spectrin beta chain OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=1",5,53,53,52,14,18,46,42,14,18,46,42,14,18,45,41,30.1,30.1,29.7,274.61,2364,2364;2366;690;2390;934,0.0,171.99,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.34804,0.9531,27.887,128,43,Leave out requantified,0.40976,0.55391,0.31209,0.34874,1.0998,1.214,0.90582,0.98148,28.9,23.38,31.088,31.265,14,18,53,43,5,3,21,14,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,8.8,11.5,26.6,22.9,8289700000,5857900000,2431800000,270470000,188730000,81735000,483680000,300430000,183250000,4013600000,2860900000,1152700000,3521900000,2507800000,1014100000,,,,42,1870;2731;2743;2855;2995;3051;3104;3912;4027;4199;4227;4739;6155;6974;8015;8524;8729;8730;9042;9121;9589;9590;9993;10602;10639;10855;10927;11462;11477;12091;12092;12295;12306;12373;12864;13045;14712;14735;15341;16306;16474;16475;16938;17048;17062;17535;17880;18371;18489;18987;19499;19708;20890,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,2155;3135;3147;3280;3281;3446;3505;3575;4480;4612;4805;4840;5428;7125;8125;9326;9906;10140;10141;10517;10613;11174;11175;11642;12314;12315;12355;12621;12708;13310;13311;13331;14023;14024;14025;14262;14273;14351;14887;14888;15099;16971;17001;17684;18777;18961;18962;19466;19588;19606;20140;20527;21075;21210;21772;22404;22635;23954,5632;8148;8149;8174;8175;8176;8177;8542;8543;8544;8545;8546;8917;8918;8919;9044;9045;9236;9237;11305;11306;11621;11622;12065;12152;12153;12154;12155;13612;13613;13614;13615;17917;20393;20394;23503;23504;23505;24972;24973;24974;24975;25526;25527;25528;25529;26454;26455;26693;28068;28069;28070;28071;28072;28073;29338;29339;31002;31003;31004;31093;31094;31804;32039;32040;33463;33464;33465;33466;33467;33511;33512;35196;35197;35198;35199;35200;35201;35202;35203;35204;35816;35849;36037;37359;37360;37361;37362;37363;37364;37365;37878;37879;37880;37881;42539;42607;44195;44196;47025;47026;47027;47028;47490;47491;48798;48799;49092;49093;49143;49144;49145;49146;50541;50542;50543;51467;51468;52917;52918;52919;52920;53266;53267;53268;54729;54730;54731;56393;56394;56950;56951;60215;60216,10761;15546;15547;15594;15595;15596;15597;15598;15599;16343;16344;16345;16346;16347;16976;16977;16978;16979;16980;17193;17194;17195;17602;17603;17604;17605;21326;21327;21328;21329;21330;21885;21886;21887;21888;22725;22899;22900;22901;22902;22903;25551;25552;25553;25554;25555;25556;25557;25558;25559;25560;33722;38457;38458;44376;44377;47028;47029;47030;47031;47032;47033;47034;48079;48080;48081;48082;48083;48084;49796;49797;50213;52479;52480;52481;52482;52483;52484;52485;52486;52487;54861;54862;58046;58047;58048;58049;58050;58051;58052;58053;58201;58202;59486;59912;59913;59914;62544;62545;62546;62547;62548;62549;62550;62551;62645;62646;62647;62648;62649;62650;62651;65574;65575;65576;65577;65578;65579;65580;65581;65582;65583;65584;65585;65586;65587;65588;66731;66792;67158;69547;69548;69549;69550;69551;69552;69553;69554;70436;70437;70438;70439;70440;70441;70442;79020;79133;81743;81744;81745;81746;81747;87028;87029;87030;87031;87032;87033;87034;87035;87036;87895;87896;90289;90290;90896;90897;90898;90899;91002;91003;91004;91005;91006;91007;91008;93934;93935;93936;95758;95759;98691;98692;98693;98694;98695;99446;99447;99448;99449;99450;99451;102353;102354;102355;102356;102357;105637;105638;105639;105640;106774;106775;106776;106777;106778;112853;112854;112855,10761;15547;15598;16345;16977;17194;17605;21326;21886;22725;22900;25558;33722;38458;44376;47030;48080;48084;49797;50213;52481;52487;54861;58046;58202;59486;59912;62546;62650;65580;65588;66731;66792;67158;69549;70439;79020;79133;81747;87030;87895;87896;90289;90896;91008;93936;95759;98695;99448;102353;105637;106776;112854,,,,,-1;-1;-1;-1;-1,protein_43,quanti,quanti,quanti,quanti
