DDB2_vs_zBirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
SRP72,0.0236911281,0.954765462243724,0,O76094;R4GNC1;D6RDY6,O76094;R4GNC1;D6RDY6,5;5;4,5;5;4,5;5;4,Signal recognition particle subunit SRP72,SRP72,sp|O76094|SRP72_HUMAN Signal recognition particle subunit SRP72 OS=Homo sapiens OX=9606 GN=SRP72 PE=1 SV=3;tr|R4GNC1|R4GNC1_HUMAN Signal recognition particle subunit SRP72 OS=Homo sapiens OX=9606 GN=SRP72 PE=1 SV=1;tr|D6RDY6|D6RDY6_HUMAN Signal recognition,5,5,9.7,2671
SRP9,-0.2390822658,0.140359223357976,0,P49458;Q6P2S0;Q659G3;E9PE20,P49458,7;3;3;3,7;3;3;3,7;3;3;3,Signal recognition particle 9 kDa protein,SRP9,sp|P49458|SRP09_HUMAN Signal recognition particle 9 kDa protein OS=Homo sapiens OX=9606 GN=SRP9 PE=1 SV=2,7,7,64,488
SRPRB,0.3942894,0.0940611027471738,0,Q9Y5M8;H7C4H2,Q9Y5M8;H7C4H2,3;2,3;2,3;2,Signal recognition particle receptor subunit beta,SRPRB,sp|Q9Y5M8|SRPRB_HUMAN Signal recognition particle receptor subunit beta OS=Homo sapiens OX=9606 GN=SRPRB PE=1 SV=3;tr|H7C4H2|H7C4H2_HUMAN Signal recognition particle receptor subunit beta (Fragment) OS=Homo sapiens OX=9606 GN=SRPRB PE=1 SV=1,3,3,18.1,1274
SRRM2,-0.0528707252,0.763050776206516,0,Q9UQ35;I3L4D8;I3L4U6;I3L1C0;I3L0N7;A0A087X1W1;I3L1I8;I3L182,Q9UQ35,18;2;1;1;1;1;1;1,18;2;1;1;1;1;1;1,18;2;1;1;1;1;1;1,Serine/arginine repetitive matrix protein 2,SRRM2,sp|Q9UQ35|SRRM2_HUMAN Serine/arginine repetitive matrix protein 2 OS=Homo sapiens OX=9606 GN=SRRM2 PE=1 SV=2,18,18,8.5,1312
SRRT,-0.0776520406,0.673223713773468,0,Q9BXP5;H7C3A1;H7C1K0;A0A0A0MSP6,Q9BXP5;H7C3A1,14;14;3;1,14;14;3;1,14;14;3;1,Serrate RNA effector molecule homolog,SRRT,sp|Q9BXP5|SRRT_HUMAN Serrate RNA effector molecule homolog OS=Homo sapiens OX=9606 GN=SRRT PE=1 SV=1;tr|H7C3A1|H7C3A1_HUMAN Serrate RNA effector molecule homolog (Fragment) OS=Homo sapiens OX=9606 GN=SRRT PE=1 SV=1,14,14,17.5,307
SRSF1,-0.1745068562,0.282564178932641,0,Q07955;J3KTL2;J3KSR8;J3QQV5;J3KSW7,Q07955;J3KTL2,17;17;8;6;6,17;17;8;6;6,16;16;8;6;6,Serine/arginine-rich splicing factor 1,SRSF1,sp|Q07955|SRSF1_HUMAN Serine/arginine-rich splicing factor 1 OS=Homo sapiens OX=9606 GN=SRSF1 PE=1 SV=2;tr|J3KTL2|J3KTL2_HUMAN Serine/arginine-rich-splicing factor 1 OS=Homo sapiens OX=9606 GN=SRSF1 PE=1 SV=1,17,16,63.7,1129
SRSF10,0.3318321103,0.055867863794719,0,O75494;Q5JRI1;Q8WXF0;Q6IQ42;R4GMP8,O75494;Q5JRI1,7;7;3;2;1,7;7;3;2;1,7;7;3;2;1,Serine/arginine-rich splicing factor 10,SRSF10,sp|O75494|SRS10_HUMAN Serine/arginine-rich splicing factor 10 OS=Homo sapiens OX=9606 GN=SRSF10 PE=1 SV=1;tr|Q5JRI1|Q5JRI1_HUMAN Serine/arginine-rich-splicing factor 10 OS=Homo sapiens OX=9606 GN=SRSF10 PE=1 SV=1,7,7,24,1105
SRSF11,-0.0326288422,0.853507030131009,0,Q05519;Q5T760;B4DWT1;S4R3C4;Q5T757,Q05519;Q5T760;B4DWT1,4;4;2;1;1,4;4;2;1;1,4;4;2;1;1,Serine/arginine-rich splicing factor 11,SRSF11,sp|Q05519|SRS11_HUMAN Serine/arginine-rich splicing factor 11 OS=Homo sapiens OX=9606 GN=SRSF11 PE=1 SV=1;tr|Q5T760|Q5T760_HUMAN Serine/arginine-rich-splicing factor 11 (Fragment) OS=Homo sapiens OX=9606 GN=SRSF11 PE=1 SV=1;tr|B4DWT1|B4DWT1_HUMAN Serine/ar,4,4,12.4,898
SRSF2,-0.0573496403,0.751181081779714,0,Q01130;J3QL05;J3KP15,Q01130;J3QL05;J3KP15,8;8;8,8;8;8,6;6;6,Serine/arginine-rich splicing factor 2,SRSF2,sp|Q01130|SRSF2_HUMAN Serine/arginine-rich splicing factor 2 OS=Homo sapiens OX=9606 GN=SRSF2 PE=1 SV=4;tr|J3QL05|J3QL05_HUMAN Serine/arginine-rich-splicing factor 2 (Fragment) OS=Homo sapiens OX=9606 GN=SRSF2 PE=1 SV=1;tr|J3KP15|J3KP15_HUMAN Serine/argini,8,6,29.4,244
SRSF3,-0.011388417,0.937441853049138,0,P84103;A0A087X2D0,P84103;A0A087X2D0,7;6,6;5,6;5,Serine/arginine-rich splicing factor 3,SRSF3,sp|P84103|SRSF3_HUMAN Serine/arginine-rich splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1;tr|A0A087X2D0|A0A087X2D0_HUMAN Serine/arginine-rich-splicing factor 3 OS=Homo sapiens OX=9606 GN=SRSF3 PE=1 SV=1,7,6,45.1,130
SRSF5,0.148967381,0.441171829184479,0,Q13243,Q13243,3,2,2,Serine/arginine-rich splicing factor 5,SRSF5,sp|Q13243|SRSF5_HUMAN Serine/arginine-rich splicing factor 5 OS=Homo sapiens OX=9606 GN=SRSF5 PE=1 SV=1,3,2,12.5,173
SRSF6,-0.3453982034,0.0473027804924186,0,Q13247;A0A590UJK4;A0A590UK01;A0A590UJP7;A0A590UK80;Q08170;B4DJK0;B4DUA4;A0A0D9SEM4,Q13247;A0A590UJK4;A0A590UK01;A0A590UJP7;A0A590UK80,8;8;8;8;8;1;1;1;1,8;8;8;8;8;1;1;1;1,7;7;7;7;7;0;0;0;0,Serine/arginine-rich splicing factor 6,SRSF6,sp|Q13247|SRSF6_HUMAN Serine/arginine-rich splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=2;tr|A0A590UJK4|A0A590UJK4_HUMAN Serine/arginine-rich-splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=1;tr|A0A590UK01|A0A590UK01_HUMAN Serine/a,8,7,22.7,307
SRSF7,-0.0917177707,0.697040659264654,0,Q16629;A0A0B4J1Z1;C9JAB2,Q16629;A0A0B4J1Z1;C9JAB2,10;10;10,10;10;10,9;9;9,Serine/arginine-rich splicing factor 7,SRSF7,sp|Q16629|SRSF7_HUMAN Serine/arginine-rich splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1;tr|A0A0B4J1Z1|A0A0B4J1Z1_HUMAN Serine/arginine-rich-splicing factor 7 OS=Homo sapiens OX=9606 GN=SRSF7 PE=1 SV=1;tr|C9JAB2|C9JAB2_HUMAN Serine/arginine-,10,9,29,154
SRSF9,0.0233883975,0.904702619418072,0,Q13242;S4R3G0;H0YIB4,Q13242;S4R3G0;H0YIB4,6;6;5,5;5;5,5;5;5,Serine/arginine-rich splicing factor 9,SRSF9,sp|Q13242|SRSF9_HUMAN Serine/arginine-rich splicing factor 9 OS=Homo sapiens OX=9606 GN=SRSF9 PE=1 SV=1;tr|S4R3G0|S4R3G0_HUMAN Serine/arginine-rich-splicing factor 9 OS=Homo sapiens OX=9606 GN=SRSF9 PE=1 SV=1;tr|H0YIB4|H0YIB4_HUMAN Serine/arginine-rich-spl,6,5,23.1,582
SSB,-0.0867081328,0.668052372338089,0,P05455;E9PFL9;E7ERC4;E9PGX9,P05455;E9PFL9;E7ERC4,5;3;3;1,5;3;3;1,5;3;3;1,Lupus La protein,SSB,sp|P05455|LA_HUMAN Lupus La protein OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=2;tr|E9PFL9|E9PFL9_HUMAN Lupus La protein OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=1;tr|E7ERC4|E7ERC4_HUMAN Lupus La protein (Fragment) OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=1,5,5,17.2,357
SSR2,-0.4189367369,0.0921160260027596,0,P43308;E9PNP2;E9PQJ7;E9PLP2;E9PN13;E9PQ05;E9PJ35;E9PQI4,P43308;E9PNP2;E9PQJ7;E9PLP2;E9PN13;E9PQ05;E9PJ35;E9PQI4,2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2,2;2;2;2;2;2;2;2,Translocon-associated protein subunit beta,SSR2,sp|P43308|SSRB_HUMAN Translocon-associated protein subunit beta OS=Homo sapiens OX=9606 GN=SSR2 PE=1 SV=1;tr|E9PNP2|E9PNP2_HUMAN Translocon-associated protein subunit beta OS=Homo sapiens OX=9606 GN=SSR2 PE=1 SV=1;tr|E9PQJ7|E9PQJ7_HUMAN Translocon-associat,2,2,8.7,468
SSR3,0.1870965376,0.58343446351074,0,Q9UNL2;C9JA28,Q9UNL2;C9JA28,2;2,2;2,2;2,Translocon-associated protein subunit gamma,SSR3,sp|Q9UNL2|SSRG_HUMAN Translocon-associated protein subunit gamma OS=Homo sapiens OX=9606 GN=SSR3 PE=1 SV=1;tr|C9JA28|C9JA28_HUMAN Translocon-associated protein subunit gamma OS=Homo sapiens OX=9606 GN=SSR3 PE=1 SV=1,2,2,9.7,289
SSR4,0.1861310976,0.275780368220226,0,P51571;A6NLM8,P51571;A6NLM8,5;3,5;3,5;3,Translocon-associated protein subunit delta,SSR4,sp|P51571|SSRD_HUMAN Translocon-associated protein subunit delta OS=Homo sapiens OX=9606 GN=SSR4 PE=1 SV=1;tr|A6NLM8|A6NLM8_HUMAN Translocon-associated protein subunit delta OS=Homo sapiens OX=9606 GN=SSR4 PE=1 SV=1,5,5,31.2,572
SSRP1,-0.2861014422,0.110588795294787,0,Q08945;E9PMD4;A0A0U1RRK2,Q08945,18;5;2,18;5;2,18;5;2,FACT complex subunit SSRP1,SSRP1,sp|Q08945|SSRP1_HUMAN FACT complex subunit SSRP1 OS=Homo sapiens OX=9606 GN=SSRP1 PE=1 SV=1,18,18,28.8,432
ST13;ST13P5;ST13P4,-0.1749529634,0.626181312126071,0,P50502;Q3KNR6;Q8NFI4;H7C3I1;F6VDH7;Q8IZP2;F8WAQ7,P50502;Q3KNR6;Q8NFI4;H7C3I1;F6VDH7;Q8IZP2,11;10;9;8;8;7;1,11;10;9;8;8;7;1,11;10;9;8;8;7;1,Hsc70-interacting protein;Putative protein FAM10A5;Putative protein FAM10A4,ST13;ST13P5;ST13P4,sp|P50502|F10A1_HUMAN Hsc70-interacting protein OS=Homo sapiens OX=9606 GN=ST13 PE=1 SV=2;tr|Q3KNR6|Q3KNR6_HUMAN Hsc70-interacting protein OS=Homo sapiens OX=9606 GN=ST13 PE=1 SV=1;sp|Q8NFI4|F10A5_HUMAN Putative protein FAM10A5 OS=Homo sapiens OX=9606 GN=S,11,11,28.5,210
STIP1,0.0388605888,0.897935050973668,0,P31948;F5H783;F5GXD8;H0YGI8,P31948;F5H783,21;13;9;5,21;13;9;5,21;13;9;5,Stress-induced-phosphoprotein 1,STIP1,sp|P31948|STIP1_HUMAN Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1;tr|F5H783|F5H783_HUMAN Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1,21,21,38.7,475
STMN1,-0.0310080689,0.853573017544467,0,P16949;A2A2D0,P16949;A2A2D0,9;8,9;8,6;5,Stathmin,STMN1,sp|P16949|STMN1_HUMAN Stathmin OS=Homo sapiens OX=9606 GN=STMN1 PE=1 SV=3;tr|A2A2D0|A2A2D0_HUMAN Stathmin (Fragment) OS=Homo sapiens OX=9606 GN=STMN1 PE=1 SV=8,9,6,45,669
STOML2,-0.024982658,0.855748395206574,0,Q9UJZ1;A0A087WYB4;F2Z2I8,Q9UJZ1;A0A087WYB4,10;8;2,10;8;2,10;8;2,"Stomatin-like protein 2, mitochondrial",STOML2,"sp|Q9UJZ1|STML2_HUMAN Stomatin-like protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=STOML2 PE=1 SV=1;tr|A0A087WYB4|A0A087WYB4_HUMAN Stomatin-like protein 2, mitochondrial OS=Homo sapiens OX=9606 GN=STOML2 PE=1 SV=1",10,10,51.4,796
STRAP,-0.0661129427,0.703167053904024,0,Q9Y3F4;H0YH33,Q9Y3F4,14;3,14;3,14;3,Serine-threonine kinase receptor-associated protein,STRAP,sp|Q9Y3F4|STRAP_HUMAN Serine-threonine kinase receptor-associated protein OS=Homo sapiens OX=9606 GN=STRAP PE=1 SV=1,14,14,51.7,802
STT3A,0.1904249947,0.192152564975853,0,P46977;A0A0C4DH80;E9PN73;E9PI32,P46977;A0A0C4DH80;E9PN73;E9PI32,6;3;3;3,5;2;2;2,5;2;2;2,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,STT3A,sp|P46977|STT3A_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Homo sapiens OX=9606 GN=STT3A PE=1 SV=2;tr|A0A0C4DH80|A0A0C4DH80_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A (Fragm,6,5,5.4,953
SUB1,0.0318845877,0.814063682393669,0,P53999,P53999,7,7,7,Activated RNA polymerase II transcriptional coactivator p15,SUB1,sp|P53999|TCP4_HUMAN Activated RNA polymerase II transcriptional coactivator p15 OS=Homo sapiens OX=9606 GN=SUB1 PE=1 SV=3,7,7,59.8,393
SUCLG1,0.0848861763,0.806944123386932,0,P53597;A0A494C0D1;H7C233,P53597;A0A494C0D1,6;4;1,6;4;1,6;4;1,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",SUCLG1,"sp|P53597|SUCA_HUMAN Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG1 PE=1 SV=4;tr|A0A494C0D1|A0A494C0D1_HUMAN Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Homo sapiens OX=960",6,6,19.4,98
SUCLG2,-0.8407025975,0.101447930088924,0,Q96I99;E9PDQ8;H0Y852,Q96I99;E9PDQ8,11;9;4,11;9;4,11;9;4,"Succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial",SUCLG2,"sp|Q96I99|SUCB2_HUMAN Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG2 PE=1 SV=2;tr|E9PDQ8|E9PDQ8_HUMAN Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG2 PE=1 ",11,11,28.9,913
SUGT1,-0.376499707,0.0793438875513518,0,Q9Y2Z0,Q9Y2Z0,4,4,4,Suppressor of G2 allele of SKP1 homolog,SUGT1,sp|Q9Y2Z0|SGT1_HUMAN Protein SGT1 homolog OS=Homo sapiens OX=9606 GN=SUGT1 PE=1 SV=3,4,4,15.6,299
SUMF2,-0.0282069154,0.847875646178117,0,Q8NBJ7;J3KQJ1;C9JL30;A8MXB9;A0A494C1B1;C9J660;H7C3B2;F8WA42;E9PBT8;J3QT17;F8WEX5;E9PG02;F8WEV7;F8WES7,Q8NBJ7;J3KQJ1;C9JL30;A8MXB9;A0A494C1B1;C9J660;H7C3B2;F8WA42;E9PBT8,7;7;6;6;6;6;5;5;4;3;2;2;1;1,7;7;6;6;6;6;5;5;4;3;2;2;1;1,7;7;6;6;6;6;5;5;4;3;2;2;1;1,Sulfatase-modifying factor 2,SUMF2,sp|Q8NBJ7|SUMF2_HUMAN Inactive C-alpha-formylglycine-generating enzyme 2 OS=Homo sapiens OX=9606 GN=SUMF2 PE=1 SV=2;tr|J3KQJ1|J3KQJ1_HUMAN Inactive C-alpha-formylglycine-generating enzyme 2 OS=Homo sapiens OX=9606 GN=SUMF2 PE=1 SV=1;tr|C9JL30|C9JL30_HUMAN ,7,7,26.2,725
SUMO1,0.0799383557,0.571487103699961,0,P63165;B8ZZN6;B8ZZ67;G2XKQ0;B8ZZJ0;B9A032,P63165;B8ZZN6;B8ZZ67;G2XKQ0,3;3;2;2;1;1,3;3;2;2;1;1,3;3;2;2;1;1,Small ubiquitin-related modifier 1;Small ubiquitin-related modifier,SUMO1,sp|P63165|SUMO1_HUMAN Small ubiquitin-related modifier 1 OS=Homo sapiens OX=9606 GN=SUMO1 PE=1 SV=1;tr|B8ZZN6|B8ZZN6_HUMAN Small ubiquitin-related modifier 1 OS=Homo sapiens OX=9606 GN=SUMO1 PE=1 SV=1;tr|B8ZZ67|B8ZZ67_HUMAN SMT3 suppressor of mif two 3 hom,3,3,27.7,261
SUMO2;SUMO3;SUMO4,-0.3915256277,0.0301620582694291,0,P61956;P55854;Q6EEV6;A8MUA9;A8MU27,P61956;P55854;Q6EEV6;A8MUA9;A8MU27,2;2;2;2;2,2;2;2;2;2,2;2;2;2;2,Small ubiquitin-related modifier 2;Small ubiquitin-related modifier 3;Small ubiquitin-related modifier 4,SUMO2;SUMO3;SUMO4,sp|P61956|SUMO2_HUMAN Small ubiquitin-related modifier 2 OS=Homo sapiens OX=9606 GN=SUMO2 PE=1 SV=3;sp|P55854|SUMO3_HUMAN Small ubiquitin-related modifier 3 OS=Homo sapiens OX=9606 GN=SUMO3 PE=1 SV=2;sp|Q6EEV6|SUMO4_HUMAN Small ubiquitin-related modifier 4,2,2,15.8,543
SUPT16H,0.1616012957,0.497038775061222,0,Q9Y5B9;G3V5A4;G3V401;G3V2X0,Q9Y5B9,13;2;2;2,13;2;2;2,13;2;2;2,FACT complex subunit SPT16,SUPT16H,sp|Q9Y5B9|SP16H_HUMAN FACT complex subunit SPT16 OS=Homo sapiens OX=9606 GN=SUPT16H PE=1 SV=1,13,13,14.9,126
SUPT4H1,-0.7289205199,0.00776154558923682,0,P63272;J3KSQ6;D3DTZ5;J3QSB9,P63272;J3KSQ6,3;2;1;1,3;2;1;1,3;2;1;1,Transcription elongation factor SPT4,SUPT4H1,sp|P63272|SPT4H_HUMAN Transcription elongation factor SPT4 OS=Homo sapiens OX=9606 GN=SUPT4H1 PE=1 SV=1;tr|J3KSQ6|J3KSQ6_HUMAN Transcription elongation factor SPT4 OS=Homo sapiens OX=9606 GN=SUPT4H1 PE=1 SV=1,3,3,29.9,284
SURF4,0.4078975941,0.282177699725958,0,Q5T8U5;O15260;B7Z1G8,Q5T8U5;O15260,3;2;1,3;2;1,3;2;1,Surfeit locus protein 4,SURF4,tr|Q5T8U5|Q5T8U5_HUMAN Surfeit 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=1;sp|O15260|SURF4_HUMAN Surfeit locus protein 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=3,3,3,34.9,153
SYMPK,0.0658241259,0.883530542313383,0,Q92797;M0R3C7;A0A087WUE9,Q92797;M0R3C7;A0A087WUE9,3;2;2,3;2;2,3;2;2,Symplekin,SYMPK,sp|Q92797|SYMPK_HUMAN Symplekin OS=Homo sapiens OX=9606 GN=SYMPK PE=1 SV=2;tr|M0R3C7|M0R3C7_HUMAN Symplekin OS=Homo sapiens OX=9606 GN=SYMPK PE=1 SV=1;tr|A0A087WUE9|A0A087WUE9_HUMAN Symplekin OS=Homo sapiens OX=9606 GN=SYMPK PE=1 SV=1,3,3,2.7,342
TACO1,0.3761326701,0.114863867562569,0,Q9BSH4,Q9BSH4,2,2,2,Translational activator of cytochrome c oxidase 1,TACO1,sp|Q9BSH4|TACO1_HUMAN Translational activator of cytochrome c oxidase 1 OS=Homo sapiens OX=9606 GN=TACO1 PE=1 SV=1,2,2,7.7,1328
TAF15,0.1032017632,0.515906920815021,0,Q92804;A0A075B7D9;A0A075B7F4,Q92804;A0A075B7D9,6;6;1,2;2;1,2;2;1,TATA-binding protein-associated factor 2N,TAF15,sp|Q92804|RBP56_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1;tr|A0A075B7D9|A0A075B7D9_HUMAN TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,6,2,10,489
TAGLN2,0.0402664827,0.797966964814512,0,P37802;X6RJP6;Q9UI15;C9J5W6,P37802;X6RJP6,18;16;1;1,18;16;1;1,18;16;1;1,Transgelin-2,TAGLN2,sp|P37802|TAGL2_HUMAN Transgelin-2 OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=3;tr|X6RJP6|X6RJP6_HUMAN Transgelin-2 (Fragment) OS=Homo sapiens OX=9606 GN=TAGLN2 PE=1 SV=1,18,18,63.8,406
TARDBP;TDP43,0.0257153638,0.888243088068854,0,Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;K7EJM5;A0A0A0N0M3;A0A1W2PNU8;A0A087WV68;A0A087WXQ5;A0A087WX67;A0A087WW61;K7EN94;K7EL26;A0A087WZC9;A0A087WYE7;A0A087WTZ4;A0A0A0MSV7;K7EJ99,Q13148;A0A087WX29;A0A087WYY0;A0A087X260;G3V162;B1AKP7;K7EJM5;A0A0A0N0M3;A0A1W2PNU8;A0A087WV68;A0A087WXQ5,8;8;6;6;6;6;4;4;4;4;4;3;3;3;2;2;2;2;1;1,8;8;6;6;6;6;4;4;4;4;4;3;3;3;2;2;2;2;1;1,5;5;3;3;3;3;3;3;2;1;1;0;0;2;0;0;0;0;1;1,TAR DNA-binding protein 43,TARDBP;TDP43,sp|Q13148|TADBP_HUMAN TAR DNA-binding protein 43 OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WX29|A0A087WX29_HUMAN TAR DNA-binding protein 43 (Fragment) OS=Homo sapiens OX=9606 GN=TARDBP PE=1 SV=1;tr|A0A087WYY0|A0A087WYY0_HUMAN TAR DNA-binding pro,8,5,23.4,297
TARS,2.335988185,0.197865093207065,0,P26639;D6RCA5;D6R9F8;D6RDJ6;Q9BW92;D6RJ97;D6RHV7;D6RCS6;F6S7Q7;U3KQG0,P26639,24;2;2;2;1;1;1;1;1;1,24;2;2;2;1;1;1;1;1;1,22;2;2;2;1;1;1;1;1;1,"Threonine--tRNA ligase, cytoplasmic",TARS,"sp|P26639|SYTC_HUMAN Threonine--tRNA ligase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TARS1 PE=1 SV=3",24,22,39.3,1104
TBL1XR1,-0.1019388953,0.729000559054205,0,Q9BZK7;A0A0D9SF63;C9JCW4;C9JTW8;A0A0D9SFI2;C9JY82;C9JEC9;C9J3H2;C9J903;A0A0D9SEW5;C9J7E1;A0A1B0GUU2;F8W9D8;C9IYU9;A0A1B0GVH3,Q9BZK7;A0A0D9SF63,3;2;1;1;1;1;1;1;1;1;1;1;1;1;1,3;2;1;1;1;1;1;1;1;1;1;1;1;1;1,3;2;1;1;1;1;1;1;1;1;1;1;1;1;1,F-box-like/WD repeat-containing protein TBL1XR1,TBL1XR1,sp|Q9BZK7|TBL1R_HUMAN F-box-like/WD repeat-containing protein TBL1XR1 OS=Homo sapiens OX=9606 GN=TBL1XR1 PE=1 SV=1;tr|A0A0D9SF63|A0A0D9SF63_HUMAN F-box-like/WD repeat-containing protein TBL1XR1 OS=Homo sapiens OX=9606 GN=TBL1XR1 PE=1 SV=1,3,3,9.3,446
TCERG1,-0.5531105191,0.1344941523735,0,O14776;G3V220,O14776;G3V220,11;9,11;9,11;9,Transcription elongation regulator 1,TCERG1,sp|O14776|TCRG1_HUMAN Transcription elongation regulator 1 OS=Homo sapiens OX=9606 GN=TCERG1 PE=1 SV=2;tr|G3V220|G3V220_HUMAN Transcription elongation regulator 1 OS=Homo sapiens OX=9606 GN=TCERG1 PE=1 SV=1,11,11,11.6,445
TCOF1,1.0407732508,0.0219247923738357,1,Q13428;A0A3B3IS06;E7ETY2;H0Y8Y7;A0A2R8Y857;H0YA99,Q13428;A0A3B3IS06;E7ETY2;H0Y8Y7,8;8;8;6;3;2,8;8;8;6;3;2,8;8;8;6;3;2,Treacle protein,TCOF1,sp|Q13428|TCOF_HUMAN Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=3;tr|A0A3B3IS06|A0A3B3IS06_HUMAN Treacle protein (Fragment) OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=1;tr|E7ETY2|E7ETY2_HUMAN Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=,8,8,6.9,233
TCP1,-0.1226910188,0.376026322528874,0,P17987;E7EQR6;E7ERF2;F5H282;F5GZ03;F5H136;F5GZI8;F5H676;F5GYL4;F5H7Y1;F5H726,P17987;E7EQR6;E7ERF2;F5H282,38;28;27;24;14;7;5;5;4;2;2,38;28;27;24;14;7;5;5;4;2;2,38;28;27;24;14;7;5;5;4;2;2,T-complex protein 1 subunit alpha,TCP1,sp|P17987|TCPA_HUMAN T-complex protein 1 subunit alpha OS=Homo sapiens OX=9606 GN=TCP1 PE=1 SV=1;tr|E7EQR6|E7EQR6_HUMAN T-complex protein 1 subunit alpha OS=Homo sapiens OX=9606 GN=TCP1 PE=1 SV=1;tr|E7ERF2|E7ERF2_HUMAN T-complex protein 1 subunit alpha OS=,38,38,59.5,235
TFAM,-0.4763321633,0.122493353144017,0,Q00059;H7BYN3,Q00059;H7BYN3,4;2,4;2,4;2,"Transcription factor A, mitochondrial",TFAM,"sp|Q00059|TFAM_HUMAN Transcription factor A, mitochondrial OS=Homo sapiens OX=9606 GN=TFAM PE=1 SV=1;tr|H7BYN3|H7BYN3_HUMAN Transcription factor A, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=TFAM PE=1 SV=1",4,4,13,549
TFRC,-0.072813662,0.736819151074211,0,P02786;G3V0E5;H7C3V5;F8WBE5,P02786;G3V0E5,26;25;3;1,26;25;3;1,26;25;3;1,"Transferrin receptor protein 1;Transferrin receptor protein 1, serum form",TFRC,"sp|P02786|TFR1_HUMAN Transferrin receptor protein 1 OS=Homo sapiens OX=9606 GN=TFRC PE=1 SV=2;tr|G3V0E5|G3V0E5_HUMAN Transferrin receptor (P90, CD71), isoform CRA_c OS=Homo sapiens OX=9606 GN=TFRC PE=1 SV=1",26,26,38,364
TGM2,0.8320143463,0.119655898982174,0,P21980;A2A299;A2A2A0,P21980,26;8;5,26;8;5,26;8;5,Protein-glutamine gamma-glutamyltransferase 2,TGM2,sp|P21980|TGM2_HUMAN Protein-glutamine gamma-glutamyltransferase 2 OS=Homo sapiens OX=9606 GN=TGM2 PE=1 SV=2,26,26,43.2,86
THOC3,-0.3163233975,0.0851909503250437,0,Q96J01;D6RGZ2,Q96J01;D6RGZ2,1;1,1;1,1;1,THO complex subunit 3,THOC3,sp|Q96J01|THOC3_HUMAN THO complex subunit 3 OS=Homo sapiens OX=9606 GN=THOC3 PE=1 SV=1;tr|D6RGZ2|D6RGZ2_HUMAN THO complex subunit 3 OS=Homo sapiens OX=9606 GN=THOC3 PE=1 SV=1,1,1,2.8,163
THOC6,-0.2359832035,0.428006580245294,0,Q86W42,Q86W42,3,3,3,THO complex subunit 6 homolog,THOC6,sp|Q86W42|THOC6_HUMAN THO complex subunit 6 homolog OS=Homo sapiens OX=9606 GN=THOC6 PE=1 SV=1,3,3,12.3,178
