Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity NUP43-N1,Intensity NUP43-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q5T6F2;A2A305;Q5JV08;A0A0D9SFI5;H0YDN2,Q5T6F2;A2A305,20;10;4;3;1,20;10;4;3;1,20;10;4;3;1,Ubiquitin-associated protein 2,UBAP2,sp|Q5T6F2|UBAP2_HUMAN Ubiquitin-associated protein 2 OS=Homo sapiens OX=9606 GN=UBAP2 PE=1 SV=1;tr|A2A305|A2A305_HUMAN Ubiquitin-associated protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=UBAP2 PE=1 SV=1,20,20,29.8,24.4647581139245,24.0447689719881,30.6033749755287,30.5592848310225
Q15061;C9IZK7;C9JEE7,Q15061,20;6;4,20;6;4,20;6;4,WD repeat-containing protein 43,WDR43,sp|Q15061|WDR43_HUMAN WD repeat-containing protein 43 OS=Homo sapiens OX=9606 GN=WDR43 PE=1 SV=3,20,20,38.1,28.7206130822197,29.2883286337334,26.8859975536961,26.5710467570974
Q01831;E7EUB5,Q01831,20;1,20;1,20;1,DNA repair protein complementing XP-C cells,XPC,sp|Q01831|XPC_HUMAN DNA repair protein complementing XP-C cells OS=Homo sapiens OX=9606 GN=XPC PE=1 SV=4,20,20,27.8,28.4499856819602,28.5689179801573,25.3966288197673,25.3978041314746
Q9ULJ3;E7EVF9;Q5KS07,Q9ULJ3,20;2;1,20;2;1,20;2;1,Zinc finger and BTB domain-containing protein 21,ZBTB21,sp|Q9ULJ3|ZBT21_HUMAN Zinc finger and BTB domain-containing protein 21 OS=Homo sapiens OX=9606 GN=ZBTB21 PE=1 SV=2,20,20,28.6,26.1844231952756,26.5937740689778,26.4870933343553,25.6776663130142
O95817;C9JFK9,O95817;C9JFK9,21;11,21;11,21;11,BAG family molecular chaperone regulator 3,BAG3,sp|O95817|BAG3_HUMAN BAG family molecular chaperone regulator 3 OS=Homo sapiens OX=9606 GN=BAG3 PE=1 SV=3;tr|C9JFK9|C9JFK9_HUMAN BAG family molecular chaperone regulator 3 (Fragment) OS=Homo sapiens OX=9606 GN=BAG3 PE=1 SV=1,21,21,56.7,22.9505247494292,21.8276466247212,29.7584347958611,29.4611357728211
P21127;A0A0D9SEI3;A0A0D9SER5;A0A0D9SEN2;Q9UQ88;Q5QPR3;Q5QPR4;Q13882;Q5QPQ9;E9PFJ2;A0A087WYI9;A0A087X1I0;J3KS35;E7ESP2,P21127;A0A0D9SEI3;A0A0D9SER5;A0A0D9SEN2;Q9UQ88;Q5QPR3;Q5QPR4,21;21;21;21;20;20;19;1;1;1;1;1;1;1,21;21;21;21;20;20;19;1;1;1;1;1;1;1,21;21;21;21;20;20;19;1;1;1;1;1;1;1,Cyclin-dependent kinase 11B;Cyclin-dependent kinase 11A,CDK11B;CDK11A,sp|P21127|CD11B_HUMAN Cyclin-dependent kinase 11B OS=Homo sapiens OX=9606 GN=CDK11B PE=1 SV=4;tr|A0A0D9SEI3|A0A0D9SEI3_HUMAN Cyclin-dependent kinase 11B OS=Homo sapiens OX=9606 GN=CDK11B PE=1 SV=1;tr|A0A0D9SER5|A0A0D9SER5_HUMAN Cyclin-dependent kinase 11B,21,21,27.9,27.3246586575008,27.8134778583714,25.2253804471505,24.0355696796454
Q9BR76;A0A087WW53;F5H390;F5H0D2,Q9BR76,22;10;10;3,22;10;10;3,21;10;10;3,Coronin-1B,CORO1B,sp|Q9BR76|COR1B_HUMAN Coronin-1B OS=Homo sapiens OX=9606 GN=CORO1B PE=1 SV=1,22,21,48.9,29.4418580233578,29.5041930120724,33.6004535535904,33.2160746055234
Q9UKF6;G5E9W3;C9JZH6,Q9UKF6;G5E9W3,21;18;1,21;18;1,21;18;1,Cleavage and polyadenylation specificity factor subunit 3,CPSF3,"sp|Q9UKF6|CPSF3_HUMAN Cleavage and polyadenylation specificity factor subunit 3 OS=Homo sapiens OX=9606 GN=CPSF3 PE=1 SV=1;tr|G5E9W3|G5E9W3_HUMAN Cleavage and polyadenylation specific factor 3, 73kDa, isoform CRA_b OS=Homo sapiens OX=9606 GN=CPSF3 PE=1 SV=",21,21,36.4,25.1107611087122,29.2923498256124,29.5457078472324,29.3785691172312
Q14203;E7EX90;Q6AWB1;E7EWF7;C9J1B7;C9JZA4;C9JTE5;C9JJN7;C9JJD0;C9JKG6;E9PCY0,Q14203;E7EX90;Q6AWB1,21;21;13;5;1;1;1;1;1;1;1,21;21;13;5;1;1;1;1;1;1;1,21;21;13;5;1;1;1;1;1;1;1,Dynactin subunit 1,DCTN1;DKFZp686E0752,sp|Q14203|DCTN1_HUMAN Dynactin subunit 1 OS=Homo sapiens OX=9606 GN=DCTN1 PE=1 SV=3;tr|E7EX90|E7EX90_HUMAN Dynactin subunit 1 OS=Homo sapiens OX=9606 GN=DCTN1 PE=1 SV=1;tr|Q6AWB1|Q6AWB1_HUMAN Dynactin subunit 1 OS=Homo sapiens OX=9606 GN=DCTN1 PE=1 SV=1,21,21,23.4,4.20354318657847,4.29426065740498,28.6649568074496,28.1282936301102
O43143,O43143,22,22,21,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15,DHX15,sp|O43143|DHX15_HUMAN Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens OX=9606 GN=DHX15 PE=1 SV=2,22,21,33.0,27.7712762676745,28.1533006777798,28.4285820826485,28.231463421831
Q14152,Q14152,21,21,21,Eukaryotic translation initiation factor 3 subunit A,EIF3A,sp|Q14152|EIF3A_HUMAN Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1,21,21,18.6,4.20354318657847,4.29426065740498,28.5942013442781,28.2135912965971
Q658Y4;E7ER68;G3V120;H0YBR6;H0YC80,Q658Y4;E7ER68,24;22;7;3;2,24;22;7;3;2,21;19;7;3;2,Protein FAM91A1,FAM91A1,sp|Q658Y4|F91A1_HUMAN Protein FAM91A1 OS=Homo sapiens OX=9606 GN=FAM91A1 PE=1 SV=3;tr|E7ER68|E7ER68_HUMAN Protein FAM91A1 OS=Homo sapiens OX=9606 GN=FAM91A1 PE=1 SV=1,24,21,33.4,24.6242189393597,25.0761860286809,30.1511001384921,30.1762891686655
Q9BRR8;K7EQ19,Q9BRR8,21;2,21;2,21;2,G patch domain-containing protein 1,GPATCH1,sp|Q9BRR8|GPTC1_HUMAN G patch domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GPATCH1 PE=1 SV=1,21,21,34.0,27.3995816028277,28.001582146454,23.9895386379615,24.1841389515958
Q7Z2K8,Q7Z2K8,21,21,21,G protein-regulated inducer of neurite outgrowth 1,GPRIN1,sp|Q7Z2K8|GRIN1_HUMAN G protein-regulated inducer of neurite outgrowth 1 OS=Homo sapiens OX=9606 GN=GPRIN1 PE=1 SV=2,21,21,31.7,4.20354318657847,4.29426065740498,28.8472985931165,28.368696413597
P78347;A0A494C1K3;A0A494C0Q7;Q6EKJ0;Q86UP8;C9J6M0;A0A087WW90;A0A0D9SF80;A0A494C0I1;A0A494C1N8,P78347;A0A494C1K3,21;20;6;1;1;1;1;1;1;1,21;20;6;1;1;1;1;1;1;1,21;20;6;1;1;1;1;1;1;1,General transcription factor II-I,GTF2I,sp|P78347|GTF2I_HUMAN General transcription factor II-I OS=Homo sapiens OX=9606 GN=GTF2I PE=1 SV=2;tr|A0A494C1K3|A0A494C1K3_HUMAN General transcription factor II-I OS=Homo sapiens OX=9606 GN=GTF2I PE=1 SV=1,21,21,27.2,27.6932527629264,28.1250939298254,22.6769134809656,24.52169148704
Q9Y5Z7;F8VU09,Q9Y5Z7,22;2,21;2,21;2,Host cell factor 2,HCFC2,sp|Q9Y5Z7|HCFC2_HUMAN Host cell factor 2 OS=Homo sapiens OX=9606 GN=HCFC2 PE=1 SV=1,22,21,34.0,28.5807888137653,28.384304010339,4.42963131265863,4.37131702904701
Q9Y4F3;G8JLP4;F8VVB8;F8VRS5,Q9Y4F3;G8JLP4;F8VVB8,22;21;12;3,22;21;12;3,21;20;12;3,Meiosis arrest female protein 1,KIAA0430,sp|Q9Y4F3|MARF1_HUMAN Meiosis regulator and mRNA stability factor 1 OS=Homo sapiens OX=9606 GN=MARF1 PE=1 SV=6;tr|G8JLP4|G8JLP4_HUMAN Meiosis regulator and mRNA stability factor 1 OS=Homo sapiens OX=9606 GN=MARF1 PE=1 SV=1;tr|F8VVB8|F8VVB8_HUMAN Meiosis re,22,21,16.5,27.793957966578,28.2877123795495,23.4289254550338,22.2480619070995
P05783;F8VZY9;Q92764;CON__Q497I4;C4AM86;CON__Q92764;CON__H-INV:HIT000015463;O76015;CON__Q15323;CON__Q14525;CON__Q9UE12;O76013;Q14525;Q14532;CON__REFSEQ:XP_986630;O76014;CON__Q14532;CON__A2AB72;Q15323;CON__O76015;CON__O76013;CON__O76014;CON__A2A5Y0,P05783;F8VZY9,29;27;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,28;26;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,21;19;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,"Keratin, type I cytoskeletal 18",KRT18,"sp|P05783|K1C18_HUMAN Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2;tr|F8VZY9|F8VZY9_HUMAN Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=1",29,21,66.5,28.1403881797085,28.7551587251563,32.2691625982684,31.8802278148843
Q96PV6;C9JMY0;A0A087WUE4;A0A0G2JNN3;E7EWC7;B0VJY8;A0A0G2JPW6;H7BZP5,Q96PV6;C9JMY0;A0A087WUE4;A0A0G2JNN3,22;20;20;18;4;2;2;1,22;20;20;18;4;2;2;1,21;19;19;18;3;1;1;1,Leukocyte receptor cluster member 8,LENG8,sp|Q96PV6|LENG8_HUMAN Leukocyte receptor cluster member 8 OS=Homo sapiens OX=9606 GN=LENG8 PE=1 SV=3;tr|C9JMY0|C9JMY0_HUMAN Leukocyte receptor cluster member 8 OS=Homo sapiens OX=9606 GN=LENG8 PE=1 SV=2;tr|A0A087WUE4|A0A087WUE4_HUMAN Leukocyte receptor clu,22,21,33.6,29.0751303552025,28.9398851330592,28.7416902958227,28.5400082218758
O60502;H7C3X0,O60502,21;5,21;5,21;5,Protein O-GlcNAcase,MGEA5,sp|O60502|OGA_HUMAN Protein O-GlcNAcase OS=Homo sapiens OX=9606 GN=OGA PE=1 SV=2,21,21,31.7,21.0320080486045,23.0096255092646,28.9117081469633,29.168635090136
Q9ULE6,Q9ULE6,21,21,21,Paladin,PALD1,sp|Q9ULE6|PALD_HUMAN Paladin OS=Homo sapiens OX=9606 GN=PALD1 PE=1 SV=3,21,21,34.0,4.20354318657847,4.29426065740498,28.3648618951392,28.016642622361
O94913;E9PQ01;E9PKN0;E9PQF9;E9PNY7,O94913;E9PQ01;E9PKN0,21;17;16;4;1,21;17;16;4;1,21;17;16;4;1,Pre-mRNA cleavage complex 2 protein Pcf11,PCF11,sp|O94913|PCF11_HUMAN Pre-mRNA cleavage complex 2 protein Pcf11 OS=Homo sapiens OX=9606 GN=PCF11 PE=1 SV=3;tr|E9PQ01|E9PQ01_HUMAN Pre-mRNA cleavage complex 2 protein Pcf11 (Fragment) OS=Homo sapiens OX=9606 GN=PCF11 PE=1 SV=8;tr|E9PKN0|E9PKN0_HUMAN Pre-mRN,21,21,16.8,27.0555864584471,27.3807997699937,27.2841858682827,27.4321316402918
Q9H792;H0YN99;H3BUZ5,Q9H792;H0YN99,21;12;5,21;12;5,21;12;5,Pseudopodium-enriched atypical kinase 1,PEAK1,sp|Q9H792|PEAK1_HUMAN Inactive tyrosine-protein kinase PEAK1 OS=Homo sapiens OX=9606 GN=PEAK1 PE=1 SV=4;tr|H0YN99|H0YN99_HUMAN Inactive tyrosine-protein kinase PEAK1 OS=Homo sapiens OX=9606 GN=PEAK1 PE=1 SV=1,21,21,17.2,4.20354318657847,4.29426065740498,28.2075533521933,28.0561034978537
O00541;B5MCF9;B3KXD6;H7BYY8;H7C267,O00541;B5MCF9;B3KXD6,21;21;14;3;3,21;21;14;3;3,21;21;14;3;3,Pescadillo homolog,PES1,sp|O00541|PESC_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1;tr|B5MCF9|B5MCF9_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1;tr|B3KXD6|B3KXD6_HUMAN Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1,21,21,39.1,29.9288892072543,30.1407782158815,29.4448224256574,29.162381608853
Q8WUF5;K7EN03;K7EPP1,Q8WUF5,21;6;3,21;6;3,21;6;3,RelA-associated inhibitor,PPP1R13L,sp|Q8WUF5|IASPP_HUMAN RelA-associated inhibitor OS=Homo sapiens OX=9606 GN=PPP1R13L PE=1 SV=4,21,21,35.7,23.8309643776516,24.3406200078627,29.2591212134054,28.7223406071862
Q92541;H0YKX1,Q92541,21;8,21;8,21;8,RNA polymerase-associated protein RTF1 homolog,RTF1,sp|Q92541|RTF1_HUMAN RNA polymerase-associated protein RTF1 homolog OS=Homo sapiens OX=9606 GN=RTF1 PE=1 SV=4,21,21,29.9,28.0464561033704,28.3070859228706,28.3713579064139,27.5157794706322
Q9NVU7;E7EW05;F8W8T7;D6RC74;D6RIR5,Q9NVU7;E7EW05,21;19;5;5;1,21;19;5;5;1,21;19;5;5;1,Protein SDA1 homolog,SDAD1,sp|Q9NVU7|SDA1_HUMAN Protein SDA1 homolog OS=Homo sapiens OX=9606 GN=SDAD1 PE=1 SV=3;tr|E7EW05|E7EW05_HUMAN Protein SDA1 OS=Homo sapiens OX=9606 GN=SDAD1 PE=1 SV=1,21,21,28.2,28.1893806716996,28.6277015245513,25.6435314499844,25.721923583035
Q13596;H0YK42;H0YK43;J3KPH4;H0YKD5;H0YKL5;H0YK58,Q13596;H0YK42,23;17;1;1;1;1;1,23;17;1;1;1;1;1,21;15;1;1;1;1;1,Sorting nexin-1,SNX1,sp|Q13596|SNX1_HUMAN Sorting nexin-1 OS=Homo sapiens OX=9606 GN=SNX1 PE=1 SV=3;tr|H0YK42|H0YK42_HUMAN Sorting nexin-1 OS=Homo sapiens OX=9606 GN=SNX1 PE=1 SV=1,23,21,45.6,27.5687730512265,28.0929020375313,31.5274320978482,31.1971836158086
Q9Y5B9;G3V5A4;G3V401;G3V2X0,Q9Y5B9,21;2;2;2,21;2;2;2,21;2;2;2,FACT complex subunit SPT16,SUPT16H,sp|Q9Y5B9|SP16H_HUMAN FACT complex subunit SPT16 OS=Homo sapiens OX=9606 GN=SUPT16H PE=1 SV=1,21,21,22.2,27.6886585069233,27.9898309411866,4.42963131265863,4.37131702904701
O95425;A0A0J9YWY6,O95425;A0A0J9YWY6,21;11,21;11,21;11,Supervillin,SVIL,sp|O95425|SVIL_HUMAN Supervillin OS=Homo sapiens OX=9606 GN=SVIL PE=1 SV=2;tr|A0A0J9YWY6|A0A0J9YWY6_HUMAN Supervillin (Fragment) OS=Homo sapiens OX=9606 GN=SVIL PE=1 SV=1,21,21,14.0,23.2837621070692,23.7404449062324,27.3024303094095,27.4823922963912
Q9C0B7,Q9C0B7,21,21,21,Transport and Golgi organization protein 6 homolog,TANGO6,sp|Q9C0B7|TNG6_HUMAN Transport and Golgi organization protein 6 homolog OS=Homo sapiens OX=9606 GN=TANGO6 PE=1 SV=2,21,21,25.4,23.5088161049173,23.1890469312188,28.9302436121331,28.5765063748244
F8W726;Q14157;Q5VU77;Q5VU79;Q5VU78;Q5VU81;Q5VU80;H0Y5H6;H7C2T8,F8W726;Q14157,21;20;10;6;6;5;5;2;2,21;20;10;6;6;5;5;2;2,21;20;10;6;6;5;5;2;2,Ubiquitin-associated protein 2-like,UBAP2L,tr|F8W726|F8W726_HUMAN Ubiquitin-associated protein 2-like OS=Homo sapiens OX=9606 GN=UBAP2L PE=1 SV=2;sp|Q14157|UBP2L_HUMAN Ubiquitin-associated protein 2-like OS=Homo sapiens OX=9606 GN=UBAP2L PE=1 SV=2,21,21,33.2,26.1991979972103,26.9884771876474,31.4254740417976,31.4085172425701
Q9H0D6,Q9H0D6,21,21,21,5-3 exoribonuclease 2,XRN2,sp|Q9H0D6|XRN2_HUMAN 5-3 exoribonuclease 2 OS=Homo sapiens OX=9606 GN=XRN2 PE=1 SV=1,21,21,28.5,28.3112501737526,28.2021909474771,27.1207012592301,26.7793149862456
Q5VZL5;H7C1I7,Q5VZL5;H7C1I7,22;16,22;16,21;15,Zinc finger MYM-type protein 4,ZMYM4,sp|Q5VZL5|ZMYM4_HUMAN Zinc finger MYM-type protein 4 OS=Homo sapiens OX=9606 GN=ZMYM4 PE=1 SV=1;tr|H7C1I7|H7C1I7_HUMAN Zinc finger MYM-type protein 4 (Fragment) OS=Homo sapiens OX=9606 GN=ZMYM4 PE=1 SV=1,22,21,19.4,27.1009925480002,28.6533855082708,24.3780178671113,24.7595907761179
Q8ND82;Q9UJJ2;Q86YH2;A0A0D9SEJ8,Q8ND82;Q9UJJ2,24;16;1;1,24;16;1;1,21;14;0;0,Zinc finger protein 280C,ZNF280C,sp|Q8ND82|Z280C_HUMAN Zinc finger protein 280C OS=Homo sapiens OX=9606 GN=ZNF280C PE=1 SV=1;tr|Q9UJJ2|Q9UJJ2_HUMAN Zinc finger protein 280C (Fragment) OS=Homo sapiens OX=9606 GN=ZNF280C PE=1 SV=1,24,21,42.1,29.2372199553775,29.5098846462959,24.8620693801153,23.840477525467
Q02952,Q02952,22,22,22,A-kinase anchor protein 12,AKAP12,sp|Q02952|AKA12_HUMAN A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4,22,22,20.8,23.2425484531223,24.0043223108572,28.8096194820527,28.3790651159896
Q9ULH1;A0A0A0MRE5;H0YBF7;H0YBM4;E5RHD7;O43150;E5RFD9;A0A286YFG8,Q9ULH1;A0A0A0MRE5;H0YBF7,22;22;18;6;2;1;1;1,22;22;18;6;2;1;1;1,22;22;18;6;2;1;1;1,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1",ASAP1,"sp|Q9ULH1|ASAP1_HUMAN Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ASAP1 PE=1 SV=4;tr|A0A0A0MRE5|A0A0A0MRE5_HUMAN Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens OX",22,22,24.3,4.20354318657847,4.29426065740498,28.7067508337055,28.5683381770586
P38432;I3L369,P38432,22;1,22;1,22;1,Coilin,COIL,sp|P38432|COIL_HUMAN Coilin OS=Homo sapiens OX=9606 GN=COIL PE=1 SV=1,22,22,39.1,31.1957765659173,30.8875816474123,27.365195736409,26.9482654476867
P42566;B1AUU8;S4R3U1,P42566;B1AUU8,22;19;3,22;19;3,22;19;3,Epidermal growth factor receptor substrate 15,EPS15,sp|P42566|EPS15_HUMAN Epidermal growth factor receptor substrate 15 OS=Homo sapiens OX=9606 GN=EPS15 PE=1 SV=2;tr|B1AUU8|B1AUU8_HUMAN Epidermal growth factor receptor substrate 15 OS=Homo sapiens OX=9606 GN=EPS15 PE=1 SV=1,22,22,35.2,4.20354318657847,4.29426065740498,29.0217074602142,28.8203726901467
Q14C86;F8W9S7;C9IZ08;B0QZ65;B4DGD8;H0Y7I9;H0Y4E7;A0A0A0MQV8;C9IZX9,Q14C86;F8W9S7;C9IZ08,22;21;12;9;9;9;8;6;2,22;21;12;9;9;9;8;6;2,22;21;12;9;9;9;8;6;2,GTPase-activating protein and VPS9 domain-containing protein 1,GAPVD1,sp|Q14C86|GAPD1_HUMAN GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GAPVD1 PE=1 SV=2;tr|F8W9S7|F8W9S7_HUMAN GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GAPVD1 PE=1 SV,22,22,19.6,23.6971711032517,22.6167238216807,29.0959978698069,28.5019555989933
P11142;E9PKE3;E9PN89;E9PNE6;E9PLF4;E9PQQ4;E9PQK7;E9PK54;A8K7Q2;E9PPY6;E9PI65;P54652;E9PN25;E9PS65;E9PM13,P11142;E9PKE3;E9PN89;E9PNE6;E9PLF4,26;25;18;17;13;12;12;12;11;10;9;8;8;2;1,26;25;18;17;13;12;12;12;11;10;9;8;8;2;1,22;21;15;14;11;11;11;11;9;9;7;4;7;2;1,Heat shock cognate 71 kDa protein,HSPA8,sp|P11142|HSP7C_HUMAN Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1;tr|E9PKE3|E9PKE3_HUMAN Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1;tr|E9PN89|E9PN89_HUMAN Heat shock cognate 71 kDa protein,26,22,48.3,29.6158964153774,29.7505181638684,31.1676425732116,31.0921333428094
Q9Y2H2;A0A3B3IRJ9;A0A3B3ITL0;A0A3B3ISI3;A0A3B3ITR9;A0A3B3ISJ5;A0A0J9YYL5;A0A0J9YWP2;A0A1B0GUS5;A0A0J9YY79;A0A0J9YVW6;A0A3B3IU10;A0A3B3ISG0;A0A3B3IS29;A0A3B3IS98;A0A3B3ISK0,Q9Y2H2;A0A3B3IRJ9;A0A3B3ITL0;A0A3B3ISI3;A0A3B3ITR9,22;22;20;15;13;8;4;4;4;3;2;1;1;1;1;1,22;22;20;15;13;8;4;4;4;3;2;1;1;1;1;1,22;22;20;15;13;8;4;4;4;3;2;1;1;1;1;1,Phosphatidylinositide phosphatase SAC2,INPP5F,sp|Q9Y2H2|SAC2_HUMAN Phosphatidylinositide phosphatase SAC2 OS=Homo sapiens OX=9606 GN=INPP5F PE=1 SV=3;tr|A0A3B3IRJ9|A0A3B3IRJ9_HUMAN Phosphatidylinositide phosphatase SAC2 OS=Homo sapiens OX=9606 GN=INPP5F PE=1 SV=1;tr|A0A3B3ITL0|A0A3B3ITL0_HUMAN Phospha,22,22,23.3,22.7277925197583,23.3487209027171,28.4316137099179,28.8018099763693
Q6ZU35;F5H1N7;A0A1B0GWF1;A0A2R8Y6P1;R4GNI9,Q6ZU35;F5H1N7,22;22;5;5;1,22;22;5;5;1,22;22;5;5;1,Uncharacterized protein KIAA1211,KIAA1211,sp|Q6ZU35|CRACD_HUMAN Capping protein inhibiting regulator of actin dynamics OS=Homo sapiens OX=9606 GN=CRACD PE=1 SV=3;tr|F5H1N7|F5H1N7_HUMAN Capping protein-inhibiting regulator of actin dynamics OS=Homo sapiens OX=9606 GN=CRACD PE=1 SV=1,22,22,25.7,25.918184289022,26.2242498588093,28.4641582682509,28.1270146014499
Q5T5P2;Q5T5P0;Q5T5P1;A0A0U1RRK8,Q5T5P2,22;10;10;7,22;10;10;7,22;10;10;7,Sickle tail protein homolog,KIAA1217,sp|Q5T5P2|SKT_HUMAN Sickle tail protein homolog OS=Homo sapiens OX=9606 GN=KIAA1217 PE=1 SV=2,22,22,15.0,23.4669994841955,22.2726434523187,28.7834425139948,28.1289818684635
P33991;A0A3B3IU45;A0A3B3IT92;A0A3B3IS57;E5RG31;A0A3B3ITP6;A0A3B3IRR8,P33991;A0A3B3IU45;A0A3B3IT92;A0A3B3IS57;E5RG31;A0A3B3ITP6,22;22;21;20;19;17;4,22;22;21;20;19;17;4,22;22;21;20;19;17;4,DNA replication licensing factor MCM4,MCM4,sp|P33991|MCM4_HUMAN DNA replication licensing factor MCM4 OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=5;tr|A0A3B3IU45|A0A3B3IU45_HUMAN DNA helicase OS=Homo sapiens OX=9606 GN=MCM4 PE=1 SV=1;tr|A0A3B3IT92|A0A3B3IT92_HUMAN DNA helicase OS=Homo sapiens OX=9606 G,22,22,31.9,27.67734371881,27.8098647653518,27.7764939769456,26.8709127021587
Q14686;F6M2K2;F6M2K4;A0A0D9SFT8,Q14686,22;5;4;2,22;5;4;2,22;5;4;2,Nuclear receptor coactivator 6,NCOA6,sp|Q14686|NCOA6_HUMAN Nuclear receptor coactivator 6 OS=Homo sapiens OX=9606 GN=NCOA6 PE=1 SV=3,22,22,17.0,27.6520522592015,28.4655601151445,27.063322660309,26.2441792923139
Q96HC4;H0Y8Y3;A0A0A0MSP3;H0YBI4;A0A0D9SFR4;H0Y929;D6RAA1;A0A0D9SFW3;D6RGG6,Q96HC4;H0Y8Y3,22;13;8;7;4;3;1;1;1,22;13;8;7;4;3;1;1;1,22;13;8;7;4;3;1;1;1,PDZ and LIM domain protein 5,PDLIM5,sp|Q96HC4|PDLI5_HUMAN PDZ and LIM domain protein 5 OS=Homo sapiens OX=9606 GN=PDLIM5 PE=1 SV=5;tr|H0Y8Y3|H0Y8Y3_HUMAN PDZ and LIM domain protein 5 (Fragment) OS=Homo sapiens OX=9606 GN=PDLIM5 PE=1 SV=1,22,22,49.8,21.8885173345389,23.751543241872,30.2148884760026,29.9162718361493
Q29RF7;H0Y9L6;H0Y9L9,Q29RF7,23;3;3,23;3;3,22;3;3,Sister chromatid cohesion protein PDS5 homolog A,PDS5A,sp|Q29RF7|PDS5A_HUMAN Sister chromatid cohesion protein PDS5 homolog A OS=Homo sapiens OX=9606 GN=PDS5A PE=1 SV=1,23,22,26.3,27.1428728556146,27.4117528930229,27.4482141271051,26.8908750590838
Q70E73;C9K0J5;C9J164;C9J0R8;C9JLG4;Q7Z5R6,Q70E73;C9K0J5;C9J164,22;21;15;4;4;1,22;21;15;4;4;1,22;21;15;4;4;1,Ras-associated and pleckstrin homology domains-containing protein 1,RAPH1,"sp|Q70E73|RAPH1_HUMAN Ras-associated and pleckstrin homology domains-containing protein 1 OS=Homo sapiens OX=9606 GN=RAPH1 PE=1 SV=3;tr|C9K0J5|C9K0J5_HUMAN Ras association (RalGDS/AF-6) and pleckstrin homology domains 1, isoform CRA_b OS=Homo sapiens OX=96",22,22,25.8,22.5135705095992,24.3301925660419,29.5911364046723,28.9422085619076
P49756;E9PQU5;H0YE46;E9PSE8,P49756,22;7;3;1,22;7;3;1,22;7;3;1,RNA-binding protein 25,RBM25,sp|P49756|RBM25_HUMAN RNA-binding protein 25 OS=Homo sapiens OX=9606 GN=RBM25 PE=1 SV=3,22,22,29.8,28.3042595380837,28.7631291731024,28.1711193659378,28.2756869038456
Q9UPS6;A0A0A0MQV9,Q9UPS6;A0A0A0MQV9,23;23,22;22,22;22,Histone-lysine N-methyltransferase SETD1B;Histone-lysine N-methyltransferase,SETD1B,sp|Q9UPS6|SET1B_HUMAN Histone-lysine N-methyltransferase SETD1B OS=Homo sapiens OX=9606 GN=SETD1B PE=1 SV=3;tr|A0A0A0MQV9|A0A0A0MQV9_HUMAN Histone-lysine N-methyltransferase SETD1B OS=Homo sapiens OX=9606 GN=SETD1B PE=1 SV=1,23,22,17.3,27.5519350399874,27.9567081316027,4.42963131265863,4.37131702904701
O95759;J3KQ40;D6RFZ2,O95759;J3KQ40,23;23;1,23;23;1,22;22;0,TBC1 domain family member 8,TBC1D8,sp|O95759|TBCD8_HUMAN TBC1 domain family member 8 OS=Homo sapiens OX=9606 GN=TBC1D8 PE=1 SV=3;tr|J3KQ40|J3KQ40_HUMAN TBC1 domain family member 8 OS=Homo sapiens OX=9606 GN=TBC1D8 PE=1 SV=1,23,22,26.3,26.6397558053449,26.7112222713223,28.7755524133725,28.4770736700152
