Gene_names,DCAF7_vs_BirA_logFC,DCAF7_vs_BirA_pval,Protein_IDs,Majority_protein_IDs,Peptide_counts__all_,Peptide_counts__razor_unique_,Peptide_counts__unique_,Protein_names,Fasta_headers,Number_of_proteins,Peptides,Razor___unique_peptides,Unique_peptides,Peptides_BirA_alone_R10K8_N1,Peptides_BirA_alone_R10K8_N2,Peptides_DCAF7_R10K8_N2_04_02,Peptides_DCAF7_R10K8_N2_20_01,Razor___unique_peptides_BirA_alone_R10K8_N1,Razor___unique_peptides_BirA_alone_R10K8_N2,Razor___unique_peptides_DCAF7_R10K8_N2_04_02,Razor___unique_peptides_DCAF7_R10K8_N2_20_01,Unique_peptides_BirA_alone_R10K8_N1,Unique_peptides_BirA_alone_R10K8_N2,Unique_peptides_DCAF7_R10K8_N2_04_02,Unique_peptides_DCAF7_R10K8_N2_20_01,Sequence_coverage____,Unique___razor_sequence_coverage____,Unique_sequence_coverage____,Mol__weight__kDa_,Sequence_length,Sequence_lengths,Q_value,Score,Identification_type_BirA_alone_R10K8_N1,Identification_type_BirA_alone_R10K8_N2,Identification_type_DCAF7_R10K8_N2_04_02,Identification_type_DCAF7_R10K8_N2_20_01,Ratio_H_L,Ratio_H_L_normalized,Ratio_H_L_variability____,Ratio_H_L_count,Ratio_H_L_iso_count,Ratio_H_L_type,Ratio_H_L_BirA_alone_R10K8_N1,Ratio_H_L_BirA_alone_R10K8_N2,Ratio_H_L_DCAF7_R10K8_N2_04_02,Ratio_H_L_DCAF7_R10K8_N2_20_01,Ratio_H_L_normalized_BirA_alone_R10K8_N1,Ratio_H_L_normalized_BirA_alone_R10K8_N2,Ratio_H_L_normalized_DCAF7_R10K8_N2_04_02,Ratio_H_L_normalized_DCAF7_R10K8_N2_20_01,Ratio_H_L_variability_____BirA_alone_R10K8_N1,Ratio_H_L_variability_____BirA_alone_R10K8_N2,Ratio_H_L_variability_____DCAF7_R10K8_N2_04_02,Ratio_H_L_variability_____DCAF7_R10K8_N2_20_01,Ratio_H_L_count_BirA_alone_R10K8_N1,Ratio_H_L_count_BirA_alone_R10K8_N2,Ratio_H_L_count_DCAF7_R10K8_N2_04_02,Ratio_H_L_count_DCAF7_R10K8_N2_20_01,Ratio_H_L_iso_count_BirA_alone_R10K8_N1,Ratio_H_L_iso_count_BirA_alone_R10K8_N2,Ratio_H_L_iso_count_DCAF7_R10K8_N2_04_02,Ratio_H_L_iso_count_DCAF7_R10K8_N2_20_01,Ratio_H_L_type_BirA_alone_R10K8_N1,Ratio_H_L_type_BirA_alone_R10K8_N2,Ratio_H_L_type_DCAF7_R10K8_N2_04_02,Ratio_H_L_type_DCAF7_R10K8_N2_20_01,Sequence_coverage_BirA_alone_R10K8_N1____,Sequence_coverage_BirA_alone_R10K8_N2____,Sequence_coverage_DCAF7_R10K8_N2_04_02____,Sequence_coverage_DCAF7_R10K8_N2_20_01____,Intensity,Intensity_L,Intensity_H,Intensity_BirA_alone_R10K8_N1,Intensity_L_BirA_alone_R10K8_N1,Intensity_H_BirA_alone_R10K8_N1,Intensity_BirA_alone_R10K8_N2,Intensity_L_BirA_alone_R10K8_N2,Intensity_H_BirA_alone_R10K8_N2,Intensity_DCAF7_R10K8_N2_04_02,Intensity_L_DCAF7_R10K8_N2_04_02,Intensity_H_DCAF7_R10K8_N2_04_02,Intensity_DCAF7_R10K8_N2_20_01,Intensity_L_DCAF7_R10K8_N2_20_01,Intensity_H_DCAF7_R10K8_N2_20_01,Only_identified_by_site,Reverse,Potential_contaminant,id,Peptide_IDs,Peptide_is_razor,Mod__peptide_IDs,Evidence_IDs,MS_MS_IDs,Best_MS_MS,Carbamyl__K__site_IDs,Oxidation__M__site_IDs,Carbamyl__K__site_positions,Oxidation__M__site_positions,Taxonomy_IDs,AutoID,metacell_Intensity_L_DCAF7_R10K8_N2_04_02,metacell_Intensity_L_DCAF7_R10K8_N2_20_01,metacell_Intensity_L_BirA_alone_R10K8_N1,metacell_Intensity_L_BirA_alone_R10K8_N2
PYCR2,-1.00676407638764,0.338893203572322,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9;A0A087WX69;A0A087WZF0,Q96C36;A0A087WTV6;J3KR12;A0A087WZR9,4;4;3;2;1;1,3;3;2;1;1;1,3;3;2;1;1;1,Pyrroline-5-carboxylate reductase 2;Pyrroline-5-carboxylate reductase,sp|Q96C36|P5CR2_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|A0A087WTV6|A0A087WTV6_HUMAN Pyrroline-5-carboxylate reductase 2 OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1;tr|J3KR12|J3KR12_HUMAN Uncharacterized protei,6,4,3,3,3,3,2,3,2,2,1,2,2,2,1,2,16.9,12.8,12.8,33.637,320,320;246;359;319;87;157,0.0,4.8544,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.62377,1.3398,23.108,7,0,Leave out requantified,0.58045,0.4806,0.64327,0.67119,1.4289,1.2016,1.2297,1.1537,7.9277,35.738,,19.969,2,2,1,2,0,0,0,0,Median,Median,Median,Median,11.2,14.7,9.1,14.7,230610000,140800000,89813000,31401000,19066000,12335000,59603000,40066000,19536000,24374000,14380000,9993600,115230000,67284000,47948000,,,,19,13132;16453;17156;19524,True;False;True;True,14325;17890;18632;21192,37966;47211;47212;47213;47214;47215;47216;47217;49144;49145;49146;49147;49148;56181;56182,78260;97102;97103;97104;97105;97106;97107;97108;97109;97110;97111;97112;97113;97114;97115;97116;97117;100942;100943;100944;100945;100946;100947;100948;100949;100950;100951;100952;100953;100954;100955;100956;100957;100958;116240;116241,78260;97106;100951;116240,,,,,-1;-1;-1;-1;-1;-1,protein_20,quanti,quanti,quanti,quanti
HNRNPDL,0.886452360257671,0.263028867311387,A0A087WU03,A0A087WU03,2,2,2,,tr|A0A087WU03|A0A087WU03_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,1,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,40.4,40.4,40.4,6.7215,57,57,0.0015633,3.0748,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39879,0.91599,9.8589,8,0,Leave out requantified,0.33858,0.32527,0.40567,0.48245,1.0106,0.70866,0.98061,0.80794,,46.15,5.2108,7.8916,1,2,3,2,0,0,0,0,Median,Median,Median,Median,40.4,40.4,40.4,31.6,435190000,310120000,125070000,27175000,19945000,7229600,44137000,31308000,12829000,283390000,205860000,77540000,80489000,53013000,27476000,,,,22,12963;12964,True;True,14143;14144,37504;37505;37506;37507;37508;37509;37510;37511,77338;77339;77340;77341;77342;77343;77344;77345;77346;77347;77348;77349;77350;77351;77352;77353,77338;77350,,,,,-1,protein_23,quanti,quanti,quanti,quanti
CTNNBL1,-0.796465950923768,0.0383741096819088,Q8WYA6;A0A087WUB9;A2A2P1,Q8WYA6;A0A087WUB9,5;5;1,5;5;1,5;5;1,Beta-catenin-like protein 1,sp|Q8WYA6|CTBL1_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1;tr|A0A087WUB9|A0A087WUB9_HUMAN Beta-catenin-like protein 1 OS=Homo sapiens OX=9606 GN=CTNNBL1 PE=1 SV=1,3,5,5,5,2,3,3,3,2,3,3,3,2,3,3,3,11.7,11.7,11.7,65.173,563,563;568;166,0.0,9.3232,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.54688,1.1336,29.132,12,5,Leave out requantified,0.45748,0.57255,0.49415,0.67057,1.2541,1.2588,0.91041,1.042,40.276,40.064,11.95,11.416,2,2,4,4,0,1,2,2,Median,Median,Median,Median,6.0,8.0,5.2,5.2,275620000,171220000,104400000,48875000,30647000,18228000,66051000,43718000,22333000,89457000,57009000,32448000,71237000,39843000,31394000,,,,26,5417;11465;12945;17783;21349,True;True;True;True;True,5857;12543;14125;19301;23162,15257;15258;33423;33424;37461;37462;37463;37464;51028;51029;51030;51031;61392,31331;31332;69361;77265;77266;77267;77268;77269;77270;77271;105053;105054;105055;105056;105057;105058;126863,31331;69361;77266;105053;126863,,,,,-1;-1;-1,protein_27,quanti,quanti,quanti,quanti
HNRNPDL,0.207259398272448,0.404964765473626,O14979;A0A087WUK2,O14979;A0A087WUK2,12;12,10;10,10;10,Heterogeneous nuclear ribonucleoprotein D-like,sp|O14979|HNRDL_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3;tr|A0A087WUK2|A0A087WUK2_HUMAN Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1,2,12,10,10,5,5,9,11,3,3,7,9,3,3,7,9,29.8,27.4,27.4,46.437,420,420;363,0.0,26.3,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.38085,0.82564,11.257,29,9,Leave out requantified,0.26747,0.35794,0.34175,0.47958,0.99733,0.99823,0.8699,0.83197,24.301,31.894,9.0618,12.244,4,4,10,11,1,3,3,2,Median,Median,Leave out requantified,Leave out requantified,12.1,12.1,28.8,29.8,5072500000,3617600000,1454900000,613900000,479620000,134290000,719970000,522960000,197010000,1801900000,1309300000,492640000,1936800000,1305800000,630970000,,,,29,2739;2740;3217;4781;5786;5828;13059;14299;15271;16853;19160;19636,True;True;True;True;True;False;True;True;True;False;True;True,2985;2986;3500;5185;6276;6325;6326;14246;15562;16620;18312;20779;21319,8206;8207;8208;9488;9489;9490;9491;13502;13503;13504;13505;13506;16324;16452;16453;16454;16455;16456;16457;16458;16459;16460;16461;37762;41193;41194;43811;43812;43813;43814;43815;43816;43817;43818;48301;48302;48303;48304;54957;54958;54959;54960;56534,17237;17238;17239;17240;19785;19786;19787;19788;19789;19790;27736;27737;27738;27739;27740;27741;27742;27743;27744;27745;27746;27747;33652;33929;33930;33931;33932;33933;33934;33935;33936;33937;33938;33939;33940;33941;33942;33943;33944;33945;33946;33947;33948;33949;33950;33951;33952;33953;33954;33955;33956;33957;33958;33959;33960;33961;77845;77846;84872;84873;84874;84875;84876;84877;90012;90013;90014;90015;90016;90017;90018;90019;90020;90021;90022;90023;90024;90025;90026;90027;90028;99236;99237;99238;99239;99240;99241;99242;99243;113628;113629;113630;113631;113632;113633;113634;113635;113636;116941;116942;116943,17237;17239;19789;27747;33652;33930;77845;84876;90014;99239;113633;116941,,,,,-1;-1,protein_30,quanti,quanti,quanti,quanti
SLIRP,0.571350546979989,0.16121060563295,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7;H0YJ07;H0YJU7;H0YJI1,Q9GZT3;A0A087WUN7;H0YJ40;G3V4X6;G3V2S9;H0YJW7,7;7;7;7;7;6;2;2;1,7;7;7;7;7;6;2;2;1,7;7;7;7;7;6;2;2;1,"SRA stem-loop-interacting RNA-binding protein, mitochondrial","sp|Q9GZT3|SLIRP_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 SV=1;tr|A0A087WUN7|A0A087WUN7_HUMAN SRA stem-loop-interacting RNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLIRP PE=1 ",9,7,7,7,4,3,5,6,4,3,5,6,4,3,5,6,67.9,67.9,67.9,12.349,109,109;92;96;98;124;76;56;72;40,0.0,27.048,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.62688,1.4683,25.073,20,1,Leave out requantified,0.49915,0.66547,0.63476,0.81289,1.3419,1.977,1.485,1.5064,25.744,25.125,7.8119,24.919,4,3,6,7,0,1,0,0,Leave out requantified,Median,Leave out requantified,Leave out requantified,34.9,33.9,67.0,67.0,1907500000,1122800000,784740000,198090000,131270000,66827000,203540000,123680000,79855000,596350000,363450000,232900000,909550000,504400000,405160000,,,,30,2640;3851;6336;13724;15221;15329;16197,True;True;True;True;True;True;True,2876;4180;6905;14962;16566;16685;17614,7927;7928;7929;7930;11085;18150;18151;39605;39606;39607;39608;39609;39610;43652;44007;44008;46436;46437;46438;46439,16777;16778;16779;23017;37551;37552;37553;37554;37555;81434;81435;81436;81437;81438;81439;81440;81441;81442;81443;89650;90429;90430;90431;90432;90433;90434;90435;90436;95502;95503;95504;95505;95506;95507;95508;95509;95510;95511;95512;95513;95514;95515;95516;95517,16778;23017;37552;81436;89650;90432;95509,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_31,quanti,quanti,quanti,quanti
EIF5B,-0.729048657210758,0.0368371022929502,O60841;A0A087WUT6,O60841;A0A087WUT6,8;8,8;8,8;8,Eukaryotic translation initiation factor 5B,sp|O60841|IF2P_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4;tr|A0A087WUT6|A0A087WUT6_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=1,2,8,8,8,4,5,5,4,4,5,5,4,4,5,5,4,11.5,11.5,11.5,138.83,1220,1220;1220,0.0,14.438,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.39487,0.86662,20.8,19,6,Leave out requantified,0.31215,0.31699,0.41036,0.54395,1.0431,0.86726,0.80864,0.95096,17.143,16.107,20.696,7.1799,5,5,5,4,2,2,1,1,Median,Leave out requantified,Leave out requantified,Leave out requantified,6.6,7.5,7.0,6.0,1063000000,709960000,353080000,192110000,141760000,50347000,230380000,158660000,71719000,307490000,196700000,110790000,333060000,212840000,120220000,,,,32,6369;7160;7443;7866;8615;9826;11082;11454,True;True;True;True;True;True;True;True,6939;7817;8162;8608;9441;10752;12127;12528,18231;20448;20449;21468;21469;21470;22568;22569;24875;24876;28381;32268;32269;32270;32271;33367;33368;33369;33370,37704;42052;42053;42054;44459;44460;46603;46604;46605;46606;46607;46608;46609;51575;51576;51577;58792;58793;58794;66978;66979;66980;66981;66982;66983;69207;69208;69209;69210;69211;69212;69213;69214;69215;69216,37704;42054;44460;46608;51576;58793;66979;69209,,,,,-1;-1,protein_33,quanti,quanti,quanti,quanti
SPTBN1,1.19427741498858,0.030714092437939,Q01082;A0A087WUZ3;F8W6C1;O15020;A4QPE4,Q01082;A0A087WUZ3,49;49;17;2;2,49;49;17;2;2,47;47;15;0;0,"Spectrin beta chain, non-erythrocytic 1","sp|Q01082|SPTB2_HUMAN Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=2;tr|A0A087WUZ3|A0A087WUZ3_HUMAN Spectrin beta chain OS=Homo sapiens OX=9606 GN=SPTBN1 PE=1 SV=1",5,49,49,47,12,16,34,23,12,16,34,23,12,16,32,23,26.7,26.7,25.9,274.61,2364,2364;2366;690;2390;934,0.0,89.268,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.51098,1.0441,24.649,87,23,Leave out requantified,0.42249,0.55333,0.40112,0.5989,1.0902,1.2498,0.97551,1.021,58.143,24.247,24.188,16.23,12,17,34,24,4,2,13,4,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,7.0,10.1,19.6,13.6,4329400000,2779000000,1550400000,245640000,160380000,85261000,475090000,295830000,179260000,2099200000,1441300000,657920000,1509400000,881520000,627910000,,,,33,1533;1877;2783;2799;3180;3235;3894;4004;4275;4396;4411;4590;4611;4612;5106;7376;8442;8953;9138;9139;10022;10023;10984;11230;11294;11804;12094;12394;12395;12627;13149;13320;15004;15614;16628;16812;16813;17278;17382;17395;17905;18253;18258;18736;18854;19378;19605;19862;20065,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,1668;2037;3034;3050;3458;3522;4228;4348;4636;4769;4785;4978;5003;5004;5527;8085;9248;9795;9994;9995;10975;10976;12018;12285;12354;12901;13206;13532;13533;13789;14343;14530;16330;16991;18075;18268;18269;18757;18869;18884;19432;19802;19807;20326;20453;21015;21285;21571;21791,4596;5648;5649;5650;8344;8372;8373;8374;8375;9368;9581;9582;11193;11534;12137;12453;12485;12961;13033;13034;14397;14398;14399;21231;24377;24378;24379;25799;25800;25801;25802;26333;26334;26335;26336;26337;29013;29014;29015;31929;31930;32717;32908;34306;34307;35060;35890;35891;35892;35893;35894;35895;36569;38003;38464;38465;38466;43120;44777;44778;47704;48198;48199;48200;48201;49499;49500;49785;49786;49832;49833;49834;49835;51351;52278;52279;52290;52291;52292;53781;53782;54124;54125;54126;55644;56432;57247;57812;57813,9673;9674;11995;11996;11997;11998;11999;12000;12001;17561;17562;17614;17615;17616;17617;17618;17619;17620;17621;17622;17623;17624;19544;20073;23232;23913;25027;25028;25646;25713;26645;26808;26809;29523;29524;29525;29526;29527;29528;43954;50553;50554;50555;50556;50557;50558;53387;53388;53389;53390;53391;54505;54506;54507;54508;54509;60056;60057;60058;66228;66229;66230;67838;68218;70993;70994;70995;70996;70997;70998;70999;71000;72384;74042;74043;74044;74045;74046;74047;74048;74049;74050;74051;75452;78320;79169;79170;79171;79172;79173;88678;91950;91951;91952;91953;91954;98045;99065;99066;101659;101660;102253;102254;102255;102256;102257;102258;102259;102260;102357;102358;102359;102360;102361;102362;102363;102364;105772;107739;107740;107741;107764;107765;107766;107767;107768;107769;111080;111081;111082;111832;111833;111834;111835;111836;111837;114985;114986;114987;116757;118557;119788;119789;119790;119791;119792,9673;11998;17562;17615;19544;20073;23232;23913;25027;25646;25713;26645;26808;26809;29527;43954;50555;53389;54505;54509;60057;60058;66229;67838;68218;70996;72384;74042;74051;75452;78320;79170;88678;91954;98045;99065;99066;101659;102255;102360;105772;107739;107768;111081;111833;114985;116757;118557;119789,,,,,-1;-1;-1;-1;-1,protein_34,quanti,quanti,quanti,quanti
PDLIM2,18.7807043284889,5.35416449057115e-05,Q96JY6;C9JS55;A0A087WVI1;A0A087WU48;F8WFB8;A0A087WUQ1;E5RGS7;H0YBP7;B3KPU0;C9J760;C9J0X3;C9K0F0;C9JSR2;H7C1D1,Q96JY6;C9JS55;A0A087WVI1;A0A087WU48;F8WFB8;A0A087WUQ1;E5RGS7;H0YBP7;B3KPU0;C9J760;C9J0X3;C9K0F0;C9JSR2;H7C1D1,2;2;2;1;1;1;1;1;1;1;1;1;1;1,2;2;2;1;1;1;1;1;1;1;1;1;1;1,2;2;2;1;1;1;1;1;1;1;1;1;1;1,PDZ and LIM domain protein 2,sp|Q96JY6|PDLI2_HUMAN PDZ and LIM domain protein 2 OS=Homo sapiens OX=9606 GN=PDLIM2 PE=1 SV=1;tr|C9JS55|C9JS55_HUMAN PDZ and LIM domain protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=PDLIM2 PE=1 SV=1;tr|A0A087WVI1|A0A087WVI1_HUMAN PDZ and LIM domain prot,14,2,2,2,0,0,2,1,0,0,2,1,0,0,2,1,7.4,7.4,7.4,37.458,352,352;254;325;18;38;72;132;141;146;153;173;180;235;291,0.0,5.59,,,By MS/MS,By MS/MS,0.59262,0.95323,26.655,3,0,Median,,,0.54039,0.60918,,,1.0996,0.95323,,,35.845,,0,0,2,1,0,0,0,0,Median,Median,Median,Median,0.0,0.0,7.4,4.3,77181000,52552000,24629000,0,0,0,0,0,0,67649000,46711000,20937000,9532400,5840800,3691600,,,,37,1526;11462,True;True,1656;12540,4551;4552;33420,9458;9459;9460;9461;9462;9463;69357,9462;69357,,,,,-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,protein_38,quanti,quanti,imputed MEC,imputed MEC
MTHFD1L,2.55140480425877,0.000953673329128988,Q6UB35;A0A087WVM4;B7ZM99;Q4VXM0;Q4VXM1;Q5JYA8;Q5JYA3;H0Y327,Q6UB35;A0A087WVM4;B7ZM99,10;10;10;2;1;1;1;1,9;9;9;2;1;1;1;1,9;9;9;2;1;1;1;1,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial","sp|Q6UB35|C1TM_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1;tr|A0A087WVM4|A0A087WVM4_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 S",8,10,9,9,3,2,8,8,2,1,7,7,2,1,7,7,13.0,12.0,12.0,105.79,978,978;913;979;92;57;108;114;332,0.0,9.9515,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.60715,1.1848,46.452,17,8,Leave out requantified,0.43292,0.50587,0.59516,0.80279,0.81201,1.0125,1.2493,1.3574,24.103,,46.742,52.253,2,1,7,7,2,0,3,3,Median,Median,Leave out requantified,Leave out requantified,3.9,2.0,9.5,9.7,585420000,332830000,252600000,17913000,12877000,5036200,15610000,10571000,5039600,258610000,152040000,106570000,293290000,157340000,135950000,,,,38,1984;2334;2861;7744;10311;10704;12578;17765;19616;21698,True;True;True;True;True;True;True;True;False;True,2148;2541;3120;8481;11303;11720;13735;19277;21298;23541,5970;7057;7058;8572;8573;22286;30058;30059;30060;31123;31124;36411;36412;50942;50943;50944;50945;56479;56480;56481;56482;56483;56484;62366,12662;15063;18086;18087;18088;46075;62389;62390;62391;64634;75099;104795;104796;104797;104798;116840;116841;116842;116843;116844;116845;116846;116847;116848;116849;128944,12662;15063;18088;46075;62390;64634;75099;104798;116844;128944,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_39,quanti,quanti,quanti,quanti
POLR2E,-1.24738531476435,0.0227718377094235,P19388;A0A087WVZ9;A0A0A0MQR7;K7EQN2;K7EJ87;A0A087WVN5;A0A087WWX0,P19388;A0A087WVZ9;A0A0A0MQR7;K7EQN2;K7EJ87;A0A087WVN5;A0A087WWX0,2;2;2;1;1;1;1,2;2;2;1;1;1;1,2;2;2;1;1;1;1,"DNA-directed RNA polymerases I, II, and III subunit RPABC1","sp|P19388|RPAB1_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV=4;tr|A0A087WVZ9|A0A087WVZ9_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Homo sapiens OX=9606 GN=POLR2E PE=1 SV",7,2,2,2,1,2,1,1,1,2,1,1,1,2,1,1,12.4,12.4,12.4,24.551,210,210;184;204;51;68;83;134,0.0,4.1533,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.80836,1.732,5.8563,5,0,Leave out requantified,0.57692,0.86112,0.78,1.0063,1.817,2.1456,1.7494,1.7935,,36.141,,,1,2,1,1,0,0,0,0,Median,Median,Median,Median,6.7,12.4,6.7,6.7,218260000,109140000,109120000,32334000,20294000,12040000,72599000,36642000,35958000,43322000,23531000,19791000,70003000,28673000,41330000,,,,40,1355;12884,True;True,1462;14063,3988;3989;3990;3991;37294,8276;8277;8278;8279;8280;8281;76941,8280;76941,,,,,-1;-1;-1;-1;-1;-1;-1,protein_41,quanti,quanti,quanti,quanti
POLD2,-0.299474442578266,0.657785875288931,P49005;F8W8R3;A0A087WWF6;C9JHC7;C9IZD2;C9J8Z7;C9JLE1;H7C1B3,P49005;F8W8R3;A0A087WWF6;C9JHC7;C9IZD2;C9J8Z7;C9JLE1,4;4;4;3;2;2;2;1,4;4;4;3;2;2;2;1,4;4;4;3;2;2;2;1,DNA polymerase delta subunit 2,sp|P49005|DPOD2_HUMAN DNA polymerase delta subunit 2 OS=Homo sapiens OX=9606 GN=POLD2 PE=1 SV=1;tr|F8W8R3|F8W8R3_HUMAN DNA polymerase delta subunit 2 OS=Homo sapiens OX=9606 GN=POLD2 PE=1 SV=1;tr|A0A087WWF6|A0A087WWF6_HUMAN DNA polymerase delta subunit 2 O,8,4,4,4,1,2,3,1,1,2,3,1,1,2,3,1,11.5,11.5,11.5,51.289,469,469;455;504;257;148;155;220;83,0.0,9.0719,By MS/MS,By MS/MS,By MS/MS,By MS/MS,2.1974,4.5073,16.771,7,2,Leave out requantified,0.92703,2.2451,1.6411,3.0308,2.4934,5.3717,3.7147,5.1931,,44.312,3.4685,,1,2,3,1,1,1,0,0,Median,Median,Leave out requantified,Median,3.0,5.5,9.2,3.0,237920000,72920000,165000000,19603000,8997400,10606000,50664000,14173000,36491000,117390000,38592000,78803000,50263000,11157000,39106000,,,,44,5008;11008;19416;20052,True;True;True;True,5425;12043;21067;21778,14133;14134;31999;55827;55828;57786;57787,28981;28982;66357;115420;115421;115422;119743;119744,28981;66357;115420;119744,,,,,-1;-1;-1;-1;-1;-1;-1;-1,protein_45,quanti,quanti,quanti,quanti
TRAPPC3,-1.23777749891907,0.0118476844724304,O43617;A0A087WWM0;A0A087WYS5;A6NKE1,O43617;A0A087WWM0;A0A087WYS5,3;3;2;1,3;3;2;1,3;3;2;1,Trafficking protein particle complex subunit 3,sp|O43617|TPPC3_HUMAN Trafficking protein particle complex subunit 3 OS=Homo sapiens OX=9606 GN=TRAPPC3 PE=1 SV=1;tr|A0A087WWM0|A0A087WWM0_HUMAN Trafficking protein particle complex subunit OS=Homo sapiens OX=9606 GN=TRAPPC3 PE=1 SV=1;tr|A0A087WYS5|A0A087W,4,3,3,3,3,3,2,2,3,3,2,2,3,3,2,2,18.9,18.9,18.9,20.274,180,180;188;114;118,0.0,6.2429,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.82078,1.8359,11.476,10,1,Leave out requantified,0.58903,0.74572,0.88013,1.3783,1.6285,1.9146,2.0296,2.3714,1.6152,10.365,10.761,39.62,3,3,2,2,1,0,0,0,Median,Leave out requantified,Median,Median,18.9,18.9,12.8,12.8,366810000,187640000,179170000,65771000,39388000,26383000,95300000,56013000,39287000,105710000,56035000,49678000,100020000,36203000,63819000,,,,46,5474;10921;15313,True;True;True,5921;11949;16668,15419;15420;15421;15422;31758;31759;31760;31761;43970;43971,31703;31704;31705;31706;65924;65925;65926;65927;65928;65929;65930;90369;90370;90371;90372,31706;65930;90369,,,,,-1;-1;-1;-1,protein_47,quanti,quanti,quanti,quanti
RBM15,18.4442383681775,2.14013562628382e-05,Q96T37;A0A494C001;A0A499FJY3;A0A087WWP4,Q96T37;A0A494C001;A0A499FJY3;A0A087WWP4,2;2;2;2,2;2;2;2,2;2;2;2,Putative RNA-binding protein 15,sp|Q96T37|RBM15_HUMAN RNA-binding protein 15 OS=Homo sapiens OX=9606 GN=RBM15 PE=1 SV=2;tr|A0A494C001|A0A494C001_HUMAN RNA-binding protein 15 OS=Homo sapiens OX=9606 GN=RBM15 PE=1 SV=2;tr|A0A499FJY3|A0A499FJY3_HUMAN RNA-binding protein 15 OS=Homo sapiens O,4,2,2,2,0,0,1,2,0,0,1,2,0,0,1,2,3.7,3.7,3.7,107.19,977,977;896;925;933,0.021378,1.1734,,,By MS/MS,By MS/MS,0.50419,0.7894,22.111,3,0,Median,,,0.3941,0.57319,,,0.64188,0.88785,,,,16.62,0,0,1,2,0,0,0,0,Median,Median,Median,Median,0.0,0.0,1.9,3.7,49803000,32597000,17206000,0,0,0,0,0,0,9830000,6576500,3253500,39973000,26021000,13952000,,,,48,12707;16983,True;True,13879;18449,36804;48671;48672,75956;99981,75956;99981,,,,,-1;-1;-1;-1,protein_49,quanti,quanti,imputed MEC,imputed MEC
