Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity ATG16L1-N1,Intensity ATG16L1-N2,Intensity BirA-alone-N1,Intensity BirA-alone-N2
Q9Y2W1;A0A3B3ITZ9,Q9Y2W1;A0A3B3ITZ9,22;22,22;22,22;22,Thyroid hormone receptor-associated protein 3,THRAP3,sp|Q9Y2W1|TR150_HUMAN Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=2;tr|A0A3B3ITZ9|A0A3B3ITZ9_HUMAN Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=1,22,22,25.9,23.7511345753327,23.3682634568771,30.4486473747763,30.2258446842911
Q96JG6;H7BZP1;H0Y7Q2;C9JA29;F8WDT1;F2Z3F0;A0A3B3IRQ5,Q96JG6,22;7;7;2;1;1;1,22;7;7;2;1;1;1,22;7;7;2;1;1;1,Coiled-coil domain-containing protein 132,CCDC132,sp|Q96JG6|VPS50_HUMAN Syndetin OS=Homo sapiens OX=9606 GN=VPS50 PE=1 SV=3,22,22,27.5,29.2179184015314,27.4781543983323,25.238013103317,28.2610510003498
P09874;Q5VX84;Q5VX85,P09874,22;1;1,22;1;1,22;1;1,Poly [ADP-ribose] polymerase 1,PARP1,sp|P09874|PARP1_HUMAN Poly [ADP-ribose] polymerase 1 OS=Homo sapiens OX=9606 GN=PARP1 PE=1 SV=4,22,22,28.4,28.6087596544321,28.3880872677521,28.1236640786742,28.2130813711239
Q53SF7;A0A0X1KG75;A0A590PXD8;A0A0D9SG04;A0A0B4J1Z0;H7C1G2;C9J8C4;C9JWZ0;C9JAU3;C9J5Y6;C9JK90,Q53SF7;A0A0X1KG75;A0A590PXD8;A0A0D9SG04,22;22;22;21;10;7;5;1;1;1;1,22;22;22;21;10;7;5;1;1;1;1,22;22;22;21;10;7;5;1;1;1;1,Cordon-bleu protein-like 1,COBLL1,sp|Q53SF7|COBL1_HUMAN Cordon-bleu protein-like 1 OS=Homo sapiens OX=9606 GN=COBLL1 PE=1 SV=3;tr|A0A0X1KG75|A0A0X1KG75_HUMAN Cordon-bleu protein-like 1 (Fragment) OS=Homo sapiens OX=9606 GN=COBLL1 PE=1 SV=1;tr|A0A590PXD8|A0A590PXD8_HUMAN Cordon-bleu protein,22,22,30.0,29.1924410705973,29.2027981325398,26.4366020091033,26.6555366189605
Q13625;H7C5L8,Q13625,23;2,23;2,22;2,Apoptosis-stimulating of p53 protein 2,TP53BP2,sp|Q13625|ASPP2_HUMAN Apoptosis-stimulating of p53 protein 2 OS=Homo sapiens OX=9606 GN=TP53BP2 PE=1 SV=2,23,22,31.7,29.2435211854469,29.2852888293316,28.2996821102996,28.2985901025565
Q9ULE6,Q9ULE6,22,22,22,Paladin,PALD1,sp|Q9ULE6|PALD_HUMAN Paladin OS=Homo sapiens OX=9606 GN=PALD1 PE=1 SV=3,22,22,35.0,28.1887206582716,27.3722716617604,28.38302697911,27.9985726120309
Q2M2I8;E9PG46;A0A096LP60;Q9NSY1;K4DI97,Q2M2I8;E9PG46,25;20;3;2;2,25;20;3;2;2,22;20;0;2;2,AP2-associated protein kinase 1,AAK1,sp|Q2M2I8|AAK1_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=3;tr|E9PG46|E9PG46_HUMAN AP2-associated protein kinase 1 OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=1,25,22,35.6,30.8724694036985,30.5402854233447,30.5079584339807,30.3376672557894
O75152;E9PQ61;E9PBY7;A0A1W2PPR9,O75152;E9PQ61;E9PBY7,26;22;16;7,26;22;16;7,22;20;14;5,Zinc finger CCCH domain-containing protein 11A,ZC3H11A,sp|O75152|ZC11A_HUMAN Zinc finger CCCH domain-containing protein 11A OS=Homo sapiens OX=9606 GN=ZC3H11A PE=1 SV=3;tr|E9PQ61|E9PQ61_HUMAN Zinc finger CCCH domain-containing protein 11A OS=Homo sapiens OX=9606 GN=ZC3H11A PE=1 SV=1;tr|E9PBY7|E9PBY7_HUMAN Zinc,26,22,37.4,25.3565064748448,24.5776736097149,29.6126136716175,29.2675171345265
Q9H089;H7C2X7;F8WFC6,Q9H089,22;7;5,22;7;5,22;7;5,Large subunit GTPase 1 homolog,LSG1,sp|Q9H089|LSG1_HUMAN Large subunit GTPase 1 homolog OS=Homo sapiens OX=9606 GN=LSG1 PE=1 SV=2,22,22,38.6,29.1919000878818,28.7546172984869,27.6826439274468,27.8132331886445
P38606;C9JA17;C9JVW8,P38606,22;5;5,22;5;5,22;5;5,V-type proton ATPase catalytic subunit A,ATP6V1A,sp|P38606|VATA_HUMAN V-type proton ATPase catalytic subunit A OS=Homo sapiens OX=9606 GN=ATP6V1A PE=1 SV=2,22,22,40.7,30.1308728327602,29.3196289195502,28.3200164456413,27.8327371647845
O43815,O43815,23,23,22,Striatin,STRN,sp|O43815|STRN_HUMAN Striatin OS=Homo sapiens OX=9606 GN=STRN PE=1 SV=4,23,22,42.2,29.6387378606204,29.3329601141277,28.5342674343421,27.9358452252021
Q9H6T3,Q9H6T3,22,22,22,RNA polymerase II-associated protein 3,RPAP3,sp|Q9H6T3|RPAP3_HUMAN RNA polymerase II-associated protein 3 OS=Homo sapiens OX=9606 GN=RPAP3 PE=1 SV=2,22,22,42.3,29.6305162689392,29.1253649486963,29.3160069808465,29.3504120693188
Q9BR76;A0A087WW53;F5H390;F5H0D2;A9Z1Z3,Q9BR76,22;10;10;3;1,22;10;10;3;1,22;10;10;3;1,Coronin-1B,CORO1B,sp|Q9BR76|COR1B_HUMAN Coronin-1B OS=Homo sapiens OX=9606 GN=CORO1B PE=1 SV=1,22,22,48.9,34.4296074656001,33.8297920405397,33.6058711985363,33.4061617802209
Q06124;A0A1W2PPU4;A0A0U1RRI0;H0YF12,Q06124,22;9;8;3,22;9;8;3,22;9;8;3,Tyrosine-protein phosphatase non-receptor type 11,PTPN11,sp|Q06124|PTN11_HUMAN Tyrosine-protein phosphatase non-receptor type 11 OS=Homo sapiens OX=9606 GN=PTPN11 PE=1 SV=3,22,22,50.1,29.0798163359066,28.8451162468341,29.2219330685463,29.1750758101876
P16333;C9JAB9;C9JVV5;C9J869;H7C5C7;C9K098;C9J0K5,P16333;C9JAB9,23;13;10;10;8;7;5,23;13;10;10;8;7;5,22;13;9;9;7;6;4,Cytoplasmic protein NCK1,NCK1,sp|P16333|NCK1_HUMAN Cytoplasmic protein NCK1 OS=Homo sapiens OX=9606 GN=NCK1 PE=1 SV=1;tr|C9JAB9|C9JAB9_HUMAN Cytoplasmic protein NCK1 (Fragment) OS=Homo sapiens OX=9606 GN=NCK1 PE=1 SV=1,23,22,73.7,29.8552080353837,29.6856710585664,29.3664261088723,29.0104932334191
Q15751;H0YNB1;H0YKW7;H0YL74,Q15751,23;5;1;1,23;5;1;1,23;5;1;1,Probable E3 ubiquitin-protein ligase HERC1,HERC1,sp|Q15751|HERC1_HUMAN Probable E3 ubiquitin-protein ligase HERC1 OS=Homo sapiens OX=9606 GN=HERC1 PE=1 SV=2,23,23,7.1,28.3297136858286,26.7141081870782,4.4278525700598,4.37954704379713
Q7Z6Z7;H0Y659;A0A087X1S3;A0A087X146,Q7Z6Z7,23;7;2;1,23;7;2;1,23;7;2;1,E3 ubiquitin-protein ligase HUWE1,HUWE1,sp|Q7Z6Z7|HUWE1_HUMAN E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens OX=9606 GN=HUWE1 PE=1 SV=3,23,23,8.2,24.2430716847924,23.967104507163,28.2011160705728,28.0638369350946
Q13813;A0A0D9SF54;A0A0D9SGF6,Q13813;A0A0D9SF54;A0A0D9SGF6,23;23;23,23;23;23,23;23;23,"Spectrin alpha chain, non-erythrocytic 1",SPTAN1,"sp|Q13813|SPTN1_HUMAN Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3;tr|A0A0D9SF54|A0A0D9SF54_HUMAN Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=1;tr|A0A0D9SGF6|A0A0D9SGF6_HUMAN Sp",23,23,14.0,27.5440685150636,26.4787561674049,26.8743176401531,25.6911505425577
Q14980;A0A087WY61;H0YFY6;F5H4J1;F5H6Y5;K4DIE0;F5H0Z7;F5H763;F5H3L6;F5H2F3;F5GZW1;F5H1L0;F5GWA2;F8W6T3;F5H068;F5H073;F5GWK2;F5H7R5,Q14980;A0A087WY61;H0YFY6,24;24;12;8;6;6;3;3;3;3;3;2;1;1;1;1;1;1,24;24;12;8;6;6;3;3;3;3;3;2;1;1;1;1;1;1,23;23;12;7;5;6;2;2;2;2;2;1;0;0;0;0;0;0,Nuclear mitotic apparatus protein 1,NUMA1,sp|Q14980|NUMA1_HUMAN Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2;tr|A0A087WY61|A0A087WY61_HUMAN Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=1;tr|H0YFY6|H0YFY6_HUMAN Nuclear mitotic appara,24,23,14.6,24.5494785755078,24.0712836225107,27.8584575337153,27.8128661062353
Q9C0D5,Q9C0D5,23,23,23,Protein TANC1,TANC1,sp|Q9C0D5|TANC1_HUMAN Protein TANC1 OS=Homo sapiens OX=9606 GN=TANC1 PE=1 SV=3,23,23,19.1,28.7057955701011,27.5502477200757,27.1299644969179,27.2921962155171
Q14C86;F8W9S7;C9IZ08;B0QZ65;B4DGD8;H0Y7I9;H0Y4E7;A0A0A0MQV8;C9IZX9,Q14C86;F8W9S7;C9IZ08,23;22;12;10;10;9;8;7;2,23;22;12;10;10;9;8;7;2,23;22;12;10;10;9;8;7;2,GTPase-activating protein and VPS9 domain-containing protein 1,GAPVD1,sp|Q14C86|GAPD1_HUMAN GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GAPVD1 PE=1 SV=2;tr|F8W9S7|F8W9S7_HUMAN GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GAPVD1 PE=1 SV,23,23,19.4,29.1028454637664,28.49705150699,29.0643767263913,28.5019555989933
O94986;A0A075B719,O94986,23;9,23;9,23;9,Centrosomal protein of 152 kDa,CEP152,sp|O94986|CE152_HUMAN Centrosomal protein of 152 kDa OS=Homo sapiens OX=9606 GN=CEP152 PE=1 SV=4,23,23,19.8,29.611171820467,29.0956206847696,4.4278525700598,4.37954704379713
Q9UGU0;I3L1M7;A9JX13,Q9UGU0,23;1;1,23;1;1,23;1;1,Transcription factor 20,TCF20,sp|Q9UGU0|TCF20_HUMAN Transcription factor 20 OS=Homo sapiens OX=9606 GN=TCF20 PE=1 SV=3,23,23,20.9,4.5103917704062,4.37962167650643,28.6557072047317,28.0369009321798
Q2TAZ0;H7C3T2,Q2TAZ0;H7C3T2,25;22,23;20,23;20,Autophagy-related protein 2 homolog A,ATG2A,sp|Q2TAZ0|ATG2A_HUMAN Autophagy-related protein 2 homolog A OS=Homo sapiens OX=9606 GN=ATG2A PE=1 SV=3;tr|H7C3T2|H7C3T2_HUMAN Autophagy-related protein 2 homolog A (Fragment) OS=Homo sapiens OX=9606 GN=ATG2A PE=1 SV=1,25,23,22.7,29.4299191772538,28.2459932047185,27.0009914831742,26.5151327818192
Q86UU1;A0A087WZL0;A0A087WXY7;A0A087WTZ7,Q86UU1,23;10;3;1,23;10;3;1,23;10;3;1,Pleckstrin homology-like domain family B member 1,PHLDB1,sp|Q86UU1|PHLB1_HUMAN Pleckstrin homology-like domain family B member 1 OS=Homo sapiens OX=9606 GN=PHLDB1 PE=1 SV=1,23,23,22.9,29.624846425433,29.2838327425825,23.6405282737372,23.756845399379
Q9P2D0;E7EPI0;E9PDR5;D6R9F4,Q9P2D0;E7EPI0;E9PDR5,23;23;18;5,23;23;18;5,23;23;18;5,Inhibitor of Bruton tyrosine kinase,IBTK,sp|Q9P2D0|IBTK_HUMAN Inhibitor of Bruton tyrosine kinase OS=Homo sapiens OX=9606 GN=IBTK PE=1 SV=3;tr|E7EPI0|E7EPI0_HUMAN Inhibitor of Bruton tyrosine kinase OS=Homo sapiens OX=9606 GN=IBTK PE=1 SV=1;tr|E9PDR5|E9PDR5_HUMAN Inhibitor of Bruton tyrosine kina,23,23,24.8,28.4302183570926,29.2072042370518,27.1658591110301,28.8701484226921
Q9H6U6;K7ESE9;K7EKB0;K7EJH7;K7EIE2;K7EML5;K7EJU7,Q9H6U6;K7ESE9,23;18;2;2;2;2;1,23;18;2;2;2;2;1,23;18;2;2;2;2;1,Breast carcinoma-amplified sequence 3,BCAS3,sp|Q9H6U6|BCAS3_HUMAN Breast carcinoma-amplified sequence 3 OS=Homo sapiens OX=9606 GN=BCAS3 PE=1 SV=3;tr|K7ESE9|K7ESE9_HUMAN Breast carcinoma-amplified sequence 3 OS=Homo sapiens OX=9606 GN=BCAS3 PE=1 SV=1,23,23,31.6,29.3662176450045,28.9235155084759,26.9256956833273,27.0887133616237
Q00839;A0A1W2PPS1;A0A1X7SBS1;A0A1W2PP35;Q5RI18;A0A1W2PPH7;A0A1W2PPL4;A0A1W2PP34;A0A1W2PQL0;A0A1W2PQ74;A0A1W2PRZ7;A0A1W2PQD4;A0A1W2PRI6;A0A1W2PPE9;A0A1W2PP22;A0A1W2PNG3;A0A087WVI9,Q00839;A0A1W2PPS1;A0A1X7SBS1;A0A1W2PP35;Q5RI18;A0A1W2PPH7;A0A1W2PPL4;A0A1W2PP34;A0A1W2PQL0;A0A1W2PQ74;A0A1W2PRZ7,23;21;21;20;19;17;17;15;15;13;12;11;3;2;1;1;1,23;21;21;20;19;17;17;15;15;13;12;11;3;2;1;1;1,23;21;21;20;19;17;17;15;15;13;12;11;3;2;1;1;1,Heterogeneous nuclear ribonucleoprotein U,HNRNPU,sp|Q00839|HNRPU_HUMAN Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6;tr|A0A1W2PPS1|A0A1W2PPS1_HUMAN Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=1;tr|A0A1X7SBS1|A0A1X7SBS1_HUMAN,23,23,33.2,27.7320155342381,26.9981959784194,30.4032437837162,30.3282803713911
Q14677,Q14677,23,23,23,Clathrin interactor 1,CLINT1,sp|Q14677|EPN4_HUMAN Clathrin interactor 1 OS=Homo sapiens OX=9606 GN=CLINT1 PE=1 SV=1,23,23,33.4,32.3107032173238,31.9837290215832,30.1192917856149,30.3417018780505
Q5H9R7;H7BXH2;E9PKF6;E9PQP7;H0YEN2;E9PK08;E9PNN8;E9PJD8;E9PKG4;H0YDW1;H0YDK9,Q5H9R7;H7BXH2;E9PKF6;E9PQP7,23;23;23;13;9;8;7;2;2;2;1,23;23;23;13;9;8;7;2;2;2;1,23;23;23;13;9;8;7;2;2;2;1,Serine/threonine-protein phosphatase 6 regulatory subunit 3,PPP6R3,sp|Q5H9R7|PP6R3_HUMAN Serine/threonine-protein phosphatase 6 regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PPP6R3 PE=1 SV=2;tr|H7BXH2|H7BXH2_HUMAN Serine/threonine-protein phosphatase 6 regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PPP6R3 PE=1 SV=1;tr|,23,23,34.8,29.6074374152772,29.310036841715,28.6569348272198,28.4860806798629
P29317;P54762;Q9UF33;J3KR66;A0A3B3IRY8;A0A0B4J1T8;P29320;P54764;P29322;U3NG26;C9JXA2;E9PG71,P29317,25;2;2;2;2;2;1;1;1;1;1;1,25;2;2;2;2;2;1;1;1;1;1;1,23;0;0;0;0;0;0;0;0;0;0;0,Ephrin type-A receptor 2,EPHA2,sp|P29317|EPHA2_HUMAN Ephrin type-A receptor 2 OS=Homo sapiens OX=9606 GN=EPHA2 PE=1 SV=2,25,23,36.1,30.2960315697513,29.5669057896491,26.3582191094868,26.475528366696
E7EX44;E9PGZ1;Q05682;C9J813;C9JEK3;REV__H0YH95;REV__H0YEF9;REV__E9PJZ7;REV__H0YHK3;REV__Q13136;REV__A0A2R8Y7R9;REV__G3V200;REV__O75334,E7EX44;E9PGZ1;Q05682;C9J813,23;21;20;15;3;1;1;1;1;1;1;1;1,23;21;20;15;3;1;1;1;1;1;1;1;1,23;21;20;15;3;1;1;1;1;1;1;1;1,Caldesmon,CALD1,tr|E7EX44|E7EX44_HUMAN Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=1;tr|E9PGZ1|E9PGZ1_HUMAN Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=1;sp|Q05682|CALD1_HUMAN Caldesmon OS=Homo sapiens OX=9606 GN=CALD1 PE=1 SV=3;tr|C9J813|C9J813_HUMAN Caldes,23,23,40.6,31.2927447479145,31.0783917784179,31.152370089986,30.970556126143
Q99459,Q99459,23,23,23,Cell division cycle 5-like protein,CDC5L,sp|Q99459|CDC5L_HUMAN Cell division cycle 5-like protein OS=Homo sapiens OX=9606 GN=CDC5L PE=1 SV=2,23,23,42.3,4.5103917704062,4.37962167650643,29.1641094162909,29.2655959832482
Q6PJT7;G3V256;H0YJA2;G3V5I6;A0A3B3IT62;G3V3Y4;G3V3R9;G3V411;G3V240;G3V572;A0A087WTC9;G3V2X4;G3V473;H0YJ87;G3V4R5;H0YJ51,Q6PJT7;G3V256;H0YJA2;G3V5I6,23;19;18;13;10;7;6;5;4;4;4;3;3;2;2;1,23;19;18;13;10;7;6;5;4;4;4;3;3;2;2;1,23;19;18;13;10;7;6;5;4;4;4;3;3;2;2;1,Zinc finger CCCH domain-containing protein 14,ZC3H14,sp|Q6PJT7|ZC3HE_HUMAN Zinc finger CCCH domain-containing protein 14 OS=Homo sapiens OX=9606 GN=ZC3H14 PE=1 SV=1;tr|G3V256|G3V256_HUMAN Zinc finger CCCH domain-containing protein 14 OS=Homo sapiens OX=9606 GN=ZC3H14 PE=1 SV=1;tr|H0YJA2|H0YJA2_HUMAN Zinc fin,23,23,43.9,27.5706559926645,23.3132672453018,29.0769403364074,28.310643635288
P08195;F5GZS6;J3KPF3;F5H0E2;H0YFS2;F5H867;F5GZI0;H0YFX4;F5GZR9,P08195;F5GZS6;J3KPF3,23;23;23;8;8;5;5;3;2,23;23;23;8;8;5;5;3;2,23;23;23;8;8;5;5;3;2,4F2 cell-surface antigen heavy chain,SLC3A2,sp|P08195|4F2_HUMAN 4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=3;tr|F5GZS6|F5GZS6_HUMAN 4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=1;tr|J3KPF3|J3KPF3_HUMAN 4F2 cell-surface antigen hea,23,23,45.1,30.09521824534,29.9219562211269,30.0604650983334,29.7485042085762
Q86T24,Q86T24,23,23,23,Transcriptional regulator Kaiso,ZBTB33,sp|Q86T24|KAISO_HUMAN Transcriptional regulator Kaiso OS=Homo sapiens OX=9606 GN=ZBTB33 PE=1 SV=2,23,23,49.1,30.9852229869273,30.8778169300924,30.4090232915566,30.2231997522251
Q96HC4;H0Y8Y3;A0A0A0MSP3;H0YBI4;A0A0D9SFR4;H0Y929;D6RAA1;A0A0D9SFW3;D6RGG6,Q96HC4;H0Y8Y3,23;14;9;7;4;3;1;1;1,23;14;9;7;4;3;1;1;1,23;14;9;7;4;3;1;1;1,PDZ and LIM domain protein 5,PDLIM5,sp|Q96HC4|PDLI5_HUMAN PDZ and LIM domain protein 5 OS=Homo sapiens OX=9606 GN=PDLIM5 PE=1 SV=5;tr|H0Y8Y3|H0Y8Y3_HUMAN PDZ and LIM domain protein 5 (Fragment) OS=Homo sapiens OX=9606 GN=PDLIM5 PE=1 SV=1,23,23,50.0,30.4496315449767,30.1583419927723,30.2574361498996,30.1324671743626
Q7Z569;J3KNN7,Q7Z569;J3KNN7,23;23,23;23,23;23,BRCA1-associated protein,BRAP,sp|Q7Z569|BRAP_HUMAN BRCA1-associated protein OS=Homo sapiens OX=9606 GN=BRAP PE=1 SV=2;tr|J3KNN7|J3KNN7_HUMAN BRCA1-associated protein OS=Homo sapiens OX=9606 GN=BRAP PE=1 SV=1,23,23,50.5,30.2066454770438,29.3455137717523,27.400151886331,27.262754247559
Q9NZC7;F5H3R5;A0A087WZG5,Q9NZC7,23;7;6,23;7;6,23;7;6,WW domain-containing oxidoreductase,WWOX,sp|Q9NZC7|WWOX_HUMAN WW domain-containing oxidoreductase OS=Homo sapiens OX=9606 GN=WWOX PE=1 SV=1,23,23,70.8,31.915381624325,31.6708428814818,29.5310165508529,29.4042187972975
Q5VT06;H0Y7F7;E9PIK0;Q5T2X4;H0Y6Q4;A2A4F6,Q5VT06,24;6;5;4;2;1,24;6;5;4;2;1,24;6;5;4;2;1,Centrosome-associated protein 350,CEP350,sp|Q5VT06|CE350_HUMAN Centrosome-associated protein 350 OS=Homo sapiens OX=9606 GN=CEP350 PE=1 SV=1,24,24,11.3,28.4107425315831,27.2148421682448,4.4278525700598,4.37954704379713
Q8NI27;A0A0C4DG98;H0Y815;F2Z2V2,Q8NI27;A0A0C4DG98,24;23;8;1,24;23;8;1,24;23;8;1,THO complex subunit 2,THOC2,sp|Q8NI27|THOC2_HUMAN THO complex subunit 2 OS=Homo sapiens OX=9606 GN=THOC2 PE=1 SV=2;tr|A0A0C4DG98|A0A0C4DG98_HUMAN THO complex subunit 2 OS=Homo sapiens OX=9606 GN=THOC2 PE=1 SV=1,24,24,18.8,4.5103917704062,4.37962167650643,29.2284389028178,29.0169879140426
Q9H501;A0A087WX71,Q9H501,24;11,24;11,24;11,ESF1 homolog,ESF1,sp|Q9H501|ESF1_HUMAN ESF1 homolog OS=Homo sapiens OX=9606 GN=ESF1 PE=1 SV=1,24,24,27.0,22.5519907612385,23.5598755749225,28.9259785813498,29.1537113957103
Q9NQC7;J3KRR7;H3BS09;H3BSW9;H3BTB8;J3QKR2;H3BPZ5;I3L117,Q9NQC7;J3KRR7;H3BS09,24;23;20;7;6;4;2;2,24;23;20;7;6;4;2;2,24;23;20;7;6;4;2;2,Ubiquitin carboxyl-terminal hydrolase CYLD,CYLD,sp|Q9NQC7|CYLD_HUMAN Ubiquitin carboxyl-terminal hydrolase CYLD OS=Homo sapiens OX=9606 GN=CYLD PE=1 SV=1;tr|J3KRR7|J3KRR7_HUMAN Ubiquitin carboxyl-terminal hydrolase CYLD OS=Homo sapiens OX=9606 GN=CYLD PE=1 SV=1;tr|H3BS09|H3BS09_HUMAN Ubiquitin carboxyl-,24,24,28.2,29.8333254688573,29.2886146622919,27.2409084916515,27.3154456293023
Q9ULH1;A0A0A0MRE5;H0YBF7;H0YBM4;E5RHD7;O43150;E5RFD9;A0A286YFG8,Q9ULH1;A0A0A0MRE5;H0YBF7,24;24;20;7;2;1;1;1,24;24;20;7;2;1;1;1,24;24;20;7;2;1;1;1,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1",ASAP1,"sp|Q9ULH1|ASAP1_HUMAN Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ASAP1 PE=1 SV=4;tr|A0A0A0MRE5|A0A0A0MRE5_HUMAN Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens OX",24,24,28.3,28.0679958182819,27.7301375728811,28.7535019563047,28.5398233913021
O15042;E7ET15;E7EW00;H0Y8D9;C9J5L1;H7C4V2;C9JDJ7,O15042;E7ET15,27;26;12;12;4;4;3,27;26;12;12;4;4;3,24;23;9;9;1;4;0,U2 snRNP-associated SURP motif-containing protein,U2SURP,sp|O15042|SR140_HUMAN U2 snRNP-associated SURP motif-containing protein OS=Homo sapiens OX=9606 GN=U2SURP PE=1 SV=2;tr|E7ET15|E7ET15_HUMAN U2 snRNP-associated SURP motif-containing protein OS=Homo sapiens OX=9606 GN=U2SURP PE=1 SV=1,27,24,33.4,24.2690655958625,24.0113733239594,30.22043464349,30.1908410563618
Q8TD19;G3V459;G3V5V0;G3V2Z5;REV__Q5SQT3;REV__Q9P0M6,Q8TD19,24;4;1;1;1;1,24;4;1;1;1;1,24;4;1;1;1;1,Serine/threonine-protein kinase Nek9,NEK9,sp|Q8TD19|NEK9_HUMAN Serine/threonine-protein kinase Nek9 OS=Homo sapiens OX=9606 GN=NEK9 PE=1 SV=2,24,24,33.7,29.8361128786169,29.3907542530731,29.0050139444899,28.8595835049683
P19838;A0A494C1E9;A0A494C157;D6RF93;D6RH30;D6RC45,P19838;A0A494C1E9,24;13;9;6;6;3,24;13;9;6;6;3,24;13;9;6;6;3,Nuclear factor NF-kappa-B p105 subunit;Nuclear factor NF-kappa-B p50 subunit,NFKB1,sp|P19838|NFKB1_HUMAN Nuclear factor NF-kappa-B p105 subunit OS=Homo sapiens OX=9606 GN=NFKB1 PE=1 SV=2;tr|A0A494C1E9|A0A494C1E9_HUMAN Nuclear factor NF-kappa-B p105 subunit OS=Homo sapiens OX=9606 GN=NFKB1 PE=1 SV=1,24,24,35.3,29.3899751825607,29.0904811538322,27.7654074128825,27.7132561308314
Q99460;A0A087WW66;H7C378;H7BZR6;C9J9M4;F8WCE3,Q99460;A0A087WW66,24;23;6;3;2;1,24;23;6;3;2;1,24;23;6;3;2;1,26S proteasome non-ATPase regulatory subunit 1,PSMD1,sp|Q99460|PSMD1_HUMAN 26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens OX=9606 GN=PSMD1 PE=1 SV=2;tr|A0A087WW66|A0A087WW66_HUMAN 26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens OX=9606 GN=PSMD1 PE=1 SV=1,24,24,36.9,29.8188044190843,29.5673954997598,27.7856265723038,27.5305887467158
Q8N3F8;H0Y6J8;B0QY91;B0QY86,Q8N3F8,24;10;5;4,24;10;5;4,24;10;5;4,MICAL-like protein 1,MICALL1,sp|Q8N3F8|MILK1_HUMAN MICAL-like protein 1 OS=Homo sapiens OX=9606 GN=MICALL1 PE=1 SV=2,24,24,41.3,29.5118648292131,29.1353080903472,27.4768419800106,27.1047959643528
Q14258;A0A3B3IUA7,Q14258;A0A3B3IUA7,24;17,24;17,24;17,E3 ubiquitin/ISG15 ligase TRIM25,TRIM25,sp|Q14258|TRI25_HUMAN E3 ubiquitin/ISG15 ligase TRIM25 OS=Homo sapiens OX=9606 GN=TRIM25 PE=1 SV=2;tr|A0A3B3IUA7|A0A3B3IUA7_HUMAN E3 ubiquitin/ISG15 ligase TRIM25 OS=Homo sapiens OX=9606 GN=TRIM25 PE=1 SV=1,24,24,46.7,30.0094524337625,29.7274458861192,29.5320576307827,29.4955846467308
Q13596;H0YK42;H0YK43;J3KPH4;H0YKD5;H0YKL5;H0YK58,Q13596;H0YK42,26;19;1;1;1;1;1,26;19;1;1;1;1;1,24;17;1;1;1;1;1,Sorting nexin-1,SNX1,sp|Q13596|SNX1_HUMAN Sorting nexin-1 OS=Homo sapiens OX=9606 GN=SNX1 PE=1 SV=3;tr|H0YK42|H0YK42_HUMAN Sorting nexin-1 OS=Homo sapiens OX=9606 GN=SNX1 PE=1 SV=1,26,24,49.4,32.5012580683347,32.3337279362308,31.579476643606,31.3527392605656
