Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Peptides,Unique peptides,Sequence coverage [%],Intensity DDA1_N1,Intensity DDA1_N2,Intensity U2OS-BirA-alone_N1,Intensity U2OS-BirA-alone_N2
Q13625;H7C5L8;Q96KQ4;A0A3B3ISJ2,Q13625,17;2;1;1,17;2;1;1,17;2;1;1,Apoptosis-stimulating of p53 protein 2,TP53BP2,sp|Q13625|ASPP2_HUMAN Apoptosis-stimulating of p53 protein 2 OS=Homo sapiens OX=9606 GN=TP53BP2 PE=1 SV=2,17,17,22.0,4.44813127545976,4.42301530869759,28.2996821102996,28.3209632936482
O75691,O75691,17,17,17,Small subunit processome component 20 homolog,UTP20,sp|O75691|UTP20_HUMAN Small subunit processome component 20 homolog OS=Homo sapiens OX=9606 GN=UTP20 PE=1 SV=3,17,17,8.9,28.0602331558642,28.0584794953791,27.4576373809918,22.2145420579458
Q14191;A0A494C0Y6,Q14191,17;2,17;2,17;2,Werner syndrome ATP-dependent helicase,WRN,sp|Q14191|WRN_HUMAN Werner syndrome ATP-dependent helicase OS=Homo sapiens OX=9606 GN=WRN PE=1 SV=2,17,17,18.0,27.3090394121738,27.58348131397,4.42168670121973,4.40094061045596
Q9NZC7;A0A087WZG5;F5H3R5,Q9NZC7,17;6;5,17;6;5,17;6;5,WW domain-containing oxidoreductase,WWOX,sp|Q9NZC7|WWOX_HUMAN WW domain-containing oxidoreductase OS=Homo sapiens OX=9606 GN=WWOX PE=1 SV=1,17,17,56.3,26.051235996239,25.828397429225,29.5310165508529,29.4042187972975
Q8IZH2;F8WDA0;C9JCZ8,Q8IZH2,60;3;3,60;3;3,17;3;3,5-3 exoribonuclease 1,XRN1,sp|Q8IZH2|XRN1_HUMAN 5-3 exoribonuclease 1 OS=Homo sapiens OX=9606 GN=XRN1 PE=1 SV=1,60,17,43.4,26.7422687235114,26.4392522287127,31.5212665254313,31.3882823298997
Q9Y6X8;H0YKA3,Q9Y6X8,18;3,17;3,17;3,Zinc fingers and homeoboxes protein 2,ZHX2,sp|Q9Y6X8|ZHX2_HUMAN Zinc fingers and homeoboxes protein 2 OS=Homo sapiens OX=9606 GN=ZHX2 PE=1 SV=1,18,17,29.2,27.776054657082,27.8024264336879,4.42168670121973,4.40094061045596
Q8N6T3;F8VWH9;E5RHC5;F8W1U7;E5RHT6;E5RHH7;F8VWB3;H0YIQ0;E5RGL6;E5RIU2,Q8N6T3;F8VWH9;E5RHC5;F8W1U7;E5RHT6,18;16;12;12;11;5;4;3;2;1,18;16;12;12;11;5;4;3;2;1,18;16;12;12;11;5;4;3;2;1,ADP-ribosylation factor GTPase-activating protein 1,ARFGAP1,sp|Q8N6T3|ARFG1_HUMAN ADP-ribosylation factor GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARFGAP1 PE=1 SV=2;tr|F8VWH9|F8VWH9_HUMAN ADP-ribosylation factor GTPase-activating protein 1 OS=Homo sapiens OX=9606 GN=ARFGAP1 PE=1 SV=1;tr|E5RHC5|E5RHC5_,18,18,54.2,27.7276081781539,27.3526235162484,30.2725313335759,30.5528878703384
P46109,P46109,18,18,18,Crk-like protein,CRKL,sp|P46109|CRKL_HUMAN Crk-like protein OS=Homo sapiens OX=9606 GN=CRKL PE=1 SV=1,18,18,65.3,31.1703315493598,30.8155100710433,31.0732925593923,30.9289597805717
Q16643;D6R9W4;D6R9Q9;D6RFI1;D6RCR4,Q16643;D6R9W4,18;12;7;6;2,18;12;7;6;2,18;12;7;6;2,Drebrin,DBN1,sp|Q16643|DREB_HUMAN Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4;tr|D6R9W4|D6R9W4_HUMAN Drebrin (Fragment) OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=1,18,18,37.4,4.44813127545976,4.42301530869759,30.8522191638882,30.5727171667354
O60610;A0A2R8Y5N1;A0A0G2JH68;H9KV28;A0A140T8Z0;B4E2I7;A0A2R8YEF8,O60610;A0A2R8Y5N1;A0A0G2JH68;H9KV28;A0A140T8Z0,18;18;18;17;17;2;1,18;18;18;17;17;2;1,18;18;18;17;17;2;1,Protein diaphanous homolog 1,DIAPH1,sp|O60610|DIAP1_HUMAN Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=2;tr|A0A2R8Y5N1|A0A2R8Y5N1_HUMAN Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=1;tr|A0A0G2JH68|A0A0G2JH68_HUMAN Protein diaphanous homolog,18,18,18.5,23.8590835720444,23.3627903532345,27.1587512782089,27.4723553108518
Q14195;H0YBT4;D6RF19;H0YB87,Q14195,22;7;3;1,19;5;2;1,18;4;2;1,Dihydropyrimidinase-related protein 3,DPYSL3,sp|Q14195|DPYL3_HUMAN Dihydropyrimidinase-related protein 3 OS=Homo sapiens OX=9606 GN=DPYSL3 PE=1 SV=1,22,18,58.2,4.44813127545976,4.42301530869759,30.2892305312641,30.2118753757779
Q96C19;H0Y4Y4;Q9BUP0;A0A087X1Z2;C9JTV4;Q8WYH2,Q96C19,18;7;2;2;1;1,18;7;2;2;1;1,18;7;2;2;1;1,EF-hand domain-containing protein D2,EFHD2,sp|Q96C19|EFHD2_HUMAN EF-hand domain-containing protein D2 OS=Homo sapiens OX=9606 GN=EFHD2 PE=1 SV=1,18,18,56.7,28.7857512758254,28.9194862655177,31.5953490200073,31.6080546110261
Q92917,Q92917,18,18,18,G patch domain and KOW motifs-containing protein,GPKOW,sp|Q92917|GPKOW_HUMAN G-patch domain and KOW motifs-containing protein OS=Homo sapiens OX=9606 GN=GPKOW PE=1 SV=2,18,18,56.3,30.3025828337488,29.9985995106697,27.8352094437819,27.9852229869273
Q9Y450;B7Z524;H0YDX7;J3QT46;H0YES5;E9PHZ9;E9PN23;G5E991;E9PMN1;E9PLR4;E9PJ90;E9PS53,Q9Y450;B7Z524;H0YDX7;J3QT46,18;14;14;14;6;6;4;4;4;4;2;2,18;14;14;14;6;6;4;4;4;4;2;2,18;14;14;14;6;6;4;4;4;4;2;2,HBS1-like protein,HBS1L,sp|Q9Y450|HBS1L_HUMAN HBS1-like protein OS=Homo sapiens OX=9606 GN=HBS1L PE=1 SV=1;tr|B7Z524|B7Z524_HUMAN HBS1-like protein OS=Homo sapiens OX=9606 GN=HBS1L PE=1 SV=1;tr|H0YDX7|H0YDX7_HUMAN HBS1-like protein (Fragment) OS=Homo sapiens OX=9606 GN=HBS1L PE=1,18,18,36.4,4.44813127545976,4.42301530869759,28.0183417223811,28.0795874840141
O95373;E9PLB2;E9PLJ0,O95373,18;2;1,18;2;1,18;2;1,Importin-7,IPO7,sp|O95373|IPO7_HUMAN Importin-7 OS=Homo sapiens OX=9606 GN=IPO7 PE=1 SV=1,18,18,21.7,27.8740244273315,28.0804010147559,29.225224135687,29.0785190282562
Q9Y4C1;F8WE62;C9J7Q7;C9JC73,Q9Y4C1;F8WE62,20;11;9;5,18;11;9;5,18;11;9;5,Lysine-specific demethylase 3A,KDM3A,sp|Q9Y4C1|KDM3A_HUMAN Lysine-specific demethylase 3A OS=Homo sapiens OX=9606 GN=KDM3A PE=1 SV=4;tr|F8WE62|F8WE62_HUMAN Lysine-specific demethylase 3A OS=Homo sapiens OX=9606 GN=KDM3A PE=1 SV=1,20,18,21.4,28.8820953059953,28.9419847798358,23.6651398402505,23.947975743174
Q92945;A0A087WTP3;M0R0I5;M0QYH3;M0QXW7;M0QYG1;M0R0C6;M0R3J3;M0R251;M0R263,Q92945;A0A087WTP3;M0R0I5,20;20;10;7;4;3;3;3;2;2,20;20;10;7;4;3;3;3;2;2,18;18;10;7;4;1;1;1;0;0,Far upstream element-binding protein 2,KHSRP,sp|Q92945|FUBP2_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4;tr|A0A087WTP3|A0A087WTP3_HUMAN Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=1;tr|M0R0I5|M0R0I5_HUMAN Far upstream ele,20,18,37.6,29.6080898713807,29.3020598260096,29.1929818505308,29.1041210894546
P13796;Q5TBN3;Q5TBN5,P13796,23;6;1,23;6;1,18;3;1,Plastin-2,LCP1,sp|P13796|PLSL_HUMAN Plastin-2 OS=Homo sapiens OX=9606 GN=LCP1 PE=1 SV=6,23,18,46.1,4.44813127545976,4.42301530869759,29.6860552671953,29.2185882890023
P49321;Q5T624;E9PI86;H0YF33;H0YDS9;E9PPQ8,P49321;Q5T624,47;25;19;14;9;8,47;25;19;14;9;8,18;10;8;2;2;4,Nuclear autoantigenic sperm protein,NASP,sp|P49321|NASP_HUMAN Nuclear autoantigenic sperm protein OS=Homo sapiens OX=9606 GN=NASP PE=1 SV=2;tr|Q5T624|Q5T624_HUMAN Nuclear autoantigenic sperm protein OS=Homo sapiens OX=9606 GN=NASP PE=1 SV=1,47,18,71.6,35.2980956972897,35.3332814227502,32.2704998975157,32.1537899020029
Q8TD19;G3V459;G3V5V0;G3V2Z5,Q8TD19,18;3;1;1,18;3;1;1,18;3;1;1,Serine/threonine-protein kinase Nek9,NEK9,sp|Q8TD19|NEK9_HUMAN Serine/threonine-protein kinase Nek9 OS=Homo sapiens OX=9606 GN=NEK9 PE=1 SV=2,18,18,23.8,4.44813127545976,4.42301530869759,29.0050139444899,28.8595835049683
P18615;A0A0A0MSN9;A0A0A0MT02;A0A0G2JI50;E9PD43;A2ABK4;E7ENC7;E7EWR7,P18615;A0A0A0MSN9;A0A0A0MT02;A0A0G2JI50;E9PD43,18;14;13;9;9;8;2;2,18;14;13;9;9;8;2;2,18;14;13;9;9;8;2;2,Negative elongation factor E,NELFE,sp|P18615|NELFE_HUMAN Negative elongation factor E OS=Homo sapiens OX=9606 GN=NELFE PE=1 SV=3;tr|A0A0A0MSN9|A0A0A0MSN9_HUMAN Negative elongation factor E (Fragment) OS=Homo sapiens OX=9606 GN=NELFE PE=1 SV=6;tr|A0A0A0MT02|A0A0A0MT02_HUMAN Negative elongati,18,18,54.7,31.1614688755455,30.7868263965174,29.2860824394835,29.5122416989524
P49757;G3V3Z8;G3V3R1;G3V3M5;G3V4S6;G3V433,P49757;G3V3Z8;G3V3R1,22;15;11;8;4;4,22;15;11;8;4;4,18;13;8;5;4;4,Protein numb homolog,NUMB,sp|P49757|NUMB_HUMAN Protein numb homolog OS=Homo sapiens OX=9606 GN=NUMB PE=1 SV=2;tr|G3V3Z8|G3V3Z8_HUMAN Protein numb homolog OS=Homo sapiens OX=9606 GN=NUMB PE=1 SV=1;tr|G3V3R1|G3V3R1_HUMAN Protein numb homolog (Fragment) OS=Homo sapiens OX=9606 GN=NUMB,22,18,46.4,24.8158734283826,24.4846218220906,29.8801548169315,29.7192915966693
Q8WX93;H0YA05;A0A3B3ISX8;H0Y952;D6RBB1;D6R9Z5;D6RBH5;D6R9F5;F8WA26,Q8WX93,18;5;5;3;2;1;1;1;1,18;5;5;3;2;1;1;1;1,18;5;5;3;2;1;1;1;1,Palladin,PALLD,sp|Q8WX93|PALLD_HUMAN Palladin OS=Homo sapiens OX=9606 GN=PALLD PE=1 SV=3,18,18,17.0,4.44813127545976,4.42301530869759,29.0156859984869,28.8037509256253
P51003;G3XAH6;A0A0C4DGK1;G3V3I9;H0YJ00;G3V457;H0YJL4,P51003;G3XAH6,29;28;11;8;8;6;1,29;28;11;8;8;6;1,18;17;6;5;2;5;1,Poly(A) polymerase alpha,PAPOLA,sp|P51003|PAPOA_HUMAN Poly(A) polymerase alpha OS=Homo sapiens OX=9606 GN=PAPOLA PE=1 SV=4;tr|G3XAH6|G3XAH6_HUMAN Poly(A) polymerase OS=Homo sapiens OX=9606 GN=PAPOLA PE=1 SV=1,29,18,45.2,31.2724200960539,31.0842970545401,29.5553403445164,29.3728943451145
P50479;C9J542,P50479,18;6,18;6,18;6,PDZ and LIM domain protein 4,PDLIM4,sp|P50479|PDLI4_HUMAN PDZ and LIM domain protein 4 OS=Homo sapiens OX=9606 GN=PDLIM4 PE=1 SV=2,18,18,75.2,30.7892386052866,30.5594671851959,32.8138868229159,32.7241962056352
Q9NTI5;A9IYQ1,Q9NTI5,20;3,18;3,18;3,Sister chromatid cohesion protein PDS5 homolog B,PDS5B,sp|Q9NTI5|PDS5B_HUMAN Sister chromatid cohesion protein PDS5 homolog B OS=Homo sapiens OX=9606 GN=PDS5B PE=1 SV=1,20,18,20.2,27.7422044652195,28.8236255993938,24.7429882209106,23.7480658808102
O60825;Q16875;F2Z2I2;Q5W015;Q5VX20;A0A1W2PR17;P16118;F6RAZ1;I1Z9G3;Q16877;F6XNB3;A0A1W2PNV9;H0Y483;Q4VBA9;Q66S35,O60825,18;3;3;3;3;3;2;2;2;1;1;1;1;1;1,18;3;3;3;3;3;2;2;2;1;1;1;1;1;1,18;3;3;3;3;3;2;2;2;1;1;1;1;1;1,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2;6-phosphofructo-2-kinase;Fructose-2,6-bisphosphatase",PFKFB2,"sp|O60825|F262_HUMAN 6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 OS=Homo sapiens OX=9606 GN=PFKFB2 PE=1 SV=2",18,18,38.2,24.3423845236092,24.7850153691872,28.3406200078627,28.3799740043934
Q9H814,Q9H814,18,18,18,Phosphorylated adapter RNA export protein,PHAX,sp|Q9H814|PHAX_HUMAN Phosphorylated adapter RNA export protein OS=Homo sapiens OX=9606 GN=PHAX PE=1 SV=1,18,18,56.6,30.3058473434557,30.0715035661983,28.0476005627713,28.5132964107787
P47712,P47712,18,18,18,Cytosolic phospholipase A2;Phospholipase A2;Lysophospholipase,PLA2G4A,sp|P47712|PA24A_HUMAN Cytosolic phospholipase A2 OS=Homo sapiens OX=9606 GN=PLA2G4A PE=1 SV=2,18,18,31.5,23.6181811461398,24.4726479776605,28.1124225638275,28.0881573221133
O14974;F8VZN8;H0YIS4;H0YHI8;A0A3B3ISH4;H0YIM2;F8VW28;A0A0U1RQZ1;H0YHL8;H0YIS3,O14974;F8VZN8,18;14;8;6;6;3;2;2;2;2,18;14;8;6;6;3;2;2;2;2,18;14;8;6;6;3;2;2;2;2,Protein phosphatase 1 regulatory subunit 12A,PPP1R12A,sp|O14974|MYPT1_HUMAN Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1;tr|F8VZN8|F8VZN8_HUMAN Protein phosphatase 1 regulatory subunit 12A (Fragment) OS=Homo sapiens OX=9606 GN=PPP1R12A PE=1 SV=1,18,18,19.8,24.6561642751599,25.3567808513517,28.2250402181623,28.5166062084553
A0A087WZ13;E9PAU2;Q8IY67;K7EKR9,A0A087WZ13;E9PAU2;Q8IY67,21;21;13;4,21;21;13;4,18;18;13;4,Ribonucleoprotein PTB-binding 1,RAVER1,tr|A0A087WZ13|A0A087WZ13_HUMAN Ribonucleoprotein PTB-binding 1 OS=Homo sapiens OX=9606 GN=RAVER1 PE=1 SV=1;tr|E9PAU2|E9PAU2_HUMAN Ribonucleoprotein PTB-binding 1 OS=Homo sapiens OX=9606 GN=RAVER1 PE=1 SV=1;sp|Q8IY67|RAVR1_HUMAN Ribonucleoprotein PTB-bindin,21,18,51.8,30.7892386052866,31.2832256057658,25.0527497877722,24.7449393355775
Q9P0U3;F8VRZ8;F8W0I8,Q9P0U3,18;4;2,18;4;2,18;4;2,Sentrin-specific protease 1,SENP1,sp|Q9P0U3|SENP1_HUMAN Sentrin-specific protease 1 OS=Homo sapiens OX=9606 GN=SENP1 PE=1 SV=2,18,18,35.2,28.9043473689476,29.2376302587525,4.42168670121973,4.40094061045596
Q9P270;D6RIF6;H0Y9L2,Q9P270;D6RIF6,18;10;3,18;10;3,18;10;3,SLAIN motif-containing protein 2,SLAIN2,sp|Q9P270|SLAI2_HUMAN SLAIN motif-containing protein 2 OS=Homo sapiens OX=9606 GN=SLAIN2 PE=1 SV=2;tr|D6RIF6|D6RIF6_HUMAN SLAIN motif-containing protein 2 OS=Homo sapiens OX=9606 GN=SLAIN2 PE=1 SV=1,18,18,42.7,4.44813127545976,4.42301530869759,29.0954446313323,28.277949329077
Q9H4L7;D6RAY8;F8W9M2,Q9H4L7,18;3;1,18;3;1,18;3;1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1,SMARCAD1,sp|Q9H4L7|SMRCD_HUMAN SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 OS=Homo sapiens OX=9606 GN=SMARCAD1 PE=1 SV=2,18,18,23.2,29.5976860307135,30.1120993766687,24.6881649198259,23.8018346397202
Q9UPN9;H0Y612,Q9UPN9;H0Y612,18;17,18;17,18;17,E3 ubiquitin-protein ligase TRIM33,TRIM33,sp|Q9UPN9|TRI33_HUMAN E3 ubiquitin-protein ligase TRIM33 OS=Homo sapiens OX=9606 GN=TRIM33 PE=1 SV=3;tr|H0Y612|H0Y612_HUMAN E3 ubiquitin-protein ligase TRIM33 (Fragment) OS=Homo sapiens OX=9606 GN=TRIM33 PE=1 SV=1,18,18,26.2,28.1425320749255,28.181487904251,26.3790320547104,27.1461791142328
Q14669;H7C2Y1,Q14669,18;5,18;5,18;5,E3 ubiquitin-protein ligase TRIP12,TRIP12,sp|Q14669|TRIPC_HUMAN E3 ubiquitin-protein ligase TRIP12 OS=Homo sapiens OX=9606 GN=TRIP12 PE=1 SV=1,18,18,12.8,27.7541712650807,28.05149531985,22.1442935303143,23.6573097258281
P54578;A6NJA2;J3QQT6;J3KS55,P54578;A6NJA2,18;17;1;1,18;17;1;1,18;17;1;1,Ubiquitin carboxyl-terminal hydrolase 14;Ubiquitin carboxyl-terminal hydrolase,USP14,sp|P54578|UBP14_HUMAN Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=3;tr|A6NJA2|A6NJA2_HUMAN Ubiquitin carboxyl-terminal hydrolase OS=Homo sapiens OX=9606 GN=USP14 PE=1 SV=2,18,18,48.6,29.4712896116736,29.5289135100499,29.7195364075573,29.5965846418118
Q15061;C9IZK7;C9JEE7,Q15061,18;6;3,18;6;3,18;6;3,WD repeat-containing protein 43,WDR43,sp|Q15061|WDR43_HUMAN WD repeat-containing protein 43 OS=Homo sapiens OX=9606 GN=WDR43 PE=1 SV=3,18,18,41.2,30.9234446683276,31.3073682570433,26.8859975536961,26.5710467570974
Q96DT7,Q96DT7,18,18,18,Zinc finger and BTB domain-containing protein 10,ZBTB10,sp|Q96DT7|ZBT10_HUMAN Zinc finger and BTB domain-containing protein 10 OS=Homo sapiens OX=9606 GN=ZBTB10 PE=1 SV=2,18,18,32.4,29.4233014360575,29.3767696909049,25.8518618695352,23.3478678748041
E7ERS3;Q86VM9;H3BP01;H3BPD0;H3BRN6;H3BRH3,E7ERS3;Q86VM9,18;17;3;2;1;1,18;17;3;2;1;1,18;17;3;2;1;1,Zinc finger CCCH domain-containing protein 18,ZC3H18,tr|E7ERS3|E7ERS3_HUMAN Zinc finger CCCH domain-containing protein 18 OS=Homo sapiens OX=9606 GN=ZC3H18 PE=1 SV=1;sp|Q86VM9|ZCH18_HUMAN Zinc finger CCCH domain-containing protein 18 OS=Homo sapiens OX=9606 GN=ZC3H18 PE=1 SV=2,18,18,26.8,29.5397679375122,29.4620724484294,25.63516765701,25.0375399162382
Q5SVZ6;Q5SVZ7,Q5SVZ6,18;4,18;4,18;4,Zinc finger MYM-type protein 1,ZMYM1,sp|Q5SVZ6|ZMYM1_HUMAN Zinc finger MYM-type protein 1 OS=Homo sapiens OX=9606 GN=ZMYM1 PE=1 SV=1,18,18,20.6,29.4638660452842,29.6310195639175,23.2353639269973,23.8396926871014
Q92667;I3L0W0;I3L2A2;I3L2N7;I3L0K6;I3L364;I3L3K1;I3NI36,Q92667,19;9;7;7;5;3;2;1,19;9;7;7;5;3;2;1,19;9;7;7;5;3;2;1,"A-kinase anchor protein 1, mitochondrial",AKAP1,"sp|Q92667|AKAP1_HUMAN A-kinase anchor protein 1, mitochondrial OS=Homo sapiens OX=9606 GN=AKAP1 PE=1 SV=1",19,19,29.6,4.44813127545976,4.42301530869759,28.6102743320158,28.4953368477762
Q02952,Q02952,19,19,19,A-kinase anchor protein 12,AKAP12,sp|Q02952|AKA12_HUMAN A-kinase anchor protein 12 OS=Homo sapiens OX=9606 GN=AKAP12 PE=1 SV=4,19,19,17.7,4.44813127545976,4.42301530869759,28.6150895879837,28.2236600888725
Q12873;A0A5F9ZHX5;H7C2H0;A0A5F9ZHM2,Q12873;A0A5F9ZHX5,41;27;3;1,28;18;3;1,19;15;3;1,Chromodomain-helicase-DNA-binding protein 3,CHD3,sp|Q12873|CHD3_HUMAN Chromodomain-helicase-DNA-binding protein 3 OS=Homo sapiens OX=9606 GN=CHD3 PE=1 SV=3;tr|A0A5F9ZHX5|A0A5F9ZHX5_HUMAN Chromodomain-helicase-DNA-binding protein 3 (Fragment) OS=Homo sapiens OX=9606 GN=CHD3 PE=1 SV=1,41,19,26.8,29.4789836941523,29.8902807698637,4.42168670121973,4.40094061045596
Q8WVB6;E7EXA6;A0A0D9SF58;F8WCC1;H0Y7D3,Q8WVB6;E7EXA6;A0A0D9SF58,19;19;18;8;6,19;19;18;8;6,19;19;18;8;6,Chromosome transmission fidelity protein 18 homolog,CHTF18,sp|Q8WVB6|CTF18_HUMAN Chromosome transmission fidelity protein 18 homolog OS=Homo sapiens OX=9606 GN=CHTF18 PE=1 SV=1;tr|E7EXA6|E7EXA6_HUMAN Chromosome transmission fidelity protein 18 homolog OS=Homo sapiens OX=9606 GN=CHTF18 PE=1 SV=2;tr|A0A0D9SF58|A0A0D,19,19,28.5,29.3178837628174,29.6498274357459,23.6210913861726,24.6035412300742
Q14677,Q14677,19,19,19,Clathrin interactor 1,CLINT1,sp|Q14677|EPN4_HUMAN Clathrin interactor 1 OS=Homo sapiens OX=9606 GN=CLINT1 PE=1 SV=1,19,19,33.1,25.1507758193347,25.667280277438,30.1192917856149,30.3417018780505
P38432,P38432,19,19,19,Coilin,COIL,sp|P38432|COIL_HUMAN Coilin OS=Homo sapiens OX=9606 GN=COIL PE=1 SV=1,19,19,33.5,30.8913532116801,31.6761501653613,27.365195736409,26.5813277159571
Q9BZJ0;Q5JY65,Q9BZJ0;Q5JY65,19;19,19;19,19;19,Crooked neck-like protein 1,CRNKL1,sp|Q9BZJ0|CRNL1_HUMAN Crooked neck-like protein 1 OS=Homo sapiens OX=9606 GN=CRNKL1 PE=1 SV=4;tr|Q5JY65|Q5JY65_HUMAN Crooked neck-like protein 1 OS=Homo sapiens OX=9606 GN=CRNKL1 PE=1 SV=1,19,19,24.4,28.9753067691256,29.7244727133075,25.8947652252646,25.8963368389982
O60716;C9JZR2;A0A669KB05;A0A669KB62;H0YC95;E9PKL1,O60716;C9JZR2;A0A669KB05;A0A669KB62,19;19;17;16;3;3,19;19;17;16;3;3,19;19;17;16;3;3,Catenin delta-1,CTNND1,sp|O60716|CTND1_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=1;tr|C9JZR2|C9JZR2_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=1 SV=2;tr|A0A669KB05|A0A669KB05_HUMAN Catenin delta-1 OS=Homo sapiens OX=9606 GN=CTNND1 PE=4 SV=1;,19,19,31.1,24.7583926677413,24.5925770244847,28.340110611621,27.9981421655903
Q5QJE6;J3KP30;E9PRB3,Q5QJE6;J3KP30,19;13;3,19;13;3,19;13;3,Deoxynucleotidyltransferase terminal-interacting protein 2,DNTTIP2,sp|Q5QJE6|TDIF2_HUMAN Deoxynucleotidyltransferase terminal-interacting protein 2 OS=Homo sapiens OX=9606 GN=DNTTIP2 PE=1 SV=2;tr|J3KP30|J3KP30_HUMAN Deoxynucleotidyltransferase terminal-interacting protein 2 OS=Homo sapiens OX=9606 GN=DNTTIP2 PE=1 SV=1,19,19,37.2,30.9911158315042,30.9594745658941,25.9520707707217,25.819581154727
Q14126;J3KSI6,Q14126,19;4,19;4,19;4,Desmoglein-2,DSG2,sp|Q14126|DSG2_HUMAN Desmoglein-2 OS=Homo sapiens OX=9606 GN=DSG2 PE=1 SV=2,19,19,24.5,25.6923217773872,26.314859935275,29.9840007667414,29.7477202438559
Q14527;A0A0C4DGA6;H7C5K0,Q14527;A0A0C4DGA6;H7C5K0,19;19;11,19;19;11,19;19;11,Helicase-like transcription factor,HLTF,sp|Q14527|HLTF_HUMAN Helicase-like transcription factor OS=Homo sapiens OX=9606 GN=HLTF PE=1 SV=2;tr|A0A0C4DGA6|A0A0C4DGA6_HUMAN Helicase-like transcription factor OS=Homo sapiens OX=9606 GN=HLTF PE=1 SV=1;tr|H7C5K0|H7C5K0_HUMAN Helicase-like transcription,19,19,24.3,27.800329403205,28.5588470869424,22.1198428806454,23.4496730810563
Q9ULH0;E9PH70;A0A1W2PPB7;H0Y8E4;H7C584;A0A1W2PPY4,Q9ULH0;E9PH70;A0A1W2PPB7;H0Y8E4,19;13;13;12;1;1,19;13;13;12;1;1,19;13;13;12;1;1,Kinase D-interacting substrate of 220 kDa,KIDINS220,sp|Q9ULH0|KDIS_HUMAN Kinase D-interacting substrate of 220 kDa OS=Homo sapiens OX=9606 GN=KIDINS220 PE=1 SV=3;tr|E9PH70|E9PH70_HUMAN Kinase D-interacting substrate of 220 kDa (Fragment) OS=Homo sapiens OX=9606 GN=KIDINS220 PE=1 SV=1;tr|A0A1W2PPB7|A0A1W2PPB,19,19,15.4,4.44813127545976,4.42301530869759,27.1961988249934,27.0850699348207
Q96Q89;A0A0A0MSJ5,Q96Q89,19;2,19;2,19;2,Kinesin-like protein KIF20B,KIF20B,sp|Q96Q89|KI20B_HUMAN Kinesin-like protein KIF20B OS=Homo sapiens OX=9606 GN=KIF20B PE=1 SV=3,19,19,14.8,27.3267170777407,27.8710890168599,4.42168670121973,4.40094061045596
P02545;Q3BDU5;Q5TCI8;H0YAB0;A0A0C4DGC5,P02545;Q3BDU5;Q5TCI8,19;16;12;5;4,19;16;12;5;4,19;16;12;5;4,Prelamin-A/C;Lamin-A/C,LMNA,sp|P02545|LMNA_HUMAN Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1;tr|Q3BDU5|Q3BDU5_HUMAN Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1;tr|Q5TCI8|Q5TCI8_HUMAN Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1,19,19,36.1,28.5265275955906,28.4460853857782,25.8328940693289,25.9174332705667
O15226,O15226,19,19,19,NF-kappa-B-repressing factor,NKRF,sp|O15226|NKRF_HUMAN NF-kappa-B-repressing factor OS=Homo sapiens OX=9606 GN=NKRF PE=1 SV=2,19,19,33.9,28.8790594041779,28.7484562229769,24.7462215261033,24.340891612333
Q9Y266;A0A0A0MSU9;A0A0A0MSS4,Q9Y266,19;9;7,19;9;7,19;9;7,Nuclear migration protein nudC,NUDC,sp|Q9Y266|NUDC_HUMAN Nuclear migration protein nudC OS=Homo sapiens OX=9606 GN=NUDC PE=1 SV=1,19,19,49.2,28.414658786775,28.6195740367057,30.5148394203996,30.2967974185757
Q9UKX7;B0QY21;X6RKQ2;B1AHA5,Q9UKX7,19;5;1;1,19;5;1;1,19;5;1;1,Nuclear pore complex protein Nup50,NUP50,sp|Q9UKX7|NUP50_HUMAN Nuclear pore complex protein Nup50 OS=Homo sapiens OX=9606 GN=NUP50 PE=1 SV=2,19,19,56.4,31.4700970332183,31.0231361856136,27.6649907041647,28.3286869783668
