DCAF11_vs_BirA,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
RPL15,0.3238754547,0.0179051804900282,0,P61313;A0A2R8YEM3;E7EQV9;E7ENU7;E7EX53;A0A2R8Y738;E7ERA2,P61313;A0A2R8YEM3;E7EQV9;E7ENU7;E7EX53;A0A2R8Y738,13;12;12;10;8;8;1,13;12;12;10;8;8;1,13;12;12;10;8;8;1,60S ribosomal protein L15;Ribosomal protein L15,RPL15,sp|P61313|RL15_HUMAN 60S ribosomal protein L15 OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=2;tr|A0A2R8YEM3|A0A2R8YEM3_HUMAN Ribosomal protein L15 (Fragment) OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=1;tr|E7EQV9|E7EQV9_HUMAN Ribosomal protein L15 (Fragment) OS=,13,13,48,204
RPL27,0.2207021064,0.0728600019678932,0,P61353;K7ELC7;K7EQQ9;K7ERY7,P61353;K7ELC7,10;8;2;2,10;8;2;2,10;8;2;2,60S ribosomal protein L27,RPL27,sp|P61353|RL27_HUMAN 60S ribosomal protein L27 OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=2;tr|K7ELC7|K7ELC7_HUMAN 60S ribosomal protein L27 (Fragment) OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=1,10,10,61.8,136
RHOA,-0.1496275624,0.232623733500764,0,P61586;C9JX21;C9JNR4;C9JRM1,P61586;C9JX21;C9JNR4,10;6;6;4,10;6;6;4,4;1;1;1,Transforming protein RhoA,RHOA,sp|P61586|RHOA_HUMAN Transforming protein RhoA OS=Homo sapiens OX=9606 GN=RHOA PE=1 SV=1;tr|C9JX21|C9JX21_HUMAN Transforming protein RhoA OS=Homo sapiens OX=9606 GN=RHOA PE=1 SV=1;tr|C9JNR4|C9JNR4_HUMAN Transforming protein RhoA (Fragment) OS=Homo sapiens ,10,4,44.6,193
HSPE1;HSPE1-MOB4,0.0638901268,0.518586471375387,0,P61604;B8ZZL8;S4R3N1;B8ZZ54,P61604;B8ZZL8;S4R3N1,22;18;12;8,22;18;12;8,22;18;12;8,"10 kDa heat shock protein, mitochondrial",HSPE1;HSPE1-MOB4,"sp|P61604|CH10_HUMAN 10 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPE1 PE=1 SV=2;tr|B8ZZL8|B8ZZL8_HUMAN 10 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPE1 PE=1 SV=1;tr|S4R3N1|S4R3N1_HUMAN HSPE1-MOB4 readthroug",22,22,93.1,102
VBP1,-0.0573329428,0.818987336587975,0,P61758,P61758,2,2,2,Prefoldin subunit 3,VBP1,sp|P61758|PFD3_HUMAN Prefoldin subunit 3 OS=Homo sapiens OX=9606 GN=VBP1 PE=1 SV=4,2,2,8.6,197
B2M,-1.2540147939,0.0010081305447984,1,P61769;H0YLF3;F5H6I0,P61769;H0YLF3;F5H6I0,3;2;2,3;2;2,3;2;2,Beta-2-microglobulin;Beta-2-microglobulin form pI 5.3,B2M,sp|P61769|B2MG_HUMAN Beta-2-microglobulin OS=Homo sapiens OX=9606 GN=B2M PE=1 SV=1;tr|H0YLF3|H0YLF3_HUMAN Beta-2-microglobulin (Fragment) OS=Homo sapiens OX=9606 GN=B2M PE=1 SV=1;tr|F5H6I0|F5H6I0_HUMAN Beta-2-microglobulin OS=Homo sapiens OX=9606 GN=B2M PE,3,3,33.6,119
NUTF2,0.044125493,0.787610822150536,0,P61970;H3BRV9,P61970;H3BRV9,6;4,6;4,6;4,Nuclear transport factor 2,NUTF2,sp|P61970|NTF2_HUMAN Nuclear transport factor 2 OS=Homo sapiens OX=9606 GN=NUTF2 PE=1 SV=1;tr|H3BRV9|H3BRV9_HUMAN Nuclear transport factor 2 (Fragment) OS=Homo sapiens OX=9606 GN=NUTF2 PE=1 SV=1,6,6,61.4,127
HNRNPK,-0.1520683064,0.203372630841572,0,P61978;Q5T6W2;S4R359;S4R457,P61978;Q5T6W2,27;22;5;4,27;22;5;4,27;22;5;4,Heterogeneous nuclear ribonucleoprotein K,HNRNPK,sp|P61978|HNRPK_HUMAN Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1;tr|Q5T6W2|Q5T6W2_HUMAN Heterogeneous nuclear ribonucleoprotein K (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPK PE=1 SV=1,27,27,53.6,463
YWHAG,0.2049737975,0.324281709757525,0,P61981;A2IDB2,P61981,12;3,7;0,7;0,"14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed",YWHAG,sp|P61981|1433G_HUMAN 14-3-3 protein gamma OS=Homo sapiens OX=9606 GN=YWHAG PE=1 SV=2,12,7,48.2,247
RPS7,0.5099739644,0.00716604891533383,0,P62081;B5MCP9;A0A2R8Y623,P62081;B5MCP9;A0A2R8Y623,17;12;11,17;12;11,17;12;11,40S ribosomal protein S7,RPS7,sp|P62081|RS7_HUMAN 40S ribosomal protein S7 OS=Homo sapiens OX=9606 GN=RPS7 PE=1 SV=1;tr|B5MCP9|B5MCP9_HUMAN 40S ribosomal protein S7 OS=Homo sapiens OX=9606 GN=RPS7 PE=1 SV=1;tr|A0A2R8Y623|A0A2R8Y623_HUMAN 40S ribosomal protein S7 (Fragment) OS=Homo sapi,17,17,57.2,194
PPP1CA,-0.411395244,0.00934203811573269,0,P62136;E9PMD7;F5H1L6;F5H037,P62136;E9PMD7,14;9;2;2,14;9;2;2,4;3;1;1,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit;Serine/threonine-protein phosphatase,PPP1CA,sp|P62136|PP1A_HUMAN Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CA PE=1 SV=1;tr|E9PMD7|E9PMD7_HUMAN Serine/threonine-protein phosphatase (Fragment) OS=Homo sapiens OX=9606 GN=PPP1CA PE=1 SV=1,14,4,53.3,330
PPP1CB,-0.8272037781,0.000986378113147989,0,P62140;E7ETD8;C9J9S3;C9JP48;H0Y3Y6;F8W1A0,P62140,13;6;5;5;2;1,6;1;3;3;0;0,6;1;3;3;0;0,Serine/threonine-protein phosphatase PP1-beta catalytic subunit,PPP1CB,sp|P62140|PP1B_HUMAN Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Homo sapiens OX=9606 GN=PPP1CB PE=1 SV=3,13,6,51.4,327
PSMC1,0.0296201856,0.799042738059478,0,P62191,P62191,7,7,7,26S protease regulatory subunit 4,PSMC1,sp|P62191|PRS4_HUMAN 26S proteasome regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMC1 PE=1 SV=1,7,7,15.5,440
PSMC5,0.2369898299,0.0728659368080712,0,P62195;J3QSA9;J3KRP2;J3QQM1;J3QRW1;J3QLH6;J3QRR3;Q8NB90;J3QSE0,P62195;J3QSA9;J3KRP2;J3QQM1,15;9;8;8;5;5;3;1;1,15;9;8;8;5;5;3;1;1,15;9;8;8;5;5;3;1;1,26S protease regulatory subunit 8,PSMC5,sp|P62195|PRS8_HUMAN 26S proteasome regulatory subunit 8 OS=Homo sapiens OX=9606 GN=PSMC5 PE=1 SV=1;tr|J3QSA9|J3QSA9_HUMAN 26S proteasome regulatory subunit 8 (Fragment) OS=Homo sapiens OX=9606 GN=PSMC5 PE=1 SV=1;tr|J3KRP2|J3KRP2_HUMAN 26S proteasome regul,15,15,38.7,406
RPS8,0.5782818395,0.00228486431671152,0,P62241;Q5JR95,P62241;Q5JR95,21;17,21;17,21;17,40S ribosomal protein S8,RPS8,sp|P62241|RS8_HUMAN 40S ribosomal protein S8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=2;tr|Q5JR95|Q5JR95_HUMAN 40S ribosomal protein S8 OS=Homo sapiens OX=9606 GN=RPS8 PE=1 SV=1,21,21,64.9,208
RPS16,0.5490387568,0.00267719825062144,0,P62249;M0R210;M0R3H0;M0R1M5;M0QX76;Q6IPX4,P62249;M0R210;M0R3H0;M0R1M5;M0QX76;Q6IPX4,12;11;9;7;6;6,12;11;9;7;6;6,12;11;9;7;6;6,40S ribosomal protein S16,RPS16,sp|P62249|RS16_HUMAN 40S ribosomal protein S16 OS=Homo sapiens OX=9606 GN=RPS16 PE=1 SV=2;tr|M0R210|M0R210_HUMAN 40S ribosomal protein S16 OS=Homo sapiens OX=9606 GN=RPS16 PE=1 SV=1;tr|M0R3H0|M0R3H0_HUMAN 40S ribosomal protein S16 OS=Homo sapiens OX=9606 G,12,12,58.9,146
YWHAE,-0.0802550309,0.401481063600821,0,P62258;B4DJF2;I3L3T1;K7EM20;K7EIT4;I3L0W5,P62258,12;5;5;5;2;1,10;4;4;4;1;1,10;4;4;4;1;1,14-3-3 protein epsilon,YWHAE,sp|P62258|1433E_HUMAN 14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1,12,10,57.6,255
RPS23,0.4883039896,0.0193797050392924,0,P62266;D6RD47;D6RDJ2;D6RIX0;D6R9I7,P62266;D6RD47,9;6;3;3;3,9;6;3;3;3,9;6;3;3;3,40S ribosomal protein S23,RPS23,sp|P62266|RS23_HUMAN 40S ribosomal protein S23 OS=Homo sapiens OX=9606 GN=RPS23 PE=1 SV=3;tr|D6RD47|D6RD47_HUMAN 40S ribosomal protein S23 OS=Homo sapiens OX=9606 GN=RPS23 PE=1 SV=1,9,9,54.5,143
RPS18,0.6203423842,0.0016661473121584,0,P62269;A0A0G2JQH2;Q5GGW2;J3JS69,P62269,21;6;6;6,21;6;6;6,21;6;6;6,40S ribosomal protein S18,RPS18,sp|P62269|RS18_HUMAN 40S ribosomal protein S18 OS=Homo sapiens OX=9606 GN=RPS18 PE=1 SV=3,21,21,76.3,152
RPS29,0.4628571389,0.00596527022957146,0,P62273;A0A087WTT6;A0A2R8Y851;A0A2R8Y6P7,P62273;A0A087WTT6;A0A2R8Y851,3;2;2;1,3;2;2;1,3;2;2;1,40S ribosomal protein S29,RPS29,sp|P62273|RS29_HUMAN 40S ribosomal protein S29 OS=Homo sapiens OX=9606 GN=RPS29 PE=1 SV=2;tr|A0A087WTT6|A0A087WTT6_HUMAN 40S ribosomal protein S29 OS=Homo sapiens OX=9606 GN=RPS29 PE=1 SV=1;tr|A0A2R8Y851|A0A2R8Y851_HUMAN 40S ribosomal protein S29 OS=Homo s,3,3,48.2,56
RPS13,0.482986844,0.0129069910373056,0,P62277;J3KMX5;E9PS50,P62277;J3KMX5,17;14;7,17;14;7,17;14;7,40S ribosomal protein S13,RPS13,sp|P62277|RS13_HUMAN 40S ribosomal protein S13 OS=Homo sapiens OX=9606 GN=RPS13 PE=1 SV=2;tr|J3KMX5|J3KMX5_HUMAN 40S ribosomal protein S13 OS=Homo sapiens OX=9606 GN=RPS13 PE=1 SV=1,17,17,71.5,151
RPS11,0.6099319988,0.00271979846797841,0,P62280;M0QZC5;M0R1H5;M0R1H6,P62280;M0QZC5,21;18;8;3,21;18;8;3,21;18;8;3,40S ribosomal protein S11,RPS11,sp|P62280|RS11_HUMAN 40S ribosomal protein S11 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=3;tr|M0QZC5|M0QZC5_HUMAN 40S ribosomal protein S11 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=1,21,21,80.4,158
SNRPE,-0.2020105419,0.0900031645647363,0,P62304;A6NHK2,P62304,3;1,3;1,3;1,Small nuclear ribonucleoprotein E,SNRPE,sp|P62304|RUXE_HUMAN Small nuclear ribonucleoprotein E OS=Homo sapiens OX=9606 GN=SNRPE PE=1 SV=1,3,3,32.6,92
SNRPF,-0.1366857744,0.537178670067453,0,P62306;A0A0B4J254;F8W0W6,P62306;A0A0B4J254;F8W0W6,4;2;2,4;2;2,4;2;2,Small nuclear ribonucleoprotein F,SNRPF,sp|P62306|RUXF_HUMAN Small nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=SNRPF PE=1 SV=1;tr|A0A0B4J254|A0A0B4J254_HUMAN Small nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=SNRPF PE=1 SV=1;tr|F8W0W6|F8W0W6_HUMAN Small nuclear ribonucleopro,4,4,58.1,86
LSM3,-0.1394088334,0.217619528204712,0,P62310,P62310,4,4,4,U6 snRNA-associated Sm-like protein LSm3,LSM3,sp|P62310|LSM3_HUMAN U6 snRNA-associated Sm-like protein LSm3 OS=Homo sapiens OX=9606 GN=LSM3 PE=1 SV=2,4,4,42.2,102
SNRPD1,0.1852837711,0.167632263522133,0,P62314;J3QLI9;J3QLR7,P62314;J3QLI9,4;3;1,4;3;1,4;3;1,Small nuclear ribonucleoprotein Sm D1,SNRPD1,sp|P62314|SMD1_HUMAN Small nuclear ribonucleoprotein Sm D1 OS=Homo sapiens OX=9606 GN=SNRPD1 PE=1 SV=1;tr|J3QLI9|J3QLI9_HUMAN Small nuclear ribonucleoprotein Sm D1 OS=Homo sapiens OX=9606 GN=SNRPD1 PE=1 SV=1,4,4,41.2,119
SNRPD2,-0.037695983,0.700839195792714,0,P62316;K7EJB5;K7ERG4,P62316;K7EJB5,5;3;2,5;3;2,5;3;2,Small nuclear ribonucleoprotein Sm D2,SNRPD2,sp|P62316|SMD2_HUMAN Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens OX=9606 GN=SNRPD2 PE=1 SV=1;tr|K7EJB5|K7EJB5_HUMAN Small nuclear ribonucleoprotein Sm D2 OS=Homo sapiens OX=9606 GN=SNRPD2 PE=1 SV=1,5,5,31.4,118
SNRPD3,-0.1063443768,0.28815960842515,0,P62318;H3BT13,P62318;H3BT13,9;5,9;5,9;5,Small nuclear ribonucleoprotein Sm D3,SNRPD3,sp|P62318|SMD3_HUMAN Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens OX=9606 GN=SNRPD3 PE=1 SV=1;tr|H3BT13|H3BT13_HUMAN Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens OX=9606 GN=SNRPD3 PE=1 SV=1,9,9,61.1,126
TMSB4X,-0.7226619637,0.0226116884661805,0,P62328,P62328,2,2,2,Thymosin beta-4;Hematopoietic system regulatory peptide,TMSB4X,sp|P62328|TYB4_HUMAN Thymosin beta-4 OS=Homo sapiens OX=9606 GN=TMSB4X PE=1 SV=2,2,2,31.8,44
ARF6,0.0627718014,0.740621012901893,0,P62330,P62330,1,1,1,ADP-ribosylation factor 6,ARF6,sp|P62330|ARF6_HUMAN ADP-ribosylation factor 6 OS=Homo sapiens OX=9606 GN=ARF6 PE=1 SV=2,1,1,9.7,175
PSMC6,0.0978202178,0.366427345611875,0,P62333;A0A087X2I1;H0YJC0;H0YJS8;H0YJX2;H0YJE9;H0YJT1;H0YJY8,P62333;A0A087X2I1;H0YJC0,20;19;10;9;5;2;2;1,20;19;10;9;5;2;2;1,20;19;10;9;5;2;2;1,26S protease regulatory subunit 10B,PSMC6,sp|P62333|PRS10_HUMAN 26S proteasome regulatory subunit 10B OS=Homo sapiens OX=9606 GN=PSMC6 PE=1 SV=1;tr|A0A087X2I1|A0A087X2I1_HUMAN 26S proteasome regulatory subunit 10B OS=Homo sapiens OX=9606 GN=PSMC6 PE=1 SV=1;tr|H0YJC0|H0YJC0_HUMAN 26S proteasome reg,20,20,61.2,389
RPL7A,0.4384166644,0.00751425407705528,0,P62424;Q5T8U2;Q5T8U3,P62424;Q5T8U2;Q5T8U3,24;13;13,24;13;13,24;13;13,60S ribosomal protein L7a,RPL7A,sp|P62424|RL7A_HUMAN 60S ribosomal protein L7a OS=Homo sapiens OX=9606 GN=RPL7A PE=1 SV=2;tr|Q5T8U2|Q5T8U2_HUMAN 60S ribosomal protein L7a OS=Homo sapiens OX=9606 GN=RPL7A PE=1 SV=1;tr|Q5T8U3|Q5T8U3_HUMAN 60S ribosomal protein L7a (Fragment) OS=Homo sapien,24,24,58.3,266
ETF1,0.2431340799,0.190669635846315,0,P62495;B7Z7P8;D6RCB3;D6RJE8;I3L492,P62495;B7Z7P8;D6RCB3,5;4;3;2;2,5;4;3;2;2,5;4;3;2;2,Eukaryotic peptide chain release factor subunit 1,ETF1,sp|P62495|ERF1_HUMAN Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens OX=9606 GN=ETF1 PE=1 SV=3;tr|B7Z7P8|B7Z7P8_HUMAN Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens OX=9606 GN=ETF1 PE=1 SV=1;tr|D6RCB3|D6RCB3_HUMAN Eukar,5,5,14,437
RPS4X,0.6197800147,0.00167715833248073,0,P62701,P62701,25,25,13,"40S ribosomal protein S4, X isoform",RPS4X,"sp|P62701|RS4X_HUMAN 40S ribosomal protein S4, X isoform OS=Homo sapiens OX=9606 GN=RPS4X PE=1 SV=2",25,13,74.5,263
PPP2CA;PPP2CB,-0.2270294689,0.0604023131330007,0,P67775;P62714;H0YC23;E5RHC1;E5RFI3;E5RHP4;E7ESG8;H0YBN9,P67775;P62714;H0YC23,8;8;5;3;2;2;2;1,8;8;5;3;2;2;2;1,7;7;5;2;1;1;1;1,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform;Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform,PPP2CA;PPP2CB,sp|P67775|PP2AA_HUMAN Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform OS=Homo sapiens OX=9606 GN=PPP2CA PE=1 SV=1;sp|P62714|PP2AB_HUMAN Serine/threonine-protein phosphatase 2A catalytic subunit beta isoform OS=Homo sapiens OX=9606 G,8,7,37.9,309
RPS6,0.4554695125,0.00991796387195488,0,P62753;A2A3R5;A2A3R7,P62753;A2A3R5,15;10;5,15;10;5,15;10;5,40S ribosomal protein S6,RPS6,sp|P62753|RS6_HUMAN 40S ribosomal protein S6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1;tr|A2A3R5|A2A3R5_HUMAN 40S ribosomal protein S6 OS=Homo sapiens OX=9606 GN=RPS6 PE=1 SV=1,15,15,45.4,249
HIST1H4A,-0.5962321958,0.00255661640900888,0,P62805,P62805,21,21,21,Histone H4,HIST1H4A,sp|P62805|H4_HUMAN Histone H4 OS=Homo sapiens OX=9606 GN=H4C1 PE=1 SV=2,21,21,71.8,103
RPL23,0.3573910448,0.0229827063481903,0,P62829;C9JD32;J3KT29;B9ZVP7;J3KTJ3;J3QQT9,P62829;C9JD32;J3KT29;B9ZVP7,12;9;9;8;4;1,12;9;9;8;4;1,12;9;9;8;4;1,60S ribosomal protein L23,RPL23,sp|P62829|RL23_HUMAN 60S ribosomal protein L23 OS=Homo sapiens OX=9606 GN=RPL23 PE=1 SV=1;tr|C9JD32|C9JD32_HUMAN 60S ribosomal protein L23 (Fragment) OS=Homo sapiens OX=9606 GN=RPL23 PE=1 SV=1;tr|J3KT29|J3KT29_HUMAN 60S ribosomal protein L23 OS=Homo sapien,12,12,60.7,140
RPS25,0.5713112181,0.0049820924918448,0,P62851,P62851,9,9,9,40S ribosomal protein S25,RPS25,sp|P62851|RS25_HUMAN 40S ribosomal protein S25 OS=Homo sapiens OX=9606 GN=RPS25 PE=1 SV=1,9,9,38.4,125
RPS26;RPS26P11,0.4763087498,0.00523908745908732,0,P62854;Q5JNZ5,P62854;Q5JNZ5,4;2,4;2,4;2,40S ribosomal protein S26;Putative 40S ribosomal protein S26-like 1,RPS26;RPS26P11,sp|P62854|RS26_HUMAN 40S ribosomal protein S26 OS=Homo sapiens OX=9606 GN=RPS26 PE=1 SV=3;sp|Q5JNZ5|RS26L_HUMAN Putative 40S ribosomal protein S26-like 1 OS=Homo sapiens OX=9606 GN=RPS26P11 PE=5 SV=1,4,4,31.3,115
RPS28,0.622542209,0.00162956585172303,0,P62857,P62857,9,9,9,40S ribosomal protein S28,RPS28,sp|P62857|RS28_HUMAN 40S ribosomal protein S28 OS=Homo sapiens OX=9606 GN=RPS28 PE=1 SV=1,9,9,85.5,69
GNB1,-0.3384901281,0.111925337888493,0,P62873;F6UT28;F6X3N5;B1AKQ8;B3KVK2;P16520;F5H8J8;F5H100;E9PCP0,P62873;F6UT28;F6X3N5;B1AKQ8,11;8;7;6;4;1;1;1;1,7;4;3;2;4;0;0;0;0,6;3;2;2;4;0;0;0;0,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,GNB1,sp|P62873|GBB1_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 OS=Homo sapiens OX=9606 GN=GNB1 PE=1 SV=3;tr|F6UT28|F6UT28_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Fragment) OS=Homo sapiens OX=9606 GN=GN,11,6,48.2,340
RBX1,1.431692822,0.0650652445768762,0,P62877,P62877,2,2,2,"E3 ubiquitin-protein ligase RBX1;E3 ubiquitin-protein ligase RBX1, N-terminally processed",RBX1,sp|P62877|RBX1_HUMAN E3 ubiquitin-protein ligase RBX1 OS=Homo sapiens OX=9606 GN=RBX1 PE=1 SV=1,2,2,17.6,108
GNB2,-0.3500793902,0.0216062054653964,0,P62879;C9JIS1;C9JXA5;E7EP32;C9JZN1;C9JD14,P62879;C9JIS1;C9JXA5;E7EP32;C9JZN1,13;11;11;11;8;2,13;11;11;11;8;2,7;5;5;6;2;0,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,GNB2,sp|P62879|GBB2_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 OS=Homo sapiens OX=9606 GN=GNB2 PE=1 SV=3;tr|C9JIS1|C9JIS1_HUMAN Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 (Fragment) OS=Homo sapiens OX=9606 GN=GN,13,7,54.1,340
RPL39;RPL39P5,0.6149148144,0.0161901335830596,0,P62891;Q59GN2,P62891;Q59GN2,2;2,2;2,2;2,60S ribosomal protein L39;Putative 60S ribosomal protein L39-like 5,RPL39;RPL39P5,sp|P62891|RL39_HUMAN 60S ribosomal protein L39 OS=Homo sapiens OX=9606 GN=RPL39 PE=1 SV=2;sp|Q59GN2|R39L5_HUMAN Putative 60S ribosomal protein L39-like 5 OS=Homo sapiens OX=9606 GN=RPL39P5 PE=5 SV=2,2,2,23.5,51
RPL31,0.5372526444,0.0053102240435334,0,P62899;H7C2W9;C9JU56;B7Z4E3;B7Z4C8;B8ZZK4,P62899;H7C2W9;C9JU56;B7Z4E3;B7Z4C8;B8ZZK4,9;8;8;8;8;7,9;8;8;8;8;7,9;8;8;8;8;7,60S ribosomal protein L31,RPL31,sp|P62899|RL31_HUMAN 60S ribosomal protein L31 OS=Homo sapiens OX=9606 GN=RPL31 PE=1 SV=1;tr|H7C2W9|H7C2W9_HUMAN 60S ribosomal protein L31 (Fragment) OS=Homo sapiens OX=9606 GN=RPL31 PE=1 SV=1;tr|C9JU56|C9JU56_HUMAN 60S ribosomal protein L31 (Fragment) OS=,9,9,52,125
RPL10A,0.4024760746,0.00898556182321666,0,P62906,P62906,12,12,12,60S ribosomal protein L10a,RPL10A,sp|P62906|RL10A_HUMAN 60S ribosomal protein L10a OS=Homo sapiens OX=9606 GN=RPL10A PE=1 SV=2,12,12,47.9,217
RPL11,0.4649031296,0.00697786315843322,0,P62913;Q5VVC8,P62913;Q5VVC8,11;9,11;9,11;9,60S ribosomal protein L11,RPL11,sp|P62913|RL11_HUMAN 60S ribosomal protein L11 OS=Homo sapiens OX=9606 GN=RPL11 PE=1 SV=2;tr|Q5VVC8|Q5VVC8_HUMAN 60S ribosomal protein L11 OS=Homo sapiens OX=9606 GN=RPL11 PE=1 SV=2,11,11,66.3,178
RPL8,0.243062887,0.0704696458221158,0,P62917;E9PKU4;E9PKZ0;G3V1A1;E9PP36,P62917;E9PKU4;E9PKZ0;G3V1A1,18;16;13;11;8,18;16;13;11;8,18;16;13;11;8,60S ribosomal protein L8,RPL8,sp|P62917|RL8_HUMAN 60S ribosomal protein L8 OS=Homo sapiens OX=9606 GN=RPL8 PE=1 SV=2;tr|E9PKU4|E9PKU4_HUMAN 60S ribosomal protein L8 (Fragment) OS=Homo sapiens OX=9606 GN=RPL8 PE=1 SV=1;tr|E9PKZ0|E9PKZ0_HUMAN 60S ribosomal protein L8 (Fragment) OS=Homo s,18,18,51.4,257
PPIA,-0.2018018321,0.121591252108101,0,P62937;F8WE65;C9J5S7;F5H284;Q9Y536;P0DN26;A0A0H2UH34;A0A0B4J2A2;A0A075B767;A0A075B759;P0DN37;E5RIZ5,P62937;F8WE65;C9J5S7,27;15;15;3;3;3;3;3;3;3;2;2,27;15;15;3;3;3;3;3;3;3;2;2,27;15;15;3;3;3;3;3;3;3;2;2,"Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed;Peptidyl-prolyl cis-trans isomerase",PPIA,sp|P62937|PPIA_HUMAN Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2;tr|F8WE65|F8WE65_HUMAN Peptidyl-prolyl cis-trans isomerase OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=1;tr|C9J5S7|C9J5S7_HUMAN Peptidyl-prolyl cis-trans isome,27,27,98.2,165
FKBP1A;FKBP12-Exin;FKBP12-Exip2,-0.3348685649,0.0633111043937229,0,P62942;A0A087WZM5;Q1JUQ3;Q1JUQ5;A0A087WTS4;Q5W0X3;A0A087WV48;Q5VVH2,P62942;A0A087WZM5;Q1JUQ3;Q1JUQ5;A0A087WTS4;Q5W0X3;A0A087WV48,4;3;2;2;2;2;2;1,4;3;2;2;2;2;2;1,4;3;2;2;2;2;2;1,Peptidyl-prolyl cis-trans isomerase FKBP1A;Peptidyl-prolyl cis-trans isomerase,FKBP1A;FKBP12-Exin;FKBP12-Exip2,sp|P62942|FKB1A_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Homo sapiens OX=9606 GN=FKBP1A PE=1 SV=2;tr|A0A087WZM5|A0A087WZM5_HUMAN Peptidylprolyl isomerase OS=Homo sapiens OX=9606 GN=FKBP1A PE=1 SV=1;tr|Q1JUQ3|Q1JUQ3_HUMAN FK506 binding protein12 ,4,4,38,108
